start	end	text
0	8760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8760	9360	我是翠翠
9360	10620	大家好 我今天是阿斷
10620	11580	大家好 我是天生凡
11580	12880	我們回來了
12880	13600	回來了
13600	14500	開工了
14500	15220	我現在
15220	17660	為什麼這麼快就開工了
17660	19280	現在我的這個麥克風上面
19280	22120	有一隻蜘蛛在我面前爬 好可怕
22120	23960	蜘蛛又不會跳
23960	25500	蜘蛛怎麼不會跳
25500	27340	蜘蛛超會跳的
27340	29800	喔 它跳了 fuck
29800	30380	救命啊
30380	31540	把它吹走啊
31540	32460	這蜘蛛好可怕的
32460	33680	它在你麥克風上
33680	36180	它在我麥克風上
36180	37600	它在後面
37600	38180	它走了
38180	39600	它現在在大腿上
39600	40180	在我大腿上
40180	41000	在你腰邊
41000	43300	在你腰肉旁邊
44500	45540	這是什麼
45540	46680	放送事故
46680	48040	很棒
48040	51380	好 本集有我們已經賣完的貓肉店
51380	52760	手掌臭臭包
52760	55300	贊助播出
55300	57140	真的很抱歉
57140	58600	我們應該是訂的太少了吧
58600	60260	可是我們明明就訂的
60260	62440	就是比去年都很多耶
62440	63380	我覺得可能是去年
63380	65840	因為我們是做一個很短期的活動
65840	67020	買回去之後大家都覺得
67020	68340	哇 家裡的貓很喜歡
68340	69800	意外的效果超級好
69800	72100	對 所以這次很快就銷售一空了這樣子
72100	73980	而且去年太多IG限動
73980	76260	掀起一股小小的旋風
76260	77640	但是大部分人看到IG的時候
77640	78600	已經不能買了
78600	78980	沒錯
78980	80560	所以就只能蹲今年的
80560	81300	跟今年一樣
81300	83440	看到IG的時候已經不能買了
83440	84640	沒錯
84640	86600	因為我們原本是打算做一個月的檔期
86600	86800	對
86800	87800	結果只做了一週
87800	88100	對
88100	90180	所以我們應該會等他補貨之後
90180	93180	再做個兩三個禮拜的檔期這樣子
93180	94420	把檔期補給大家
94420	96420	我們寵物展有人第一天就來
96420	98300	然後剛好滿天他就送嘛
98300	100640	他說他其實不太知道這是什麼東西
100640	102100	只知道我們這個活動
102100	103040	然後他就說很臭
103040	105000	我要帶回去給我貓玩玩看
105000	106800	結果他第二天又來
106800	107960	我就說 欸 怎麼了
107960	108960	昨天不是有來過嗎
108960	110140	是什麼東西沒買到嗎
110140	111140	他說 不是
111140	112420	他忘記把手掌收起來
112420	114220	早上就爛掉了
114220	115560	他要來補那個手掌
115560	116760	真的是會咬得爛的喔
116800	119560	對 他說他沒有想到這個東西竟然咬得爛
