start	end	text
0	8220	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8220	8900	我是翠翠
8900	10040	大家好 我是阿端
10040	11060	大家好 我是聖聖凡
11060	13180	本集也有預錄的廣告喔
13180	15920	本集節目由扣羅蘭贊助播出
15920	17400	你是不是也有以下困擾呢
17400	20900	隨著年齡的增長 然後頭髮的風雲感卻漸漸的消失
20900	25360	頭髮細軟扁塌 髮絲緊貼 頭皮看起來就特別的沒有精神
25360	29520	法國植萃養髮專家扣羅蘭全新升級養髮加速器
29520	33380	植萃養髮強韌精華液 猶如給頭皮的營養點滴
33380	38260	添加經典成分金基納萃取 加上新成分雪茸花和礦物膜
38260	41380	可以活絡頭皮 還有咖啡因及複合維他命B
41380	43420	能夠滋養頭皮強韌髮絲
43420	47440	全素植萃配方非藥品 孕期 哺乳期 男女都適用喔
47440	51660	薰衣草 杉木跟蕨類的木質調香氣使用感受不黏膩又超療癒
51660	56060	扣羅蘭植萃養髮強韌精華液 使用四周油感 一瓶風雲
56060	59700	找回髮絲的豐厚感 讓髮絲更加強韌又健康
59700	64340	新品上市優惠中 購買通路請詳盡我們資訊欄裡面的連結喔
64340	66500	那在使用心得上呢
66500	70400	首先我自己覺得它的味道是屬於草本木質調的一個味道
70400	74400	所以聞起來就會很像你頭髮噴了淡香水出門的感覺
74400	76620	因為很多女生都很喜歡這樣子
76620	80080	然後另外一點 因為我自己討厭黏黏的就是擦在頭髮上
80080	82620	你的頭髮會結那種一條一條一條的那種感覺
82620	84520	所以它是要最後擦在頭髮上呢
84520	85480	它是擦在頭皮
85480	86040	所以它一定會擦到頭皮
86040	86780	所以它一定會擦到頭髮
86780	89160	所以我覺得這個很棒
89160	91800	克蘿蘭它這個養髮一精華液完全沒有這個問題
91800	93520	就是看起來是很清爽的
93520	95920	因為我想像中是會變成兩片海苔
95920	98780	所以不會這樣就對了
98780	99660	沒錯沒錯
99660	103760	然後因為很多人運氣的時候我就一直被恐嚇說我的頭髮會掉
103760	106340	然後就是頭髮看起來很塌什麼的
106340	107160	但我自己
107160	107860	那個時候是不是真的會塌
107860	109960	會出油什麼之類的
109960	111820	頭髮主要是頭髮變少很多
111820	114160	因為會掉髮變嚴重
114160	114940	對對對
114940	116020	但是我自己本人
116020	116920	比較特殊一點
116920	118620	我運氣的時候都還好
118620	119800	對我還想說
119800	121740	這個問題不會出現在我身上
121740	123540	但是我生完之後
123540	124440	就開始掉頭髮
124440	125940	對我明明記得就有這個事
125940	126540	對
126540	128300	但是在我哺乳的時候
128300	130580	所以我那時候就可能睡眠沒有那麼好
130580	131540	然後又疲勞
131540	132960	主要是因為哺乳太累了
132960	133620	對對對
133620	135300	所以我的頭髮問題就很多
135300	137000	那個時候就開始覺得
137000	139580	好像真的有應該要來認真保養我的頭皮
139580	141780	然後我現在就是每天都會蠻乖的
141780	145840	只要有洗頭我都會噴那個頭皮保養液跟頭髮精華液
146020	150900	現在的時間是4月12日凌晨1點10分
150900	153460	標準工作時間
153460	156160	我們要跟大家分享一個就是非常可怕的消息
156160	156960	怎樣
156960	158860	在上個週末
158860	160400	他每次在pockets分享一些消息
160400	162900	我很多時候都是跟聽眾一起知道
162900	164500	覺得好恐怖
164500	166500	陳村受到了嚴重的傷害
166500	167400	嚴重的傷害
167400	168340	受傷了
168340	169300	你說上個禮拜幾
169300	170340	上個禮拜六
170340	172180	陳村的眼睛
172180	173420	受傷了
173420	174740	好可怕
174740	176020	沒有 眼睛靈魂之窗受傷了
176020	177020	嚴重的傷害
177020	178020	重疾
178020	181020	現在會很擔心啦
181020	183020	你這樣講大家會很擔心啦
183020	185020	因為受到這個傷害所以他現在戴一個非常奇特的眼鏡
185020	186020	對對對
186020	187020	要戴護目鏡
187020	188020	我現在很像那個
188020	189020	我現在穿什麼
189020	192020	我現在很像那個黃色超人或是紅色超人之類的
192020	194020	反正陳村他上禮拜六去做了眼鏡的雷射
194020	195020	對
195020	196020	獨排綜藝
196020	197020	對
197020	198020	獨排綜藝
198020	199020	不只是他眼睛受到了嚴重的傷害
199020	200020	對
200020	202020	連我們的錢包也受到了嚴重的傷害
202020	204020	哇小鬼
204020	205020	小鬼
205020	206020	小鬼
206020	207020	難道不需要嗎
207020	208020	如果太便宜你不會很擔心嗎
208020	210020	畢竟是在你眼睛上滑來滑去耶
210020	211020	我不知道
211020	213020	大家不知道對這個價格有沒有概念
213020	215020	反正是個十幾萬
215020	216020	十萬出
216020	218020	十幾萬就是做了眼鏡的雷射
218020	219020	好可怕
219020	220020	好可怕
220020	222020	更可怕的東西是這個東西的消費屬性
222020	226020	就是有時候我們做一些這種金額的消費的時候
