start	end	text
0	9100	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9100	9960	我是翠翠
9960	11000	大家好 我是阿段
11000	12220	哈囉 我是攝影師
12220	14380	你今天怎樣 你今天怎樣
14380	15060	對不起
15060	16700	是不是中人啊
16700	18740	你自己有點餓
18740	19480	打我攝影師吧
19480	20820	好 本期
20820	22120	喔 對 換我
22120	24180	本期節目由營養師品宣
24180	28060	微微奶茶無糖包版本贊助播出
28060	28800	喔 好
28800	29900	這個玩意兒
29900	34520	突然又是一個我跟品宣角力下的錯誤
34520	35800	就是大家知道微微奶茶嘛
35800	37140	我們之前有講過就是
37140	40600	就是品宣的品牌推出的一個很受歡迎的奶茶包
40600	41480	對 蔥泡包
41480	44520	對 它就是奶茶包本體是無加糖的
44520	44980	對 對 對
44980	46520	然後我們另外附了一個糖包
46520	48400	在我們的吉利的堅持下
48400	50980	品宣一直都認為說不用附糖包
50980	52360	對 他覺得那個味道可以了
52360	54600	對 所以那個茶有點苦有點澀
54600	56140	但是沒有關係 大一定可以接受
56140	57600	對 對 對 因為他覺得好喝
57600	58520	他覺得好喝
58520	59820	對 但是我們給辦公室
59820	61540	所有的小夥伴喝完之後
61540	62440	喔 大家都覺得
62440	64980	大家都在冰箱找我們已經結晶的蜜蜂
64980	66020	對 還是附個糖好了
66020	66580	對 對 對
66580	68360	所以我們最後在我們堅持下
68360	69820	我們就附了糖包
69820	71700	他們就覺得根本就不用附糖包啊什麼的
71700	72580	就很夠味了
72580	74320	對對對 家裡累積很多糖包
74320	75580	一大堆糖包不知道怎麼辦
75580	77460	超多人拍照跟發現動
77460	78200	對 對 對
78200	80060	就是一大堆糖包怎麼辦這樣子
80060	81160	品宣就來跟我心思問諸
81160	84700	你看你看根本就不用附糖包
84700	85700	我又說放屁
85700	86860	你那個幾萬個人買
86860	88280	就那個幾十個人留言
88280	89120	對 對
89120	89820	用糖包用很開心喔
89820	90700	現在一定不會留言
90700	91820	沒錯
91820	93580	糖包用完就沒有糖包拍照片了
93580	94580	對 沒錯
94580	95440	不管 品宣就不管
95440	98740	他就說他覺得應該要出一個無糖包版本
98740	100660	對 他覺得無糖包版本一定可以
100660	101900	壓過有糖包版本
101900	105060	最後就淘汰有糖包版本
