start	end	text
0	6140	哈囉大家好
6140	8100	歡迎來到好味小姐開束服務
8100	9140	我還你原型
9140	9880	我是翠翠
9880	10380	大家好
10380	11820	今天是大早時間真的很煩
11820	12600	好喔
12600	14120	本集由營養師品萱
14120	16200	新推出的寶寶新手包組合
16200	17360	贊助不出
17360	20180	這個組合呢
20180	22160	其實我們一開始想法蠻簡單的
22160	23720	就是很多辦公室的那種人
23720	25380	都有發現品萱出的新產品
25380	26140	就會光望
26140	28660	但是因為每個口味都很好奇
28660	29740	是什麼味道
29740	30700	沒有辦法做決定
30700	31140	你知道嗎
31140	32320	選擇困難症
32320	32700	沒錯
32700	34140	我覺得很多人都這樣子
34140	35320	尤其是小隻女生
35320	36460	然後這次呢
36460	37260	我們就很貼心
37260	39480	就是我們選了三種
39480	40900	我們的熱銷單品
40900	42680	分別是寶寶凍
42680	44620	然後還有寶米花
44620	45920	跟薇薇奶茶
45920	47140	就是我們現在賣的很好
47140	48160	很搶手的商品
48160	49160	然後我們是
49160	50760	每個都有各自的口味嘛
50760	51980	像寶寶凍有四個啊
51980	52960	寶米花也是四個嘛
52960	55000	我們就是每個口味都各挑一個
55000	56140	欸 各有一包
56140	57600	你就買一包
57600	58900	就可以吃到十二個
58900	59720	不一樣的東西
59720	60760	喔
60760	61880	欸 超划算的欸
61880	63180	萬元本你如果想要喝到
63180	64480	全口味的薇薇奶茶的話
64480	65680	你要買四個
65680	68820	就會得到四十幾包吧
68820	70580	對對 得奶茶包
70580	72780	但你現在就是只會擁有四包
72780	74640	喔 就可以一次嘗遍所有的口味
74640	75280	對對對
75280	76480	而且我覺得我們這次的價格
76480	78440	也訂得非常的新手
78440	79520	只要249
79520	80360	哇
80360	82400	所以這個價格我覺得是很適合那種
82400	84160	你一直想嘗鮮
84160	85000	但是沒有動力
85000	87120	或是缺一點點鼓勵的那種人
87120	88160	喔 就是你現在可以把
88160	89620	放在購物車裡面的清單
89720	90220	對
90220	91220	進去先全部刪掉
91220	92620	哇 好痛
92620	94960	然後再直接先買個新手包
94960	95620	回去試試看
95620	96220	沒錯
