start	end	text
0	1720	跟你說你女兒在蠕動
1720	3000	真的嗎
3000	4080	不行嗎
4080	5320	一錄就行
5320	8300	她現在在蠕動
8300	9280	好不管我們說
9280	9880	這樣就開始
9880	17480	哈囉大家好
17480	19540	歡迎來到好位小姐開束服
19540	20360	我還你原型
20360	21420	我是翠翠
21420	23100	大家好我是剪輯師阿段
23100	24360	大家好我是攝影師很煩
24360	27960	今天呢我們還是在月子中心
27960	29820	然後現在情況非常的緊急
29820	31560	蓮蓬在旁邊隨時會醒
31560	34280	跟大家先說明一下現況
34280	35860	今天是禮拜天
35860	37720	然後蓮蓬她今天下午
37720	39900	大概五六點的時候
39900	41700	六點的時候吃了最後一次
41700	42980	但她是吃了點心
42980	44740	就她只吃了半餐的量
44740	45980	沒有吃到一餐
45980	47320	對然後護士說
47320	49480	應該七點半就會起來要吃飯
49480	53460	對但是現在她已經一路睡到九點半了
53460	55280	還沒有起來
55280	57060	我覺得是因為下午她給我們顧
57060	57800	她哭得太慘
57800	58400	對
58400	61600	因為她下午就是一直呈現一個
61600	63900	換衣服跟換尿布的循環
63900	64800	反正一連串的悲劇
64800	66600	我們應該下一集會跟大家說
66600	68520	對然後所以她哭得很慘
68520	69360	她現在
69360	69860	很累
69860	70840	睡到不行
70840	73060	但我覺得她可能快醒了
73060	74500	所以我們趁現在趕快錄一錄
74500	78760	因為就是幫小孩餵奶這件事情
78760	80740	意外的要花很多的時間
80740	82560	是一個兩個小時任務
82560	85000	什麼要吃點吃飯要吃兩個小時
85000	85460	沒錯
85460	88040	她就是轉轉去去吃吃玩玩睡睡這樣
88040	89480	她會邊吃邊拉
89480	90600	拉了就不吃
90600	91880	不是你在這幫她換尿布
91880	93040	換尿布之後她就很爽
93040	94100	她就去吃
94100	97100	吃了又拉又幫她換
97100	99800	好不要說太多
99800	102440	首先我們要
102440	103940	我再次重申
103940	106480	我們上一集真正的目的
106480	108780	真的是希望可以告訴大家
108780	112440	生小孩沒有那麼可怕
112440	113900	真的我們真的是想這麼說
113900	117000	一個第三者來說聽起來實在是太可怕了
117000	118000	我覺得是因為我們
118040	119200	太多的細節
119200	121280	有的細節過於詳細
121280	125280	但是有的地方又不夠形容的不夠確切
125280	127700	造成了錯誤的印象
127700	129480	所以我們這次要做一個
129480	131440	兩點刊物
131440	133980	關於生小孩資訊的更新
133980	135800	首先這個
135800	138900	最嚴重的這個內枕的部分
138900	140140	內枕真的不舒服
140140	142700	但是我們後來多方求證了
142700	143080	好啦
143080	144400	就是沒有整隻手放進去
144400	145440	就是兩隻手指頭
145440	147000	但是可能會頂到關節
147000	148000	就會讓你覺得好像
148040	149600	整個手放很裡面
149600	150680	簡單的說就是說
150680	152200	好歹的上次信誓旦旦的說
152200	153840	他是把整隻手都插進去
153840	155440	裡面轉來轉去
155440	157340	其實沒有這麼誇張
157340	158840	半隻手前半段
158840	161880	兩隻手指伸進去
161880	164500	看那個開指的大小
164500	165800	然後他會
165800	166880	就是因為有時候太深
166880	168400	他會再探更進去一點
168400	170840	所以可能會讓手指的關節的
170840	173600	指尖關節的部分也進去一些
173600	176680	但是並不會把整隻手插到手腕這種感覺
176680	178000	大家不要做這種恐怖的
178040	179640	可是你
179640	180980	講清楚嘛
180980	183040	你是當事人你就會覺得很恐怖
183040	184340	好險他會說他會這樣講
184340	186400	是因為他真的感覺到
186400	186900	是這樣
186900	188440	整隻手插進去
188440	188800	對
188800	190500	但是其實並不是
190500	191340	沒那麼嚴重
191340	193180	而且打了無痛以後完全沒感覺
193180	193540	對
193540	195100	所以內枕其實還好
195100	196700	真的還好
196700	198580	大家不要被內枕嚇到
198580	199480	再一點
199480	200380	大家一直
200380	205800	這個就是屬於細節太過詳細的部分
205800	206940	就是關於這個無痛分娩
206940	207880	我覺得都是因為 關於這個無痛分娩
207880	209120	就是因為很煩
209120	210420	在那邊
