start	end	text
0	7600	好 大家好 歡迎來到好位小姐開束服務
7600	9360	我還你原形 我是翠翠
9360	10600	大家好 我今天是阿斷
10600	11620	大家好 我是林聖凡
11620	14220	好 本期也有預錄的廣告喔
14220	30880	我怕唸錯喔
30880	32620	大家會不會不知道我在唸什麼
32620	34720	本期節目由日本獅王
34720	37220	去盡キレキレ抗菌洗手木屎戰
37220	37920	出國出
37920	40320	日本獅王笑什麼
40320	42620	日本獅王去盡抗菌洗手木屎
42620	43780	是日本連續19年
43780	44200	銷售的最新的
44200	44220	日本獅王去盡抗菌洗手木屎戰
44220	46700	一開始是為了要養成
46700	48740	小朋友的洗手習慣而創造的
48740	50560	那現在已經出了一系列的產品
50560	52500	能因應大家各種洗手的狀況喔
52500	54080	是洗手清潔專家
54080	55480	去盡全系列呢
55480	56840	都是日本原裝進口
56840	58740	壓頭呢也是日本裝力抗菌
58740	60580	一壓就可以壓出綿密的泡泡
60580	63040	明星產品去盡抗菌洗手木屎呢
63040	64720	有柑橘和果香的味道
64720	67160	還有廚房用的料理手抗菌去味木屎
67160	68780	輕鬆的去除腥香料肉類
68780	70600	跟海鮮的腥味還有油膩感
70600	72700	那手部比較乾燥敏感的人呢
72700	74200	可以選用敏弱肌專用的洗手木屎
74220	76060	加強你手部的保水
76060	77640	那我自己在使用的時候
77640	78660	因為我覺得很喜歡
78660	80340	他們那個綿密泡泡的觸感
80340	81560	很優秀
81560	82820	好像真的有差
82820	85140	對就是特別細小的泡泡
85140	86100	日本的那種木屎頭
86100	87680	跟那種路邊買的木屎頭
87680	89860	真的是完全不一樣的東西
89860	90300	不一樣
90300	91680	洗手的時候會覺得
91680	93360	那個毛泡摸起來很舒服
93360	94220	然後擠的時候很順暢
94220	96200	這個就是用過才知道
96200	97980	對然後因為我們自己
97980	99400	每天都要做毛髮嘛
99400	100460	就是要摸肉
100460	102040	然後我們常常也會下廚
102040	103360	就是摸一些辛香料
103360	104200	大蒜啊什麼的
104220	105720	所以我覺得我自己很喜歡
105720	107820	用他們那個廚房料理趣味慕斯
107820	109480	在他們寄給我們公關品之前
109480	110760	沒有這個需求
110760	111400	對
111400	111900	不知道為什麼
111900	112840	以前不知道怎麼過的
112840	114480	但是當他東西寄來之後
114480	115840	就借不掉了
115840	116500	就會覺得
116500	117960	手上都是雙位木屎
117960	118500	沒有用那個洗
118500	119500	好像手怪怪的
119500	120640	然後現在煮一次飯
120640	121620	都要洗幾百次手
121620	123660	對因為洗完之後
123660	124720	你手上大概就會只剩
124720	125760	他那個柑橘啊
125760	127000	或是那種清潔的味道
127000	127760	肉味就消失了
127760	128540	優秀
128540	129980	那目前在全聯
129980	131580	還有康吉哥德的各大通路
131580	132720	大家都可以買得到囉
132720	133920	那這次品牌呢
134220	135880	給我們專屬的優惠碼
135880	137280	就是可以折100塊
137280	137980	詳細的資訊
137980	139660	大家記得要去資訊欄裡面看
139660	140400	然後最後呢
140400	141600	比方說這次的乾媽是
141600	142300	日本獅王
142300	143880	去勁抗菌洗手慕斯
143880	145600	大家記得勤洗手喔
145600	147280	好現在時間1點18分
147280	148600	為什麼1點18分呢
148600	150540	因為每次都在講這句話
150540	151620	他說我明明11點半的時候
151620	153300	就準備要來錄了
153300	154680	我跟他幹嘛
154680	157060	把雷夢送去乾媽的房間
157060	158980	我說我們進來之後
158980	160600	進來之後我們在幹嘛
160600	163100	我們在看別人的影片
164220	165020	我們在看別人的影片
165020	166480	對我們在看別人的短片啊
166480	169120	翠翠剛剛說她看到那個蕭怡巴
169120	169980	就是一個
169980	170660	她的short
170660	172220	然後我覺得非常的有趣
172220	173180	蕭怡巴是一個
173180	175020	等於說是音樂
175020	175660	創作者
175660	176460	創作型的
176460	177980	音樂型的創作者
177980	179020	對對對
179020	179980	然後講說
179980	182380	就是有一個關於放火的
182380	184580	一句話的一個改編很有趣
184580	186820	是絕對音感配樂很有趣
186820	187340	之類的
187340	188060	對對對
188060	188980	對然後我們就看放火的
188980	191220	也沒看到現在
191220	192760	好糟糕啊
192760	193220	好可怕
193220	194060	怎麼突然就這樣
194220	195480	差題網
195480	196380	差題網
196380	197220	欸差題網
197220	198620	啊你們不要被我岔啊
198620	199780	就像我們剛才在開會
199780	200620	產品設計會
200620	202020	然後當天在那邊開會
202020	203480	啊就突然有一個空檔
203480	204780	就是大家都在各做各的事啊
204780	206360	其實不是一個空檔
206360	207380	大家突然岔了一句話說
207380	208220	欸誰誰誰
208220	209620	你頭髮顏色是不是換了
209620	210380	對啊
210380	211520	那個人差點就要回他
211520	211820	對
211820	213720	兩個人就要瞬秒下去了
213720	215180	被我斷然阻止
215180	216920	那個人是會議的主持人
216920	219360	他在準備他的PPT
219360	219980	然後你沒有感覺就
219980	221780	你閉嘴你怎麼不聽
221780	222520	對喔
222520	223080	他是說
223080	223560	差題網
223560	224900	不要再差題了
224900	225660	欸沒說這樣
225660	226660	浪費大家的時間
226660	227560	然後他之後就差題了啊
227560	228760	你都沒罵他
228760	229160	什麼
229160	230060	我之後就說
230060	231020	就是那個會議的主持人
231020	232020	他在吃口香糖
232020	232520	看他吃
232520	233160	然後我就說
233160	234600	我看你吃會好想吃喔這樣
234600	235460	然後他就分我兩顆
235460	235900	怎麼了
235900	238160	他那時候正在忙好不好
238160	239000	難道我就跟他聊說
239000	240220	喔你喜歡哪個口味的口香糖
240220	240620	這樣子嗎
240620	241100	不會啊
241100	241600	我也沒有
241600	242660	我只想知道一個答案而已
242660	244300	我知道現在是個嚴肅的開會的場合
244300	244720	對啊
244720	246020	我這樣跟他要口香糖
246020	246900	已經很不得體了
246900	248520	我覺得他心法是很好看啊
248520	250120	我想知道啊
250120	252220	我想知道有還是沒有啊
252220	253280	動不動有時候開不開會
253280	254080	開到一半就說
254080	255180	欸你有沒有看過我那什麼影片
255180	255880	喔對啊
255880	256380	常常
256380	256980	每次都會這樣
256980	258080	剛剛就是這樣
258080	260220	剛剛就是我那什麼影片
260220	261560	明明就在各滑各的手機
261560	262420	我們11點半就進來
262420	264080	現在1點半兩個小時
264080	264480	怎麼了
264480	265820	你中廊費了6個小時
265820	267560	只能說你們兩個
267560	269360	只能說你們兩個心智不堅啊
269360	272220	好然後在進入今天的這個主題之前
272220	274680	今天意外的有一個主題
274680	275620	進入今天的主題之前
275620	277080	想先講一些事情
277080	278880	首先我想先提出一個疑問
278880	280460	跟上一集有關係
280460	281560	現在那個啊
281560	282180	冰箱裡面
282180	285580	有一杯這個葡萄柚甘梅愛玉綠茶
285580	286580	是誰的
286580	287580	名字這麼長
287580	287980	對
287980	288780	是不是你老婆的
288780	289280	老婆的
289280	289880	是你老婆的嗎
289880	290180	對啊
290180	290880	對你看
290880	291480	沒有沒有沒有
291480	292180	他還在喝
292180	293080	我們都不演喔
293080	294420	沒有沒有他今天晚餐還有拿出來喝
294420	295420	還有拿出來喝
295420	296540	然後他喝到一半冰回去
296540	298520	我說你那一杯要喝多久
298520	299480	他說喝三天
299480	300340	還有一天
300340	301080	還有一天
301080	302680	對就是15號的時候買冰箱
302680	303080	對
303080	304320	我那時候就把冰箱打開
304320	305440	然後就看到這杯
305440	307380	想說這杯那我已經看了很多次了
307380	307920	才沒有
307920	309220	因為你一直開冰箱好不好
309220	310080	到底是誰的
310080	311040	我就看這個飆
311040	311620	開冰箱
311620	312380	對啊
312380	313280	想好再開
313280	314020	對啊
314020	315280	好確實
315280	316180	然後就看那個品名
316180	318520	哇葡萄柚甘梅愛玉綠茶
318520	319560	肯定是有一個翻老婆的
319560	319920	對
319920	320560	果然沒有錯
320560	322580	我們現在每一集的開頭前面
322580	326060	都要先列出冰箱裡面沉寂的廢物
326060	328180	清冰箱的主題嗎
328180	329380	清冰箱的主題嗎
329380	330520	也是可以
330520	331320	我看一下還有什麼
331320	332660	好
332660	333820	你剛剛是不是拿啤酒
333820	334520	對
334520	335920	那你有把子彈拿去丟掉嗎
335920	336980	還有一瓶
336980	337680	裡面還有一瓶是不是
337680	338380	裡面還有一瓶
338380	339320	好
339320	340380	好喔
340380	340880	我想說
340880	341580	你抓個
341580	343880	我們抓現行班
343880	346680	好我們今天的冰箱剪頭會先到這邊
346680	349480	以後是我們的開場主題嗎
349480	351280	我們冰箱小味冰
351280	351780	我覺得
351780	352620	有意義嗎
352620	353380	我覺得不錯
353380	354080	我覺得不錯
354080	356280	我覺得每個家庭都需要這個東西
356280	357240	大家應該開個會
357240	358120	然後整理一下
358120	359220	就是現在冰箱裡面的東西
359220	360540	到底哪一格是誰的
360540	361040	對
361040	362420	講哪些需要丟掉了
362420	363040	好
363040	364680	好我們現在可以來講今天的主題了
