start	end	text
0	8800	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8800	9840	我是翠翠
9840	11080	大家好 我是金星沙端
11080	12080	大家好 我是伊森凡
12080	14240	本集有預錄的廣告喔
14240	19880	本集節目由Planetour21長髮專用營養與咖啡因系列贊助播出
19880	23600	Planetour21系列呢 是專為年輕長髮女生設計
23600	26380	從德國進口 含有獨特咖啡因複合成分
26380	28140	可以深入髮根補充營養
28140	30820	滋養脆弱髮根 改善髮質毛躁
30820	33600	讓頭髮不只越留越長 也越來越健康喔
33600	37400	Planetour21營養與咖啡因頭皮護理精華露呢
37400	40000	是凝露質地 清爽好吸收
40000	43420	然後清甜的花香香味呢 打造少女氣息
43420	45060	而且外型非常的輕巧
45060	47980	在家裡或是攜帶外出使用呢 都非常方便喔
47980	51140	在德國一上市 就成為德國藥妝冠軍熱銷
51140	53900	只需要洗髮後 吹好頭髮就是造型之前
53900	56360	塗抹在你的頭皮上 不需要另外沖洗
56360	58120	就可以保養頭皮 維持健康
58140	59640	而且強韌的髮質
59640	62300	嘿 沒錯 我們的老客戶又回籠了
62300	63220	太喜歡我們了
63220	65180	那他們這次主要想要跟大家介紹的是
65180	69180	他們Planetour21營養與咖啡因的頭皮護理精華露
69180	72340	嘿 就是可以弄在頭皮上 讓你頭皮變健康的
72340	73440	喔 讓頭皮變健康
73440	74980	對 讓頭皮變健康
74980	77640	那因為其實他們第一次合作的時候 就已經寄給我了嘛
77640	80060	所以我用到現在 算是用了蠻久的
80060	81440	快一個月有喔
81440	83900	我真的覺得很清爽 大家不用擔心
83900	85900	那因為我其實自己本身就是屬於那種
85900	87260	我下班就蠻累的
87260	88100	然後現在因為我摸摸
88100	90860	要照顧嘛 所以我的生活節奏也是蠻快的
90860	93760	壓力很大 我覺得應該很多上班族女生也都是這樣
93760	96760	其實你的生活忙碌 都會反應在你的髮質上
96760	98600	那可能很多人像我一樣 為了方便
98600	100440	還有去染燙什麼的嘛 對不對
100440	102020	所以你頭髮就會更容易毛躁
102020	102520	確實
102520	105300	對 然後你只要一毛躁 你看起來就會整個人超邋遢的
105300	105720	沒有錯
105720	107340	對 看起來很累
107340	109340	你幹嘛看著我說沒有錯
109340	110400	我現在不會喔
110400	111100	啊 怎麼知道要找你
111100	113600	成天的髮質之前真的是爛到炸開
113600	116020	你以為你一直在馬桿上講啊
116020	117220	大家都知道我髮質爛到炸開
117220	118060	喔 也是
118060	120140	對 但是我現在髮質真的是還不錯
120140	122220	因為我覺得就是有意識到之後
122220	125220	我還蠻認真在保養我的頭皮跟頭髮的
125220	127900	那好 那就分享給各位女孩們
127900	129440	那詳細的商品資訊呢
129440	132680	還有他給我們的好味小姐蝦皮獨家優惠資訊
132680	134260	我們就會放在資訊欄裡面喔
134260	136760	那有興趣的人記得要點開來看看喔
136760	139560	好 現在的時間是晚上10點
139560	141820	好早喔
141820	143260	要把我鞭炮了欸
143260	145180	沒錯 我們特別喔 一吃完晚餐
145180	146300	所有人都不許去睡覺
146300	146760	沒錯
146760	147520	直接來錄
147520	148020	沒錯
148020	151360	因為我們想要調整那個雷夢的作息時間啊
151360	152180	對
152180	153780	他以前是大概
153780	156180	從一本大概晚上凌晨1點睡
156180	157440	1點半睡
157440	160140	這就慢慢變成2點 2點半睡
160140	161820	那如果有時候他真的很煩
161820	163820	等下就受不了 帶他一起來吃宵夜
163820	165780	那他就可能3、4點睡
165780	167360	超誇張 越來越晚
167360	168360	他後來繞一圈了
168360	169820	越想越覺得不對勁
169820	171940	因為他馬上如果明年順利的話
171940	173940	真的上幼稚園的話 真的沒辦法欸
173940	176360	對 我們花一整年的時間來調他的時差
176360	177480	作息
177480	178240	對 大概這樣
178240	179480	所以我們要努力的
179480	180980	提早我們工作的時間
180980	182900	對 然後看有沒有辦法
182900	184680	好 然後今天這一集呢
184680	186680	今天這一集是一個宣導
186680	188360	宣導
188360	190780	結果這一兩週啊 觀察到一個現象
190780	192560	就是大概這一兩個禮拜喔
192560	194780	低咖有超多我們的文章
194780	197240	就連我這個很少在看低咖的人
197240	198440	也不免的看到了
198440	199060	沒錯
199060	199360	對
199360	201640	就是呢 這些文章都是很喜歡我們的觀眾
201640	201940	對 對 對
201940	203940	然後就是希望更多人知道我們
203940	205480	然後也都是很正面的文章
205480	206680	但是真的多到就是
206680	207480	我也是很少會
207480	208780	點開低咖的人
208780	210480	最近點開之後都說
210480	211480	怎麼又好小寫文章
211480	212720	然後點開之後
212720	213400	怎麼又好小寫文章
213400	214680	有點恥恥了
214680	215780	然後我就
215780	218860	我沒有花錢去請人家每天來po文嗎
218860	220560	這是產生的自我懷疑
220560	221240	沒有啊
221240	222100	沒有
222100	223780	所以說這是大家自動自發的
223780	224600	對對對
224600	226320	我們也是很感謝
226320	228820	但是我要跟大家講一個這個
228820	229360	觀念
229360	230400	觀念
230400	233320	就是我們這個行銷推廣
233320	234600	是要有節奏
234600	237400	大師要來宣導了大家聽喔
237400	238160	要有節奏
238160	238600	對
238600	238820	好不好
238820	240060	你如果同一個時間內呢
240060	241240	曝光次數太多
241240	242100	太頻繁
242100	243020	會造成反效果
243020	243360	對
243360	244600	大家看了會覺得厭煩
244600	245740	然後會有點疲勞
245740	246560	對對對
246560	247700	然後我們這個
247700	249700	依現在的這個程度來說啊
249700	252520	我們今年度在低咖的這個曝光率
252520	254640	大概已經超過200%了
254640	256860	你可能都看過我們超過兩次
256860	258320	答標超過200%
258320	258740	對對對
258740	260560	他有要嘗試他已經會去嘗試了
260560	261160	對
261160	264100	所以說我覺得我們可以把這個能量存起來
264100	265060	明年
265060	265740	明年度
265740	267360	怎麼到下一個季度才有
267400	269200	明年四月的時候我們再相見
269200	270600	哈哈哈哈
270600	272640	然後因為有很多跟我們有關係的文章
272640	273100	對對對
273100	274060	都是喜歡我們的人嘛
274060	274440	嗯
274440	275700	但是有喜歡我們的人
275700	277200	自然而然會有討厭我們的人
277200	277700	對
277700	280020	所以就是很多文章下面都會開始有點
280020	281200	小小的爭吵
281200	282020	在吵架這樣子
282020	282740	對對對
282740	284160	喔每次我就是看到人
284160	286360	因為我們關係在吵架我都會覺得
286360	287560	我會覺得很不好意思
287560	288440	嘿 抱歉
288440	289640	欸對對對很抱歉
289640	290020	嗯嗯
290020	292440	因為我們的這個頻道什麼所有的內容
292440	292900	對
292900	295520	都會喜歡給人家一種開心療癒
295520	297360	然後很chill很舒服的感覺
297400	298560	渡眠的這個感覺
298560	299060	渡眠
299060	300600	那你如果跟人家吵架的話
300600	300860	對
300860	301860	會氣到睡不著
301860	302360	對
