start	end	text
0	8780	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8780	9700	我是翠翠
9700	10920	大家好 我今天是阿端
10920	11780	大家好 我是尼森凡
11780	13820	好 本集有預錄的廣告喔
13820	19560	本集節目由企鵝氏冰河糖蛋白吸油水感凝凍贊助播出
19560	23960	冰河糖蛋白吸油水感凝凍是最會陪你玩的吸油凝凍
23960	26000	專櫃唯一會吸油的凝凍喔
26000	30240	24小時保濕控油光 內含冰河糖蛋白保濕成分
30240	34140	能夠瞬間為肌膚大量補充水分跟鎖住水分
34140	39040	全新微分子胺基酸成分能夠有效的控油並且緊縮你的毛孔
39040	43620	完全不致粉刺 全天清爽不見油光 讓你保濕清爽一整天
43620	46800	那一瓶可以多用 你可以每天早晚使用
46800	49260	然後或是當作妝前打底的保濕
49260	53680	那也可以厚敷當晚按面膜使用 不含酒精香精防腐劑
53680	55980	所以使用起來就不會給肌膚帶來各種的腐敗
56000	57900	敏感肌也可以使用喔
57900	61560	那現在就是天氣越來越熱 馬上就接近夏天了嘛
61560	64080	所以通勤上班啊 或是你平常出個門
64080	66440	就很容易會被熱到出汗或是出油
66440	69780	那一出油就是你早上辛苦化的妝就會花掉
69780	71280	而且你看起來會變得很邋遢
71280	74100	那我自己就是一個一出門 我只要流汗
74100	76400	我就必須要趕快找個地方洗臉的人
76400	79080	但有時候如果你有帶妝的話 就會變得很麻煩
79080	82200	所以我覺得可以控油的保養品還蠻方便的
82200	85460	那這是企鵝氏的冰河糖蛋白吸油水感凝凍呢
85460	86680	我自己現在也有在擦
86680	89960	那我自己覺得擦起來的第一個感覺是延展性很好
89960	91500	就很容易就可以抹開了
91500	93140	然後再來就是你擦完啊
93140	95660	不會有種臉上好像有薄薄的膜的感覺
95660	97680	就是它吸收度蠻好蠻快的
97680	99400	就是皮膚會覺得很清爽
99400	102740	那控油度這方面呢 我有在家裡就是實驗了一下
102740	104400	就是沒有開冷氣到就擦
104400	106780	大概一個七八個小時一整天
106780	109080	我覺得還算蠻有感的 沒有什麼出油感
109080	111160	然後我覺得控油力也還算不錯
111160	112860	然後保濕力也還不錯喔
112860	114620	那另外就是組合中呢
114620	115440	就是精長化化的冰河糖蛋白吸油力
115460	117600	那精長化化妝水啊 是我自己也用蠻多年的東西
117600	119900	然後擦起來感覺很溫和 也不會長粉刺
119900	121420	企鵝氏想要我們提醒大家
121420	123300	也很適合接下來要到了夏天喔
123300	125340	那現在企鵝氏呢 有位聽眾們
125340	128160	特別組了一個好味限定組合
128160	129620	那組合呢 還有送
129620	131720	玩咖沁涼不嗅乾冰塊
131720	134360	讓你的飲品也可以沁涼不退冰
134360	135420	不會越喝越淡
135420	138180	那精長化化妝水搭配吸油凝凍呢
138180	140660	肯定是接下來炎炎夏日的保養救星
140660	141940	限量只有200組
141940	143600	大家要錢要快唷
143600	144620	好 現在時間
144620	146620	這個禮拜二
146620	150540	6月7號晚上12點36分
150540	152100	雖然我們比較晚入
152100	154220	但是雷夢已經在睡覺了
154220	156380	而且甚至他不是已經在睡覺
156380	158940	他已經睡一陣子又醒過來了
158940	161900	然後又睡著了
161900	163020	所以我們真的很努力
163020	165340	有在調整他的作息啦
165340	167180	因為我們要跟他一起睡太難了
167180	169180	想辦法讓他先睡
169180	170580	所以我們現在的戰術
170580	173220	然後剛剛雷夢睡一睡之後爬起來
173220	174580	然後就是開始哭嘛
174580	177660	所以我們就趕快請又偉凡他老婆去支援
177660	179380	對 稍微陪他躺一下
179380	182220	陳村就偷偷的用那個攝影機在聽他們的對話
182220	183660	對 這樣可以的
183660	184740	我沒有想要聽他的對話
184740	187460	我只是想確認一下那個乾媽是不是已經抵達
187460	188740	對 確認一下
188740	190500	然後雷夢再問他乾媽說
190500	191700	為什麼我現在要睡覺
191700	193780	對 好哲學喔
193780	195620	他說為什麼我要睡覺
195620	197420	乾媽就說現在時間已經是睡覺了
197420	199100	他說因為天黑黑的啊
199100	200500	天亮了才要睡醒啊
200500	202420	現在天黑黑要睡覺啊
202420	204420	對 然後雷夢就接著問說
204580	207100	天黑黑要睡覺那我為什麼要睡覺
207100	208780	他還揪著這個問題不放
208780	210780	然後他乾媽就回他說
210780	213580	因為睡覺完之後你才會長高高啊
213580	214700	喔 沒道理
214700	215980	你才會長大啊
215980	217500	還會變漂亮喔
217500	218700	然後他就說
218700	220700	那我為什麼要起來
220700	222180	有道理
222180	223380	既然不一定要起來
223380	224100	看要不要上班
224100	224940	好成熟喔
224940	227140	他突然問他說那我為什麼要起床欸
227140	228580	睡覺竟然有這麼多好處
228580	229700	我何必起床呢
229700	232820	對 然後我看那個監視器
232820	234020	他就被他乾媽說服了
234020	234380	他又倒回去睡了
234380	234540	對 然後我看那個監視器他就被他乾媽說服了
234580	235340	他又倒回去睡了
235340	235820	哎呀
235820	237220	超級有趣的
237220	238340	幹嘛起床呢
238340	239060	對啊 為什麼要起床
239060	240220	躺著多好
240220	242140	生活手破了
242140	244940	先跟大家分享我們上禮拜發生一些事情
244940	246220	小事情
246220	247580	首先第一件事情
247580	248860	就是隨著這個
248860	249660	天氣越來越熱
249660	250100	對
250100	251020	然後開始下雨啊
251020	251860	什麼等等之類的
251860	253020	空氣慢慢變得超濕
253020	254620	午後雷陣雨什麼的
254620	256900	我們家出現了超級多的果蠅
256900	258420	真的超級煩欸
258420	259220	超煩
259220	260660	隨處可見欸
260660	261500	對 但是
261500	262900	現在很麻煩的是說
262900	264380	通常你家裡出現果蠅
264380	265420	你想像中就是說
265420	266260	你是不是
266260	267860	比如說垃圾放太久沒有清
267860	268300	對
268300	270020	還是什麼收水放在外面
270020	270460	之類的
270460	272460	還是你有什麼水果放在外面放到爛掉
272460	274260	果皮忘記丟掉之類的
274260	275220	長果蠅出來
275220	275980	嘿嘿嘿
275980	277340	但我們都不是這樣
277340	279140	我們家現在非常的整潔
279140	279540	對啊
279540	280060	非常乾淨
280060	280980	垃圾天天到
280980	281540	對啊
281540	283180	為什麼還是現在一堆果蠅呢
283180	283900	為什麼
283900	286740	因為我們是在一個田中間的這個環境
286740	287820	對
287820	289180	四周都是腐爛的水果
289180	290180	對
290180	291820	很多掉在地上的水果
291820	294180	我們這邊會產生純天然的果蠅
294180	295780	喔
295780	296740	真的是
296740	298820	純天然的果樹掉下來的果實
298820	299100	對
299100	299660	在地上
299660	300340	超多
300340	302340	然後之前前幾天不是在下大雨
302340	304340	就超多果實掉到地上之後
304340	305820	被大雨打濕打爛
305820	307420	對 然後你天氣一回暖
307420	308340	太陽一出來
308340	309460	馬上全部孵出來了
309460	310380	那個香啊
310380	311260	噴噴噴
311260	312900	不是果蠅跑進我們家
312900	314500	是我們住在果蠅的家裡
314500	315100	對 差不多這樣
315100	316740	你也可以答應這個邏輯
316740	318020	這是一件很討厭的事情
318020	318620	沒錯
318620	319460	純粹抱怨而已
319460	320900	然後第二件事情
320900	322140	抱怨你的鄰居
322140	324020	第二件事情是今天下午的時候
324020	325140	就是我爸上班回來
325140	325500	對
325500	327060	他今天來找雷夢玩
327060	327420	然後呢
327420	329860	就是從我們門口經過
329860	330700	然後我剛好要出去
330700	331700	不知道要幹什麼東西
331700	332940	丟垃圾吧
332940	334580	然後我爸突然看我
334580	335180	一眼
335180	335780	然後呢
