start	end	text
0	9620	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9620	11580	大家好 我今天是阿端 大家好 我是尼瑟芬
11580	15500	本集節目由安心居室內設計團隊贊助播出
15500	18780	大家問了很久 這是我們的新廚房
18780	20980	對 我們這次要來跟大家介紹一下
20980	23820	就是我們常會在檸檬市場裡面看到那個新廚房
23820	27820	就是我們這次找的是安心居室內設計團隊幫我們做的
27820	30420	對 其實我們的廚房要求蠻多的耶
30420	32740	因為我們家很多人都會用到那個廚房
32740	34940	就是小夥伴們會在那邊吃飯嘛
34940	38420	然後我們自己也會在那邊吃飯啊 煮飯什麼的
38420	40340	所以我覺得我們的要求很多
40340	42500	然後又有很多地方都需要兼顧
42500	44320	我們現在甚至在那邊開會
44320	47880	對 因為廚房重新裝潢之後是全家最舒服的地方
47880	48980	所以現在在那邊開會
48980	50500	有一個很大的桌子
50500	55360	對 然後我覺得我們的要求應該算是蠻燒設計師的腦的
55360	57800	但是我覺得整個團隊就是整個過程中
57820	60420	我覺得都還蠻令人感到安心的
60420	63300	就是你會覺得他好像都會有幫你想到
63300	65620	然後你沒有想到的地方他也會想到
65620	66920	持續跟你討論
66920	69420	而且一直都用圖面說話
69420	71220	就是很好理解
71220	73620	然後像我們的要求一堆
73620	76220	比如說你不是說要有一大堆的櫃子
76220	78620	不希望桌上有很多東西會被看到
78620	80420	所以我們要有爆量的收納空間
80420	82420	然後還有像我們平常煮飯
82420	83820	其實我們是兩個人一起煮飯
83820	87020	所以我們需要超多備料空間
87020	87820	很常很常的
87820	88420	走廊
88420	90920	對 所以還有中島什麼的
90920	94320	然後這整個過程我覺得應該算是很順暢吧
94320	96520	就是整體感受讓我們覺得很舒服
96520	99920	然後除了我們那個廚房這次是找安心居之外
99920	103120	然後我們的那個食人用大餐桌
103120	104720	就是我們的老朋友
104720	106420	我們這次找的還是制裁所
106420	108320	幫我們做的那個大桌子
108320	109320	是原木的
109320	111220	然後整個木塊非常美
111220	113120	他幫我們挑了一塊超漂亮的木頭
113120	113720	沒錯
113720	115720	對 然後我們現在就是在那邊吃飯跟開會
115720	117620	所以大家應該在影片裡面會一直有看到
117820	121020	那這次制裁所也想順便請我們幫忙宣傳一下
121020	124620	就是他們在台中市的南屯區有新的門市開幕
124620	126020	然後他們整個室內空間
126020	129420	也是委託安心居去做室內規劃
129420	132620	所以大家如果對安心居室內設計有興趣
132620	134620	或是對制裁所的家具有興趣的話
134620	138820	也都可以到他們台中南屯區的新門市去參觀一下
138820	142220	詳細的資訊跟連結我們就會放在資訊欄裡面
142220	144520	如果有設計需求的人記得要點開來看看
144520	147020	好 現在直接在6月21日
147820	150220	凌晨2點35分
150220	151620	今天一個略晚略晚
151620	152620	爆炸完
152620	155120	因為我最近這幾天真的是被
155120	157020	若凡搞出了一個神鬼座席來
157020	158620	說什麼事
158620	159520	說什麼事
159520	160720	我覺得是
160720	161820	真的就是啊
161820	163420	跟大家講這個週末若凡在幹嘛
163420	165020	他真的發神經
165020	167920	首先我這有很長的一段前情題
167920	170120	首先若凡在最近這一兩個月以來
170120	172220	他感覺心態上有些轉變
172220	173920	他在嘗試做一些
173920	175920	以前沒做過的事
175920	177420	培養一些新的興趣
177820	180020	他之前那個做麵這兩件事情
180020	181420	有讓大家就是稱讚他
181420	182820	好像得到了一些鼓舞
182820	183320	這樣子喔
183320	184020	我覺得是這樣
184020	185420	他開始有點得意了
185420	186620	沒有
186620	188620	所以就是想嘗試做不一樣的事情
188620	189120	對對
189120	191220	原本他是一個做什麼事都提不起勁
191220	191620	對
191620	193420	很無聊像石塊一樣的人
193420	195620	但是現在開始要
195620	198020	重拾一些對生活對生命的一些熱情
198020	199020	對生命的熱情
199020	199820	對對對
199820	201120	然後上個禮拜六
201120	203020	反倒好像中暑是不是
203020	204220	不太舒服
204220	205220	然後睡了一整天
205220	207020	出去回來就說他不舒服
207020	207820	然後睡了一整天
207820	209420	正義上的睡一整天
209420	210420	就是一整天都看不到人
210420	210820	對
210820	212220	那天是要下午起來
212220	213820	然後我太太就跟我說
213820	215820	要去要回娘家一趟
215820	218020	然後他媽煮了牛肉麵給他吃這樣子
218020	219420	那我去吃完牛肉麵就覺得
219420	220020	好不舒服
220020	221220	好像很想吐
221220	222420	你是不是在暗縫
222420	224820	然後我就去小客廳
224820	227220	去他們家那個副客廳那邊躺
227220	229020	他們一家在那個飯廳聊天
229020	229820	副客廳躺
229820	231020	躺到離開為止
231020	232020	好大喔
232020	232620	他現在
232620	233620	我是真的不舒服
233620	235020	穿夾腳拖去跟人家吃飯
235020	236020	人家女婿
236020	237020	然後大家在吃飯就去旁邊躺
237020	237820	燈門做客人
237820	238620	我是真的不舒服
238620	239420	他就跟他爸一樣
239420	241420	對你這是你爸的兒子欸
241420	243220	回娘家那邊看小說
243220	244420	好猛喔
244420	245820	我是真的不舒服
245820	248820	平常我是會在那邊跟大家搞鬼的
248820	250220	這次就老子不要
250220	251620	沒有真的不舒服
251620	252820	我跟你講有了第一次之後
252820	254020	他以後都去那邊躺
254020	254620	我要說我
254620	256620	他就放一張躺椅在他們家
256620	258420	我是要強調說我真的很不舒服
258420	260020	上面還貼名字
260020	261820	郭老師
264020	265220	好啦好不舒服啦
265220	266420	躺了一天回來之後
266420	267220	還是覺得不舒服
267220	267820	晚餐也沒事
267820	269420	就繼續躺
269420	270420	然後禮拜六一天呢
270420	273220	我都是過一個比較略為正常的生活
273220	275620	對還有他跟孟某一起踢球還是什麼的
275620	276820	一直到禮拜天的凌晨
276820	278020	大概一點左右的時候
278020	279220	我們已經餵貓都餵完了
279220	280420	什麼事都做完了
280420	281620	準備要睡覺了
281620	283620	那陳春春就去哄檸檬睡覺了嘛
283620	285420	我就在那個我們辦公室
285420	286820	我的電腦前面
286820	288020	我就看YouTube
288020	289420	就是一個休閒
289420	291220	我就隨便晃晃看看這樣子
291220	292420	準備要睡覺
292420	294020	這次我有反而突然出現
294020	295220	他睡飽了
295220	295820	你現在才
295820	296620	那時候才起床
296620	297420	他睡一整天
297420	298620	我一整天都沒有看到他人
298620	299820	我根本不知道他什麼時候起床
299820	301820	他凌晨的時候起床
301820	303420	就打開辦公室門進來
303420	304220	一副精神好樣子
304220	305020	因為他剛剛睡醒嘛
305020	306020	神清氣爽
306020	306620	對
306620	307320	然後呢
307320	308220	他就找了一個
308220	310220	隨便一個我們員工的桌子
310220	312620	拿了一個鍵盤放下來
312620	314820	是他老婆的鍵盤
314820	316420	他以前送他老婆一個
316420	318020	就是機械式鍵盤啦
318020	320220	也是就是有打字的聲音的那種鍵盤
320220	321020	一個禮物啦
321020	321820	什麼什麼禮物啊
321820	322620	什麼時候的禮物啊
322620	323320	生日禮物吧
323320	324020	生日禮物
324020	324620	之類的
324620	327020	然後那個鍵盤超級吵
327020	327420	超級吵
327420	328920	他就是會ㄎㄧㄤㄎㄧㄤㄎㄧㄤ
328920	330020	現在我們辦公室是
330020	331320	大家都在辦公室裡面
331320	331720	對
331720	334220	然後尤偉凡他老婆跟陳春安
334220	336720	他們兩個是一個獨立的辦公區域
336720	338620	在我們的客廳
338620	340220	其中把他們移出來的這個主因
340220	342420	除了他們的作息跟別人不一樣以外
342420	344620	就是他們兩個鍵盤都很吵
344620	345120	不是
345120	347420	我們是特地來陪貓的好不好
347420	348420	吵鍵盤區
348420	349120	對吵鍵盤區
349120	350920	完全就是會影響大家的工作
350920	352120	就是我們會按Enter的時候
352120	353520	大家都會脖子瘦一下
353520	354420	ㄎㄧㄤㄎㄧㄤㄎㄧㄤㄎㄧㄤ
354420	355820	然後每個人都要戴耳機
355820	359020	戴到就是耳朵長床這樣
359020	361220	所以說他有一個很吵的鍵盤
361220	362320	他就拿那個鍵盤進來
362320	363820	然後我就覺得很奇怪
363820	365720	然後他就開始拆那個鍵盤
365720	366320	幹嘛
366320	366920	我就去問他
366920	368820	問說尤偉凡那個鍵盤怎麼樣
368820	369720	他說他老婆說
369720	371820	拿一個好像Control鍵什麼東西的
371820	372920	Command鍵卡住了
372920	374920	他有說他不管點什麼東西
374920	376420	他都會開一個新分頁
376420	376920	對
376920	378120	他以為是電腦的問題
378120	380220	就是因為他Command鍵一直都會卡鍵中
380220	382220	我為了這個還把他那個
382220	384320	瀏覽器的快取全部刪掉
384320	384420	對
384420	385620	然後忘記了他的密碼
385620	386420	剛剛給我生氣
389420	389920	討厭
389920	390420	有
390420	391420	每次都會這樣
391420	391920	對
391920	393420	就在那邊砸東西
393420	394420	反正就是砸爛之後
394420	395720	反而是Command鍵卡住
395720	397420	壞掉
397420	398920	然後因為反正這時候他這個
398920	400220	精神又好
400220	401820	他的那個熱情就被燃起來了
401820	402720	興致勃勃
402720	403220	對
403220	404520	他那種機械式的鍵盤
404520	406620	以前我們那種便宜鍵盤兩三百塊
406620	408820	他就是下面一塊那個電路板
408820	410020	電路板上面可能就有很多
410020	411020	一個矽膠墊
411020	412720	那個是叫薄膜鍵盤
412720	413720	但他那個比較貴的
413720	414320	機械式鍵盤
414320	417220	他是每個鍵都有自己獨立的一個
417220	418120	機構
418120	419120	一顆
419120	420620	那東西可以換的你知道嗎
420620	422220	他壞掉可以當個拔起來
422220	422420	對
422420	423520	他一個一個可以分開
423520	424120	那不錯
424120	426620	有很多不同的高低階的那個
426620	427020	那叫什麼
427020	427720	軸體
427720	428820	軸體
428820	429920	不同顏色來區分
429920	430920	有的叫輕軸
430920	432220	有的叫中軸
432220	433520	好複雜
433520	436620	那就把Command鍵拔起來換掉就好了
436620	438520	真的很貴的這種鍵盤
438520	439920	他是熱軸
439920	440520	就像你說的
440520	441720	我可以把這顆拔掉
441720	442420	獨立換
442420	443120	換一顆
443120	444220	但是因為反正他買給他老婆
444220	446320	那個沒有那麼貴
446320	447520	他雖然是一顆一顆獨立
447520	448020	但他是
448020	448620	旱死的
448620	449120	旱死的
449120	449920	OK
449920	450320	對
450320	450720	然後呢
450720	452020	我們不是一直在嫌他鍵盤吵
452020	452720	對啊
452720	453520	因為反正就想說
453520	456920	他來幫他老婆的鍵盤做一個升級
456920	459520	他本來只是想修一個Command鍵而已
459520	461220	我既然我都要拆了
461220	462620	他可以把它變成步槽嗎
462620	464020	我那時候也是很興奮的說
464020	466020	哇你要把這鍵盤變成靜音的嗎
466020	467620	因為他原本那個鍵盤
467620	468820	打的時候是會
468820	470120	卡卡卡卡卡卡卡卡
470120	472820	比我的一台還要再大聲
472820	473520	他說
473520	474020	他沒有辦法
474020	475120	讓他變得不吵
475120	478120	但他可以讓他這個聲音變得更純粹
478120	479020	比較溫和一點
479020	480320	把雜音消掉
480320	483120	就是你以為他那個按鍵聲音
483120	484120	整個都是雜音
484120	485020	不
485020	486120	他有一些是按鍵
