start	end	text
0	5000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5000	6000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6000	8000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8000	9000	我是翠翠
9000	10000	大家好 我是阿段
10000	11000	大家好 我是阿段
11000	12000	大家好 我是聖神凡
12000	14000	本集沒有預錄的廣告喔
14000	15000	喔喔喔
16000	17000	就我們今天這個檔期耶
17000	18000	6月最後一週
18000	20000	在大概半年前
20000	21000	對
21000	22000	就被我們自己定下來
22000	23000	沒錯
23000	24000	想必我們原本在此時此刻
24000	26000	應該有一個主力商品正要推出
26000	27000	對
27000	29000	或是有什麼重要事情要跟大家分享
29000	30000	沒錯
30000	31000	半年前就把預定下來
31000	32000	嗯
32000	33000	然後大概一兩個禮拜以前吧
33000	34000	嘿
34000	36000	我們在審視我們接下來的檔期排程之後
36000	37000	對
37000	38000	他說 喔 這個我們半年前有定下來
38000	39000	對
39000	40000	我們是要講什麼
40000	41000	環顧四周發現
41000	42000	嗯
42000	43000	好像沒有
43000	44000	好像沒有什麼特別要講的
44000	46000	計畫感我上變化
46000	47000	沒錯
47000	49000	所以直接從一個大檔期
49000	50000	變成一個空窗期
51000	52000	所以一兩個禮拜之前
52000	53000	嗯哼
53000	54000	發現這個問題之後
54000	55000	我們想說
55000	56000	我不然我們隨便塞個什麼東西進來
56000	57000	對
57000	58000	我們想說
58000	59000	我們那個
59000	60000	腦波絡
60000	61000	嗯哼
61000	62000	也開一個IG
62000	63000	對
63000	64000	想說因為腦波絡上
64000	65000	我們買了很多東西嘛
65000	66000	對對對
66000	67000	很多東西可能你
67000	68000	拍片的當下用了
68000	69000	有什麼感覺
69000	70000	但是過一陣子
70000	71000	又有新的想法
71000	72000	沒錯沒錯
72000	73000	沒有地方跟大家分享
73000	74000	對
74000	75000	所以我們就想
75000	76000	幫腦波絡也開個IG
76000	77000	對
77000	78000	想說啊不然我們今天就來宣傳說
78000	79000	喔
79000	80000	我們幫腦波絡開個IG
80000	81000	大家趕快去訂閱追蹤起來這樣子
81000	82000	之類的
82000	83000	嘿
83000	84000	結果我們也沒有開那個IG
84000	85000	哈哈哈哈
85000	86000	找什麼東西啊
86000	87000	too busy
87000	88000	太忙了
88000	89000	太忙了
89000	90000	欸真的是計畫怎麼上變化
90000	91000	因為我媽上禮拜四
91000	92000	突然
92000	93000	突然宣布
93000	94000	一個旅行
94000	95000	她要跟我姑姑一起去那個
95000	96000	馬祖玩
96000	97000	嘿
97000	98000	沒錯
98000	99000	然後他們這個旅行也是充滿變化啦
99000	100000	是嗎
100000	101000	因為我姑姑在揪的時候
101000	102000	是揪我爸跟我媽一起去
102000	103000	喔
103000	104000	對對對
104000	105000	所以因為
105000	106000	三個人嘛
106000	108000	三個人就是通常房間都是兩個雙人房
108000	109000	對對對
109000	111000	所以我姑姑還找了她的另外一個朋友
111000	112000	一起去就對了
112000	113000	就四個人一起去
113000	114000	ok
114000	115000	那我媽說整個討論要去旅遊的過程
115000	116000	對
116000	117000	我爸都積極參與
117000	118000	爸有參與
118000	119000	我爸有參與
119000	120000	因為我
120000	121000	對
121000	122000	然後他就說
122000	123000	馬祖要去哪裡啊
123000	124000	要吃什麼東西啊
124000	125000	對對對
125000	126000	什麼之類
126000	127000	我爸好像性質很高昂這樣子
127000	128000	感覺好像知道很多東西的感覺
128000	129000	結果真的要
129000	130000	那個旅行社要下訂的時候
130000	131000	對
131000	132000	然後我爸就說
132000	133000	嗯他沒有要去啊
133000	134000	然後大家就傻了
134000	135000	那前面是怎樣
135000	136000	大家傻
136000	137000	對
137000	138000	大家就說
138000	139000	啊你之前不是說要去嗎
139000	140000	嗯
140000	141000	所以那個姑姑才又特別湊了一個人幹嘛
141000	142000	對啊
142000	143000	這樣才四個人剛剛好兩間啊
143000	144000	對性質薄薄的樣子
144000	145000	我爸說他年輕的時候在那邊當兵
145000	146000	嗯
146000	147000	在他媽祖的一個那個
147000	148000	小裡的外面當兵
148000	149000	嗯
149000	150000	你們父子倆都是一模一樣
150000	151000	對
151000	152000	他只是分享他的經驗
152000	153000	哦
153000	154000	因為他跟那邊很熟
154000	155000	他就跟你說你可以去哪裡看
155000	156000	哪裡看這樣
156000	157000	對對對
157000	158000	他說他每天在那邊日升日落
158000	159000	他一點
159000	160000	一點
160000	161000	一點念想都沒有
161000	162000	他根本就不想要回去
162000	163000	聊聊而已
163000	164000	他沒有要去
164000	165000	蛤
165000	166000	對所以最後就是我媽
166000	167000	我姑姑跟她的朋友
167000	168000	不然還是三個人去
168000	169000	是不是還是三個人去
169000	170000	對
170000	171000	然後這個週末啊
171000	172000	嗯
172000	173000	就是我覺得過了一個特別
173000	174000	沮喪的一個週末
174000	175000	怎麼會
175000	176000	某某都在旁邊那麼可愛
176000	177000	確實
177000	178000	我的沮喪跟連某還有一點關係
178000	179000	呵呵
179000	180000	怎麼會
180000	181000	是這樣喔
181000	182000	這個禮拜六
182000	183000	嗯
183000	184000	應該是你跟連某睡
184000	185000	欸應該是
185000	186000	然後我早上蠻早起的
186000	188000	我應該差不多十點就起來
188000	189000	我現在作息有點奇怪
189000	190000	我現在好
190000	191000	已經穩定的
191000	192000	嗯
192000	193000	白天睡眠八小時
193000	194000	切成四個小時
194000	195000	四個小時
195000	196000	莫名其妙
196000	197000	很神奇喔
197000	198000	我現在大概下午
198000	200000	可能這是平日跟大家開個會幹嘛
200000	201000	對
201000	203000	開完會之後大概五六點
203000	204000	吃晚餐之前
204000	205000	對
