start	end	text
0	8880	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8880	9560	我是翠翠
9560	10480	大家好 我是翠翠
10480	11720	大家好 我是聖神凡
11720	16500	本集節目由營養師品宣 好好喝水果乾水組合贊助播出
16500	16820	沒錯
16820	18740	沒錯 就是我們的營養師品宣
18740	22220	最近推出了一個組合叫做好好喝水果乾水組合
22220	25820	從字面上就可以看得出來就是要希望大家可以喝水喝多多嘛
25820	28840	那它這個裡面的組合呢就是會有好好果乾水一盒
28840	31120	那這個口味呢是很貼心可以任選
31120	33200	就還包含綜合的口味都可以選
33200	36520	然後再來呢還會有一個超精美水瓶一個
36520	39160	我覺得這個水瓶真的是無敵實用的
39160	40860	而且我們還有附一個水瓶套給大家
40860	43020	所以你要外帶出去的時候也很方便
43020	46400	然後再來一個我覺得也很貼心的部分是我們是寬口設計
46400	46760	沒錯
46760	49980	所以大家可以很輕鬆的就把果乾水丟進瓶子裡面
49980	51000	放冰塊也很方便
51000	51480	沒錯
51480	52760	放冰塊也很方便 對
52760	54760	自從我拿到這個水瓶的樣品之後
54760	56760	這水瓶已經完全融入我的生活之中
56760	58160	對 倒數袋耶
58160	58820	對 就是以前
58820	61900	我也買過那種很多很漂亮的那種玻璃瓶
61900	63500	果乾水瓶然後是窄口的
63500	63900	對
63900	65700	就是你還要把那個果乾就是剪一剪
65700	66700	摺啊或什麼的
66700	68100	摺一摺然後丟進去
68100	70460	然後泡完之後又取不出來
70460	72060	就是那個使用體驗很痛苦
72060	72460	對
72460	74580	所以我們這水瓶當初在設計的時候
74580	76100	就是我們一定要做寬口
76100	76860	超級大
76860	78420	你什麼都丟進去
78420	79540	可以直接倒出來
79540	79940	對
79940	81380	然後後來我現在在用的時候
81380	82580	我就丟那個果乾進去嘛
82580	82940	對
82940	84180	再來我會加氣泡水
84180	84580	對
84580	85540	然後加冰塊
85540	85980	對
85980	86820	我當時發現說
86820	88380	喔它竟然還丟得進冰塊的時候
88820	89700	我超感動
89700	91180	冰箱那個小鏟子那個口
91180	91780	剛剛好
91780	92340	剛剛好
92340	93020	我超感動
93020	94460	反正它現在已經融入我的生活
94460	94820	嘿
94820	96860	就我已經就是沒有它不行了
96860	98820	對 我覺得就是當是一夠方便
98820	99900	夠貼心的時候
99900	101860	真的會增加使用它的意願
101860	102460	沒錯
102460	103820	然後我們這水瓶還有一個特點
103820	104380	嗯哼
104380	105140	就是很酥
105140	105660	喔對
105660	106420	很酥
106420	107580	酥到看不出來是誰的
107580	109340	我很痛恨就是大家在賣那個水瓶
109340	111060	不管是玻璃瓶還是各種瓶
111060	111980	塑膠的都可以
111980	113300	為什麼上面一定要印一些什麼
113300	114500	心情小語 很棒啊
114500	115060	什麼
115060	115820	心情小語
115820	117100	Good day啊什麼的
117100	117620	Good day
117620	118780	好愛印Good day
118820	119180	對
119180	120580	對我來說那些都就是
120580	121580	正能量太滿了
121580	122620	哈哈哈
122620	123740	對我承受不住
123740	124220	有點害羞
124220	125220	感覺容量會變少
125220	126420	欸狀態都正能量
126420	127100	哈哈哈
127100	128300	我們很素
128300	128980	很素
128980	131220	上面就只有那個超級細的線條
131220	132820	標示那個水的刻度而已
132820	133100	沒錯
133100	133580	就這樣
133580	135500	所以你就可以看到果乾在裡面
135500	136580	飄動的樣子
136580	138060	欸都沒有任何的干擾
138060	138420	沒錯
138420	139580	對非常棒
139580	141780	好那關於這個組合的詳細資料呢
141780	143340	我們就會放在資訊欄裡面
143340	144580	大家記得有興趣的話
144580	145860	一定要點開來看看喔
145860	148780	好現在的時間是7月4號
148780	151500	晚上8點06分
151500	152140	8點
152140	152940	超級早
152940	153740	7G
153740	154340	7G
154340	156940	我特別要求我一定要就是在
156940	157900	6點的時候錄
157900	159220	對6點的時候錄
159220	159740	對
159740	160740	為什麼這麼早呢
160740	161140	嗯
161140	162460	我之前不是提過說我的作息
162460	163820	最近就是亂的亂七八糟
163820	164940	睡兩段覺
164940	165340	嘿
165340	166340	然後加上上個禮拜
166340	167580	我們有一個合作的企劃
167580	169300	是要去那個屏東海生館
169300	169700	對
169700	170820	三天兩夜這樣子
170820	170940	對對對
170940	172660	的一個很長的行程這樣
172660	173700	非常的
173700	175020	非常的精實
175020	175620	非常的精實
175620	176140	精實
176140	176980	所以說
176980	178540	就是突然的那個作息
178540	178780	被我叫出來
178780	179660	然後一攪和之後
179660	180420	嗯
180420	181420	就突然調回來
181420	183100	像今天我大概早上9點
183100	183460	嗯
183460	184100	我就是
184100	185300	眼睛自然就睜開
185300	186900	就在上班時間
186900	188020	標準上班時間
188020	188900	就直接醒來
188900	190700	我現在感覺有點像是好像
190700	191980	就比如說我在滷一鍋豬肉
191980	192420	嗯
192420	192660	有沒有
192660	193060	然後我要
193060	193780	滷一鍋豬肉
193780	194460	對我要滷一鍋豬肉
194460	195540	我現在完全沒辦法想像
195540	196140	他要講什麼
196140	196980	是什麼意思
196980	197700	我在滷一鍋豬肉
197700	198100	嗯
198100	198860	我要加鹽
198860	199220	嗯
199220	200220	然後我要調他的鹹度
200220	201140	我要加鹽
201140	202100	然後我從我櫃子裡面
202100	203340	把我的煙荷拿出來
203340	203860	對
203860	204940	拿到空中的時候
204940	205540	是
205540	207180	手把他直接斷掉
208780	209780	炸到那個鍋子
209780	210060	對
210060	210980	然後就炸開來
210980	212220	然後整個鹽就灑在整個廚房
212220	212860	到處都是
212860	213340	是
213340	213700	對
213700	214660	一片狼藉
214660	215180	嗯
215180	216100	最後那鍋滷肉
216100	217500	我就試一下他的口味
217500	217860	嗯
217860	218900	發現鹹度剛好
218900	219660	就是這個感覺
219660	221100	什麼
221100	223100	就是一個很驚喜驚訝的感覺
223100	224260	就是那個作息亂到
224260	225340	完全失去控制
225340	225780	嗯
225780	227340	然後到最後自己就
227340	228420	找回一個平衡
228420	228980	啊
228980	230340	就像宇宙誕生一樣的感覺
230340	231100	是
231100	232340	好的
232340	233620	他用一鍋滷肉
233620	235140	滿地裡的八號不管
235140	235900	對
