start	end	text
0	14540	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
14540	15420	我是翠翠
15420	17140	大家好 我是錦杰斯阿段
17140	18500	大家好 我是攝影師的帆
18500	23440	已經有人在跟我們說 你們已經掉到40名了 不要再擺爛了
23440	24300	超兇
24300	28120	我爸還特地跑來跟我講說 有人踢了一個很兇的留言
28120	32060	對 我們現在的這個錄音配置非常的神秘
32060	33080	沒錯 現在
33080	34740	我們在雷夢的房間
34740	37660	對 然後不只在雷夢的房間 雷夢還在我的懷中
37660	39180	因為他正在喝奶奶
39180	42240	所以現在我是人體麥架
42240	42780	對
42780	47420	然後他現在喝到脹氣 他要拍嗝了
47420	49660	然後他又想要喝 所以他又會生氣
49660	51440	對 然後反正
51440	52380	反正就是這樣
52380	53720	喔 他打嗝了
53720	55580	奇蹟 這麼快
55580	57900	然後是不是最開心的聽到的聲音
57900	58100	就是他在拍嗝了
58100	58680	就是他打嗝了
58680	60340	真的 我上次不是提到說
60340	62360	當了就是小孩出生之後
62360	65400	大家對胸部的那個定義會改變嗎
65400	66720	不是 你覺得你啦
66720	69100	我啦 我對胸部的定義有改變
69100	70420	現在對嗝的定義也改變了
70420	71620	不是 我對小孩的定義改變
71620	73780	什麼樣的小孩算是一個好的小孩
73780	75620	就是天使寶寶
75620	76300	又反正覺得呢
76300	77920	怎麼樣的小孩是一個好的小孩
77920	79120	什麼意思 一拍就打嗝了
79120	80120	欸 沒有錯
80120	81040	一拍就打嗝了
81040	83180	什麼不吐不鬧的才不重要
83180	85220	喔 我真的覺得幫小孩拍嗝是我
85220	87740	就是此生到目前為止
87740	88080	最難得的
88100	89220	不是掌握技能嗎
89220	90500	不是技能的問題
90500	92260	就是其實你從小到大
92260	95020	除了你沒辦法選擇你的出生以外
95020	97700	大部分的事情都是你可以藉由你自己的努力
97700	98740	然後有一些作為
98740	100420	去改變或是幹嘛的
100420	102100	對 先空做出一定的調整
102100	104780	所以你的意思拍不出嗝很無助
104780	106700	對 就是拍嗝是一個完全
106700	108340	百分之一百的隨機性的東西
108340	109340	他就是出不來
109340	110020	就是出不來
110020	112700	會不會是因為進去的氣體太少
112700	114260	欸 這也是一個說法
114260	115460	對 有時候是這樣
115460	116340	有時候我就這麼覺得
116340	117580	是不是我這一趟胃太少
117580	118080	氣太少
118080	118600	打不出來
118600	118960	對啊
118960	120040	我就再多餵一點
120040	122680	我有那個幫打氣泡水
122680	124720	你就幫奶打一點氣泡
124720	126640	不行啦
126640	130000	因為寶寶脹氣非常不舒服
130000	130960	他們胃很小
130960	132040	然後他就會一直嘻
132040	132800	我剛剛沒有說完
132800	133760	就是說
133760	135520	我覺得他好像氣不夠多
135520	136200	我就再多
136200	137280	覺得他脹氣也沒關係
137280	138440	我再多餵一點
138440	139360	他就會吐給你看
139360	140240	他就全部吐在衣服上
140240	142040	喝多少吐多少
142040	142680	他就一邊
142680	144120	他就會吸吸吸
144120	146800	然後把那些奶全部從奶瓶放到他嘴巴裡面之後
146800	147920	再全部吹出來吐
147920	148040	然後他就一邊吸吸吸然後把那些奶全部從奶瓶放到他嘴巴裡面之後再全部吹出來吐在衣服上
148080	149320	再全部吹出來吐在衣服上
149320	150520	沒錯
150520	151400	然後就超炫
151400	152080	每個人都會
152080	153040	像是我們之前
153040	154560	第一次發了一部
154560	156920	就是我們在月子中心的影片嘛
156920	157400	對
157400	158720	然後就有大概
158720	160640	500則留言在教我們怎麼拍格吧
160640	161880	喔對對對
161880	163800	就是每個寶寶都不一樣我覺得
163800	164080	沒錯
164080	166680	有的寶寶就是用A方法很好格
166680	168160	有的寶寶就是B方法
168160	168920	但是
168920	170200	我覺得也不是這樣子
170200	170760	不是嗎
170760	171240	不是這樣
171240	173760	我覺得拍格就是一個完全的運氣
173760	174560	哈哈哈
174560	175600	你說跟骰骰子一樣嗎
175600	176040	沒有
176040	177680	你這是新手發言
177680	177920	一定有各種
