start	end	text
0	8860	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8860	9400	我是翠翠
9400	10560	大家好 我是阿端
10560	11440	大家好 我是林聖凡
11440	16980	本集節目由營養師品萱新推出的 輕保養包包凍贊助播出
16980	20500	嘿 我們家品萱呢 又推出新的包包凍啦
20500	24480	那這是包包凍比較特別的地方 就是我們拿出的是輕保養
24480	30380	就是我們在好吃的包包凍裡面呢 還加入大家平常日常會需要的一些營養成分的感覺
30380	30880	沒錯
30880	35280	對 就是你很方便 在吃零食的同時 你還可以順便吃保養的感覺喔
35280	35780	沒錯
35780	40480	對 那我們就是出了三個口味 然後三個口味呢 也有對應到不同的保養成分這樣子
40480	45080	第一款呢 就是我們小夥伴最需要的 因為我們很常用電腦 然後看手機
45080	46680	我本人 我本人超需要
46680	51680	第一款就是葉黃素 然後我們這個口味呢 做的是胡蘿蔔蘋果
51680	54480	我覺得它很好吃欸 它是一個蔬果汁的味道
54480	56880	對對對 一開始看到胡蘿蔔蘋果的時候
56880	57680	有點抖抖的
57680	58480	有點啪啪的欸
58480	61480	對 那吃起來其實就是 有點像剝蜜果菜吃的味道
61480	65080	對 香香甜甜的 我覺得大家應該會敢吃 沒有問題的
65080	69080	對 然後我們這個雖然是包包凍 就成包包凍的形狀
69080	73680	但它的劑量跟它的葉黃素的配比 都是酸葉的保養品的那個配比
73680	76480	就是一定要補到大家需要的那個量就對了
76480	77080	對 沒有錯
77080	80880	對 好 那再來是第二個口味 第二個口味就是B群
80880	83780	欸 這是學生族跟上班族的必備東西吧
83780	84180	沒錯
84180	87380	對 就是早上起來吃一條 你就會比較有精神的那種感覺
87380	90980	然後這個B群呢 就是我們出的是百香果口味
90980	93580	欸 對 算是一個比較酸爽的一個味道
93580	94180	對對對
94180	95580	可以提振精神
95580	98380	對 然後可能有的人會擔心B群有一個味道
98380	101680	然後也是因為這樣 所以我們選了一個香氣比較濃郁一點的水果
101680	103380	來當作基底 就是百香果
103380	104280	好吧 蓋過去這樣
104280	108080	對 對 我覺得大部分其實是會是百香果香氣為主欸
108080	110980	對 然後最後一個口味呢 是蓋子
110980	113480	欸 這個也是我覺得我自己年紀大一點之後
113480	113780	嗯
113780	116380	很重視的東西 尤其是生過小孩
116380	117680	對 特別在意這件事情
117680	118780	也不只生過小孩
118780	121780	就品硯說呢 其實大家平常吃的蓋子 所有人
121780	123080	對 所有人喔 都是吃不夠的
123080	123680	沒錯
123680	126180	我特意想掉 所有人 所有人
126180	126780	對對對
126780	128180	欸 對 因為大家都吃外食
128180	131480	人類補充蓋子 主要是從一些蔬菜什麼等等的裡面來
131480	132480	大家都吃太少
132480	132980	嘿
132980	135580	欸 所以是隨時補充蓋子是很有必要的
135580	139180	沒錯 然後這個口味呢 我覺得也是一個很討喜的口味
139180	140480	是荔枝口味
140480	140780	嘿
140780	143780	然後這也是之前很多人都有在敲網我們推出的口味嘛
143780	146580	然後這次剛剛好就是可以跟蓋子口味一起推出
146580	149880	所以你就會覺得既好吃 又可以得到一個保養的感覺
149880	150380	沒錯
150380	153880	最後還有一個極端重要的消息要順便告訴大家
153880	156980	因為很多人都是很喜歡我們原本一般口味的寶寶凍
156980	158280	就已經很喜歡吃了
158280	160280	然後擔心大家就是看到新寶寶凍
160280	164080	也想要買你自己原本就是很喜歡的那些一般口味的寶寶凍
164080	166280	所以我們這次有特別推出一個活動
166280	168980	就是你只要買新保養寶寶凍的訂單呢
168980	171780	你在那個訂單頁面上面加購一般寶寶凍
171780	173680	它的價錢就是加購價
173680	174480	只要六折
174480	175080	喔唷
175080	176980	超多折 超多折
176980	178480	還不趕快囤起來
178480	178880	沒錯
178880	179280	好不好
179280	181480	這是我們給大家的一點小貼心啦
181480	181880	喔
181880	183080	然後現在夏天的時候
183080	183480	嘿
183480	185380	你就可以把寶寶凍冰在冰箱裡面
185380	186980	就變成冰冰涼涼的
186980	187980	喔 非常的棒
187980	188280	對
188280	190280	甚至你如果把它冰去冷凍庫的話
190280	190680	嗯
190680	193380	它還可以造成一種就是像雪糕一樣的口感
193380	194480	唉 對對對對
194480	195280	非常不錯
195280	196480	那詳細的活動辦法呢
196480	197980	我們都會放在資訊欄裡面喔
197980	199980	那有興趣的人一定要點進去看看喔
200680	203380	喔 現在的時間是7月26日
203380	206180	凌晨2點32分
206180	206780	唉 略晚略晚
206780	207880	回到我們的老時間
207880	208280	沒錯
208280	209080	平常還會晚一點
209080	210780	因為在我們準備開始錄的時候呢
210780	212980	陳春涵她突然想到今天的《吹吹哼哼》
212980	213480	沒錯
213480	214980	她突然就是哼了一首歌
214980	215380	對
215380	216880	然後想不起來它是什麼
216880	217980	對 然後我問你們
217980	218980	你們三個都說
218980	220180	吼的時候 吼的時候
220180	220880	但想不起來
220880	222080	對 所以我們就
222080	224180	原來大家平常猜不到歌的時候這麼痛苦
224180	225980	我還想說不管它我今天就出
225980	227080	然後跟大家一起猜
227080	228980	欸 在開錄前的緊要關頭
228980	229780	我最後想起來了
229780	231280	我們終於想起來是什麼
231280	232480	今天一開始的時候
232480	232980	嗯
232980	234680	先跟大家分享一個
234680	236580	這個禮拜發生一件非常
236580	238780	非常非常可怕的事情
238780	239180	什麼
239180	240180	恐怖故事了
240180	240580	什麼恐怖故事
240580	242280	基本上是恐怖故事了
242280	242980	就陳春涵啊
242980	243780	她們從那個
243780	245280	你跟她說我壞話
245280	246780	就陳春涵她們之前去環島嘛
246780	247280	嗯
247280	250080	那她們從這個墾丁幫我們帶了一個
250080	251080	紀念品
251080	252080	紀念品回來
252080	252780	嗯嗯
252780	253580	欸 這個紀念品呢
253580	255980	是一個非常非常漂亮的海螺
255980	257180	對啊 是不是很美
257180	257580	欸 一個很美的海螺
257580	258880	拔也很喜歡欸
258880	260080	然後那個海螺呢
260080	262080	其實也不是他們特別準備的紀念品啊
262080	262580	欸
262580	263880	他們就是去餐廳吃飯
