start	end	text
0	8920	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8920	9840	我是推推
9840	12100	大家好 我是阿段 大家好 我是林聖帆
12100	14520	好 本集有預錄的廣告喔
14520	17520	本集節目由原主雪餅贊助播出
17520	21060	中秋節快要到了 我們的老朋友原主雪餅也回來了
21060	25140	就是我們去年呢 有跟原主雪餅一起合作出了一支影片
25140	27520	就是介紹他們的雪餅來禮盒這樣子
27520	31080	然後我們去年影片一上架 他們線上商城直接賣完
31080	33780	所以大家都買不到 然後原主就說不行
33780	36180	他們今年要早一點跟我們敲這個案子
36180	39300	所以他們今年提早了一個月 離中秋節還有一個月
39300	42000	所以大家聽到這個的時候 可以趕快手刀去看一下
42000	45540	那他們今年呢 原主雪餅一樣是有推出自由配禮盒
45540	49720	就是他們總共有三個雪餅 分別是雪餅 夢之月跟星空三種
49720	52640	然後總共有八個口味 你可以任意選配
52640	55240	那稍微簡單介紹一下他們三種的差別
55460	57300	首先第一個就是大家最熟悉的
57300	61860	方形的雪餅 那他的餅皮就是屬於那種酥酥脆脆的煎餅的那種感覺
61860	64820	然後也是原主雪餅裡面 他們最元老的商品喔
64820	68240	那也是我們之前跟他腦波絡的時候挑戰的那個商品就對了
68240	73240	然後第二個呢 是叫做星空 這個聽說是兒童界的夢幻藝品
73240	76240	那他的外皮呢 是那種QQ的隔粉皮
76240	79760	就整個造型也是很可愛 圓圓膨膨的像猩猩這樣子
79760	83960	然後吃起來是屬於比較清爽 因為它裡面包的是優格冰淇淋的內餡
83960	86180	然後熱量也是三款裡面最低的喔
86180	87240	然後最後一款呢 是他們的雪餅
87240	91000	他們的夢之月 看起來有點像是蛋糕的感覺
91000	95000	這款是蛋糕餅皮 所以它的口感是比較偏鬆鬆軟軟的
95000	97240	然後內餡呢 是濃郁的歐式冰淇淋
97240	99800	這一款大人小孩應該都會蠻喜歡的喔
99800	102680	那如果說啊 你是想要送你的親朋好友
102680	104840	但你不知道他喜歡什麼口味嘛 對不對
104840	107480	或是說你的朋友住在很遙遠的外縣市
107480	109120	然後你想要寄送這個禮物給他
109120	112120	可是你又擔心運費 就是冷凍運費比較貴
112120	115400	然後他們這次原主雪餅幫你們大家選好了解決的辦法
115400	117160	就是他們推出了提貨券
117160	117220	提貨券
117240	120240	你可以直接買提貨券送給你的朋友
120240	123620	那你的朋友呢 就可以自己去門市選他自己喜歡的口味
123620	125580	所以你就不怕你口味送錯
125580	127460	然後也不用有冷凍運費這樣子
127460	129000	非常的貼心
129000	131820	好 那更多的說明呢 還有購買的連結
131820	133000	我們會放在資訊欄裡面
133000	134480	大家記得要去看看喔
134480	138120	好 現在時間是8月2號
138120	140460	臨船的1點50分
140460	141660	跟平常時間差不多
141660	144280	今天我打算來跟大家分享一下
144280	146740	我這個上禮拜做的一些事情
146740	148740	首先第一件事情呢
148740	151740	就是我們在錄完這個原主雪餅的口播稿之後
151740	153740	我就在想啊
153740	156740	就是我記得小時候好像看過那個原主雪餅的廣告
156740	158740	看完之後呢 就一直很想吃原主雪餅
158740	160740	一直很想叫媽媽買
160740	164740	但是我沒有印象我到底看的是哪一支廣告
164740	167740	這麼一說好像也沒有特別覺得
167740	169740	那個廣告畫面長什麼樣子
169740	171740	我印象是那個機器狗
171740	172740	機器狗
172740	173740	你對機器狗有印象
173740	175740	我後來就去翻就是說我們小時候
175740	176740	我後來就去翻就是說我們小時候
176740	179740	看到了原主雪餅的廣告大概是長什麼樣子
179740	182740	我放聲音放一小段給大家聽聽看
182740	183740	好
183740	186740	月餅變雪餅 中秋更過癮
186740	190740	現在預約兩盒原主雪餅就送你高倍能望遠鏡
190740	192740	他說望遠鏡
192740	193740	沒錯
193740	195740	看完之後就 哇 太遜了
195740	197740	他是不是在賣望遠鏡吧
197740	198740	他說望遠鏡
198740	200740	他說你說你有對那個什麼
200740	201740	機器狗
201740	203740	機器狗有印象
203740	205740	這是1997年
206740	207740	這也是
207740	209740	快快快趕快吃原主雪餅
209740	212740	原主雪餅現裝
212740	214740	好配合的更裝
214740	217740	你也想成為打雞捅龍的原主小子嗎
217740	218740	約元主雪餅
218740	220740	就是我銀河迅風槍
220740	222740	靠後備了喔
222740	224740	銀河迅風槍
224740	225740	為什麼
225740	228740	為什麼現在都沒有這些酷東西了
229740	230740	原來啊
230740	231740	喔有啊
231740	232740	就是
232740	234740	小時候想吃原主雪餅
234740	235740	想要玩具吧
235740	236300	小玩具吧
236300	237280	对吧小玩具吧
237280	238600	那他很聪明耶
238600	239160	然后呢
239160	240480	因为我就是突然想到这件事情
240480	242180	然后看了他们的广告之后
242180	243300	我就开始
243300	245680	就是搜寻我小时候的那些
245680	247180	所有那些印象中的
247180	248520	印象模糊的那些广告
248520	250460	所以我精选了几个
250460	251320	OKOK
251320	252500	好我们来做个活动
252500	254160	我们来猜猜看
254160	256400	有活动听起来好兴奋
256400	257900	好看你猜不猜得到
257900	259060	我们要猜吗
259060	260480	对啊你们两个可以猜啊
260480	260780	我们俩
260780	263280	那会不会大家就像翠翠狠狠一样
263280	264400	会感受到大家那个
264400	266020	焦心恼心的感觉
266020	266980	我觉得应该是
266980	268920	我觉得很简单
268920	269680	哦你就很简单
269680	271140	对我觉得快智人口的吧
271140	271880	对所以说你一听
271880	273580	我哼的歌也都是快智人口的歌
273580	274600	说什么东西
274600	276860	就是你一听感觉好像可以顺着
276860	278180	就是知道后面发生什么事情
278180	278840	OK来
278840	280620	然后那个东西就会自己冒出来
280620	281020	好
281020	282560	好的我都只放一小段
282560	283780	就是不要让他那个
283780	285040	哦不要拼命跑出来
285040	285740	不要拼命跑出来
285740	286020	好
286020	292180	有吗有感觉吗
292180	292880	声音
292880	300260	太早自爆名号了吧
300260	303500	好不公平啊
303500	305160	撒基火刷标啦
305160	307740	没有发现说他前面有
307740	309240	他自己
309240	310960	他自己竟然叫这个名字
310960	311560	可恶
311560	313840	好反正这个是撒基火刷标
313840	314620	我前面还想说
314620	316220	这是什么望春风的片头
316220	316800	还什么
316800	318960	我记得我小时候被这个洗版耶
318960	319940	我印象很深刻
319940	320840	你没印象吗
320840	321480	就是他一直说
321480	322860	我有一只火麻麻
322880	325960	也找这个好太太
325960	326720	对对对
326720	327760	有印象吗
327760	328760	对对
328760	330760	干嘛
330760	331880	好那我们现在再来一个
331880	334380	好
334380	335420	玩得完哦
335420	337500	金铃铛
337500	338120	哈啰
338120	340580	金铃铛
340580	341880	剑鸿侠
341880	342380	哦
342380	342880	是吗
342880	343540	真的知道吗
343540	344040	应该是吧
344040	344680	是吗
344680	345580	对啊剑鸿侠
347580	348100	我跟你讲
348100	349720	我在这方面还是有点天分的
349720	351180	记忆力非常的惊人
351180	351780	真假的
351780	352720	因为他他这个感觉是很强的
352720	352860	真的假的 因为他他这个感觉是很强的
352880	354220	我觉得词是黏在一起的
354220	356460	因为小时候对我来说台语很难你知道吗
356460	358720	所以他就对我来说就是一整个玩者的单字
358720	359460	咒语
359460	361640	对他就像咒语一样
361640	362280	你知道这边说
362280	363540	管得好我是谁吗
363540	364380	是谁
364380	364880	是那个
364880	365760	是谁啊
365760	366580	文英阿姨
366580	367800	对对对
367800	368880	他有一个白眼的脸
368880	369760	然后跟你说
369760	371260	管得好
371260	373000	哦是嘲讽脸是不是
373000	374040	管得好
374040	375920	金铃铃铃鸿侠
375920	376960	铃铃鸿侠
376960	378880	和我爱死人家老匹子
378880	380080	跟我跑天
380080	381420	铃铃鸿侠
381420	382720	后面有什么爱死人家老匹子
382720	383360	铃铃鸿侠
383360	384340	还没有说
384340	386000	好下一个
386000	387480	铃铃鸿侠
387480	388800	保护眼睛
388800	389180	天哪
389180	392700	你开玩笑
392700	393800	保护牙齿
393800	395200	康喜剑盖
395200	396200	我最爱
396200	397640	是吧
397640	398100	对吧
398100	398900	这眼盖很明显
398900	399980	这太明显了
399980	401300	这广告深入人心
401300	403640	就没有一个小孩不会背诵那个词的
403640	404260	真的假的
404260	405760	而且我还可以配动作
405760	407000	他拿一根长长的
407000	408080	一根什么东西
408080	409980	然后全面有一个圆圆的球球
409980	410640	对对对
410640	412120	然后他就说保护眼睛
412120	412700	保护眼睛
412700	413260	保护牙齿的时候
413260	414540	要敲一敲自己的牙齿
414540	416120	然后康喜剑盖
416120	416820	我最爱
416820	418020	然后就是比一个
418020	419600	很像糖妆的造型
419600	420320	保护眼睛
420320	421780	因为他的造型是有
421780	423520	他有戴一个圆形的眼镜
423520	423920	对对对
423920	425240	然后他把手指穿光眼睛
425240	426200	说他没有镜片
426200	426640	对
426640	427980	所以他没有近视
427980	429540	是保护眼睛的意思
429540	429920	没错
429920	430460	这么久以前
430460	431540	又恶心夹眼睛了
431540	433560	很吵
433560	434960	真的很强
434960	436640	开玩笑
436640	436860	好
436860	437780	那最后一题
437780	438800	这比较厉害了
438800	439020	好
439020	441240	我如果要疲劳
441240	442620	要先吃饭了
442620	442680	我如果要疲劳
442680	444900	要先吃饭了
444900	445540	过瓜
445540	448720	过瓜
448720	449600	这好难
449600	450360	我看不到
450360	451400	不是
451400	453300	我看不到怎么会过瓜
453300	454500	再感觉一下
454500	455140	再感觉一下
455140	456120	我也觉得这个
456120	456700	我搜寻这个
456700	457540	不然搜寻好久
457540	460380	我如果要疲劳
460380	461840	要先吃饭了
461840	464160	要先吃饭了
464160	464720	过瓜
464720	466040	过瓜
466040	468180	过瓜
468180	468840	几天
468840	470040	他后面有一句
470040	471820	很玄妙
471820	472040	很
472040	472600	很
472600	474400	很玄妙的一句台词
474400	475420	在最后
475420	476740	最后
476740	477340	没有吗
477340	478040	过瓜后面吗
478040	479160	猜不到了吗
479160	480440	嗯
480440	480840	可恶
480840	482260	我这个广告小人说
482260	483300	可恶
483300	484600	再给你一次机会
484600	485840	你要从他的那个
485840	487520	他刚刚讲的那些话里面去推敲
487520	488480	好
488480	489900	我如果要疲劳
489900	491400	要先吃饭了
491400	493960	我如果要吃饭了
493960	494920	疲
494920	496840	疲劳要先吃饭了
496840	497200	是什么
497200	498240	我如果要
498240	499520	干如果不好
499520	501000	疲劳要先吃饭了
501000	502460	就是你会感觉疲倦吃不下
502460	503220	哦
503220	503940	威若不
503940	504820	威若不好
504820	505780	吃到老
505780	508020	哦
508020	509220	我什么
509220	510780	我什么
510780	512180	他把两个都
512180	512980	讲出来了
512980	514980	他两个重点的部位都讲出来了
514980	515900	干跟威啊
515900	517300	对啊
517300	518540	瓜威善
518540	519300	不是
519300	521380	不是
521380	521740	没有吗
521740	522260	不行
522260	523700	我想不出来
523700	525060	那我放了
525060	527980	我若不疲劳要先吃饭了
527980	530180	威若不吃到老
530180	530860	过瓜
530860	531580	在威脾
531580	532260	瓜威能吃到老
532460	533220	靠的哦
533220	533740	威力
533740	534500	哇
534500	535580	哇
535580	537420	啊
537420	539460	他都已经都告诉你了
539460	540860	瓜威蛋很像
540860	541780	哎
541780	542940	你不觉得他那个
542940	543620	地位的
543620	545540	瓜威灵靠的哦
545540	546340	什么的
546340	546860	对
546860	548100	他那个广告上面是讲说
548100	548700	一位地
548700	550660	瓜威灵靠的哦
550660	552700	瓜威灵有效
552700	553620	靠的
553620	554620	靠就很奇怪
554620	555100	靠的
555100	555620	是什么意思
555620	556820	不常用这个词
556820	557780	就像阿伯在那边
557780	558820	瓜威灵靠的哦
558820	559780	然后小时候就一直在
559780	560460	他就在
560460	561780	他都在笑什么
561780	562460	而且那个时期
562460	563740	他是不是在偷骂彰化
563740	565220	对
565220	566540	而且那个时代的这个
566540	568060	广告都还有一个特点
568060	569580	就是你绝对
569580	571700	语音不能同步
571700	572260	哦
