start	end	text
0	8760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8760	9320	我是翠翠
9320	10460	大家好 我是阿段
10460	11360	大家好 我是李政帆
11360	13440	本集有預錄的廣告喔
13440	17160	本集節目由朵茉莉寇贊助播出
17160	19120	朵茉莉寇
19120	21620	有沒有 很常看電視或是YouTube影片的人
21620	23760	應該都會對這個旋律不是這麼陌生吧
23760	26140	就常常看電視裡面都可以看到他們的廣告
26140	28980	那這次收到他們這個邀請呢 是想要來跟大家分享
28980	31740	就是他們呢 是來自日本熊本的朵茉莉寇
31740	33420	已經來台灣十年囉
33420	37100	那品牌成立48年來呢 從未調整過他們的售價
37100	39480	那今年呢 甚至因為日幣的關係
39480	41460	調降了台灣售價
41460	43880	現在是一個買他的大好時機
43880	46220	那朵茉莉寇呢 有一個很大的特色
46220	47940	相信有看過廣告的人可能會知道
47940	50920	就是你可以先花198元的國際運費
50920	53080	去申請他的三日試用套組
53080	54580	你可以先感受一下
54580	56640	那品牌說他們收到很多的回饋
56640	58880	許多大樓的住戶啊 或是上班族
58880	61120	會因為不好意思請他的公司前台
61120	63620	或者是他們的管理員去代電這個運費
63620	65580	所以就會不敢下單申請
65580	67360	那他說現在已經不用擔心囉
67360	70280	因為這些國際運費呢 都可以用LiPay支付
70280	73140	所以如果你還沒有申請過三日套組的朋友呢
73140	74680	現在是一個很好的時機喔
74680	78100	那再來推薦給使用過三日套組體驗的朋友了
78100	80740	朵茉莉寇呢 他們推出了首購限定的
80740	83820	全效8點 30日美肌實感組
83820	85940	首購加這美景乳霜
85940	88720	還有毛巾件的愛馬仕精緻毛巾
88880	92480	兩條 三日份的八件組 一組等等
92480	93880	那超值的首購你呢
93880	96120	都會加入這個抗皺進版的行列
96120	98240	那大家想要的話要趁現在唷
98240	99980	詳細的資料我們會放在資訊欄裡面
99980	102340	大家記得點開來看看喔
102340	104980	好 現在時間8月23日
104980	107680	禮拜二的凌晨12點51分
107680	109180	我覺得今天好像比較早一底
109180	109980	略略的早
109980	111180	還行喔 然後呢
111180	112680	我要先跟大家分享一件這個
112680	114380	我記在筆記本裡面
114380	116140	只有一件小事情
116140	118540	但是就是它沒有辦法當成一集的主題
118880	121080	但是我不講 我又怕忘記
121080	122980	趕快講
122980	125480	什麼碎念的擾人
125480	128080	我想跟你說 我怕你忘記
128080	129680	就是喔 在這個
129680	131680	陳村他們之前去環島
131680	134280	回來的那一天
134280	136180	陳村他就突然跑來跟我說
136180	138920	那時候呢 劉若凡也在
138920	139780	陳村就跟我說
139780	141780	你竟然把Lemo的奶瓶
141780	143920	放在那邊 一整個禮拜都沒有洗
143920	146640	對 就是我出發前他喝的最後一次奶的奶瓶
146640	148720	對 兩個奶瓶裡面都是奶 對
148720	150480	放了一個禮拜都沒有洗
150480	152820	安樂的鑰匙 然後現在超噁心
152820	153920	我不敢把它打開來洗
153920	155320	超噁心 怎麼辦 怎麼處理
155320	157720	超噁 這樣子 太噁心了吧
157720	159420	這起司欸
159420	160420	我說錯了吧
160420	162020	對 然後我就跟陳村說
162020	163420	你知道你們出去玩的這一個禮拜
163420	165920	我跟劉若凡整天都在搬家什麼之類
165920	168220	然後搬東西 收拾東西
168220	169020	然後搬進搬出
169020	169920	每天都累得要死
169920	171620	都沒有時間睡覺嘛
171620	172620	陳村就說
172620	175420	對啊 我知道 所以我沒有說什麼
175420	176320	他已經說完了
176320	178720	你已經說 我都已經說完了喔
178720	180520	你已經把說話都已經噴完了
180520	182420	沒有 我只把我的標題噴完了
182420	184520	因為我本來有內文的
184520	185920	我本來想拼一把白飯一頓
185920	187320	他本來唸你三十分鐘
187320	189220	對 最後我只唸了三句
189220	190220	標題講完了
190220	192920	對啊 是不是 我憋回去了耶
192920	194020	好 就這樣
194020	196120	就他講這件事情
196120	196920	純抱怨的
196920	197820	就這件事情
197820	199420	他只要承受他的委屈
199420	201320	我怕這種不公不義的事情
201320	203520	如果被埋沒在歷史的洪流裡面
203520	205020	以此集為鑒
205020	206120	欸 對
206120	208420	哪天他 哪一集又挖出來
208420	211520	我們記性不好忘記了
211520	213920	我們要給這個社會一個正向回饋
