start	end	text
0	3980	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5300	6520	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6520	8960	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8960	11300	大家好 我是點心沙盾 大家好 我是聖梵
11300	12320	好 本集節目由營養師品宣 新產品炫辣醬贊助播出
12320	16380	好 本集節目由營養師品宣 新產品炫辣醬贊助播出
16380	17220	登登
17220	18440	登登
18440	21040	欸其實我們以前有點怕買辣椒醬亂買
21040	24180	我都會盡量買就是簡單的 然後比較沒負擔的辣椒醬
24180	26520	因為我知道辣椒醬裡面其實滿多添加物的
26520	30360	我們這次自己去跟品萱合作做這個辣椒醬之後
30360	31520	確實是蠻多添加物的
31520	33020	對 我被嚇到
33020	35560	添加物不是說辣椒醬本身有加一些添加物
35560	36860	像味精什麼的
36860	38960	是辣椒醬它的原料
38960	41900	那些辣椒本身它自己就也有加一些添加物
41900	43140	已經調好了
43140	46180	然後這樣混在一起之後就很多很多的添加物
46180	48340	所以我們就決定跟品萱一起推出一個
48340	51220	完全沒有添加物的辣椒醬
51220	52440	原本想說很簡單
52440	53220	好我們就
53220	54640	就不要加而已
54640	56420	剪法又是難的對不對
56420	58420	結果發現你真的都不加
58420	60060	那些辣椒醬吃起來
60060	61160	都是一些
61160	62860	菜味
62860	63760	草味
63760	65320	對 草味很重
65320	68900	然後也不會有一些那種鹹鮮味也都不會有
68900	71060	搞到最後我們不能做普通口味的辣椒醬
71060	73380	我們不能單純做一個舊辣椒醬
73380	75180	不行 會難吃得要死
75180	78080	所以我們一定要想辦法讓他加一些不同的食材進去
78080	80020	然後做出很特別的搭配
80020	83480	對 而且這個食材本身就是要富有香氣
83480	84720	然後大家會喜歡
84720	86180	然後口味很好的食材
86180	86220	所以我們就決定跟品萱一起推出這個辣椒醬
86220	87460	所以我們絞盡腦汁
87460	90060	所以做出來這三款都不是普通口味的辣椒醬
90060	90760	沒錯
90760	92360	然後我們我覺得我們很貼心耶
92360	93600	就是我們從
93600	96260	小辣中辣到大辣都各做了一個口味
