start	end	text
0	5000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5000	6000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6000	9000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9000	10000	大家好 我是錦衣師阿斷
10000	11000	大家好 我是錦衣師阿斷
11000	12000	大家好 我是錦衣師阿斷
12000	14000	好 今天有預錄的廣告喔
14000	16000	本集節目由蝦皮購物贊助播出
16000	18000	蝦皮退貨服務全新升級啦
18000	20000	蝦皮退貨服務全新升級啦
20000	22000	大家知道我之前是有在玩縫紉嘛
22000	24000	其實很多材料呢 我就會在蝦皮上面找
24000	25000	其實很多材料呢 我就會在蝦皮上面找
25000	27000	像是一些各種尺寸的鬆緊帶呀
27000	29000	或是鈕扣之類的小配件
29000	31000	那有時候會不小心買錯尺寸
31000	33000	就到另外私訊店家來幫忙你處理
33000	34000	就到另外私訊店家來幫忙你處理
34000	36000	那我是那種一不小心就會忘記要看蝦皮私訊的人
36000	37000	那我是那種一不小心就會忘記要看蝦皮私訊的人
37000	39000	常常已經過了很久才突然想到
39000	41000	欸 我要去看訊息
41000	43000	最後就因為過了太久 我就也不好意思請大家幫我退換貨
43000	44000	最後就因為過了太久 我就也不好意思請大家幫我退換貨
44000	46000	所以呢 我家裡就多了很多不合尺寸的材料
46000	47000	所以呢 我家裡就多了很多不合尺寸的材料
47000	48000	其實像未來呢 這種情況呢
48000	49000	其實像未來呢 這種情況呢
49000	50000	大家就可以完全交給了蝦皮官方來處理喔
50000	51000	大家就可以完全交給了蝦皮官方來處理喔
51000	52000	即日起呢 在蝦皮購物全站購買商品
52000	53000	即日起呢 在蝦皮購物全站購買商品
53000	54000	即日起呢 在蝦皮購物全站購買商品
54000	55000	都可以使用蝦皮安心退的服務
55000	56000	都可以使用蝦皮安心退的服務
56000	57000	那買家在建廠期內可以在符合規定的情況下
57000	58000	那買家在建廠期內可以在符合規定的情況下
58000	59000	當買家在建廠期內可以在符合規定的情況下
59000	60000	當買家在建廠期內可以在符合規定的情況下
60000	61000	申請退款退貨
61000	62000	退貨流程呢
62000	63000	也會完全由蝦皮官方他們處理
63000	64000	也會完全由蝦皮官方他們處理
64000	65000	不小心買錯或是賣家記錯也都可以一鍵申請退貨喔
65000	66000	不小心買錯或是賣家記錯也都可以一鍵申請退貨喔
66000	67000	不小心買錯或是賣家記錯也都可以一鍵申請退貨喔
67000	68000	不小心買錯或是賣家記錯也都可以一鍵申請退貨喔
68000	69000	還會有專人幫你服務
69000	71000	非常適合像我這種很迷糊的人
88000	90160	就没办法在上班时间之前剪完的
90160	92180	我觉得可能是一个剪到七八点
92180	93420	跟大家say hi之后
93420	94980	你就可以下班了
94980	96460	我就可以直接上班了
96460	97560	的那个程度
97560	100420	然后为什么会拖到这么晚呢
100420	101960	是因为我们刚刚
101960	103960	大家知道说我们在装修房子嘛
103960	106200	所以说我们之前就已经做过了一个
106200	109260	怎么说全市的一个大整理大搬修
109260	111820	就是我们房间配置的乾坤大挪移
111820	113960	对然后我们刚刚又挪移了一次
113960	115600	进行一个重新的配置
115600	116180	没错
116180	118260	就大家知道说我跟陈春涵的房间是
118260	121300	维持在我们现在在整修的那栋房子里面
121300	123140	对就是原本雷梦的房间
123140	124660	对因为我们想说要雇猫嘛
124660	126200	那大家全部睡在一起
126200	127100	跟雷梦睡在一起
127100	130060	但是当他真的开始去整修之后
130060	131280	就发现说
131280	133440	其实我们跟那工地
133440	135080	只有隔一个大概
135080	137180	七公分的这个装潢板
137180	138920	薄薄的一个墙壁而已
138920	140680	他钉的每一根钉子都像钉在你头上
140680	142240	超近的
142240	145040	他一开始上班之后就完全没有办法
145040	146060	就是好好的睡觉
146060	148180	再加上我们的作息跟一般工地
148180	149140	比较不太一样一点
149140	150580	没错他们早上刚来的时候
150580	151860	八点开始上班
151860	153980	我们说不定才刚入眠
153980	154380	对
154380	155780	刚准备好睡觉而已
155780	156820	就被吵醒了
156820	158380	好像一整天都过不完
158380	159540	对
159540	160900	总而言之我们就是为了避免以后
160900	161980	雷梦早上被吵醒
161980	163660	对然后我们也接着被吵醒
163660	165900	所以我们决定我们就是
165900	167060	之后呢
167060	169460	陈春涵就再把一张双人床
169460	171700	搬到尤伟凡现在睡的这间房间
171700	173740	对我们房间被降级了
173740	174860	对那房间从一个
174860	175660	双人
175660	176060	两人
176060	178020	一毛的一个度假套房
178020	179020	对超级大
179020	179900	还有一个大客厅
179900	181620	对对对一房一厅这样子
181620	182420	对对
182420	184500	直接变成就是
184500	185820	这个是什么状态呢
185820	186820	家庭套房
186820	188020	行政家庭房
188020	188980	行政家庭房
188980	190980	因为还是有办公的空间
190980	191980	变成四人房
191980	192500	对对
192500	194740	直接就塞一张双人床进去
194740	195060	对
195060	196260	但是
196260	196740	怎么说呢
196740	197580	因为我们还是要有一个人
197580	198660	留在那边陪猫睡觉
198660	199140	对
199140	199980	所以我们现在计划是
199980	202180	我会留在那边陪猫睡
202180	203220	陈春涵跟雷梦呢
203220	204940	来这边跟尤伟凡他们一起睡
204940	205660	因为梦梦没有
205660	208860	跟我睡的话有点难睡
208860	209820	所以我还是会被吵醒
209820	210300	对
210300	211300	这个问题还是没有解决
211300	215540	那你可以早上的时候过来睡
215540	218220	挤一个位置睡在缝里
218220	218620	可以啦可以啦
218620	219980	这样我们直接回到
219980	221220	当初刚创业的时候的状态
221220	221780	真的欸
221780	222380	真的
222380	223660	欸我当初创业的时候
223660	226580	我们是两张单人床睡三个人欸
226580	227980	两张单人床
227980	228780	睡我们三个啊
