start	end	text
0	6320	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6320	10400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
10400	11120	我是翠翠
11120	12160	大家好 我是阿段
12160	13120	大家好 我是林聖帆
13120	14960	本集有一個公益宣傳喔
14960	18480	今天要來分享的是紅鼻子醫生的公益義賣活動
18480	22720	那紅鼻子醫生呢 他們是台灣第一個醫療小丑組織
22720	26640	那他們是由一群受過專業訓練的表演工作者所組成的
26640	31200	那他們的使命呢 就是希望可以將歡笑的時光帶入醫院陪伴病童
31200	33280	為他們找回歡笑跟童年
33280	36640	那在積極樂觀的想像力中呢 可以走向康復之路
36640	41520	或者呢 是在他們人生的最後一段路可以擁有一段歡樂又快樂的回憶
41520	44720	那紅鼻子醫生呢 也關心每一個在醫院的工作者喔
44720	49360	那他們現在推出了紅鼻子微笑護手霜的公益義賣活動
49360	52960	首付價呢 是399元 你買一條的同時
52960	55360	他們也會送給醫護人員一條
55360	56560	因為醫護人員常常
56560	56640	因為醫護人員常常
56640	58640	在第一線需要保護大家跟自己
58640	60880	所以要常常消毒他們的雙手
60880	63760	所以皮膚真的就會變得很乾燥或很脆弱
63760	67920	那微笑護手霜呢 就是希望可以同時成為醫療人員們的神隊友
67920	70240	溫暖他們的心 也可以滋潤他們的手手
70240	73040	那如果大家想要更認識更了解紅鼻子醫生
73040	76480	或者是說你有能力可以以各種形式贊助他們的話
76480	79680	我們會把微笑護手霜的連結跟他們的相關連結方式
79680	81120	我們都會放在資訊欄裡面
81120	82880	所以大家記得一定要點開來看看喔
84160	86560	現在的時間是9月27日
86560	87760	9月27日
87760	90000	剛好凌晨一點
90000	94000	我們現在基本上是一個累到靠北的狀態
94000	94720	都有點違調
94720	95840	精神渙散
95840	100400	沒錯 我們今天早上去參加了走鐘獎的評審的活動
100400	101440	絕神喔
101440	101920	沒錯
101920	105440	所以大家都非常熱烈非常激烈在討論所有的東西
105440	111120	每一個獎項都經過了一番激烈的討論才決定
111120	112960	所以就是弄到非常非常晚
112960	116160	我們大概12點左右才回來
116160	116480	對
116480	118320	其實整個過程蠻燒腦的
118320	118720	沒錯
118720	119600	然後非常疲倦
119600	122240	但是我們還是決定要趕快來錄Podcast
122240	122560	對
122560	124640	因為想說是不是睡著就再也起不來
124640	126640	應該是絕對起不來
126640	129280	那今天一開始我們要先來做一個刊物
129280	129840	刊物
129840	131120	兩個刊物
