start	end	text
0	10520	哈嘍 大家好 歡迎來到好味小姐開束縛 我還你原型
10520	14100	那是雷夢 我是翠翠
14100	16860	大家好 我是田先生 大家好 我是攝影師的帆
16860	19720	雷夢現在在攝影師的手上
19720	21740	跟大家說明一下我們的現況
21740	24400	現況就是 雷夢他一直都不睡
24400	25680	喔 不對 不對 不對
25680	27020	你在跳宋江鎮嗎你
27020	28960	我們要先說明一下時間
28960	31960	現在是凌晨5點10分
31960	32840	清晨
32840	34860	已經清晨了
34860	36560	我們收到一堆的留言說
36560	39620	你為什麼可以讓哺乳媽媽這麼晚不睡覺
39620	40820	我想說雷夢不睡美 怎麼辦
40820	42640	對 雷夢還醒著
42640	44740	對 他眼睛圓滾滾
44740	46660	他現在就是很長
46660	48780	會有清醒的時間比較長
48780	52100	我今天一整天都沒有看到他像現在這麼有精神
52100	54440	然後不知道耶
54440	55880	現在他只要安靜下來
55880	58920	就是停下來他就會哭
58960	62040	因為他現在呈現一個很想睡覺的時候
62040	63580	然後他就有點黏人
63580	64960	所以就是一定要抱著
64960	67680	我現在像是一個饒舌歌手一樣
67680	68840	有耶 有耶
68840	69280	當然有許
69280	70520	沒有 你是民歌歌手
70520	71240	你不是饒舌歌手
71240	72640	喔 民歌歌手 對對對
72640	75400	我就站著 然後用一個
75400	76600	一個很
76600	78000	很適合配個娜卡西
78000	78920	很阿伯的
78920	79520	節奏
79520	80880	腳步
80880	82120	左踏步右踏步
82120	83720	對對對 就像在唱台語歌一樣
83720	84360	沒錯沒錯
84360	86720	對 然後抱著雷夢跟拿著麥克風
86720	88760	欸 雷夢死死的盯著你
88760	89280	沒錯
89280	90880	他一定覺得你很奇怪
90880	91600	怎麼會
91600	92960	他現在很安定耶
92960	93800	我剛剛就是
93800	94760	本來想說要開錄了
94760	96920	然後我就坐下來就哭了啊
96920	98600	不行啊 因為有更多的留言說
98600	100040	你現在這樣子搖啊抱了
100040	102240	你就抱習慣放不下來了
102240	102960	阿伯怎麼辦咩
102960	103720	來 老實說說啊
103720	104840	那些留言的人說說啊
104840	107000	阿伯怎麼辦咩
107000	109640	要不要讓他想辦法脫離啊
109640	110480	不是
110480	111240	我們就是
111240	112840	他還那麼小
112840	113320	對不對
113320	114200	給他一點安全感
114200	115080	怎麼了
115080	115920	怎麼了
115920	117400	他這個很多說法啦
117400	118600	對啊 很多流派
118760	119800	反正我們就是
119800	121240	盡量不抱
121240	121640	對不對
121640	124080	但是真的情非得已的時候還是抱
124080	125680	對啊 誰捨得啊
125680	126560	沒關係啦
126560	127680	抱也是你們抱
127680	128840	不會有人有淹遠的
128840	131240	哈哈哈哈
131240	132640	好 今天要聊什麼
132640	133920	今天那個
133920	135720	我們今天早上
135720	137440	就是回家去
137440	138280	拜拜
138280	138960	今天滿月
138960	139560	不對
139560	140120	昨天
140120	140680	昨天了
140680	141760	是雷夢滿月
141760	142640	對
142640	144080	然後我們昨天就
144080	145920	本來不知道說要回家拜拜
145920	146360	對
146360	148320	後來也是不知道哪個姑姑
148320	148720	不
148760	151120	好像是麻的同事
151120	151800	哦
151800	152880	說滿月要拜拜
152880	153680	你們知道嗎
153680	154120	嗯
154120	154520	我媽就說
154520	155120	蛤
155120	155880	不知道啊
155880	158040	然後他說要穿那個新衣服
158040	161120	還有帶他送給他的金飾小索片
161120	162160	全身帶滿滿
162160	163280	然後去跟祖先說
163280	165000	我們家有新小朋友囉
165000	165760	要滿月了
165760	166720	這樣
166720	168800	為什麼是滿月只有昨天的事情
168800	169320	滿月
169320	170960	因為滿月之前你很忙
170960	172200	祖先不想要打擾你
172200	172840	不過說實在的
172840	173960	滿月好像真的是一個
175320	176480	就是一個階段
176480	177440	差滿多的
177440	178680	我覺得坐月子真的有這個
178680	179440	有道理
179440	179880	嘿
179880	181680	像比如說大便來講好了
181680	182480	你說小孩的嗎
182480	183240	對小孩的啦
183240	185000	你為什麼要接在坐月子後面
185000	186560	就是說你要在
186560	189120	就是有人幫你撐過這個月很重要
189120	189640	嗯
189640	191400	比方大便你記不記得我們剛回來的時候
191400	192240	我不記得
192240	192840	好吧
192840	193600	那個我們
193600	194840	我們還在一個
194840	196400	大概兩週前
196400	197640	那個時候雷夢是
197640	198800	會邊
198800	199520	吃飯
199520	200280	就是邊喝奶
200280	200920	邊大便
200920	202760	因為他有那個糞口反應
202760	203080	嘿
203080	204000	現在不會了嗎
204000	204960	現在不會了
204960	206480	那時候一天大概大
206480	207880	一天大概十到十五次
207880	208440	嗯
208440	209360	太多了
209360	210160	很多次
210160	210760	真的很多次
210760	211960	現在一天大兩次
211960	212440	一個月的時候
212440	213360	兩到五次
213360	214160	十到十五次
214160	216440	就把孝遠生泡在水裡就好了
216440	217400	基本上
217400	217640	對
217640	219440	但是我們是換的比較勤的啦
219440	220960	稍微有一點就會去換
220960	222360	啊但是就是要一直換一直換
222360	223160	他一直吃飯
223160	223480	嗯
223480	224280	啊現在就
224280	224920	好帶很多
224920	226720	就是他上廁所的頻率不用這麼高了
226720	228520	然後他晚上那一趟睡比較長
228520	230040	那一趟可以睡到六個小時
230040	230520	對
230520	230840	對
230840	233400	但是有精神的時候會變得比以前更有精神
233400	234240	就像現在一樣
234240	235480	對就是死不睡覺
235480	236800	對完全沒有任何到睡覺的跡象
236800	237720	因為吃飽了
237720	238400	但還是要跟你玩了
238440	239280	開心
239280	239880	開心
239880	240800	然後一直偷笑
240800	241400	沒錯
242160	242600	好啦
242880	243200	嗯
243200	243680	然後呢
243680	245000	我們就要滿月嘛
245320	246760	啊就決定要回去拜拜
247040	247440	嗯
247440	247800	嗯
247800	249080	然後我們就把他
249320	250320	穿了一身
250760	252720	我媽送的那個滿月衣服
252720	253520	就是沒什麼
253760	255240	啊重點最後要拜的時候
255240	257080	我要等這個故事轉成這樣
257080	257320	對
257320	258360	重點要講
258360	258760	哈哈哈哈
258760	260280	最後要拜了嘛對不對
260280	261160	就拜祖先嘛
261160	262480	喔你現在講這件事情
262480	263920	當事人現在才會知道
263920	265200	他聽的時候才會知道
265200	265600	對
265600	266800	所以我爸現在才會知道
266800	267080	對
267080	267520	哈哈
268000	268440	然後
