start	end	text
0	8380	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8380	8840	我是雷雷
8840	10060	大家好 我是剪輯師阿端
10060	10840	大家好 我是林聖凡
10840	13120	本集有預錄的廣告喔
13120	18080	本集節目由Plantour21營養與咖啡因系列贊助播出
18080	22880	Plantour21系列是一個專為長髮年輕女生所設計的產品
22880	26340	德國進口含有獨特咖啡因複合物和珍貴營養素
26340	28900	能夠及時幫頭髮補充所需的營養
28900	32300	加強髮根強韌度 改善毛躁斷裂等問題
32300	35700	可以保護頭髮健康生長 維持蓬鬆有彈性
35700	37700	聞起來還會有淡淡的花香味喔
37700	40400	嘿 趁著雙十一來臨之前呢
40400	41360	我們的老客戶
41360	46100	據說他們這次帶著滿滿的專屬折扣優惠誠意回來找我們
46100	50000	我們應該已經介紹到他們不知道是第二次還是第三次了
50000	53740	他們呢 Plantour21這罐三罐洗髮露護髮素
53740	55580	還有頭皮護理精華
55580	56320	已經是我們最新的一款
56320	58880	也是我們浴室的常駐商品
58880	61120	對 就是他們一直都有寄給我們使用這樣子
61120	63200	然後我們自己也是一直滿喜歡的
63200	65760	所以這算是一個比較長期的使用者的身分
65760	67440	來跟大家分享一些經驗
67440	68200	那有些人可能知道
68200	71160	因為我們全家不是之前都在集體感冒嗎
71160	72920	那其實身體狀況不太好的時候
72920	74880	就是你吃不好睡不好的時候
74880	76960	大部分都會反應在女生特別明顯
76960	80120	可能氣色啊 還有你的那個皮膚
80120	81560	其實頭髮也會有差
81560	83720	看起來特別乾乾黃黃的
83720	85200	但是我覺得我的髮質好像還好
85200	86280	雖然我看起來好像有點
86280	87080	倦怠
87080	88520	但是髮質的部分好像還好
88520	90080	沒什麼受到影響
90080	94280	所以就表示說你平常頭皮的保養跟健康真的很重要
94280	96240	對 就是你平常如果你有照顧好
96240	98400	像他們有那個頭皮護理精華露呢
98400	102200	就是廠商說那一款叫做粉紅魔法瓶
102200	105080	就是專門給頭皮擦的一種保養品的感覺
105080	106800	所以吸收很快你又不用沖洗
106800	108880	然後你如果有認真按摩保養的話
108880	110320	你的頭皮就比較健康
110320	113280	就算你可能暫時身體狀況沒有那麼好的話
113280	116240	其實你的頭髮健康狀況也不太會被影響到
116280	119120	所以說你身體的抵抗力已經追不上你的頭髮的抵抗力了
119120	121160	現在可以這麼說
