start	end	text
0	14300	本集有預錄的廣告哦
14300	17760	本集節目由遠東樂家卡贊助播出
17760	20780	遠東上映了解家的定義不是只有一種
20780	23640	以滿足毛孩、小孩、家長為需求出發
23640	25300	推出了遠東樂家卡
25300	28260	15家指定寵物連鎖以及動物醫院
28260	30500	消費最高10%現金回饋
30500	33680	上百家的親子餐廳、民宿、遊樂園、觀光工廠
33680	35580	也都有專屬刷卡優惠哦
35580	38640	我覺得這很適合我們現階段的生活
38640	40780	又有貓 又有小孩
40780	43540	又有大量購物需求的爸爸跟媽媽
43540	46480	針對很多就是會帶小孩子去玩的地方
46480	50200	像現在開始會去一些以前沒有想到過
50200	52420	就是那種專門是民宿在自己的園區
52420	55140	然後裡面有一些動物什麼之類的
55140	57580	以前就覺得說這誰要去那個地方玩
57580	58240	然後關在裡面
58240	59100	在裡面 對
59100	60840	沒有 那就是為我們這些人
60840	61980	為有小孩的人設計的
61980	64200	沒錯 那個時候就只想關在裡面
64200	66720	最好靜靜的輕鬆的玩就可以了
66720	67640	那除了這個之外
67640	69960	我們現在還要買一堆的貓砂
69960	72480	然後像我們還有生鮮購物的需求
72480	73800	要煮貓飯嘛
73800	75920	對 然後某某的話就還有尿布
75920	78480	還有我們辦公室一大堆女性小夥伴們
78480	81760	要用的所有的清潔生活用品等等
81760	84080	其實現在就是我們會負責採購
84080	85720	那如果你是用遠東樂家卡的話
85720	87880	你再愛買家樂福等等的
87880	88640	或是亮飯店
88640	90880	其實刷卡也會有6%的回饋
90880	93880	對 所以每期的上單最高回饋可以到500元
93880	96880	所以對我們這個型態來說非常的合適
96880	99160	我覺得它業配下的非常的有針對性
99160	101000	就是對你們來說要達到它的最高回饋
101000	102160	簡直是輕而易舉
102160	104360	非常的簡單
104360	107320	另外還有些什麼早晚餐的外送
107320	108280	然後我們追劇
108280	110760	中午會看劇用的Netflix Disney Plus
110760	113760	他們也都有8%最高300元的現金回饋
113760	114880	這對你們來說也不困難
114880	115800	量身訂做
115800	117000	天啊
117000	117640	這個
117640	118640	太針對了吧
118640	120240	沒有 我覺得我們這個生活型態
120240	122120	一定有很多家庭也是這樣
122120	124480	那當月累積你刷滿2萬塊的話
124480	125760	它隔一個月
125760	126880	它還可以兌換
126880	128200	兆豐產險
128200	129360	寵物綜合保險
129360	130640	一年期
130640	133320	對 所以就是也有針對你的家裡的貓貓狗狗
133320	134760	去做服務的感覺
134760	137200	然後Friday營營90天免費序號
137200	139320	佐德尼斯SPA課程等等
139320	141320	好禮七選一
141320	142760	等一下 好多喔
142760	144760	數量有限 大家要記得預約
144760	146320	它很多都有很有針對性的
146320	147600	都是一些媽媽啊
147640	150520	爸爸啊 小孩 寵物會很想要的東西
150520	151400	天啊
151400	153000	那我覺得遠東樂家卡
153000	154840	真的是算一張很實用的卡
154840	156640	以我們的日常消費經驗來說
156640	158760	你如果能把每個月固定的花費
158760	160880	然後都集中在同一張卡上的話
160880	163560	那2萬塊的門檻其實也不算太難
163560	165960	那這樣還能享有更完整的回饋
165960	167080	最後還是要提醒大家
167080	168920	謹慎理財信用無價
168920	173000	遠營信用卡循環利率6.74%到14.99%
173000	174240	預借現金手續費
174240	176400	預借現金金額乘以3%
176400	177600	加薪台幣150元
177600	182200	其他費用請自 www.feib.com.tw 查詢哦
182200	185200	現在的時間11月14日
185200	187200	10點48分
187200	189200	Oh my god 好早喔
189200	191600	會這麼早錄完全就是我的功勞
191600	194000	我可是這個晚餐吃完之後
194000	195760	什麼話都沒有說
195760	196840	直接就過來說
196840	197960	我們來開始錄Podcast
197960	198760	沒有去睡覺
198760	200040	沒有進行一個休息的動作
200040	200960	沒有沒有沒有
200960	203200	上禮拜想必大家都在搶這個
203200	204200	什麼
204200	205040	Blackpink
205040	206040	的票對不對
206040	207040	這個問候語都是
207040	208040	你有沒有搶到
208040	209040	這樣子喔
209040	210040	告訴各位
210040	211040	我們搶到了
211040	212040	我們搶到了
212040	213040	我們搶到了一張
213040	214040	我們搶到了
214040	216040	我們搶到這個
216040	217640	差不多三個月前就開始策劃
217640	218440	真的真的真的
218440	220040	我們非常非常努力
220040	222440	我要特地盯鬧鐘起來守著手機
222440	223640	真的真的
223640	226040	我們搶到那個幼稚園說明會的票
228040	230040	真的在搶
230040	232040	還不是錄取資格
232040	233040	是說明會資格
233040	235040	說明會你能不能去說明會而已喔
235040	236880	可是你要去說明會
236880	238880	你才有證取資格
238880	239880	你才能報名
239880	240880	喔
240880	242880	獵人試驗的第一關的感覺
242880	243880	對
243880	244880	荒謬欸
244880	245880	那個什麼
