start	end	text
0	8540	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8540	9240	我是翠翠
9240	10260	大家好 我是阿段
10260	11160	大家好 我是正凡
11160	12440	本集有預錄的廣告
12440	17360	本集節目由相應多功能智慧空乾機贊助播出
17360	21060	台灣呢 其實大家都知道是屬於海島性氣候
21060	23760	冬天濕濕冷冷 夏天濕濕熱熱
23760	24280	沒有錯
24280	25720	反正總而言之就是很濕
25720	28760	如果你有遇到梅雨季節 或是台灣的颱風季
28760	30980	你就會覺得全家都快要發霉的感覺
30980	31360	沒錯
31360	34920	對 那這種潮濕呢 其實特別容易會產生霉菌啊
34920	35780	或者是霉味
35780	37680	甚至會讓家裡的塵蟎滋生
37680	39160	你就很容易誘發過敏
39160	42240	重要的是只要潮濕的鞋子 潮濕的衣服 潮濕的棉被
42240	43940	就會讓你一整天心情很差
43940	46020	直接導致你整個爛掉
46020	47120	有點爛你
47120	52240	對 那我們這次呢 很幸運就是收到相應多功能智慧空乾機的邀請
52240	55960	就是請我們來體驗他們這一台新的空乾機的特色
55960	58200	那首先要介紹的是他們有六個模式
58200	58500	嗯
58500	66940	可以 冬季 夏季的棉被 空乾 暖被 儲滿 溫風烘衣物鞋 送風烘衣物鞋
66940	69500	所以我覺得以功能面來說 他非常的全面
69500	71580	而且他比我想像中還要小巧精緻很多
71580	72380	欸 對
72380	75480	我一開始看他那個介紹 還以為會送一台什麼怪物來
75480	77160	結果他超級小台
77160	80180	對 我覺得放在家裡收納什麼都還蠻方便的
80180	81700	而且他有烘焙的功能嘛
81700	84780	但他沒有任何的就是管子啊 什麼那些
84780	87940	沒錯 他沒有那個什麼烘焙套
87940	88500	之類的
88500	91540	因為我小時候家裡有一台 我很喜歡那一台
91540	92780	但他逐漸被我們家淘汰
92780	96660	就是因為每次要鋪那個烘焙套跟收的時候非常麻煩
96660	98380	就在天氣冷啊 或是潮濕的時候
98380	100020	如果你沒辦法烘焙的話
100020	102580	真的可以讓你整個睡眠的品質就是大提升
102580	104460	增加300倍 我不止
104460	107540	但是收那個管子跟收那個就是什麼烘焙套什麼
107540	109380	可以把那個體驗再講回來
109380	112420	除此之外呢 他們還有幾個比較特別的地方跟大家介紹一下
112420	114660	首先呢 尺碼簡單三步驟
114660	117940	打開多角度出風管 設置到棉被裡面
117940	121700	按下啟動鍵就可以進行暖被囉
121700	122260	再來
122260	123900	Pofo 超大風量
123900	126980	相較舊的機種呢 風量增加20%
126980	128380	雙冷傳也沒問題
128380	131340	最後 Compact 多角度出風設計
131340	133180	移動收納都方便
133180	135380	不用再收納佔空間的軟管了
135380	137700	那溫度時間呢 都可以自己調整
137700	139460	還有減脂感測器
139460	142620	遇到狀況會發出聲音並停止運轉囉
142620	146700	那像我們的房間呢 就屬於冬天特別濕冷的房間
146700	147380	喔 沒有錯 我們這邊
147380	147900	喔 沒有錯 我們這邊
147900	148860	曬不到太陽
148860	151100	對 白天下午都曬不太到
151100	152900	所以到晚上就會特別的冷
152900	154380	因為濕濕的關係
154380	156340	然後冬天有時候被子會覺得很重
156340	156980	啊 對
156980	157980	對 就很不舒服
157980	159140	吸滿了濕氣
159140	160060	超討厭的 超討厭的
160060	161260	那你現在睡覺前
161260	163340	我們就可以開這個暖被功能
163340	163860	沒錯
163860	165660	直接把貓吸進來
165660	166740	把人吸進來
166740	170300	洗完澡鑽進去那一刻真的超級舒服的
170300	173060	啊 但是 就是有一個小缺點
173060	175460	我覺得現在貓咪就會全部卡在我身上
175460	176300	喔 確實
176300	177340	就是會有點擠
177340	177900	但是我覺得是
177900	179340	烘焙的過程
179340	181020	你會等待那個烘焙的過程
181020	181300	對
181300	182220	等他烘完
182220	183140	你再進去
183140	184260	但是貓咪會等
184260	185060	他會先卡位
185060	186420	他會先卡位
186420	187700	好 那即日起呢
187700	190540	到2022年的12月31號為止
190540	192300	你只要在相應的官網購買
192300	193900	多功能智慧烘乾機
193900	195300	就有機會抽中
195300	199500	皇室羽毛工坊頂級羽絨雙人貝
199500	202820	這個貝子本身的價值就要23380塊
202820	203260	喔
203260	204540	非常的值錢
204540	205980	他總共會抽20名
205980	207300	可以有機會獲得這個禮物
207300	208540	那記得大家買完之後
208540	210620	要登錄之後才會有這個機會喔
210620	211620	那資訊欄呢
211620	212780	我們有放了連結
212780	214460	所以大家可以直接去官網購買
