start	end	text
0	5040	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5040	8740	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8740	10740	大家好 我是簡易子阿段 大家好 我是子嫂芬
10740	12740	好 本集有預錄的廣告喔
12740	17880	本集節目由 FOREO Luna4 結面美容儀贊助播出
17880	19720	來自瑞典品牌的 FOREO
19720	24300	這台Luna4 結面儀呢 是它們 2022 年推出的最新款
24300	27520	獨家的動脈科技 可以深入清潔 帶走毛孔髒汙
27520	30180	實驗證明可以清潔臉部99%
30180	31480	髒污還有殘妝
31480	34580	跟傳統的刷毛式的洗臉機不太一樣的地方是
34580	37880	柔軟的抗菌矽膠刷還可以溫和去角質
37880	40980	全肌防水洗澡的時候使用也是完全沒問題的喔
40980	42520	而且它完全沒有耗材
42520	45180	這點真的非常方便而且很環保
45180	46460	針對不同的膚質呢
46460	47920	它們是有不同的肌型
47920	51160	那我這次拿到的是混合肌專用的淺綠色款
51160	53920	還有其他是給敏感肌或是平衡肌使用的
53920	56280	大家可以依照自己的喜好來去做選擇
56280	57580	我自己試用下來
57580	59920	我覺得呢首先在洗的過程中
59920	61380	因為它們有搭配自己的APP
61380	63880	然後設置好之後你自己的洗臉片好
63880	65840	你就跟著那個APP設定的秒數
65840	67440	無腦洗臉就好
67440	69680	像我這種常常會在洗臉的時候飛撩的人
69680	71180	我覺得非常方便
71180	74040	像我剛試用的時候拿到這台洗臉機的時候
74040	76880	我的態度就像我面對其他洗臉機一樣
76880	79680	就是這什麼垃圾
79680	80920	我覺得它一定是噱頭
80920	81840	不是個刷子嗎
81840	85380	對對對我覺得它一定是用來礦錢的產品這樣子
85380	86240	但我自己實際使用
86240	88540	之後呢就像他上面講的洗完臉之後
88540	91540	會很明確的跟你一般用手洗不一樣的感覺
91540	94880	對就是有一種一個你去過角質的那個感覺
94880	96440	對這個感受非常明顯
96440	98940	很酷因為像我自己之前是有習慣固定
98940	103840	可能幾天或一個禮拜會用一兩次的洗臉去角質產品類的人
103840	105540	然後我就覺得說他洗完之後
105540	108640	跟我有去用那個去角質產品類的感覺很像
108640	111040	對就是你就會覺得說好像特別乾淨
111040	112440	好像毛孔都開了一樣
112440	113840	對很酷的那個感覺
113840	115340	對反正我覺得如果是連這種
115340	118040	沒有很認真在洗臉的人都可以感受到差異的話
118040	119080	感受非常的明顯
119080	121900	對所以大家的感覺應該也會很不錯
121900	125740	然後我覺得那種洗完臉很乾淨的那個狀態是非常療癒的
125740	127400	另外一個我也很喜歡的地方就是
127400	130540	他的刷頭跟震動的時候的那個狀態是
130540	132040	我覺得是很舒服的
132040	134580	因為我以前用過一些比較平價的
134580	137340	然後我覺得那個拉扯感有點明顯
137340	139500	但他的是一個很舒爽的smooth的過程
139500	142100	我那時候也覺得說那個他的那個震動就只有
142100	143700	一點點的感覺
143700	144780	所以我覺得這樣有什麼用
145340	147180	期待的就是他就是
147180	148440	震爆
148440	149540	白臉震爛
149540	150780	震爆這樣
150780	152900	所以沒有他是一個就是有點輕柔
152900	153980	甚至就是覺得說
