start	end	text
0	8560	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8560	9240	我是翠翠
9240	10160	大家好 我是阿段
10160	11080	大家好 我是聖梵
11080	16920	本期節目由2013年新年動感冒棠盒贊助播出
16920	18240	此處應有掌聲
18240	22360	我們應該是被催了一個多月了吧
22360	24080	各大版面的留言區
24080	26120	到底要出了沒
26120	27480	明明聖誕節都還沒過
27480	28560	對啊
28560	29800	好早在問
29800	31720	但是今年過年就特別早
31720	32720	有可能
32720	36640	怕沒有辦法年前沒有拿到或是miss掉訊息
36640	38800	或微末我已經賣完了
38800	39440	這個感覺
39440	40320	很刺激
40320	43360	我覺得我們今年年菜比較特別一點
43360	45240	往常是湯罐
45240	46360	然後我們今年很特別
46360	48080	今年是貓糖盒
48080	49160	什麼是貓糖盒
49160	50560	就是我們嚴選的六種
50560	54040	我覺得貓咪都很喜歡的動感口味
54040	58000	然後放在一個像是很可愛的圓圓的鐵盒裡面
58000	59760	就很像小朋友過新年的時候
59760	62520	我們桌上不是都會放一個糖盒的那種感覺嗎
62520	63080	沒錯
63080	63360	對
63360	65160	然後大家那個親戚朋友來的時候
65160	65920	那小朋友就會
65920	66960	像鯊魚一樣
66960	69560	就重新這個畫面
69560	70760	對這個感覺
70760	71880	然後動感的部分
71880	73240	我們也是有稍微想過的
73240	74560	總共分兩個系列
74560	75680	首先第一個系列
75680	79840	就是我們精選了貓咪最喜歡的三種口味做的圓塊動感
79840	80160	沒錯
80160	81360	分別是雞肉
81360	82960	春魚跟鬼頭豆
82960	84320	然後另外一個系列
84320	87720	比較特別一點是很奢華的動感料理
87720	87880	那這個動感比較特別就是我們選了貓咪最喜歡的三種口味做的圓塊動感
87880	88680	這個動感比較特別就是我們選了貓咪最喜歡的三種口味做的圓塊動感
88680	91440	這個動感比較特別就是我們選了貓咪最喜歡的三種口味做的圓塊動感
91440	94120	然後混合在一起再加上保健的成分
94120	100160	然後最後還要搭配一整塊完整的海鮮動感圓塊
100160	103680	我覺得那個在視覺上的饗宴是非常的豐富的
103680	104680	看起來非常奢華
104680	105360	沒錯
105360	107480	最後還有很多人也一直在問說
107480	109240	想要貓春聯
109240	110880	怎麼可能沒有貓春聯呢
110880	113560	我們有新年的年差一定會有貓春聯
113560	116040	那今年一樣是有貓春聯的滿額贈
116040	117320	所以你只要單名訂單
117320	118120	滿699元
118120	118640	就會
118640	120000	直接送給你
120000	121960	然後如果你想要多幾份的話
121960	122520	不用擔心
122520	124880	因為我們貓春聯是可以單手的
124880	126560	所以你可以自己想要的話
126560	128320	可以送給親朋好友都是沒有問題的
128320	129280	不用擔心
129280	130880	那現在的年菜還有貓春聯
130880	133040	都已經在我們的官網上架囉
133040	134480	所以大家要記得點開資訊欄
134480	136280	你們連結去看看囉
136280	138920	那個銷售速度非常快
138920	139760	數量有限
139760	141560	那個每次我們就是真的賣完之後
141560	142160	就很多人說
142160	144000	我才吃一箱
144000	145200	你們真的沒有
145200	146320	真的沒有
146320	147760	沒有就是真的沒有了
147760	148560	所以大家好好把
148560	149200	我集會
149200	150160	沒錯
150160	152160	那剛剛在介紹業配這一段的時候
152160	153840	我都一直插不上話
153840	154440	為什麼
154440	156280	我們剛剛發了貓糖的上架影片
156280	156720	對
156720	157680	然後下面就有人留言說
157680	159080	他已經知道今天的那個
159080	160680	Podcast業配會講什麼了
160680	162120	傳出來說今天贊助的是
162120	165120	這個2023年好味貓糖和什麼
165120	165680	好
165680	169160	阿段就會說好啊
169160	171120	所以我就剛剛想說可惡
171120	175120	我猜到我不能講好啊
175120	176920	不講話真的沒有辦法那個
176920	178400	沒有這個發語詞之後
178400	180840	後面說話都卡住
180840	182840	戲都出不來了
182840	183960	反正你等一下就說好
183960	186160	現在時間是
186160	188200	現在時間是12月20號
188200	189760	凌晨1點12分
189760	191280	然後今天開始先跟大家分享一件
191280	192040	就是很
192040	194120	我覺得很重要的事情
194120	196560	性命攸關
196560	198640	宣導一些事情
198640	201120	就是這個我昨天
201120	203920	昨天應該是今年一整年最冷的一天
203920	205840	入冬以來最冷的一天
205840	206560	對
206560	207640	今年昨天
207640	210080	昨天晚上大概只有個幾度
210080	212440	十度以內
212440	214320	反正我覺得體感溫度0
214320	215880	超冷
215880	217480	然後在前庭提要一下
217480	218680	我們去年
218680	220920	就整修了我們的廚房
220920	221520	對
221520	222600	然後整修廚房的時候
222600	225400	我們就順便把我們家裡的熱水器
225400	226840	換新的
226840	228520	自從換了熱水器之後
228520	230280	一整年過去了
230280	232320	從來沒有沒熱水過
232320	234760	就是突然洗頭洗到一半沒熱水了
234760	236640	新的熱水器穩定性之高
236640	237480	從來沒有發音重重之高
237480	238640	是微電腦那種
238640	241520	就是出來40度就是40度
241520	242600	稍微一點點水過去
242600	244760	他就我要點燃了
244760	246840	完全沒有出現過任何的問題
246840	249440	像之前日夜溫差比較大的時候
249440	252280	他也能維持他的溫度的穩定
252280	255960	他就在等昨天你知道嗎
255960	256960	這個模範生
256960	258920	他就在那邊演了一整年
258920	260120	他就在等昨天
260120	262600	他的理論就是熱水器都很卑鄙
262600	263600	沒錯
263600	264840	我再一次證實
264840	266680	熱水器真他媽的都是一群小人
267480	269880	他在那邊演著一整年的好同學
269880	272760	就在等昨天這個全年最冷的那一天
