start	end	text
0	9400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9400	11400	大家好 我是杰森沙灘 大家好 我是杰森范
11400	17200	本期節目由2023營養士評選 新春禮盒贊助播出
17200	20200	對 我們營養士的禮盒終於來了
20200	23600	我覺得這次這個禮盒內容呢 我們也算是誠意很滿啦
23600	25400	內容物琳瑯滿目
25400	29400	首先呢 我們有大家很喜歡的包包凍綜合組
29400	33200	然後再來呢 也有寶米花 四個口味都各有兩包
33200	37800	然後再來呢 還有我們的 大家都很喜歡的微微奶茶
37800	42400	不只這樣 我們這次微微奶茶呢 裡面還包含了兩個還沒有出的新口味
42400	44000	就讓大家搶先體驗
44000	47600	沒錯 叫做競宣還有蕎麥紅茶
47600	52000	不只這樣 我們還加了一組這個 耶 還沒上市的 和奶茶好夥伴
52000	54800	就是我們的鮮鮮紫米 還有鮮鮮燕麥
54800	57800	我覺得這兩個呢 都是如果你是咀嚼控奶茶人的話
57800	59400	你都會超級喜歡的單品
59400	62400	我們去年營養師品萱的禮盒推出之後呢
62400	65000	就受到大家廣大的歡迎 沒錯
65000	68000	大買回去之後都說 家裡的老人小孩都很喜歡
68000	71400	沒錯 像品萱她爸就很喜歡 全家都醫生
71400	74200	對 然後她爸整個過年都在狂嗑那個包米花
74200	76600	對 對我們是非常大的鼓勵 沒錯
76600	79400	雖然我們品牌的目標族群呢 就是年輕女性
79400	81600	上班族 怎麼說呢
81600	85000	表示我們是全零的啊 全零的
85000	88200	然後總而言之呢 去年已經推出非常的搶手
89400	91400	所以要買又快 沒錯
91400	95800	那現在呢 新春禮盒已經在我們營養師品萱的官網上架囉
95800	101200	所以大家趕快點開資訊欄 到鏈接裡面去看看 好不好
101200	106200	現在時間12月27日凌晨5點22分
106200	109000	我覺得絕對是破紀錄吧
109000	113400	我們平常錄Podcast就是想一個很粗淺的主題
113400	114400	然後我們就直接來錄
114400	117000	大家心中大概有個自己想要講的底 就這樣
117000	119400	所以我們從來呢 會很晚錄的原因都是因為自己
119400	122400	去拖 而不是因為我們真的因為Podcast在準備
122400	124400	有時候是剛好有別的拍攝行程啊
124400	127400	對啦 就是很多雜務去拖 但是今天不一樣
127400	130400	今天我們就是為了錄Podcast 為了準備
130400	133400	所以搞到現在 沒錯 艱辛倍致
133400	136400	稍微想要用心一點點 就會整個時間大爆掉
136400	138400	所以非常可怕 非常危險
138400	140400	好 那在進入今天的主題之前
140400	142400	我們還是要先來刊物
142400	144400	我們收到了一個家長的留言 對對對
144400	147400	我覺得我們必須要來就是做這個刊物的動作
147400	152400	這則留言呢 是NLIU4495的留言
152400	155400	他說好為三人族聖誕平安
155400	158400	首先恭喜攝影師的老婆平安生產
158400	160400	他說今天我想要留言的原因
160400	162400	其實跟我們的主標題無關
162400	164400	也跟翠翠喝喝無關
164400	165400	而是那個我女兒不小心
165400	167400	被我們回覆留言那一part
167400	169400	關於沒有聖誕老公公雷到了
169400	172400	事情是這樣 他小孩今年五歲
172400	175400	因為剛好是週二呢 所以就接他去上才藝課
175400	176400	通常他都會在開車的時間
176400	178400	跟他的女兒一起聽我們家的podcast
178400	180400	上週二呢 原本一切和諧
180400	183400	我笑我的他坐他的車突然畫風一轉
183400	186400	為什麼父母親送禮物要感謝一個穿紅衣的胖子呢
186400	188400	當時我聽到心裡一涼
188400	192400	就是因為我們家呢還有聖誕老公公的傳說
192400	193400	他說五歲的他呢
193400	196400	對聖誕老公公的存在深信不疑
196400	198400	而且幼兒班還有小朋友會聲會語說
198400	200400	我有看過騎過巡路的聖誕老公公喔
200400	201400	吧吧吧之類的
201400	204400	所以他們都深信不疑喔
204400	206400	當下呢我就很猶豫說
206400	207400	現在是要馬上切掉呢
207400	209400	還是應該要繼續聽
209400	210400	但是切掉好像有一種
210400	212400	此地無疑三百兩的感覺
212400	214400	畢竟有可能他可能根本沒有在聽嘛
214400	215400	是我自己在緊張嘛
215400	217400	再加上我心裡總有一種
217400	219400	可能反正遲早有一天他也會知道
219400	221400	那早知道我就不用裝這麼久的
221400	223400	這種矛盾心理
223400	224400	就在我這個猶豫中
224400	225400	我就聽完了這一整段
225400	227400	看後照鏡的時候偷偷看他
227400	228400	好像也沒什麼反應
228400	229400	後來回家之後呢
229400	231400	他也完全沒有跟我提到這件事情
231400	233400	原本以為 pass
233400	236400	他就繼續編造關於聖誕老公的這個謊言
236400	238400	但就在剛剛
238400	239400	就在剛剛
239400	240400	我要重複兩次喔
240400	242400	聖誕老公公要出勤的這一天晚上
242400	243400	他突然問說
243400	244400	媽媽
244400	245400	為什麼好威小姐說
245400	247400	聖誕老公公的禮物是爸爸媽媽送的
247400	249400	是真的嗎
249400	251400	猝不及防來自靈魂的拷問
251400	252400	讓我心涼了幾下
252400	253400	我沒有硬要騙他
253400	255400	我只是訪問他說
255400	256400	那你希望是媽媽送的
256400	258400	還是聖誕老公公送的呢
258400	259400	他說
259400	261400	我希望是聖誕老公公
261400	264400	後來呢我就用一些話術呼嚨過去了
264400	265400	anyway
265400	266400	總而言之就是
266400	269400	突然被我們的這個莫名留言回應
269400	271400	爆了一個雷
271400	273400	他覺得聖誕老公其實也是很有用啦
273400	274400	可以跟他說
274400	275400	小孩要乖乖
275400	276400	就是長大以後
276400	278400	聖誕老公公才會送你禮物之類的
278400	279400	沒有
279400	281400	我們現在要進行一個嚴肅的刊錄
281400	282400	很嚴肅喔
282400	284400	剛剛那個留言裡面有提到
284400	287400	他有朋友就是看到聖誕老公公
287400	288400	跟迷路了嗎
288400	290400	眼見為憑嗎
290400	291400	小朋友不會騙人吧
291400	292400	沒錯
292400	294400	是我們搞錯了
294400	295400	我們現在要來正視聽
295400	296400	好
296400	297400	好
297400	299400	就是這個聖誕老人
299400	300400	他是存在的
300400	301400	肯定是存在的
301400	302400	肯定是存在的
302400	304400	我們真的是沒有經過考究就亂回應
304400	306400	如果他不存在就不會有人看到
306400	307400	對不對
307400	308400	沒錯
308400	309400	肯定是存在的
309400	311400	只是他現在的這個形式有點改變
311400	314400	過去聖誕老公公很傳統的時候
314400	315400	他是坐迷路
315400	317400	然後從那個煙囪下來嗎
317400	319400	所以現在社會的進步跟改變
319400	321400	現在已經沒有煙囪了
321400	322400	沒有煙囪
322400	325400	所以他的這個業務執行的方式有點改變
325400	327400	所以現在會直接把這個禮物
327400	329400	先交給你爸媽
329400	331400	有道理
