start	end	text
0	10060	大家好 歡迎來到好味小姐開束縛 我還你原型
10060	10540	我是翠翠
10540	12260	大家好 我是阿篆 大家好 我是聖聖凡
12260	15500	本集節目由BookWalker贊助播出
15500	19340	BookWalker是全台最多漫畫 輕小說的正版電子書平台
19340	23200	不管是排球少年 咒術迴戰 或是一些長大才可以看的東西
23200	24320	也都可以在這邊找到喔
24320	27640	那電子書呢 就是隨時隨地想看就看
27640	30400	而且價格呢 通常會比紙本還要來得優惠
30400	34680	那好的作品呢 跟作者真的是很需要大家用正確的方法來支持他們
34680	38320	電子書呢 就是其中一種可以輕鬆支持他們的方法啦
38320	42780	那BookWalker呢 每週都會提供各式各樣不同的折扣活動
42780	46860	那新會員首次購書結帳呢 還可以再享79折優惠
46860	49000	就是一則折上加折的概念
49000	53900	那1月30日前呢 廠商還提供我們好味聽眾專屬的100元優惠券
53900	57440	那這個優惠券呢 大家可以在資訊欄裡面免費領取
57440	60440	這次平台呢 也有幫我們挑選了一些熱門的作品
60440	64140	還有一整塊他覺得貓怒們絕對會喜歡的書籍推薦
64140	69240	當中還有我們當然啦 一定要有的好味小姐的日常冒險食料理也在裡面喔
69240	72940	所以有興趣的人記得點開資訊欄裡面的連結進去看看喔
72940	75160	好 所以連結那些是專屬於我們的就對了
75160	76040	這個感覺
76040	77680	然後他裡面有推薦一些東西就對了
77680	79580	他覺得我們的粉絲會喜歡的東西
79580	80440	好 我看一下他推了什麼
80440	80840	好
80840	83660	喔 第一個 咒術迴戰
83660	86300	嗯 這個還行啊 我蠻喜歡的耶
86300	87140	你有看漫畫嗎
87140	87420	有
87420	89420	有啊 我已經把漫畫看完了
89420	90300	你把他追完了
90300	90800	對呀 我追完了
90800	91460	喔 你是漫畫黨
91460	92420	對 我是漫畫黨
92420	94180	喔 咒術迴戰我目前是看完動畫
94180	96380	但是我想就是慢慢等他動畫出
96380	96940	嗯
96940	98860	排球少年 排球少年選好
98860	101260	喔 這個我們在Podcast裡面講過蠻多次的
101260	104980	是可以作為你的這個人生前進的一個明燈的一部作品
104980	107020	唉唷 戀巨人 戀巨人也不錯
107020	108420	你最近在看的對不對
108420	109420	動畫剛推出
109420	109860	嗯
109860	112460	嗯 但是動畫就是喜歡的人喜歡
112460	114700	然後就是有人覺得說他跟原作比較不一樣
114700	115340	喔
115340	115940	這樣子
115940	117420	其實他原作本來就蠻電波的
117420	119660	但是我個人是覺得戀巨人的漫畫超好看
119660	120260	超好看
120260	121100	我覺得超巧看
121100	121980	你一直叫我去看啊
121980	123140	我覺得你不一定會喜歡
123140	124660	但是我覺得
124660	125980	但是我覺得超好看
125980	126380	嗯
126380	128300	好 然後再來就是很有名的Spion Family
128300	128940	也不錯
128940	130180	也蠻可愛的
130180	131940	喔 葬送的福利蓮
131940	132260	哇塞
132260	133300	這是什麼
133300	134900	喔 你沒看過葬送的福利蓮嗎
134900	136620	我選這部那個編輯很有sense
136620	137300	喔 非常有品味
137300	139820	福利蓮聽起來像什麼就是甜點的名字
139820	141660	福利蓮是 她是一個妖精
141660	142540	欸 精靈
142540	143420	妖精
143420	146220	反正她就是跟勇者一起冒險的小隊的成員
146220	146780	嗯哼
146780	147380	就他們幹掉嘛
147380	147980	魔王之後
147980	148460	嗯
148460	150100	然後就是回到平靜的生活
150100	150420	對
150420	152940	然後她的壽命遠比她所有的隊員都還要長
152940	154740	喔 是一個悲傷的故事嗎
154740	155460	不太一樣
155460	156260	整個故事呢
156260	158020	基本上是從勇者過世開始
158020	159260	啊
159260	161420	一開始就是一個哀傷的氣氛喔
161420	162380	因為她壽命很長
162380	162780	對
162780	163660	所以她就閒著沒事做
163660	164020	嗯
164020	164820	所以她就踏上了這個
164820	167500	她曾經跟勇者一起就是冒險的路程
167500	168860	回憶之旅的感覺嗎
168860	169300	對對對
169300	169740	類似
169740	170740	就去重走一次
170740	171460	嗯哼
171460	173140	她本來是一個感情很淡漠的精靈
173140	173620	對
173620	175220	就慢慢的就是回憶起以前
175220	176980	跟勇者發生過一些事情這樣子
177380	178540	然後回顧以前的夥伴
178540	179860	然後認識新的夥伴這樣子
179860	181380	喔
181380	182460	非常的髒鬆
182460	183180	真的假的
183180	183980	超髒鬆
183980	185220	蛤
185220	186860	這種淡淡的療癒的感覺
186860	187460	喔
187460	188060	ok ok
188060	188940	推得非常好
188940	190300	那我想很多人都跟我們一樣
190300	190700	嗯
190700	192580	就是從小都是看盜版漫畫長大的
192580	193420	喔
193420	194740	這其實也不是我們的錯
194740	195100	嗯
195100	196860	我們從小根本就沒有就是
196860	198180	正版的漫畫的來源
198180	199380	喔 沒有正版的平台啦
199380	200060	對
200060	202340	所以我們只能看一些就是人家翻譯的
202340	203180	然後自己掃描的
203180	204420	粗製濫造
204420	206140	然後那個翻譯的文字那裡
206140	207220	有時候它空白的地方
207220	208100	還遮到你的圖
208100	209380	之類的缺頁的那種東西
209380	209980	對對對
209980	211340	好 所以品質非常的不好
211340	211700	對
211700	213660	那現在我們終於有了正版的管道
213660	215420	可以看高品質的作品
215420	216220	沒錯
216220	218380	所以這時候是很適合你把過去喜歡的作品
218380	218940	對
218940	220060	再買回來複習一次
220060	221380	喔
221380	223060	把該給作者的給作者
223060	223860	對
223860	224940	該還的還清
224940	226340	還清
226340	227220	迎接新的一年
227220	228260	再也不要欠過年
228260	229540	沒錯
229540	230460	好 現在時間呢
230460	233460	是1月10日凌晨2點07分
233460	234300	對
234300	236660	我們現在慎重的宣布這個
236660	237180	劉友凡先生
237180	238540	終於在昨天
238540	239540	還是今天
239540	240620	終於
240620	241460	第一次
241460	243540	母嬰同事
243540	245300	欸 差不多好不好
245300	246900	小孩都生出來不知道多久了
246900	247700	差不多好不好
247700	249100	從上小學都長大了
249100	251580	然後我第一天就要寫寒假作業了
251580	253380	但是最後禮拜才寫
253380	254740	但是他母嬰同事前一天
254740	255540	還一直在那邊跟我說
255540	257100	怎麼辦我明天要母嬰同事了
257100	257900	好緊張喔
257900	259820	過多久
259820	260740	兩週
260740	261340	兩週
261340	261940	很久欸
261940	262820	兩週
262820	264260	一開始其實是非戰之罪
264260	264620	對
264620	266220	因為他老婆真的生了太久
266220	267060	所以就是小孩是
267060	268100	就是被隔離起來
268100	270060	觀察了9天10天這樣子
270060	270580	之類的
270580	271540	我記得蠻長的
271540	272340	對
272340	273740	但是後來就回去月子中心了嘛
273740	274220	對啊
274220	275180	可是他回去月子中心之後
275180	276660	他還把小孩擺在那邊
276660	277420	不聞不問
277420	277700	對
277700	278220	沒有不聞不聞
278220	279060	大概快一個禮拜
279060	280740	我每天都有關心他的狀況
280740	282540	然後每天
282540	283780	但是你沒摸過欸
283780	284620	莫名其妙
284620	285420	他不讓我摸啊
285420	285780	對不對
285780	286500	他好像
286500	288100	月子中心好像把爸爸當成病毒
288100	290260	在隔離
290260	290860	就很怪
290860	293220	因為反正他一天到晚都往月子中心跑
293220	293660	對
293660	294380	我一開始還以為說
294380	295300	他就是很認真在照顧小孩
295300	297140	上禮拜已經檢討過懲罰
297140	298860	不管我要再講一次
298860	300580	結果一整個禮拜的時間
300580	301900	他都在月子中心
301900	303100	吃睡
303100	304100	根本沒有摸到小孩
304100	304700	對
304700	305660	這到底是幹嘛
305660	307860	就是去那邊把自己當嬰兒在那邊養而已
307860	310420	大家會以為跟上禮拜是不同一集
310420	311300	不同級
311300	311940	我跟你講
311940	313060	我有一個朋友
313060	314500	他也是最近生小孩
314500	315780	他老婆的就是
315780	316860	體質比較虛弱
316860	317500	對對對
317500	319340	所以他準備了很多中藥啊
319340	320260	燉補
320260	322100	他有看過那個中藥行開給他的那個菜單
322100	323020	燉補清單
323020	323580	對對對
