start	end	text
0	29980	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
30000	59980	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
60000	89980	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
90000	119980	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
120000	126000	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
126000	134640	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
134680	140960	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
140960	144940	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
144960	146160	大家好 歡迎來到好味小姐開束縛 我還你原型
146160	147280	大家好 歡迎來到好味小姐開束縛 我還你原型
147300	147600	大家好 defend class
147620	148760	大家好 defend class
148760	149060	大家好 defend class
149060	149340	大家好不能 effect
149340	149460	大家好 defending
149460	149640	大家好不能 effect
149640	149880	大家好不能 effect
149880	149980	大家好不能 effect
149980	151540	其實講完以後我還是覺得說
151540	153340	天啊我到底之前有沒有講大家好
153340	154380	我想大家好
154380	155860	這個感覺就像是你寫一個國字
155860	156780	老師叫你法寫
156780	157980	你寫到第25遍的時候
157980	159700	你就不知道自己在寫什麼
159700	161980	然後你就一直覺得自己那個字寫哪裡寫錯
161980	163060	喔真的會這樣子欸
163060	163980	喔好可怕喔
163980	166300	欸那我小時候啊就是寫那個國字
166300	167260	比如說寫國有沒有
167260	169060	就是外面有一框的那個
169060	170180	我就會
170180	172580	我就沒辦法掌握那個框的大小
172580	174260	為什麼這個問題
174260	174940	喔會
174940	175340	會嘛
175340	175860	哪會
175860	176940	可能太大或太小
176940	178020	我就覺得那個字很奇怪
178020	178860	你寫國的時候
178860	180380	明明中間有一坨東西要寫
180380	180860	對啊
180860	183420	但他的正確的筆順是像你先把外面框起來
183420	184740	先把ㄇ寫下來
184740	185300	對
185300	187700	啊我怎麼知道我中間寫不寫下
187700	188740	身為一個設計師
188740	190620	這個簡單的尺寸你抓不出來
190620	193060	國小的時候對自己的手掌握能力沒有那麼高
193060	193620	對啊
193620	195300	啊你先把中間先寫好
195300	196220	再把它框起來
196220	197060	啊不是很好
197060	198460	他肯定框得進去啊
198460	201140	但是有可能那個字會變超大或超小
201140	202700	就是你那個字會比
202700	204540	比如說你要寫國民小學的時候
204540	206100	你的國會比民小學大很多
206100	207620	這是為什麼要練習寫字
207620	208260	對啊
208260	208700	喔反正
208700	209900	我就是會框不起來
209900	210420	OK好
210420	211300	然後有一次那個
211300	213540	奇怪我為什麼要知道這件事啊
213540	214460	為什麼
214460	216100	而且我們開頭有這麼長的嗎
216100	217140	不行我已經開始講了
217140	218020	然後有一次
218020	219420	有一次我在寫作業
219420	220860	我爸從旁邊經過
220860	221860	就看著我在寫
221860	224140	總把我覺得他講一件很破很破的事
224140	225740	他就看著我在寫作業這樣子
225740	227380	就是寫那種習作的生字本
227380	228100	喔生字本
228100	228340	對
228340	229700	然後我就寫國嘛
229700	231140	然後我就先框
231140	232940	然後把中間再妥協進去之後
232940	234060	反正框不起來
234060	235700	我爸那時候剛剛在講電話
235700	236660	我就看我爸眼神
236660	238100	我爸好像沒有注意到
238100	238500	對
238500	239500	我就趕快寫個ㄩ
239500	239820	你知道嗎
239820	240740	喔你底下
240740	241660	把底下
241660	242180	變成這樣
242180	243340	寫個ㄩ把它框起來
243340	244500	你幫我挖個地下室
244500	246100	對然後我以為我蒙混過關
246100	248380	下一秒就被我爸摳頭
248380	249780	字怎麼會這樣寫這樣
249780	250860	為什麼會寫不下
250860	252500	我從來沒有這個問題欸
252500	254180	總言之反正以後我都會寫就是
254180	255180	國啊
255180	255660	寫什麼
255660	256660	什麼花圃的圃啊
256660	257500	圃啊對
257500	258900	我就壓力特別大
258900	260860	裡面要放框框的東西你都不行
260860	262100	對這種字我壓力特別大
262100	263380	所以我特別容易在
263380	264980	寫作文還是那種考試的時候
264980	267020	寫到有框框的字我就會
267020	267820	忘記
267820	268220	那個字
268220	269580	中間怎麼寫
269580	271340	我就太注意那個框
271340	274180	忘記中間那坨真正重要的東西
274180	275820	好可憐
275820	277580	隱隱的
277580	278500	好啦
278500	279780	欸然後咧我們平常下一個
279780	280460	喔
280460	282540	本集節目由幻想三國志
282540	284340	贊助播出
284340	285540	常詩要檢視她的業配
285540	287500	人家還以為找不到
287500	290500	找不到還有五分鐘可以解決這件事情
290500	291380	好
291380	293500	為了為了常詩我再講一次
293500	295340	本集節目由幻想三國志
295340	297140	贊助播出
297140	298140	宇峻奧丁
298140	299380	旗下經典RPG
299380	301580	淡金遊戲幻想三國志系列
301580	303460	最新作品幻想三國志
303460	306540	天元一之路已火熱上市
306540	309020	百萬字的豐富劇情跟豪華人氣
309020	310180	深幽單機體驗
310180	313300	讓玩家能夠自由調整遊玩的步調
313300	316220	充滿熟悉感的單人冒險
316220	317220	故事的主角呢
317220	319300	福測是長花樓的密探
319300	321780	同時也是連山格外市弟子
321780	324620	這兩個單位我身為一個過來人
324620	325660	欸我都不知道
325660	327180	所以是新的故事的劇情
327180	327980	對對對全新劇情
327980	331060	長花樓的密探組織呢
331060	334220	連山格則是一個士官聚集地
334220	335660	玩家將深入東漢末年
335660	337740	窺探人神妖魔仙
337740	339380	未曾顯露的秘辛
339380	342140	那本作呢是以二三代承先啟後
342140	343340	所以說他的故事呢
343340	347340	其實在承接在幻想三國志二跟三中間
347340	350980	剛好是在下我有玩到的那幾代
350980	352180	哎呀
352180	354500	他找我業配的時候超開心的
354500	355660	之前就是因為要業配嘛
355660	357300	整天就找他那個什麼
357300	358780	那種宣傳影片來看
358780	359660	對對對對對
359660	360940	然後邊看邊在那邊尖叫
360940	362140	喔是那個誰誰誰
362140	362820	對對對
362820	364580	喔這裡好熟悉喔這個畫風
364580	367300	喔我就一直在那邊驚大驚小怪
367300	369220	啊就是身為那種
369220	371180	以前玩過的舊作的那種人
371180	373620	你就會特別有那種懷念的感覺
373620	374820	嘿所以玩家呢
374820	376500	你可以在這個遊戲過程中
376500	380140	一窺經歷風浪而歸隱的夏浩還有張傑
380140	381260	喔這是三代的主角
381260	381820	三代主角
381820	382340	對對對
382340	383780	欸我剛剛看了一條霧水
383780	385660	我看了誰啊
385660	386420	三代主角
386420	386820	嗯
387300	389740	上為孩童的楚歌及海棠
389740	390500	喔
390500	391380	二代的主角
391380	391940	嘿
391940	392740	熟悉的角色呢
392740	395420	都會在本作中有更完整的故事呈現
395420	396620	那官方目前還有舉辦
396620	399780	助題曲翻唱大賽以及攻略文的爭獎活動
399780	402020	那還要備有iPhone 14 Pro Max
402020	404420	跟Kuji金瓶包等豐厚好禮
404420	405740	讓大家可以拿喔
405740	407300	各位趕快準備動身
407300	409980	讓我們在旅途中邂逅自己的青春吧
409980	410700	哎呀
410700	411340	哇
411340	412660	我有一個小小問題想要問
412660	413500	啊啊
413500	414660	這個蔡姬想要問一下
414660	417260	那個幻想三國志裡面有張飛嗎
417300	418900	有啊
418900	420820	你是扮演一個就是
420820	423100	不是那群人的別的人
423100	424180	的輔助角色
424180	425860	在那個時代下
425860	428140	參與到他們的故事裡面這樣子
428140	428660	我跟你講
428660	429980	他剛剛問過我一模一樣問題
429980	431980	所以說
431980	433660	不是扮演那些三國志的角色
433660	434260	不是
434260	435100	你是另外一個人
435100	435500	對
435500	437300	所以我是一個一直升不了官的副將嗎
437300	438500	哈哈哈哈
438500	439220	不我是說
439220	440140	因為他有一些什麼
440140	443100	先魔妖之類的一個元素在裡面
443100	445540	你要想像說你就是一個遊俠兒
445540	446300	你要想
446300	447100	我用一個
447100	448380	例子我覺得非常的貼切
448380	449980	比如說天龍八部
449980	451220	天龍八部也是一個
451220	453140	跟你知道歷史有一點相關啊
453140	454460	有些外族入侵啊
454460	456540	然後他們幫忙打架的一些
456540	457740	你們到底有沒有看過天龍八部
457740	458060	有啦
458060	458740	就是那些什麼
458740	459660	僑峰什麼的嘛
459660	460900	對對對對對對對
460900	461460	就是他
461460	462820	他也是有歷史背景的
462820	463140	對對對
463140	463900	一些歷史事件
463900	464980	但天龍八部裡的人
464980	466540	都不會被寫進證實裡
466540	467300	哦
467300	469420	但是他們默默的有在參與這一切
469420	470780	舉一個比較現在能夠理解的例子
470780	472100	就是你是穿越過去的
472100	472420	哦
472420	473780	而你不能在歷史上留下你的名字
473780	474700	哦
474700	476020	然後你有一些特殊能力
476020	476580	哦
476580	477300	就是這個意思
477300	478500	大概是這樣子
478500	479900	玄琴記你記不記得
479900	480180	哦
480180	480980	玄琴記
480980	481900	很像
481900	483060	我都不知道在跟誰聊天
483060	485140	然後突然就是提到玄琴記這個東西
485140	485580	嗯
485580	486220	我突然想起來
486220	487180	然後覺得說
487180	489260	那是一個穿越剛開始出現的時候的
489260	490300	穿越始祖
490300	491260	美好年代
491260	491740	就覺得說
491740	493540	哇好新奇好好看這樣子
493540	494020	啊
494020	495900	你們說後來到底發生什麼事情嗎
495900	496820	我不知道欸
496820	497500	我也沒把它看完
497500	498420	我沒看完欸
498420	499580	後來好像是什麼
499580	500420	變成銀正
500420	501900	他是銀正的爸爸
501900	502420	啊
502420	502740	哦
502740	504100	對對對對對
504100	504780	他是銀正的爸爸
504780	506540	他去投入那個呂布韋門下
506540	506580	啊
506580	507140	,對
507140	508940	他好像最後變成呂布韋的老師
508940	509700	嗯
509700	511180	然後搞到最後反正
511180	513060	就是變成是銀正他生的這樣子
513060	514180	啊
514180	514820	好複雜
514820	517020	所以為什麼銀正就是出生這麼就不想
517020	517620	啊
517620	519020	因為他是被穿越的人生下
519020	519700	哦
519700	520700	未來人之子
520700	521700	哦
521700	522260	有道理
522260	523900	好其實就是類似像這樣啊
523900	525660	反正就是在特定時代背景
525660	527020	但是你不是那一群人
527020	528780	但你會不停的遇到一些
528780	530980	你在三國之名看到的一些角色
530980	531420	哎呀
531420	531580	對
531580	533980	然後參與他們的人生跟故事這樣
533980	534420	哦
534420	534660	嘿
534660	536540	我自己是覺得如果你對三國本身
536540	537780	歷史是有一點小興趣
537780	538860	或是有點熟悉的人
538860	540780	你會覺得還蠻有趣的
540780	541780	整個推動的話
541780	543940	你會比較有信心跟有參與感
543940	546580	然後回想起我第一次就是接觸電腦遊戲啊
546580	547900	打電動的這個時刻
547900	548100	哦
548100	549540	你大概在幾歲啊
549540	551740	我印象中好像有點大了
551740	552340	有點哎
552340	554260	你們家是太小的時候是不是不能打電動
554260	555740	我們家是什麼娛樂都沒有
555740	557100	基本上電視要偷偷看
557100	557460	哦
557460	559700	所以我印象中我第一次看到電動
559700	560820	是去我堂哥家
560820	561340	嗯
561340	564180	然後他那個時候在打世紀帝國
564180	565380	世紀帝國哦
565380	565740	哎
565740	566500	是那個
566500	567340	是後面的人
567340	568220	對啊
568220	569540	因為我好像很多東西
569540	571460	我的那個電子娛樂啟蒙
571460	573140	都是在我堂哥家發生
573140	575660	比如說我第一次看到那個小叮噹
575660	576140	嗯
576140	576660	也是在我家
576660	577580	你說卡通嗎
577580	577740	哎
577740	578940	也是在我哥家
578940	580860	小時候我家有買那個卡帶有沒有
580860	581220	嗯
581220	582460	就是說故事那個卡帶
582460	582740	嗯
582740	584260	然後他的主角也是小叮噹
584260	584740	哦
584740	585660	你有聽過
585660	586540	我的主角不是
586540	587300	是一個機器人
587300	588380	但是不是小叮噹
588380	589220	主角不是小叮噹
589220	590260	好爛哦
590260	593500	我的故事主角是一個爺爺
593500	595660	他就是會講故事給他孫子聽
595660	596060	哦
596060	596460	這樣子
596500	598540	我聽的那個主角就是小叮噹
598540	600100	我不知道他到底是正版還是盜版的
600100	600620	嗯
600620	601140	反正就是
601140	602220	所有人物都有
602220	602860	有小叮噹
602860	604500	有大熊 怡靜
604500	604740	那個
604740	605060	哦對
605060	606220	那時候叫怡靜
606220	606460	對
606460	607060	還有小
607060	608820	還有阿福
608820	609780	他是不是叫小夫
609780	610660	叫阿福
610660	611420	阿福
611420	612620	胖虎叫什麼
612620	613380	胖虎叫胖虎
613380	613980	紀安
613980	614180	哦
614180	614660	紀安
614660	615060	哦
615060	615340	哦
615340	616060	就是紀安
616060	616660	哦對
616660	617100	大熊
617100	618460	只有大熊還是大熊
618460	619260	對
619260	620220	是他們的故事
620220	623540	然後都發生一些超級日常的事情
623540	624900	那個卡帶裡面的小叮噹
624900	626460	鮮少拿出道具
626460	627380	來
627380	629500	通常發生那種就是大熊去公園玩
629500	630580	他這把人物授權
630580	632540	他沒有買到道具的授權
632540	633780	大熊去公園玩
633780	634940	然後遇到這個
634940	636180	保安牆的攤位
636180	636740	嗯
636740	638660	然後他就去跟人家保安牆
638660	638980	嗯
638980	639340	對
639340	641740	好神好在地話
641740	643140	然後大熊就去保安牆嘛
643140	643780	欸人家
643780	645660	不聽完他以為不知道什麼是保安牆啊
645660	646700	就是玩那個骰子
646700	647020	玩骰子
647020	648060	然後賭香腸
648060	648540	對對對
648540	649060	這樣子
649060	650580	然後紀安也來了
650580	650860	嗯
650860	651900	大熊就一定會輸嘛
651900	652220	嗯
652220	653460	保安牆他紀安就贏嘛
653460	653820	嗯
653820	655260	贏了他們就在那邊玩得很開心
655260	656180	越玩越大這樣
656180	656540	嗯
656540	657980	後來警察就來了
657980	658620	嗯
658620	659460	警察來之後呢
659460	661340	就把他們全部就是
661340	664460	保安牆的跟那個紀安大熊一行人
664460	666140	全部都抓到警察局去
666140	666460	蛤
666460	666700	為什麼
666700	666980	對
666980	667740	他們就很害怕
667740	667980	喔
667980	669180	要被警察局抓走了
669180	669740	然後紀安就
669740	670300	啊
670300	670780	不要抓我
670780	671420	不要抓我這樣
671420	672300	欸然後呢
672300	673780	所以他們就抓到警察局了
673780	675300	他們爸媽就還把他們領出來
675300	675900	哈哈
675900	677580	什麼東西
677580	679100	莫名其妙
679100	680540	好精彩喔
680540	681580	趕快找出來啊
681580	682460	跟小林
682460	684940	跟小林他一毛錢關係都沒有
684940	685220	嗯
685220	687860	小叮噹在這個情境下弄出任何的道具
687860	689100	直接就犯法
689100	690700	直接被抓去管理任意門
690700	691860	哈哈
691860	692340	足輕型
692340	693140	空氣爆
693140	693540	好可怕
693540	694820	完全沒辦法介入
694820	695260	喔
695260	695740	這樣
695740	697500	所以這是我對小叮噹的這個
697500	698100	影響
698100	699020	好怪喔
699020	700340	那個系列太有趣了吧
700340	701380	我小時候聽到都是
701380	703220	有一個兄妹跟那個機械人去露營
703220	703860	嗯
703860	704380	然後去露營
704380	706380	然後因為弟弟早上懶得刷牙
706380	707540	然後就吃口香糖
707540	707820	嗯
707820	708700	然後機械人就跟他說
708700	709780	欸這樣是不行的
709780	710820	好好刷牙才不會蛀牙
710820	711700	這類的故事
711700	712820	喔
712820	714500	欸我的都是歷史故事欸
714500	714900	都是
714900	717860	比如說在講就是潘古怎麼開天之類的故事
717860	719740	我有另外一個系列也是屬於歷史故事
719740	720140	嗯
720140	721340	啊我就比較沒有印象
721340	721660	嗯
721660	723060	我印象的只有一集
723060	724860	一集是講那個門神
724860	725620	喔
725620	728420	門神是不是想說哪一個皇帝不敢睡覺
728420	730140	有秦蜀寶跟
730140	731380	另外一位是誰啊
731380	732940	我只記得秦蜀寶
732940	733940	怎麼大概我只記得秦蜀寶
733940	734980	什麼誰
734980	735780	反正有兩個人嘛
735780	736980	秦蜀寶跟他兄弟
736980	738340	欸跟他夥伴
738340	739060	他們兩個是門神嘛
739060	740020	他們都是大將嘛
740020	741740	然後就是那個皇帝應該是殺太多人了嘛
741740	742100	嗯
742100	743780	然後晚上睡覺的時候就會做噩夢
743780	744580	對對對對對
744580	746100	一般來說做噩夢就做噩夢嘛
746100	746500	嗯
746500	747900	但是他那個卡帶
747900	749500	特別認真去形容那個噩夢
749500	750940	哈哈哈
750940	751540	超浪漫認真
751540	753700	你的卡帶的目的都是嚇爆小孩
753700	754820	怎麼嚇爆小孩
754820	756340	欸我卡帶都是睡前聽的欸
756340	757100	喔真的喔
757100	758060	窗邊故事啊
758060	758420	嗯
758420	759100	就被嚇爆
759100	760860	他那個卡帶就會有那個
760860	761660	風吹的聲音
761660	762260	喔
762260	763500	風吹的時候窗戶被打開
763500	764580	啪啦啪啦啪啦啪啦啪啦
764580	766020	煙霧就從外面這樣漫進來
766020	766740	啪啦啪啦
766740	767700	然後還有那個窗簾
767700	769060	啪啦啪啦啪啦啪啦啪啦的聲音
769060	769460	嗯
769460	770660	接下來就有一群鬼魂
770660	771660	然後就飄進來
771660	773500	喔喔喔我死得好慘啊
773500	774140	然後就
774140	775620	從那個皇帝一直爬過去
775620	776140	啊好可怕
776140	777020	皇帝在那邊尖叫
777020	777580	啊
777580	778100	哈哈
778100	778900	嚇不著
778900	779820	秦始皇跟他的夥伴
779820	781100	就趕快進來救他們這樣
