start	end	text
0	8100	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8100	8800	我是崔崔
8800	9760	大家好 今天是阿端
9760	10600	大家好 今天是阿端
10600	13260	本集有預錄的廣告喔
13260	16400	本集節目由Zenya戰亞贊助播出
16400	19460	Zenya戰亞是來自新加坡的隱形牙套品牌
19460	23800	致力讓每個人都以合理的價格獲得專業的牙齒矯正服務
23800	25460	你曾經想過要做牙齒矯正
25460	28600	卻因為價格流程的浮動不透明而卻步嗎
28600	32800	Zenya是市面上唯一做到軍醫價收費的隱形矯正品牌
32800	36540	過程中國考認證牙醫全程參與看得到醫生
36540	38460	並且設計專屬的3D動畫
38460	41560	可以預測牙齒變化讓你放心進行療程
41560	44960	APP追蹤與提醒療程進度出國也不是問題喔
44960	49500	Zenya只有兩種定價7萬2的輕矯正以及12萬的全口矯正
49500	53040	而且提供方便又快速的免費線上初步評估
53040	57300	只要上傳基本資料以及4張照片再交由醫生進行評估
57300	58560	確認適合隱形牙套
58560	61560	再約診就可以免去跑好幾間診所諮詢
61560	64920	卻發現自己不適合的時間以及金錢的花費喔
64920	67960	點擊資訊欄專屬連結完成免費評估
67960	70020	後續購買隱形牙套療程
70020	72460	輕矯正7萬2限則5千元
72460	75000	全口矯正12萬限則1萬5千元
75000	79800	那以上資訊分享給大家有興趣的人記得要點開資訊欄去看看喔
79800	85260	現在時間是2月7日凌晨1點23分
85260	88400	我們這個錄Podcast環境做了一個大改造
88400	88500	對
88500	88520	對
88520	88560	對
88560	89260	大改造
89260	90400	不知道大家聽不聽得出來
90400	93120	就是我們去訂了這個窗簾
93120	95960	把我們就是現在錄音的這個地方
95960	96960	包起來
96960	98960	包成一個小隔間的感覺
98960	101000	整個窗簾圍著一圈
101000	102860	其實我覺得看起來有點專業
102860	103520	換個角度講
103520	105420	讓大家一個方便理解
105420	107260	然後可以符合你印象的一個說法
107260	109060	我們現在錄的地方
109060	110720	就像是在辦告別式一樣
112420	113660	我本來以為
113660	115260	我想到的是醫院的病房
115260	116620	我也覺得很像醫院病房
116620	118500	就是你一床會有一個拉門然後
118500	120340	我覺得我這邊更像辦告別式
120340	120800	為什麼你知道嗎
120800	123500	因為就是我們現在坐的位置
123500	126500	是一張辦公室的長桌
126500	126800	你知道嗎
126800	128400	讓我們就是三個人
128400	129800	就是分別在三個角落這樣
129800	131260	對 那個桌子很大喔
131260	134200	跟那個棺木的大小差不多
134200	136400	而且它是石木的
136400	138700	所以我們現在就是圍著一圈
138700	140200	這個窗簾圍起來
140200	142800	然後中間放一個棺材這樣
142800	143440	就是這個感覺
143440	145000	然後我們現在在念經
147000	148460	大概是這樣子的一個畫面
148460	148960	對
148960	151460	因為那個病房那個窗簾是會透光的
151460	152460	因為我們要隔音
152460	153660	所以選了一些特別厚重的
153660	156860	對 全遮光 特別莊嚴
156860	158660	而且還是一個米白色
158660	159960	對 所以大陸
159960	161260	就是今天這集聽一聽
161260	162960	覺得說這個
162960	164360	聲音的品質特別好
164360	166960	所以我們心情特別寧靜的關係
166960	169960	我們被這個場地的氣氛感染了
169960	171760	然後陳春恩剛剛
171760	173960	就是要跟我們分享一個
173960	175720	他今天的一個就是
175720	176460	該怎麼說呢
178460	181960	就是我們今天吃晚餐的時候
181960	183460	然後就在看那個Netflix
183460	184260	不知道看什麼
184260	186460	我就突然看到他推薦給我看那個
186460	187960	骷髏魔法使
187960	189260	而且是第一季
189260	191960	就是我小學二三年級的時候看的那一種
191960	194160	然後就忍不住把它點開來看了
194160	194960	然後剛好一點開
194960	195960	不知道上一個看的是誰
195960	198160	反正我們剛好看到是第一季的結尾
198160	200460	就是要接受那個月的審判那一集就對了
200460	201960	好好好
201960	203960	這個一點概念都沒有嗎
203960	204960	背景太快
204960	207460	大家可能預設大家都知道骷髏魔法在演什麼
207460	208460	OK 怎麼演呢
208460	211460	就是這個骷髏魔法使小鷹呢
211460	214460	他被一隻你知道會飛的老虎
214460	216960	就是那個小可嘛
216960	219960	然後挑選之後他經過一段的鍛煉期
219960	221460	然後收集完所有卡片之後
221460	223460	他最後要接受月亮的審判這樣
223460	225460	他為什麼要經過一陣子的鍛煉期
225460	226460	最後要接受月亮的審判
226460	228960	他夠不夠格成為骷髏的接班人啊
228960	229960	月亮是哪位啊
229960	231960	月亮是雪兔哥啊
231960	233460	不是我是說月亮憑什麼
234960	235460	沒有
235460	237460	他跟小可就是雪兔哥跟小可
237460	238460	這兩個的角色呢
238460	241460	就是骷髏原本的左膀右臂的感覺
241460	243460	對 所以他們一個人負責找接班人
243460	245960	一個人負責做最後的審判這個感覺
245960	247460	他負責做最後的審判的感覺
247460	248460	他工作會不會太輕鬆啊
248460	250460	人家辛苦這麼久
250460	251460	他就最後直接把人家打掉
251460	252960	對 他的工作就是這樣
252960	253960	因為他很愛骷髏
253960	255460	他負責R人的就對了
255460	256960	對對對 這個感覺
256960	258960	真的感覺那個小可很討厭
258960	259960	對 很討厭他耶
259960	260460	沒有 他就是
260460	261460	他就像是那個啊
261460	263460	那個研究所教授跟學生一樣
263460	264460	骷髏牌有幾張啊
264460	265460	欸 我不知道耶
265460	266460	我小時候買的時候有一大堆
266460	268460	經過一百多個試驗
268460	269460	一百多個歷險之後
269460	271460	這個人 我看不下去
271460	272460	對 太矮了
272460	274460	太矮了
274460	275460	太過分了吧 這個小學生
275460	277460	我們這個公司只找過一百六以上了
277460	278460	對 之類的
278460	280460	好 反正我就剛好看到這個最後一集
280460	282460	然後 因為最後一集其實沒有演什麼
282460	284460	最後就是一些就是
284460	285460	我認可你了啊
285460	286460	這種很無聊的劇情
286460	287460	所以他被認可了喔
287460	288460	他當然被認可了啊
288460	289460	那不就Ending了 被認可就好啦
289460	291460	對對對 然後他不行啊
291460	292460	他要再賣一次周邊啊
292460	293460	他不用被打掉
293460	295460	然後最後還要找那個雪兔復仇是不是
295460	296460	沒有沒有
296460	297460	那最後一集
297460	299460	我在看他們看到一半的時候加入
299460	302460	那最後一集的試驗看跟鬼片一樣
302460	305460	他進入一個夢之世界什麼之類的
305460	306460	然後整段大概五分鐘
306460	309460	小英都在一個空蕩的森林啊
309460	312460	還是那個學校的場景裡面切換
312460	315460	然後大概五分鐘都沒有對白
315460	317460	然後最後就是他聽到那個
317460	319460	那個老師的鈴鐺聲醒來
319460	322460	哇 這也很恐怖耶
322460	323460	就是大概是這樣就對了
323460	324460	然後他就跟雪兔說
324460	325460	欸 我沒有要馴服你
325460	328460	我只是希望我們可以變成好朋友之類的
328460	330460	那個時候流行這一套嘛
330460	331460	反正最後他就認可他了
331460	333460	覺得他是一個很優秀的接班人這樣
333460	334460	好的
334460	335460	就這樣
335460	336460	然後我們就直接看到最後一集
336460	337460	我就覺得
337460	339460	我一張卡牌跟一套小英的衣服
339460	340460	我都沒看到
340460	341460	我覺得這樣不行
341460	344460	你知道這整部卡通的精華就是衣服嘛
344460	345460	是嗎
345460	346460	對
346460	347460	是衣服嗎
347460	348460	是啊 是啊
348460	349460	不是卡片嗎 不是
349460	350460	不是骷髏魔法卡片嗎
350460	351460	不是各種超能力嗎
351460	352460	對啊
352460	353460	欸 是說骷髏魔法卡
353460	354460	那卡片是可以玩的嗎
354460	356460	欸 我們以前會硬玩耶
356460	359460	所以它原本設定是不能用來對戰的
359460	360460	不能不能用來對戰
360460	361460	跟那個遊戲玩卡不一樣
361460	362460	沒有沒有沒有
362460	364460	它沒有什麼數值或是那個取向
364460	365460	它本質上應該比較建塔羅牌吧
365460	366460	對對對對對
366460	368460	它比較是收集向的
368460	369460	收集向的
369460	370460	對對對
370460	371460	就是像收集郵票那樣
371460	372460	你要收集
372460	373460	比如說它這個套組
373460	375460	是各個國家系列
375460	376460	然後就把每個國家都收集到
376460	377460	那種感覺
377460	379460	那你說你們以前硬玩是要怎麼玩
379460	381460	硬玩之後就是比如說
381460	384460	其實就會像有點像遊戲玩卡的玩家
384460	385460	玩法
385460	386460	蛤 遊戲玩卡
386460	387460	對對對
387460	389460	我現在擺出一張雪兔神的防守狀態
389460	390460	遊戲
390460	392460	比如說它會使出一張風
392460	393460	它使出一張風
393460	395460	對 然後你就要想要用什麼樣的元素
395460	398460	你是可以抑制風的攻擊或是產生的
398460	399460	靠嘴砲
399460	400460	對 靠嘴砲
400460	401460	你們先說我是這樣子玩的
401460	403460	對對對 有點像就是故事向的
403460	405460	純看你個人的才華去拼的
405460	407460	如果你嘴皮子比較優秀一點
407460	409460	通常都會贏這樣子
409460	410460	你出一張風
410460	412460	我就出一張比如說森林
412460	413460	對
413460	414460	森林就可以把風擋住
414460	415460	然後你再出一個火
415460	417460	然後就把這個森林燒掉
417460	418460	我要吃張水
418460	419460	然後你告訴我
419460	420460	沒有 我的火可以蒸發你的水
420460	421460	之類的
421460	422460	屁 我的水很大
422460	424460	你的火憑什麼會蒸發我的水
424460	425460	之類的
425460	428460	因為它燒森林它現在是很大的火
428460	429460	很大火確實
429460	430460	其實小女孩嘛
430460	431460	有時候是一種你知道
431460	433460	有時候是卡牌裡面的角色的顏值之爭
433460	435460	也會變成一種攻擊的方式
435460	437460	卡牌角色的顏值之爭
437460	438460	你是說
438460	439460	你是說你
439460	440460	明明你
440460	441460	我現在就是森林大火
441460	442460	然後你出了一個就是
442460	443460	花
443460	444460	花超正
444460	445460	花超正
445460	446460	超正
446460	447460	對
447460	448460	我就不行
448460	449460	我輸了
449460	450460	你居然有花可惡
450460	451460	對
451460	452460	在心理上預設就自己輸了
452460	453460	對
453460	455460	就是這麼的沒有道理
455460	457460	硬玩就是真的這麼一回事
457460	458460	感覺還行
458460	459460	感覺還行
459460	460460	感覺蠻有趣的吧
460460	461460	畢竟玩過很長一段時間
461460	462460	但這不是重點
462460	463460	反正就是它那個
463460	465460	算是它的第一季的一個結尾
465460	466460	然後我就想說
466460	467460	我都沒有看到它變裝秀
467460	468460	你知道我之前有分享過
468460	470460	就是我非常喜歡這部動畫的原因
470460	472460	就是因為它每一次出場
472460	474460	都會有新衣服
474460	475460	就是它的好朋友叫芝士
475460	476460	就是它的好朋友叫芝士
476460	477460	是一個就是千金大小姐
477460	478460	然後就是完美的少女
478460	479460	然後就是完美的少女
479460	480460	每次都會幫她做新衣服
480460	481460	每次都會幫她做新衣服
481460	482460	讓她出去就是降妖除魔這樣子
482460	483460	讓她出去就是降妖除魔這樣子
483460	484460	OK
484460	485460	然後我就說
485460	486460	新衣服都沒看到
486460	487460	是怎麼回事這樣
487460	488460	因為它決戰那幾集都穿同樣的衣服
488460	489460	因為它決戰那幾集都穿同樣的衣服
489460	490460	就是很沒有什麼變化
490460	491460	然後我就想說不行
491460	492460	那我們就來看第二季
492460	493460	然後我就想說不行
493460	494460	那我們就來看第二季
494460	495460	好
495460	496460	我們來看一下第二季的那個劇情
496460	497460	我們來看一下第二季的那個劇情
497460	498460	就是
498460	499460	欸你說那個
499460	500460	你說愛里歐是庫洛的什麼
500460	501460	你說愛里歐是庫洛的什麼
501460	502460	分靈體
502460	503460	喔分靈體
