start	end	text
0	9180	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我日翠翠
9180	10220	大家好 我是阿段
10220	11040	大家好 我是林聖凡
11040	12800	本集有預錄的廣告哦
12800	15800	本集節目由PitchJump贊助播出
15800	18440	女生呢 在不同的階段 不同的時間
18440	20220	你的胸部其實都會有一些變化
20220	21800	特別是在每個月的生理期
21800	24000	或是你的孕期 產後哺乳期等等
24000	26320	真的都會特別的脆弱又敏感
26320	28560	有時候不小心撞到或是被撞到
28560	29860	都會痛到飆眼淚
29860	33220	嘿 我們的好朋友PitchJump又回來啦
33220	35180	他們這次要來跟我們分享的是
35180	38540	超彈力Just 和聲自在五缸圈內衣
38540	42020	說實在的 自從合作過第一次到現在
42020	45480	我的內衣櫃裡面都是他們家的內衣
45480	46360	哦 這樣子是不是
46360	48060	對 因為我就是自此以後
48060	51140	我不知道是我長大了 成年了 還是怎麼樣
51140	52920	就是當媽媽不在意了
52920	55180	我就是非常喜歡穿五缸圈內衣
55180	57720	但是五缸圈內衣沒有很好買
58300	59840	因為就是女生有時候會覺得
59840	61200	她如果不夠貼身或什麼樣
61200	62840	你就沒有安全感
62840	64280	所以我覺得好不容易找到我一家
64280	66480	我覺得 啊 非常認可的五缸圈內衣
66480	68240	我就直接買包
68240	70720	所以PitchJump真的是非常非常的支持我們
70720	72000	說實在的
72000	76160	他們知道我們的頻道主持人是兩男一女
76160	77440	他在業配的時候
77440	80800	都買那種就是需要我們大家一起討論的那種方案
80800	83080	我們一定要說出點什麼心得來
83080	84560	我們到底要說出什麼心得
84560	86840	所以我們現在發表一個我們沒有心得的心得
86840	88640	哦 對
88640	89680	沒關係 你們就聽話
89680	90680	確實確實
90680	93120	胸部會有多變化
93120	94320	我們不宜發表太多
94320	97440	太多就變態
97440	100560	好 反正他們就是專門為女生來解決這些煩惱的
100560	101720	好 很好很好
101720	103520	那品牌他們這次挺公開的資料
103520	104880	我覺得有一個還蠻酷的點
104880	107000	他寫到說他們這一款內衣
107000	108000	他的襯墊
108000	109360	襯墊知道是什麼吧
109360	111840	知道 就是那個會掉出來的東西
111840	113280	軟軟的那個
113280	114960	他們那個不會掉出來
114960	116240	它不會掉出來嗎
116240	118320	好 反正他們的內衣的襯墊呢
118320	119520	在日本得到一個評論
119520	125040	他說像是貓肉球 麻糬 吐司般的柔軟
125040	127400	這句話如果讓你們兩個來講
127400	129520	真的超奇怪的
129520	131520	嘿 但是如果我覺得如果你是女生的話
131520	134280	你一定會對這類型的詞會非常有感
134280	135600	我覺得算是很會形容
135600	138120	因為女生就是有時候在穿內衣的時候
138120	141320	那個觸感跟那個就是體感
141320	142520	我覺得很重要
142520	145320	哦 是喔
145320	147640	對 我覺得他的觸感跟包覆感都很好
147640	149200	因為他很早就寄來了
149200	151160	所以我已經穿了一陣子
151160	152920	對 我覺得感覺都很不錯
152920	155040	可以理解他這個形容的部分
155040	157560	然後他的那個肩帶彈性也很棒
157560	158560	就是不會有雷痕
158560	160960	怎麼我覺得在裡面也講這個很害羞
160960	165640	好害羞 生第二個小孩了
165640	167480	這不 就算我生幾個小孩
167480	171280	也不能排除我是少女心的這個事實好嗎
171280	172320	哦 是喔
172320	174120	沒禮貌欸
174120	176000	好 反正就是我覺得算是
176000	178360	我覺得算是進行就是試到內衣裡面
178360	179200	我覺得很不錯的
179200	180960	內衣體驗就對了
180960	181440	確實的
181440	183360	陳村一天到晚在跟我說他買什麼內衣
183360	184760	然後我之前內衣很難穿
184760	186760	但是我很貴他又捨不得丟
186760	187600	這樣子的事情
187600	188760	但我現在已經全部換掉了
188760	189720	我是不是很乖
189720	190920	然後又說這個有鋼圈
190920	193080	所以不能就是怎樣洗要怎樣洗
