start	end	text
0	8480	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8480	9100	我是吹吹
9100	11060	大家好 我是阿段 大家好 我是政帆
11060	13240	本集有預錄的廣告哦
13240	17320	本集節目由Steam Cream蒸氣乳霜贊助播出
17320	22160	來自日本的國民愛用保濕面霜Steam Cream蒸氣乳霜
22160	26660	它們是選用天然精油跟燕麥萃取的植物萃原料
26660	30220	然後透過蒸氣高溫乳化打造水感質地
30220	32660	讓肌膚可以更容易吸收 不會黏膩
32660	35780	蒸氣乳霜呢 它們的容器是使用鋁罐材質
35780	37380	所以輕巧環保之外
37380	39780	它們的包裝設計也非常可愛
39780	41260	會有各式各樣的選擇
41260	44160	像是它們會出一些聯名系列Snoopy啊
44160	46480	米妃兔Lulumi之類的
46480	48460	然後還有一些日本的知名插畫家
48460	50000	像是原田製系列
50000	52620	以及日本的文創品牌新燈色等等
52620	55260	大家都可以在裡面選到自己喜歡的圖案
55360	56260	那另外呢
56260	58100	它們還會針對刺激肌膚困擾
58100	59540	推出一些防護系列
59540	62940	使用不同的香調精油跟特殊的美容成分
62940	67140	所以不論你是喜歡果香調 花香調 還是木子調
67140	69620	通通都可以選到你們喜歡的商品哦
69620	72060	哦 這個它們蠻早之前就寄來了
72060	73020	而且寄很多
73020	75040	可能是因為知道我們小夥伴很多
75040	77640	而且又是女生為主嘛
77640	80600	所以大部分女生都會很喜歡體驗這一類的產品
80600	83480	完全就是針對一個少女心去做打造的
83480	85860	每一個罐子都超級可愛的
85860	87380	而且你覺得它是同一款乳霜
87380	90580	然後會做各自各樣不同的圖案的包裝
90580	91180	對
91180	91940	哎喲
91940	95460	真會做生意
95460	96900	那整個包裝還有盒子
96900	98220	我已經看到那種日本品牌
98220	100980	它們會有的那種細心跟精緻感
100980	102740	很像收禮物的那種感覺你知道嗎
102740	106820	一款產品就創造出有逛街的感覺
106820	108380	有時候女生就會在意這種事情
108380	109980	就是你出門玩的時候
109980	113540	你就會從包包裡面把你的那個乳霜拿出來要擦
113540	115700	如果拿出來是什麼羊油馬油的
115860	119180	然後在質地方面
119180	120740	我覺得其實也還蠻讓我驚訝的
120740	122620	剛才聽到乳霜我有點擔心
122620	126100	因為有時候乳霜給人家印象是比較厚重的感覺
126100	128380	就是感覺擦的時候會很黏膩這樣子
128380	130100	對一層這樣黏黏的
130100	133140	而且它又是可以擦臉擦身體都可以擦
133140	136140	我想說哇要擦在臉上不會覺得很不舒服
136140	140380	結果後來其實我覺得上臉的那個實際使用狀況是清爽的
140380	143100	就是它整體來說就是那個水感蠻夠的
143100	145820	所以你抹開之後就會是那種水感的感覺
145820	147540	不會讓你覺得黏黏悶悶的
147540	151860	所以它的蒸氣是一個輕盈然後水氣豐富的感覺
151860	154420	會讓你有這種體驗
154420	157620	因為這樣我覺得它用量其實也算蠻省的
157620	159500	你就不用塗一大堆很好推
159500	162340	反正我覺得整個從收到包裝到你整個使用
162340	166180	到它的香氣發散出來這整個體驗都非常的完整
166180	167260	推薦給大家
167260	168980	然後我去查過也沒有很貴
168980	170580	對沒有很貴
170580	172060	男朋友可以負擔
172060	174140	他們現在有女王節優惠
174140	175780	就是他們全館每消費買一盒
175820	178740	1200元他就會送你100元的購物金
178740	180660	那如果你消費買2500元
180660	182500	他會只送不賣的
182500	186700	送你那個490元的保濕防曬蒸氣乳霜
186700	188540	所以你除了擦乳霜之外
188540	189780	你可以順便防曬
189780	191340	所以你出門前擦很方便
191340	193060	然後還會有香香的味道
193060	195980	它是SPF33 PA++++
195980	197900	大概30克左右
197900	200660	那5月31號前只要買1200
200660	201580	然後你在結帳的時候
201580	204260	輸入我們好味家的專屬優惠碼Lady Flavor
204260	205780	就能再折50塊錢
205820	207820	那以上的資訊就分享給大家
207820	209340	詳細的資料還有優惠連結
