start	end	text
0	8760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8760	9360	我是吹吹
9360	11200	大家好 今天是阿段 大家好 今天真的很煩
11200	16100	本集呢 是台灣黃世代愛網關懷協會公益廣告
16100	18520	台灣黃世代愛網關懷協會呢
18520	22280	他們其實是一個深耕南部地區已經17年的社團法人
22280	26460	那他們主要呢 就是關心社區中脆弱家庭的孩童跟青少年
26460	30100	然後陪伴每位在成長過程中遇到家庭經濟困難啊
30100	32440	或是家人無法安全照護的小孩們
32440	35780	那成為他們放學之後最溫暖安全的地方
35780	39000	協會呢 主要是以專業的社工 專職老師
39000	41380	以及有愛心的社區志工來組成的
41380	44620	那他們就會全心輔導孩子們的功課還有品格
44620	48080	然後培養他們才藝激發潛力 增加他們的自信心
48080	51360	那因為現在因應就是學習型態有點轉變嘛
51360	53820	就是大量的網路線上課程變多
53820	55580	那協會就有的二手電腦呢
55580	56440	也已經不敷石頭了
56460	58200	使用需要淘汰換新
58200	60560	所以以上就是他們希望我們可以幫忙宣傳
60560	62840	希望有能力的人可以多多幫忙
62840	64940	那詳細的捐款資訊以及協會的介紹
64940	66240	我們也都會放在資訊欄裡面
66240	68440	大家記得要點開來看看喔
68440	72200	現在時間是3月14日凌晨2點54分
72200	73280	喔 3月14日耶
73280	74880	其實是那個 是那個
74880	75680	那是什麼
75680	77020	白色情人節
77020	78520	白色情人節 所以白色情人節
78520	80820	現在今天你應該要送我禮物嗎
80820	82320	不是 不是
82320	85160	白色情人節是男生要送女生
85160	86460	喔 對對對對
86460	87800	是我要送你
87800	88700	你要送我禮物
88700	90060	然後3月14日的時候
90060	91400	你要回應
91400	93500	如果你接受他的愛意的話你要回應
93500	95400	我今天2月14號
95400	96200	你有送我禮物嗎
96200	98240	我們不是已經講好不過去
98240	98840	喔 是嗎
98840	100480	我們不是已經講好不過去
100480	102780	虛幻的情人節了嗎
102780	104940	而且我們不是說情人節只有一個
104940	105940	就是2月14日
105940	107680	我已經收到巧克力了
107680	108880	喔 所以我有送你禮物
108880	109880	這樣目的已經達成
109880	112620	這樣就可以兩相安好就可以了
112620	114280	我們為什麼要多聲波瀾呢
114280	115820	這樣3月14日就是3月14日了
115820	116460	他現在發現他禮物了嗎 他現在發現他禮物了
116460	116760	他現在發現他禮物了
116760	118200	他現在發現他禮物了
