start	end	text
0	7960	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7960	8720	我是槌一槌
8720	9620	大家好 我是槌一槌
9620	10540	大家好 我是槌一槌
10540	12220	本集要預錄的廣告哦
12220	13700	本集節目由
13700	17540	顏尼斯髮根豐盈清涼頭皮敷膜贊助播出
17540	19380	這款頭皮敷膜呢
19380	20740	可以深層進化毛囊
20740	21980	調理頭皮悶氧
21980	22820	改善頭皮屑
22820	23880	強健髮根
23880	25300	像是有頭皮扁塌
25300	25900	出油
25900	26420	悶氧
26420	27100	溢掉髮
27100	28600	或是頭皮有異味困擾的人
28600	29580	都可以試試看哦
29580	31520	那使用的方法也非常的簡單
31520	33380	包裝開口有尖頭的設計
33380	35280	可以輕鬆的擠在自己的頭皮上
35280	36800	用指腹按摩之後
36800	38980	大概等個15分鐘就可以沖洗乾淨囉
38980	40800	那我自己的使用感受呢
40800	42760	首先它的薄荷成分清涼
42760	44140	我覺得蠻有感的
44140	45160	然後洗完以後
45160	47840	頭髮的髮根會覺得很蓬鬆柔潤
47840	49120	第二天也確實覺得
49120	51400	好像不太會有那種頭皮常見的油味啊
51400	52280	或是扁塌感
52280	53760	還蠻舒服的整體感受
53760	55040	我覺得算還蠻不錯的
55040	56120	那這款產品呢
56120	57000	我覺得很適合那種
57000	57840	每天騎車
57840	58840	長時間戴安全帽
58840	59480	就會讓你的
59480	60580	頭皮比較容易悶癢
60580	61320	有味道的人
61320	62840	或者是說你比較在意
62840	64400	你會頭髮扁塌啊
64400	65180	或是染燙之後
65180	66440	沒有辦法每天洗頭的人
66440	67900	我覺得也還蠻適合的
67900	69440	那以上這些資訊呢
69440	71060	就推薦給有困擾的人哦
71060	72440	這次品牌也有提供給我們
72440	73920	好味專屬優惠
73920	75460	點進資訊欄裡面的
75460	76460	專屬賣場連結
76460	77620	消費滿1000元
77620	78960	就會折9張
78960	80000	滿3000元
80000	81180	就有8折優惠
81180	82920	折扣的數量也是限量的
82920	84000	所以大家記得有興趣
84000	85440	一定要點開資訊欄看看哦
85440	89400	現在時間是這個4月4日
89400	89460	我們就來看看
89460	91920	凌晨的3點05分
91920	93760	為什麼放假
93760	95120	連假中間
95120	96460	還要工作呢
96460	97480	奇怪
97480	99480	真的在正中間耶
99480	99860	對啊
99860	101040	今天禮拜一晚上
101040	102080	明天還是放假
102080	103440	後天也放假哦
103440	104920	放到禮拜三哦
104920	105520	放到禮拜三
105520	106960	放到禮拜三是正中間
106960	108100	禮拜三還要放假
108100	108500	對啊
108500	109640	下輩子要工作兩天
109640	109980	對啊
109980	111080	我以為禮拜三就上班了
111080	111880	禮拜三還要放假
111880	112900	所以我們腦波
112900	113960	如果才要變禮拜五更
113960	115040	因為禮拜三停休
115040	117420	所以是放五天假
117420	117860	對
117860	119280	我們更新在
119280	119440	下周
119440	120600	最中間這一天
120600	121340	對
121340	122040	Podcast
122040	123500	而且再加上我們錄製的時間
123500	124280	通常是在凌晨
124280	126680	就是完全在整個vacation的正中間
126680	128080	正中間
128080	131040	其實我們是在前往宜蘭的車上錄的啦
131040	133180	你想像一下這樣會比較開心
133180	133580	會嗎
133580	134780	好可憐
134780	135560	會嗎
135560	136020	會嗎
136020	137020	搞不好在塞車
137020	138680	啊我明天發
138680	139140	沒有啦
139140	140460	要上班
140460	141600	搞不好他們在塞車啊
141600	142800	他們在車鎮裡啊
142800	143740	他們在塞車
143740	144580	一大早耶
144580	144980	對
144980	146500	五六點就塞在車鎮裡
146500	147340	太辛苦了吧
147340	148480	太辛苦了
148480	149360	所以更需要
149360	150360	Podcast啊
150360	150960	真的嗎
150960	151600	對啊
151600	154480	我覺得應該很多人會就是想要提早一點回來吧
154480	155560	至少個一天
155560	156680	提早一點
156680	159080	我們現在連假第三天誰會
159080	160160	我跟你講在塞車
160160	163280	在車鎮中聽到我們的Podcast機率超高
163280	163800	對啊
163800	164400	真的假的
164400	165360	真的
165360	166240	而且他就算出去玩
166240	168640	他也有可能正在點跟點的移動中
168640	169360	哦
169360	169880	對不對
169880	171320	肯定也是要塞到的
171320	171720	哦
171720	172200	嗯
172200	172640	好吧
172640	174240	那反正大家都在玩嘛
174240	174720	對
174720	175720	也不是在上班
175720	175960	嗯
175960	177440	所以想必心情特別愉快
177440	177600	嗯
177600	178360	特別輕鬆
178360	178680	嗯
178680	179360	那我們也不用講
179360	180840	那些特別就是輕鬆的話題
180840	183160	然後就怕大家覺得是上班進行焦慮
183160	184480	然後想幫大家放鬆
184480	184800	不用
184800	185800	他們現在都很秋
185800	186400	他們現在都很秋
186400	187760	除了塞車的部分以外都很秋
187760	188560	現在全世界
188560	190320	台全台灣壓力最大
190320	191960	就是我們三個
191960	192600	好
192600	193760	在這裡工作
193760	194160	很棒
194160	194440	好
194440	195960	那我們今天啊
195960	197920	我準備一個這個
197920	200440	比較具有啟發性的
200440	200680	嗯
200680	202520	影響你人生選擇的一個話題
202520	202920	真的嗎
202920	203880	你不要太嚴肅耶
203880	205920	我們剛從長回來的有點累
205920	206800	超級嚴肅
206800	207720	超級嚴肅
207720	209360	也是我最近的一個很深刻的啟發
209360	209960	嗯
209960	210880	好
210880	213040	通常這個開頭都已經是小波士
213040	214240	我準備好了
214240	215360	來吧
215360	216760	大家有沒有玩過那個
216760	217840	怪獸對打機
217840	218520	沒有
218520	219600	你沒有玩過怪獸對打機
219600	220320	沒有欸
220320	222640	我只有玩過那個電子機
222640	223840	喔電子機也行
223840	224920	我覺得也算
224920	225840	差不多
225840	226640	也算也算算
226640	227760	就是我小時候玩那個電子機
227760	230360	是一個那個小公雞的那個形狀的臉
230360	231560	白色的這樣
231560	232600	對對對很可愛
232600	233200	反正那個世代
233200	233920	我們這個世代
233920	234560	嗯
234560	235920	大概都玩過電子機
235920	236960	或是怪獸對打機
236960	237520	嗯
237520	239080	喔養那個樹貓寶貝
239080	239200	對嘛
239200	240200	那叫樹貓寶貝對不對
240200	240760	嗯
240760	241240	好
241240	243040	我現在跟大家說
243040	243680	嗯
243680	244280	最近喔
244280	245720	有回販賣了怪獸對打機
245720	246960	等一下再跟大家講怎麼回事
246960	247320	欸
247320	248320	所以我們最近就是
248320	250440	有在玩怪獸對打機這個東西
250440	251080	嗯
251080	251800	然後
251800	253240	我剛很負責任的跟大家講
253240	253840	欸
253840	255440	如果你以前玩過怪獸對打機的話
255440	256960	嗯
256960	258800	你應該已經做好生小孩的準備了
258800	259600	什麼
259600	260040	欸真的
260040	260720	真的
260720	261440	真的
261440	262480	真的我跟你講
262480	263880	我們全家
263880	265680	兩個幼兒
265680	267160	兩隻大狗
267160	268000	七隻貓
268000	268920	有大有小
268920	269600	小公幼母
269600	270080	欸
270080	270960	所以全部加起來
270960	271520	嗯
271520	272760	都沒有樹貓寶貝難養
272760	274560	哈哈哈哈
274560	275160	真的嗎
275160	276720	需求比我女兒還要高
276720	277240	哈哈哈哈
277240	278160	高需求
278160	278760	對需求
278760	279360	真的假的
279360	281080	我這輩子沒養過這麼困難
281080	281680	這麼難養的東西
281680	283000	你是說面對著這台怪獸對打機
283000	284200	你寧願去顧蛋餅
284760	285160	不是寧願
285160	286240	他需求程度不同
286240	286960	對就是
286960	288160	好我慢慢給你解釋
288160	289360	我們從頭來
289360	291040	欸我先跟你講一個很驚人的事實
291040	291240	嗯
291240	293240	我發現說你最近在玩怪獸對打機
293240	294840	就我們辦公室有三分之一的小夥伴
294840	296040	不知道什麼叫樹貓寶貝
296040	296640	欸對
296640	298200	世代落差
298200	299040	好可怕
299040	300000	等一下稍微提一下
300000	300400	OK
300400	301280	就是我也熟悉到
301280	303280	為什麼會出現怪獸對打機這個
303280	303920	奇怪的東西
303920	304320	嗯
304320	305760	然後這個
305760	306640	某一天啊
306640	308840	因為反正突然那個傳訊息到我們就是
308840	309840	一群朋友的群組裡面
309840	311520	喔你說那個男友代購群組裡
311520	312040	欸對對對
312040	313200	然後我就說欸欸快點
313200	314280	那個
314280	315640	推出了一個很酷的東西
315640	316080	嗯
316080	317000	就好像樹貓寶貝齁
317000	318040	好像剛好
318040	318800	25週年
318800	319560	喔25週年
319560	319880	25
319880	320600	喔這麼久了
320600	321920	欸
321920	322680	喔25週年
322680	323880	是我年紀太大還是他放得太久
323880	325360	這是我們七八歲的時候
325360	326000	差不多
326000	327120	差不多差不多
327120	327760	欸
327760	329000	所以說他推出了這個
329000	330080	復刻版
330080	330840	喔
330840	331360	不是那種
331360	332680	後來很多進化嘛
332680	333800	變D3啊幹嘛的
333800	334480	我有印象
334480	335560	怪獸對打機已經是
335560	336000	有點
336000	337240	略手掌大
337240	337840	然後
337840	339240	有點高高的一台
339240	340120	後面出了什麼
340120	340440	七
340440	341720	七八九十五
341720	342960	六七八九十之類的
342960	343960	一大堆代了
343960	344280	嗯
344280	345640	我們這個是最原始
345640	346360	第一代
346360	346960	第一代
346960	347640	復刻版
347640	349120	我一直以為你們那台來回很大
349120	350320	結果來好久
350320	351480	對它是最原始的嘛
351480	352080	然後
352080	353600	是彩色的
353600	354440	彩色的
354440	354920	彩色的
354920	355960	不過它以前是黑白的啊
355960	356560	喔
356560	356960	對對對對
356960	357960	就跟電子機一樣黑白
357960	358720	對對對
358720	360600	我現在買這台是彩色的
360600	361600	然後可以插那個
361600	362760	Type-C充電
362760	363000	嘿
