start	end	text
0	8020	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8020	8500	我是崔崔
8500	10220	大家好 今天是阿端 高尔森 盛凡
10220	11840	本集要預錄的廣告
11840	16220	本集節目由VTX防水鞋贊助播出
16220	18500	VTX全新鞋款Crystal
18500	23060	使用超零件發泡技術製成的第一代氮氣大底Central
23060	25080	一體成型 同時又有三種密度
25080	28220	可根據濕地點的不同 給予三種不同的硬度回饋
28220	31480	搭配上高回彈 高緩震 以及不易形變的特性
31480	34340	讓腳掌可以更省力 不論走多遠 或是站多久
34340	35780	都可以更輕盈 更穩定喔
35780	38440	嘿 沒錯 VTX又來啦
38440	41640	他就是完全不放過任何我們想買鞋的機會的那種人
41640	45380	我們現在幾乎每一季他們出新鞋就先寄給我們
45380	48120	我們為了他已經專門再多買一個鞋櫃
48120	53880	沒錯 他就是不讓我們有機會可以買新的鞋子你知道
53880	56000	確實還不需要 攻占我們的鞋櫃
56000	58200	對 那我們這次說到這一款呢
58200	59200	叫做Crystal
59200	64240	那我覺得以外觀來說 大家可能眼睛上看到最明顯就是鞋底變厚了
64240	65960	對 我一開始想說這是啥
65960	68040	我原本有點那個衝擊
68040	68860	喔 為什麼
68860	71660	就是跟我印象中的那個鞋子形態不太一樣
71660	74580	因為他們之前的鞋型都感覺是很貼著腳的鞋型
74580	76820	對對對 但辦公室每每看到都說
76820	79780	這是現在比較流行的這個款式
79780	82200	沒錯 我覺得就是跟牛仔褲很搭
82200	84200	喔 我就是
84200	86700	你不懂 咖啡
86700	87900	對 然後他們這次有特意
87900	93140	跟我們強調說他們的那個鞋底那部分就是特殊的氮氣發泡技術
93140	95280	那我這次去寵物展站了兩天嘛
95280	96280	就是六日兩天
96280	97900	我就是穿這雙去的
97900	100900	對 我覺得感受真的很不一樣
100900	103200	就是你會覺得走路的時候
103200	105400	抬起來彈腳啊什麼之類的
105400	108140	會有一種支撐你的腳底板的感覺
108140	110520	對 就是整個腳底板是很貼合的
110520	112700	所以真的就是你覺得腳比較不會痠嗎
112700	116400	對 然後我有感受到他所謂的那個彈度的感覺
116400	119400	就是你在走路的時候會覺得很舒服
119400	121160	對 我就以一個孕婦來說
121160	123400	我覺得這對我來說蠻明顯的差距的
123400	125900	唉唷 我有點嚇到
125900	128400	超高強度的測試耶
128400	130900	好啦 那至於他們其他那什麼防水特性
130900	132900	我們就不用多說什麼了吧
132900	134400	對 講過很多遍
134400	137400	然後就是沒有一雙會讓你覺得失落或是落差的
137400	139900	那最近呢 我們不是台灣開靜眠一季了嗎
139900	141400	像我那天去寵物展
141400	143400	哎呀 一出門就開始嚇大雨
143400	145400	我就覺得天啊 我真是一個小天才
145400	146400	還沒有出門的時候
146400	148400	我就決定我要穿這雙鞋子去了
148400	149400	哎呀 沒錯
149400	150400	一路暢行無阻
150400	153400	那現在呢 就是他們官網一樣有優惠
153400	155400	就是下單一雙救免運
155400	158400	那你結帳的時候也要記得輸入我們家的專屬優惠喔
158400	161400	Lady F在想爸爸者
161400	163400	那如果你是新加入的會員呢
163400	165400	還可以得到100元的紅利金
165400	168400	那其他詳細的活動資訊我們也都會放在資訊欄裡面
168400	170400	大家記得要點開來看看喔
170400	173400	現在的時間是4月11日凌晨2點36分
173400	174400	Yes
174400	175400	哎 我怎麼頭髮都這麼晚了
175400	177400	因為陳春蘭她這個
177400	178400	同時啊
178400	179400	肚子裡的小孩跟
179400	181400	就是已經生出來的小孩
181400	183400	同時在幼兒反抗期
183400	184400	超白的
184400	186400	裡面外面一起反抗
186400	188400	哎 反正就是我現在最近呢
188400	190400	裡面那個非常的躁動
190400	193400	對 然後就是基本上不能坐
193400	195400	只要一坐下她就會叫我站起來
195400	196400	那種感覺
196400	197400	哦 我女兒也是這樣
197400	199400	對 你女兒也是這樣
199400	202400	這你不是說那個小妻婆她那個胎位不正嗎
202400	204400	她最近慢慢轉回來
204400	205400	沒錯
205400	206400	轉回來之後好像發現說
206400	208400	哎 這個上半身啊
208400	209400	就是頭下腳上
209400	210400	對
210400	212400	那個腳部的空間更寬敞
212400	213400	沒錯
