start	end	text
0	8000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8000	8800	我吹吹
8800	9600	大家好 我是阿端
9600	10500	大家好 我是聖凡
10500	15000	本期節目由我們的新產品好味仙石營養膏贊助播出
15000	15800	誒 沒有錯
15800	19000	你不能講沒有錯 你也不能說好有型
19000	19700	都不行
19700	21900	不跟我講了
21900	24100	就是這個營養膏由來是這樣子
24100	26000	就是我們常常 莫名其妙
26000	29200	我們一直在不停的接收育貓跟小貓
29200	30900	他們會自己找上門
30900	33600	然後通常被我們接到手的時候
33600	35600	有時候可能是流浪一陣子
35600	38500	或是有時候像是一年還是下雨的時候
38500	40100	怎麼樣在車子裡面被抓到
40100	40900	狀態都不太好
40900	43700	對 尤其是護護那時候連眼睛都黏在一起
43700	45300	然後醫生常常推薦我們說
45300	46900	快速幫他增加體重等等的
46900	48600	可以餵他們吃營養膏
48600	50200	然後我們一直都覺得
50200	52300	就是餵那些營養膏的時候
52300	54400	都不知道他們到底在吃些什麼
54400	57600	好像在吃齒輪油
57600	58600	蒸車油
58600	59100	就是一個
59100	59900	膠狀的
59900	60900	稠稠的東西
60900	62500	那實際去研究它裡面的成分
62500	65100	大部分就是很高量的油脂
65100	67100	然後加上一些膠類 蒸熟劑
67100	68300	然後把它做成那個
68300	69900	牙膏狀這樣子
69900	70700	我們就一直在找說
70700	72700	有沒有什麼更天然的選擇
72700	73800	但是一直都沒有看到
73800	74600	沒錯
74600	77400	最後我們就決定自己下海來做
77400	79500	對 我們就是針對像小貓 老貓
79500	81200	還有我們剛剛講到的孕貓
81200	83100	或是你可能就是術後
83100	84000	有時候結紮完
84000	85700	他會需要快速的補充體力
85700	87500	幫助他傷口可以恢復
87500	88800	這段時間的貓咪
88800	89900	他們的需求
89900	92600	然後做了三款我覺得很好吃
92600	93600	然後很好消化
93600	95900	又很好吸收的限時營養膏
95900	96800	那三款裡面
96800	97600	我們都有添加
97600	100600	富含了胺基酸 維生素 礦物質的低基金
100600	102500	那這個東西本身就是又香
102500	105000	然後又可以快速的幫貓咪補充體力
105000	106600	然後我們自己的實驗結果
106600	107600	因為我們在上架之前
107600	109200	都一定會辦試吃活動
109200	111600	那我們是收集超過200隻的貓咪
111600	115000	有93.2%的貓咪表示他們很喜歡
115000	116500	而且即便是挑嘴貓
116500	117500	就是他在問卷裡面
117500	118600	我們問說你家的貓挑嘴貓嗎
118800	121000	大部分人都說我家的貓挑嘴
121000	122000	然後我們就會在問說
122000	124000	你那隻挑嘴貓吃起來結果怎麼樣
124000	129000	大概有90.1%的挑嘴貓也表示很愛
129000	130600	所以在滯口性這一部分
130600	132200	我覺得大家應該是可以蠻放心的
