start	end	text
0	8320	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8320	8840	我是雀雀
8840	9760	大家好 我是雀雀
9760	10560	大家好 我是雀雀
10560	12420	本集有預錄的廣告喔
12420	15800	本集節目由朵茉莉寇贊助播出
15800	17400	朵茉莉寇
17400	18900	我剛剛在旁邊
18900	20480	試唱的超多遍
20480	21680	我很怕玩家
21680	22220	每一批都
22220	24980	有吧 我覺得還算準啊
24980	25860	好啦 我覺得
25860	28060	好 我們的老朋友回來了
28060	30500	就是他們知道我懷孕了嘛
30500	31680	所以他們很早就寄了
31680	33060	他們的全校八點的
33060	35340	30日份套組給我
35340	37180	喔 30日份套組
37180	39180	這個數字非常的巧妙
39180	40280	坐月子套組
40280	42880	就是大家都知道呢
42880	44220	他們的產品是非常溫和
44220	44900	不含酒精
44900	46600	然後也不含人工香料色素
46600	48360	以及任何的化學防腐劑的嘛
48360	50380	所以不論你是產前產後
50380	52300	或是像我現在正在哺乳期的媽媽
52300	53720	都可以安心的使用
53720	55180	那這個份量呢
55180	56440	非常的巧妙
56440	57560	就是剛好我在月子中
57560	59360	是一個月的使用量
59360	60640	所以你就可以直接把整包
60640	61840	放進你的待產包裡面
61840	63240	體積也不會太大
63240	63920	喔 超方便
63920	64640	超方便
64640	65520	想都不用想
65520	66240	你甚至不用想
66240	67560	你要KING什麼東西
67560	69040	就整包丟進去就對了
69040	69680	那很多媽媽
69680	71240	她在得知自己懷孕之後
71240	72640	她很容易會對吃的
72640	74160	或是抹在自己身上的東西
74160	76200	都會特別的小心 注意
76200	76920	因為有時候寶寶
76920	78960	可能會摸你的臉或什麼的嘛
78960	80760	對 所以小孩子出生之後呢
80760	82240	你生活已經很忙了
82240	83480	所以你這時候最需要一個產品
83480	84800	就是她的產品很安全
84800	86360	你可以很放心的相信她
86360	87320	然後再來就是
87320	90400	使用上要非常的簡單方便
90400	91560	就是DOMO NICO她有一個
91560	93080	我覺得超棒的防白機制
93080	94560	就是她所有的全系列商品
94560	96120	都有編號
96120	97880	所以你就照她那個編號
97880	99120	還有她的用量
99120	100120	標好好的用量
100120	101360	直接用在自己的臉上
101360	102240	你都不用想
102240	103200	都不用思考
103200	104120	我覺得最適合這種
104120	106080	我這種懷孕就會變笨的人
106080	107200	那我自己這陣子呢
107200	108720	就是有很乖的在使用她
108720	109800	我覺得比較明顯的感覺
109800	111280	就是她的保濕力是真的好
111280	112440	因為你在月子中心的話
112440	115200	你是24小時都吹著冷氣的
115200	116840	對 所以你就是很容易會覺得
116840	117280	好像
117280	118040	皮膚啊
118040	119680	或是臉乾乾癢癢的
119680	121160	但是我這陣子覺得
121160	122080	穩定
122080	123080	你這陣子覺得穩定
123080	123480	對
123480	124280	難怪我這陣子覺得
124280	126160	我皮膚特別的乾癢
126160	127000	原來是個原因
127000	128600	因為你在月中陪我
128600	130280	都在吹冷氣
130280	131120	對對對
131120	132000	好那最後呢
132000	133040	其實DOMO NICO是想要
133040	134320	我們跟大家分享一下
134320	136320	他們準備了非常澎湃的見面禮
136320	137200	要給新朋友
137200	138280	就是你首次購買
138280	140920	全校8點30日的美肌食肝組呢
140920	141560	他們就會送你
141560	143720	天鵝頸必備的美頸乳霜
143720	144680	還有你外出旅行
144680	146800	非常方便的全校8點3日份
146800	148040	套組
148040	148480	還有呢
148480	150720	日本人心中毛巾界的愛馬仕
150720	152560	精緻毛巾手帕組合
152560	154080	我自己覺得那個花色超可愛
154080	155560	因為他們也有送我一組
155560	156120	那另外呢
156120	157120	現在只要申請他們的
157120	158440	3日份試用套組
158440	159520	還有購買他們的商品
159520	161640	都可以線上刷卡或是LINE Pay囉
161640	163360	以上資訊分享給大家有興趣的人
163360	166160	記得要點開我們的資訊欄去看看哦
166160	169520	現在時間是2023年6月6日
169520	170760	凌晨差不多1點左右
