start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9300	我是TueyTuey
9300	10100	大家好 我是TueyTuey
10100	11100	大家好 我是Eason Fann
11100	13800	本集有來自司法院的資訊分享喔
13800	15800	本集節目受到司法院的邀請
15800	18700	要來跟大家分享國民法官的資訊
18700	20600	其實我們在去年5月的時候呢
20600	23900	也有收到國民法官事情的預告分享
23900	25700	對 那他們今年1月1號起呢
25700	27600	這個制度已經開始實施囉
27600	29400	所以你不需要特定的身份
29400	30900	或是法律的專業知識
30900	32900	只要你是年滿23歲的國民
32900	35900	都有機會擔任國民法官
35900	37200	每一個不同的人生經驗
37200	39100	或是觀點的國民法官的加入呢
39100	40700	其實都能幫助司法判決
40700	42800	可以更接近大家的生活常理
42800	45100	所以他希望大家可以多多參與
45100	46800	那你收到這個法院通知之後呢
46800	49100	你就可以向你的公司申請公假
49100	50100	可以放假
50100	50800	那民眾呢
50800	53600	你就可以依照你擔任國民法官的道庭日數
53600	55700	可以領取日費還有旅費
55700	57600	那他們呢還提供臨時托育
57600	59300	還有照顧的費用補貼喔
59300	60800	所以讓每個人都可以安心
60800	62600	全心的參與這次的審判
62600	64000	然後我弟是律師嘛
64000	66400	所以說回家我就跟他討論這些事情
66400	69400	然後說國民法官會參與的案件
69400	71100	大部分都是比較重的刑案
71100	72000	喔是這樣喔
72000	73900	對像他基本上會參加的是
73900	76400	最低本薪10年以上有期徒刑
76400	77400	10年以上
77400	78600	就是很重的罪
78600	79500	比如說強盜
79500	80800	或是故意犯罪的
80800	82700	導致發生死亡結果的罪
82700	85100	比如說酒駕致死
85100	86400	這就是你會參與的
86400	87700	那我弟就說呢
87700	88500	就是因為你的參加
88500	89300	都是這些重大
89300	90300	刑案
90300	92200	所以這些國民法官都會決定說
92200	94300	別人接下來一輩子的這個走向
94300	94800	我弟就說
94800	97200	這其實需要一些心理素質的
97200	98700	就大家做好心理準備
98700	100500	不是一件就是隨隨便便的事情
100500	103100	不是去玩的
103100	105300	然後呢我之前有看到一些討論
105300	106100	就是說
106100	108400	到底這個國民法官是怎麼運作啊
108400	110700	然後是怎麼樣影響判決
110700	111800	會不會我們只是提供意見
111800	114600	然後法官還是不管他召判他的
114600	115600	然後我還有去研究一下
115600	117600	他的這個運作的方式
117600	119100	就是他到底是怎麼運行的
119100	120000	其實是這樣
120000	122200	就是國民法官會有六位
122200	123500	然後三位法官
123500	126400	所以一共有九個人去參與這個判決
126400	128800	如果你今天要判一個人有罪的話
128800	130300	要大家投票
130300	132500	要有六票以上同意
132500	134300	他才會判他有罪
134300	137200	所以說就是光只有法官覺得他有罪是沒有用的
137200	139500	一定要國民法官也覺得他有罪才可以
139500	141900	而且六票算起來就是即便法官全部都過
141900	144400	另外也要有一半的人過
144400	148100	所以大家是真的可以實質的去參與判決結果這樣子
149100	150600	好那最後呢
150600	153100	因為最近擔心那種詐騙猖狂
153100	154700	所以這則司法院的廣告呢
154700	155900	有特別想要提醒大家
155900	158500	就是國民法官有四步
158500	162700	首先第一個他不會要求國民法官要加入一個賴群組
162700	165800	他擔心說有人利用國民法官
165800	168500	然後就是騙你就是去參加什麼東西
168500	169500	然後其實是詐騙
169500	170600	對對對對對
170600	171900	好他說不會哦
