start	end	text
0	1000	我是翠翠
1000	2000	大家好 我今天是阿段
2000	3000	大家好 我今天真的很煩
3000	5000	本集節目由營養飾品宣出
5000	8000	炫Pasta義大利麵贊助播出
8000	10000	就是我們這個炫Pasta呢
10000	11000	我覺得很方便
11000	13000	它厲害就厲害在它只要3分鐘
13000	14000	你是無料理經驗的人
14000	16000	也可以馬上上桌的義大利麵
16000	17000	是義大利麵
17000	18000	義大利麵
18000	19000	Pasta
19000	20000	不是Pizza
20000	21000	是Pasta
21000	22000	我都已經講了
22000	23000	Pasta
23000	24000	Pasta
24000	25000	Pasta
25000	26000	Pasta
26000	27000	Pasta
27000	28000	Pasta
28000	29000	Pasta
29000	30000	你講了
30000	31000	我第一看到的時候說
31000	33000	你們要出Pizza嗎
33000	34000	太超越了吧
34000	35000	是義大利麵
35000	36000	不是Pasta
36000	37000	那我們的Pasta呢
37000	40000	是使用100%的杜蘭小麥製成的義大利麵
40000	42000	那它是非油炸的珍珠麵體
42000	44000	所以它口感非常Q彈有嚼勁
44000	46000	而且比較不會胖
46000	48000	對 因為它不是油炸的
48000	49000	然後我們這次呢
49000	51000	總共出了兩個口味
51000	52000	就是經過我們內部的夥伴們
52000	53000	所有人的試吃完之後
53000	55000	最後選的這兩個
55000	56000	就是大家都很喜歡的
56000	57000	首先第一個呢
57000	59000	是青草番茄
59000	60000	應該很多女生都喜歡這種
60000	62000	稍微有點酸酸的口味
62000	63000	清爽的口感
63000	64000	而且現在夏天
64000	65000	就會吃起來特別開胃
65000	66000	又不容易膩口
66000	68000	經典版的感覺
68000	69000	然後第二個呢
69000	71000	像我這種喜歡吃一點辣的人
71000	73000	我覺得就非常的喜歡
73000	75000	就是胡椒蝦
75000	76000	胡椒蝦
76000	77000	胡椒蝦本人我也很愛
77000	78000	它做成Pasta之後
78000	81000	我也覺得非常的吸引人
81000	82000	當初你們選了這個口味之後
82000	84000	我也是覺得有點微妙微妙的
84000	86000	居然不是什麼辣炒蛤蜊之類的
86000	88000	現在是在熱炒店嗎
88000	89000	為什麼突然冒出來
89000	90000	胡椒蝦這個口味
90000	92000	可是它意外的跟Pasta
92000	94000	就是非常的協調
94000	97000	就是有點微微的辛辣口感
97000	99000	然後又有點海鮮香氣
99000	100000	其實你在半夜吃到的時候
100000	101000	會覺得很舒服
101000	103000	我事實上覺得說
103000	105000	雖然說它的鈉含量等等的
105000	106000	還是都在我們控制之中
106000	108000	也沒有加一些味精等等的東西
108000	110000	但是它的口味還是
110000	111000	很夠勁的
111000	112000	我覺得是可以的
112000	113000	滿特別的
113000	115000	是文化衝擊的味道
115000	116000	就真的整個吃起來
116000	118000	你會覺得很和諧
118000	119000	但是又會讓你覺得
119000	120000	很爽口
120000	121000	可以一口接一口
121000	122000	然後默默的就把整盤吃掉
122000	123000	那你不要想說
123000	124000	我們好像熱量的控制
124000	125000	會不會很小份
125000	126000	沒有耶
126000	127000	泡完嚇到我耶
127000	128000	還滿大一碗的
128000	129000	我覺得是吃完以後
129000	131000	你真的會稍微有點小飽的感覺
131000	132000	有飽足感
132000	133000	放心放心
133000	134000	而且我們這次在配方上面
134000	136000	都有想盡辦法
136000	138000	就是讓它有一點料
138000	140000	比如像是番茄的那一款
140000	141000	它就有一些
141000	143000	番茄乾的顆粒
143000	144000	然後胡椒蝦
144000	146000	就真的有一兩隻的蝦子
146000	148000	有口感的變化
148000	149000	不會很多時候吃拌麵
149000	151000	就在吃一碗白麵的那種感覺
151000	152000	沒醬的時候
152000	153000	就會覺得那一塊特別的柴
153000	154000	或特別乾
154000	155000	滿特別的
155000	157000	市面上比較少看到類似的東西
157000	158000	真的
158000	159000	因為要慶祝我們
159000	161000	宣帕斯達新上架
161000	162000	所以我們宣帕斯達
162000	164000	現在全部都是八折
164000	165000	如果你是帶兩個口味一起
165000	166000	就是兩件組的話
166000	168000	還有一個77折
168000	169000	非常划算
169000	170000	我們詳細的資料
170000	171000	還有商品的連結
171000	172000	都會放在資訊欄裡面
172000	174000	大家一定要點開來看好嗎
174000	176000	現在時間是6月27日
176000	178000	凌晨3點16分
178000	180000	算是非常的晚
180000	181000	會這樣是因為
181000	183000	我從吃完晚餐之後
183000	184000	沒錯
184000	185000	我想說我先去睡個覺
185000	187000	你說我要去小蜜一下
187000	188000	對
188000	190000	然後我躺到床上之後想說
190000	191000	那不然我來定個鬧鐘
191000	192000	定個11點的鬧鐘
192000	193000	這麼負責任
193000	194000	對對對
194000	196000	結果在我定鬧鐘之前就睡著了
196000	198000	太不負責任了吧
198000	200000	至少給我體力撐過鬧鐘
200000	201000	超意外
201000	203000	大概快2點的時候
203000	204000	趁趁就
204000	205000	太快了吧
205000	206000	把我叫起來
206000	207000	就說黃瑋姐起來了
207000	208000	我大概1點半
208000	209000	就叫你了
209000	210000	然後就驚醒
210000	211000	就要幾點
211000	213000	我說1點40
213000	214000	怎麼會這樣子
214000	216000	罪惡感充滿
216000	217000	不就還好我醒著
217000	218000	因為妻婆在喝奶奶
218000	219000	所以我醒著
219000	221000	然後就講到妻婆
221000	223000	就是我們覺得妻婆跟那個
223000	224000	之前的兩個小孩
224000	225000	就是雷夢跟那個
225000	226000	蛋餅
226000	227000	有份的蛋餅
227000	229000	就是都一個很不一樣的地方
229000	231000	然後造成我們現在顧起來
231000	232000	都會覺得有點
232000	233000	困惑
233000	234000	毛毛的
234000	236000	我覺得可以說是困擾
236000	237000	我媽也覺得毛毛的
237000	238000	就是有點困擾
238000	239000	有點困擾
239000	241000	就是黃雲夢跟蛋餅
241000	243000	都是比較標準的
243000	244000	標準的小孩
244000	245000	就是要嘛在吃
245000	247000	要嘛在睡
247000	248000	沒有什麼其他狀態
248000	249000	要嘛就在哭
249000	250000	基本上就是這個
250000	251000	三個狀態輪迴
251000	252000	反正她只要眼睛張開
252000	253000	沒有在睡覺的時間
253000	254000	不是吃就在哭
254000	255000	對
255000	256000	她現在這個歲數
256000	257000	才兩個多月
257000	259000	所以看她眼睛張開的時候
259000	260000	就知道說如果這時候
260000	261000	不去理她
261000	262000	過一陣子
262000	263000	她就要開始哭了
263000	264000	要開始跳出了
264000	265000	所以通常她一眼睛張開
265000	266000	整個會抱起來
266000	267000	換尿布
267000	268000	餵奶什麼之類
268000	270000	她就是有需求才會醒
270000	271000	但是氣候不一樣
271000	272000	氣候不是這個樣子
272000	273000	基本上從第一天
273000	275000	我們看到她開始
275000	278000	她從出生的第三個小時
278000	279000	開始
279000	280000	就是推回房間那個時候
280000	282000	她就眼睛張開之後
282000	284000	就不會哭
284000	285000	就不哭
285000	286000	她就一直四處看
286000	287000	也沒有要吃
287000	288000	就很奇怪
288000	289000	沒有發出任何聲音
289000	291000	她就是一直四處張望
291000	292000	我就蛋餅大概在四個月
292000	294000	到五個月才學會這個能力
294000	295000	對
295000	296000	然後那感覺很詭異
296000	297000	像是我們
297000	299000	上個禮拜我們帶紅蓉蓉去玩
299000	300000	我們帶她去動物園
300000	302000	然後妻婆就給我媽帶一天
302000	303000	我們回來之後
303000	304000	我媽就把妻婆抱回來
304000	306000	然後跟我說
306000	308000	妻婆怎麼會這樣
308000	309000	媽這樣跟你講
309000	310000	她就這樣跟我說
310000	311000	她就說怎麼會這樣
311000	312000	就是四個小時
312000	313000	就是沒幹嘛
313000	314000	我就四處看
314000	315000	然後你就一直很緊張
315000	316000	想說她到底
316000	317000	要幹嘛
317000	318000	你會覺得她腦子裡
318000	320000	在想什麼壞點子
320000	321000	那感覺
321000	322000	然後就一直看
322000	324000	然後你就覺得毛骨悚然
324000	326000	而且你抱在手上的時候
326000	327000	就是你不是有時候
327000	328000	抱小孩會搖啊
328000	329000	會晃嘛
329000	330000	所以它跟你的軸心
330000	331000	不會一直在固定的位置
331000	333000	它眼睛會像那種
333000	334000	你知道釘在牆上的
334000	335000	一些詭異的話一樣
335000	336000	眼睛會盯著你看
336000	337000	對
337000	338000	有點像是一隻
338000	339000	什麼說雞嗎
339000	340000	雞
340000	341000	你知道雞它會那個嗎
341000	342000	雞就是上下左右移動的時候
342000	343000	它頭會在一個
343000	344000	同一個位置
344000	345000	對
345000	346000	小燕就是你不管怎麼抱它
346000	347000	你抱在什麼角度
347000	348000	它眼睛
348000	349000	它眼睛就是盯著你
349000	350000	它的眼睛這樣
350000	351000	對
351000	352000	直射入你的靈魂
352000	353000	每次我在顧它的時候
353000	354000	然後它只要醒過來
354000	356000	然後我坐在旁邊的沙發上
356000	357000	醒過來的時候
357000	358000	它眼睛就這樣是盯著我
358000	359000	我就覺得
359000	360000	就是被它看了
360000	361000	覺得很不舒服
361000	363000	覺得如坐鎮鎮
363000	364000	我就拿一些那個卡來
364000	365000	然後就把它
365000	366000	你幹嘛
366000	367000	你有毛病
367000	368000	把它躺住
368000	369000	把那個陰牙桶旁邊放一排
369000	370000	擋住它的視線
370000	372000	你放那一排是這樣喔
372000	373000	學習卡
373000	374000	學習卡
374000	375000	我以為你只是怕它就是
375000	376000	有遺漏哪個地方
376000	377000	它沒有看到學習卡
377000	378000	沒有沒有
378000	379000	我想說你看那個卡
379000	380000	你不要看我
380000	381000	對
381000	382000	但是我要放那個卡的時候
382000	383000	不就是要探頭嗎
383000	384000	就變成
384000	385000	把它放在上面
385000	386000	對
386000	387000	對
387000	388000	那它叫做側躺
388000	389000	它可能就是它的那個
389000	390000	就是可能沒有辦法
390000	391000	很快的把頭轉回來
391000	392000	對
392000	393000	對它也會就是
393000	394000	很斜眼這樣
394000	395000	用眼角餘光憋你
395000	396000	用眼角餘光看我
397000	399000	我那天就是餵完奶
399000	400000	然後它不睡覺嘛
400000	401000	但是放在床上
401000	402000	它又會
402000	403000	就是有點嘻嘻
403000	404000	然後我就想說
404000	405000	我要工作
405000	406000	我要去二樓
406000	407000	然後我就把它包去二樓
407000	408000	放在那個外面
408000	409000	那個我們不是客廳
409000	410000	有四顆了
410000	411000	很大顆的藍骨頭上
