start	end	text
0	8300	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8300	9100	我是翠翠
9100	10000	大家好 我是阿段
10000	11000	大家好 我是聖梵
11000	14700	本集節目由我們的凍乾終於不會再缺貨啦
14700	16600	贊助不出
16600	20600	就是我們之前都不太好意思跟大家推我們家的好味貓凍乾
20600	24400	就是因為我們有時候一個不小心就會陷入一個斷貨的窘境
24400	27400	基本上去年一整年都是在缺貨的狀態
27400	30400	一般人應該沒有看到他真的有貨過
30400	32100	傳說中的商品
32100	34900	就是大部分人都會點那個啦 就是貨到通知我
34900	36900	對 他如果貓真的很喜歡的話
36900	39500	他就會在那個缺貨頁面點說貨到通知
39500	42600	然後稍微一有庫存的時候他就會去把貨掃光
42600	44100	對 差不多是這個感覺
44100	47500	基本上你不會看到他的就是庫存出現在你眼前
47500	49200	我們自己都看不太到
49200	51900	那我們這次就是準備了比較充足的量
51900	53900	然後加上最近不是天氣很熱嗎
53900	56300	就是大家可能會觀察到自己家裡的貓咪
56300	57100	不是就是有點
57100	59400	食慾下降的感覺
59400	61100	就是需要一些開胃的小東西
61100	62800	對 那我們家自己也是這樣子
62800	66200	因為我們那凍乾真的是很香很好吃的關係
66200	69300	所以我們也不會給他們平常吃太多
69300	71000	我們也是就是把它揉碎
71000	73600	然後在他們食慾不好的時候撒在飯上面之類的
73600	76100	或者是他們就是今天太可愛了
76100	78100	我必須要獎勵他之類的
78100	79700	的時候我們才會給他
79700	82900	那我們這次就是呼應這個夏天的這個天氣
82900	86800	發出了一個現實的凍乾優惠活動的感覺
86800	89700	就是即日起只要在我們家好味商店買東西
89700	92500	只要訂單裡面包含了好味貓凍乾
92500	94500	你在結帳的時候輸入我們的優惠碼
94500	96400	SOHOT60
96400	97700	就是SOHOT
97700	99400	大家記得都要大寫
99400	101200	SOHOT60
101200	104000	你在結帳的時候就直接幫你折60元
104000	105600	不限金額也沒有其他的條件
105600	107000	大概就是一個這樣
107000	109800	那這個活動會一直進行到月底或是缺貨為止
109800	110900	我覺得應該會先缺貨
113200	114200	我聽到這個訊息的時候
114200	116000	大概是這個活動跑第二天
116000	116600	第二天?
116800	119300	然後那個官網影片已經發出去了
119300	121200	所以就是我也不知道到底還會剩多少
121200	123900	不知道這個早上大家聽到的時候還剩多少
123900	125900	好 總而言之就是這樣
125900	127200	好 現在這個
127200	129300	大家不知道剛剛有沒有聽到一些就是噪音
129300	130200	嗶嗶嗶嗶的聲音
130200	132200	嗶嗶嗶嗶嗶嗶嗶嗶嗶嗶的聲音
132200	133900	好 現在時間這個
133900	135300	7月11日
135300	136800	對 凌晨
136800	137700	3點半了
137700	139000	3點28分
139000	140400	啊
140400	143400	7-11它的就是生日是7月11日嗎
143400	144300	喔對啊對啊對啊
144300	144800	真的嗎
144800	145600	好像是欸
145600	146200	真的是嗎
146200	146600	對
146800	147900	那Open小將吧
147900	150100	生日是7月11號
150100	151000	為什麼突然開始
151000	153000	為什麼突然
153000	156000	因為我看到剛才有人有留言的樣子
156000	158000	就是說他自己生日是7月11號
158000	159400	跟Open小將一樣
159400	161300	然後剛好是Lupac開始的這天
161300	162400	哇
162400	163000	這個感覺
163000	166300	我們幹嘛突然幫人家7-11過關
166300	167700	莫名其妙
167700	170000	好然後呢就是這個
170000	171500	你要講1-1-1-1-1了嗎
171500	172400	對對對
172400	173200	就是寄託啊
173200	174800	我們之前啊前幾集不講說
174800	176200	喔啊這個很安靜
176200	176800	對對對
176800	177600	都不會哭
177600	178600	轉身者
178600	179800	都沒有聲音
179800	181500	眼睛瞪著四處看
181500	183300	看一看之後沒事就睡覺
183300	184100	這樣子
184100	185300	我後來發現
185300	188500	他只是那個時候就是體力還不夠而已
188500	190800	我覺得是就是還在客氣啦
190800	191800	剛來到這裡
191800	194100	他剛出生的時候那個體重比較輕
194100	197200	所以可能那個力還沒續足
197200	199000	出來之後還喝超多奶
199000	200500	就像現在一餐的奶量喔
200500	203800	大概是雷夢當初的可能有兩倍喔
203800	204900	喔差不多差不多
204900	206000	兩倍喔反正喝超多的奶喔
206200	209300	他就是那種慢慢喝喝很多的那種類型
209300	211900	所以說我覺得他的那個體重成長的很快
211900	213600	就他應該出生的時候比雷夢輕
213600	213900	對
213900	217000	但是跟雷夢同一個時間兩三個月他應該已經
217000	218200	超過了吧
218200	219100	超過了
219100	220100	所以他之前只是在蓄力
220100	221300	但是都體力不足
221300	222300	他現在體力足了
222300	223400	比當初雷夢還要更足
223400	224100	對
226200	228700	他也不是說真的就是那種狂暴哭那一型態
228700	231100	沒有他現在就是死不睡
231100	232100	死不睡
232100	232700	硬撐
232700	234000	他發現你沒有在關注他
234000	235300	就稍微嘻嘻喊喊一下
235300	235800	嗯對
236200	237700	就說我沒有睡覺喔這樣
237700	239400	反正印證了我媽說了一句話
239400	240900	就是這個小孩啊
240900	243500	別再訛惡了解
243500	244700	太早誇獎了
244700	245500	還有報應
245500	247000	我媽當時聽到我們拍片在講說
247000	248700	喔那個氣泡很乖啊什麼之類的
248700	249900	他那天早上啊
249900	251400	結果起來在那邊吃飯的時候
251400	252700	他過來跟我說你
252700	254600	你別這樣說啊
254600	255900	不能這樣講
255900	257700	就是有忌諱不可以這樣
257700	259600	傳武還是他還是誰會聽到
259600	260100	之類的
260100	260700	對對對
260700	262300	我們現在就是一個受到報應的狀態
262300	263900	現在世界傳武都聽到了
263900	264600	沒錯
264600	266100	所以我們現在呢就是這是
266200	267100	我的氣泡在錄
267100	267900	沒錯
267900	269400	然後就是昨天啊
269400	270600	我跟陳春蘭進行了一件
270600	271900	我們因做而未做
271900	273400	大概已經兩個月的事情吧
273400	274600	對
274600	276100	真的喔差不多有這麼久
276100	277800	就是我們換季
277800	280700	把冬天的衣服收起來
280700	282300	都已經過端午了
282300	283200	我覺得我跟陳春蘭喔
283200	285100	特別不喜歡換季
285100	285400	對
285400	287400	所以我們每次換季都要拖超久
287400	288700	所以我們這個每次在這個
288700	289600	春夏交際的時候
289600	291100	生物品質都特別差
291100	294000	我們都沒有合適的衣服可以穿
294000	294300	對
294300	294800	然後就是這樣
294800	296100	然後因為我們又懶得換季
296200	297100	所以我們就會
297100	298900	就是會去買一些急用的衣服
298900	299200	對
299200	300200	急用的短袖短褲
300200	301400	因為換季了採購
301400	302100	對
302100	303200	那不是更糟糕
303200	304900	對就會又堆一堆出來
304900	305800	所以昨天真的是不行了
305800	307400	整個衣櫃會要塞爆了
307400	309100	所以我們就只能就是換季
309100	311200	而且昨天剛好是一個很奇跡的時刻
311200	311600	對
311600	313100	所以我們之前換季其實很困難
313100	314200	就首先喔
314200	315500	我們等到有空啊
315500	316400	可以做這些事情的時候
316400	317900	都已經三更半夜了
317900	319600	然後雷夢通常就會
319600	321300	跟我們一起在那個主臥室睡覺
321300	322000	對
322000	323700	啊如果這個時候我就換季
323700	324800	就把它吵醒啊
324800	325500	平平平平
325500	326400	就把雷夢吵醒
326400	326900	對啊
326900	327700	昨天雷夢不知道為什麼
327700	329300	自己跑到那個妻婆的房間
329300	330700	說要跟妻婆一起睡
330700	332200	啊他就在妻婆的房間睡著
332200	332600	嗯
332600	333400	然後我就跟陳春環說
333400	334500	哇現在不是一個
334500	335900	絕妙的時機
335900	337400	就是必須要換季
337400	338500	沒有更好的時機啊
338500	339300	如果今天
339300	340300	昨天不換的話
340300	341600	我們可能真的是要拖到
341600	343200	不知道什麼時候夏天過完吧
343200	343800	有可能
343800	344300	對啊
344300	345900	反正昨天就換季
345900	346600	我後來在想
346600	348100	為什麼我們這麼不喜歡換季
348100	350100	換季都要花這麼多時間
350100	351900	結果這年過三十之後我發現喔
351900	352400	嗯
352400	353600	這個換季這件事情啊
353600	353900	對
353900	355100	基本上是收兩種東西
355100	355400	嘿
355400	356900	一種就是冬天太熱
356900	357900	沒辦法穿的衣服
357900	358400	對
358400	359600	一種就是
359600	360500	再也穿不下的衣服
360500	361900	哈哈哈
