start	end	text
0	8120	大家好 歡迎來到好味小姐開束縛 我還你原型
8120	8720	我吹吹
8720	10360	大家好 今天是阿段 大家好 我是林聖帆
10360	14920	本集由營養食品宣誘 好好果乾水的優惠贊助播出
14920	16820	嗨 最近不是很悶熱嗎
16820	20380	就是靠一個超級口渴 一直想要喝水的時候了
20380	23580	然後我自己又特別的需要喝水 因為我現在在餵奶
23580	26480	但是我很討厭喝沒味道的水
26480	29520	然後我現在就是每天都要強迫自己喝水
29520	31360	我就要想辦法讓它變得有味道
31360	35440	所以我就請我們的小夥伴從倉庫拿了超多喝果乾水回家
35440	36400	還有自肥的部分
36400	40360	現在還有特殊的需求 因為以前是很愛喝奶茶
40360	43180	但是最近你是喝到奶製品會
43180	45500	氣泡就會拉肚子
45500	48600	所以現在唯一的選擇你就剩下果乾水
48600	50180	所以我最近就直接整個喝飽
50180	54200	然後我也覺得現在這個時間非常適合推薦給大家
54200	57120	就是你又熱 又需要補充水分的這個時候
57120	59500	我們一定要來推出一個好好果乾水的優惠
59500	60740	給大家
60740	63120	那這是蠻特別的 我覺得還不錯
63120	64880	有兩波的優惠
64880	68260	首先第一波就是搭配給大家一個超級可愛
68260	71300	超級漂亮的玻璃水瓶
71300	74460	因為我自己現在就是常常有時候樓上樓下走來走去
74460	75620	我覺得有水瓶超方便的
75620	78960	我就提著走 因為我們那個水瓶除了玻璃瓶身之外
78960	81420	它還有一個就是保護它的套子
81420	83700	對 防衝擊的套子 有個把手
83700	85500	有個提著它到處跑這樣子
85500	87740	所以我現在基本上每天都掛在我的手上
87740	89340	然後我們那個水瓶就很多
89340	92220	市面上的玻璃瓶看起來就是很好看
92220	94300	你知道嗎 就是那個瓶口窄窄的這樣子
94300	96960	就像大家想像中的漂亮的玻璃瓶這樣子
96960	98540	但是那個用來裝果乾水
98540	99380	很致命
99380	101880	你的果乾水永遠倒不出來
101880	103720	它就是卡在裡面你就要用挖的
103720	104760	對 很難洗
104760	107180	或者是你進去之前就把它踩水之類的
107180	108040	就很麻煩
108040	110040	所以我們當初我們在選擇的時候
110040	112640	我們就選擇了一個廣口的瓶子
112640	113460	對
113460	115460	果乾丟進去 果乾倒出來
115460	116580	都不會有任何的阻礙
116580	118460	而且你還可以很暢快的加冰塊
119340	122140	沒錯 太重要了
122140	124220	在夏天這一點超重要的
