start	end	text
0	8320	大家好 歡迎來到好味小姐開束縛 我還你原型
8320	9020	我是翠翠
9020	10060	大家好 我是傑恩沙端
10060	10780	我是任凡
10780	12900	好 本集有預錄的廣告喔
12900	16080	本集節目由賽吉兒贊助不出
16080	18440	台灣的夏天真的非常的濕熱
18440	20780	對於私密護理都極度的不友善
20780	23940	所以平時如果你沒有好好做你的清潔跟保養的話
23940	27440	等到出問題你就只能硬著頭皮去看婦產科找醫生了
27440	30700	像女生在生理期或是你的孕期的時候
30700	33620	可能會因為荷爾蒙的刺激分泌物會變得比較多
33620	37140	那pH值的改變也會讓你的私密處變得比較敏感脆弱
37140	38720	那這次懷孕的期間呢
38720	43080	我就是收到那個賽吉兒他們提供一系列的私密處清潔保養產品
43080	45500	讓我可以平安順利度過這次的產期
45500	46780	那我自己覺得呢
46780	49060	比較特別的是他們有跟我分享一個東西
49060	50840	就是產後護理的小撇步
50840	52440	就是去買一個很大的盆
52440	54900	然後在裡面呢放煮沸過的溫開水
54900	56300	然後適量的倒入他們
56300	57420	這是給我的加強型
57420	59140	淋露然後混合均勻之後
59140	62220	你可以大概做個三到五分鐘再用清水沖洗
62220	64900	那我自己覺得最大的幫助就是可以改善意味
64900	66380	因為有時候可能悶熱啊
66380	68220	會比較會有容易有味道跑出來
68220	70400	那我覺得如果是孕期產後的媽咪
70400	71680	可能在排二路的階段
71680	73040	你會覺得特別的有感
73040	73880	那賽吉兒呢
73880	76680	他們是在歐洲熱銷50年的私密保養品牌
76680	78380	那他們的成分很單純
78380	80860	那味道呢都是淡淡的草木植物味
80860	82660	我覺得聞起來還蠻舒服的
82660	84820	針對不同的年齡層還有需求
84820	85920	他們的男女呢
85920	87400	都有推出一系列的清潔
87400	88120	保養品喔
88120	90060	從三歲開始到熟齡期
90060	92240	大家都可以找到適合自己的產品喔
92240	94580	那即日起一直到9月30號呢
94580	96200	賽吉兒的官網結帳的時候
96200	99020	記得輸入我們好味小姐的專屬優惠碼
99020	100200	Lady150
100200	102740	最高就可以限軸150塊錢
102740	104340	那除了在官網之外呢
104340	105200	在屈臣氏
105200	107380	康氏美或是寶雅之類等等的
107380	109180	連鎖藥妝店也都可以買得到
109180	110400	那詳細的資訊呢
110400	111520	我們會放在資訊欄裡面
111520	112920	大家可以點開來看看喔
112920	114760	好現在時間
114760	116440	2023年
116440	117380	8月1日
117400	119160	凌晨1點15分
119160	120120	8月了
120120	122760	真的8月了
122760	123640	9秒
123640	124480	6個小時後
124480	126080	7個小時後要上學啦
126080	128200	我在外面上幼稚園了
128200	129340	好可怕喔
129340	130940	我今天一整天就是魂不守舍
130940	132100	我也是欸
132100	132700	就是其實也沒有
132700	133400	這麼誇張
133400	134060	真的
134060	135360	就其實也沒有怎麼樣
135360	137240	但是就是覺得今天魂不守舍
137240	138960	做什麼事都沒勁
138960	140160	然後就一直很
140160	141520	虛虛的
141520	143280	就魂不守舍
143280	143640	對啊
143640	145640	我上次我這個感覺是在這個
145640	146440	結婚前一天
147400	149400	我結婚前一天倒是還好
149400	150800	就是我也是魂不守舍
150800	153520	就是因為也不是說會怎麼樣
153520	155020	因為你都已經跟陳春燕在一起這麼久
155020	157000	結婚這件事情對我來說沒有壓力
157000	158880	但是因為隔天有太多
158880	160500	未知的事情的感覺
160500	161280	太多人
161280	162080	太多儀式
162080	163200	太多事情
163200	164080	要處理什麼
164080	165240	讓我有點
165240	166800	而且一方面來說
166800	168400	就是其實不是你在處理
168400	169620	就是是那個什麼
169620	171280	是沒人拿他們去處理
171280	172920	就是基本上交給提供杯
172920	173180	對
173180	174200	就是說我只要出現
174200	175200	然後就被拉來拉去
175200	177240	就是我沒有掌控權
177240	177720	對
177720	179720	我不知道這個事情會怎麼發展
179720	180120	對
180120	181520	所以就讓我有點緊張
181520	182960	然後結婚前一天
182960	184840	我就是一整天都虛虛的
184840	186000	晚上也睡不好
186000	186760	這樣子
186760	189760	今天的感覺就跟那個時候一樣
189760	192520	我好像可能會是口試吧
192520	193920	口試之前嗎
193920	195520	口試你怎麼會
195520	196760	口試你可以自己掌握啊
196760	197920	不是我已經練習到
197920	198720	我覺得我閉著眼睛
198720	200200	都知道下一張稿是什麼
200200	201400	但我還是很擔心我一上台
201400	202240	我就會吐之類的
202240	203440	你口試有練習喔
203440	204280	廢話
204280	206600	我們有計時20分鐘內一定要講完啊
207240	207720	真的喔
207720	208160	對啊
208160	208920	我們老師超嚴格的欸
208920	210080	準備太矜持了
210080	211600	我們會有一個就是學長
211600	213080	在就是整個教室的最後面
213080	214320	然後他剩10分鐘的時候
214320	215880	他會舉牌
215880	217840	我們Lab就是這麼的嚴格
217840	219560	超過一分鐘都不行
219560	220880	我跟宥偉凡還有我們學長
220880	223080	我們是這個在那一天
223080	224480	隔天要口試的那天晚上
224480	226560	大概11、2點吧
226560	228760	我們才正式從那個工廠
228760	230120	模型工廠撤收
230120	230600	喔真的
230600	231800	就是我們終於把模型做完了
231800	232720	我們做到最後一刻
232720	233800	對然後我們就去那個
233800	235920	我們那個發表的場地
235920	236920	因為我們是創作組嘛
236920	237000	對啊所以我們就去那個發表的場地 因為我們是創作組嘛
237000	238120	然後把東西擺出來
238120	238560	對啊
238560	239960	我們就把我們東西在那邊擺一擺
239960	240440	擺好
240440	241000	燈架一架
241000	242440	覺得說喔帥帥的這樣
242440	243800	那我們三個人就開始坐下來
243800	244640	做Powpoint
245960	247240	太扯了吧
247240	248280	在那個時候現場
248280	249960	我們在我們的口試場地
249960	251000	欸我跟你講
251000	251720	開始做Powpoint
251720	253960	我們Powpoint是提前一個月就做好
253960	255000	而且我們已經在Lab
255000	256920	就是發表給大家聽過三次
256920	257640	哇塞
257640	258680	然後這三次
258680	260440	每次都會改PPT
260440	261800	然後老師也會檢討你的PPT
261800	263400	哪裡做得好或哪裡做得不好
263400	264560	哇我在口試的時候
264560	266680	我Powpoint下頁什麼都要拆了
266680	268680	哈哈哈哈
268680	269240	而且
269240	269880	我已經口
269880	272120	我等於是我在口試前
272120	274200	我re口試了三次以上欸
274200	275000	哇塞
275000	277000	我跟你講我們那個口試場合
277000	278440	因為是創作組的關係
278440	280040	欸不是說我們就是很隨便喔
280040	281640	所以我們是創作組
281640	283960	所以其實老師主要是看你的作品
283960	285120	所以看你做出來模型
285120	286640	呈現你的想法怎麼樣
286640	287960	啊覺得OK就OK
287960	289000	如果覺得不OK
289000	290080	你根本走不到這一步
290080	292320	你在作品做模型之前就被打槍了
292320	294400	就是你口試什麼的根本都不需要準備
294400	296080	其實你只要進到這個場地來
296080	296640	大概就是這樣
296640	297680	就是會過了嘛
297680	299680	欸這個有點像是過過形式啊
299680	300640	的感覺
300640	302280	所以說我們也沒有那個
302280	305120	什麼學弟妹幫我們舉牌說時間殺小的
305120	306080	有欸我們有欸
306080	306560	我們沒有
306560	307360	我那時候
307360	309200	就是我是第二個口試的吧
309200	311040	我口試的時候我講到一半
311040	312560	講到一半突然講到一個
312560	314960	反正什麼什麼現代的生命力設計
314960	316480	我主題是生命力設計嘛
316480	318000	現代的這個生命力設計
318000	319920	工業設計案例什麼殺小之類的
319920	321520	本來要介紹其中的一個人
321520	323440	我那時候看一下手錶
323440	325200	想說時間好像不夠
325200	326040	我就直接說
326040	327720	接下來我要講這個東西
327720	329640	但是我覺得好像時間不太夠
329640	331040	不然我們就先跳過
331040	333440	然後翻下一頁之後我就想想
333440	335080	不對啊我剛剛那一頁沒講
335080	335960	我這頁也講不下去了
335960	337160	我跳回去說
337160	338440	不然我還是講一下
338440	340000	還可以這樣
340000	341960	我跟你講我一定會被罵爆
341960	343160	我一定會被罵爆
343160	345080	就是這麼chill
345080	346200	誇張
346200	347280	誇張
347280	348680	我們老知識點就是你知道
348680	350800	我的那個PPT的整體風格
350800	353080	然後我有沒有在一開始就點名說
353080	355880	我待會要講的PPT內容的大綱會是什麼呢
355880	358280	通通都要兼顧到才可以
358280	361360	那PPT的風格必須要跟我主題相符
361360	362280	對啊
362280	363880	你們是不是太廢了吧
363880	366160	回答問題都很chill
366160	367360	回答問題都很cool
367360	367880	好好哦
367880	370640	就比如說我的主題叫生命力設計
370640	372880	然後有個東西叫做仿生
372880	374240	不知道大家有沒有概念
374240	375400	就是仿生設計
375400	376120	反正也是一個優派
376120	378840	也是去模仿生物的什麼之類的
378840	380640	所以我們口試自己報完POW POINT之後
380640	382040	老師就會提問
382040	383160	就老師提問我說
383160	385160	就是你這個主題怎麼樣
385160	385880	然後做的時候
385880	387080	這個作品也覺得不錯
387080	388240	但是可能要去思考一下
388240	392200	這個就是生命力設計跟仿生設計
392200	394320	他們中間的差異不同點在哪裡
394320	395720	哦有道理
395720	397160	我就跟那個老師說
397160	400680	這個起點跟終點不一樣
400680	404000	你是不是在講幹話嗎
404000	405920	就起點跟終點不一樣
405920	408240	就是我發想的時候
408240	411000	想的比仿生設計好像再深入一點
411000	412800	啊我這個結束的時候
412800	414720	結束的比那個做的比仿生設計
414720	415840	好像再遠一點這樣
415880	417160	亂講
417160	419240	反正我就只回答了
419240	420720	這個起點跟終點不一樣
420720	421560	啊他可以
421560	425040	我們就相似三秒
425040	427120	好然後再來
427120	429600	你為什麼他一直覺得你在找麻煩
429600	431440	再來你那個研究中選的這個人
431440	432960	這個人選的不錯
432960	433960	就這樣
433960	435200	反正到那個場合
435200	436080	大家作品做出來
436080	437840	就是你好我好啦
437840	439240	對不對
439240	440520	然後就吃點心這樣
440520	442720	好好哦
442720	443880	我們剛剛說什麼
443880	445720	噢那個心情
445880	446680	反正就是
446680	448160	忐忑不安
448160	449200	對對對
449200	452920	然後那個陳春涵剛剛在幹嘛你知道嗎
452920	453720	大家猜猜
453720	455320	現在在聽PARKET大家猜猜
455320	456400	陳春涵剛剛在幹嘛
456400	458320	在我們錄PARKET之前
458320	459880	就是前半小時
459880	461400	陳春涵在做什麼事情
461400	462440	告訴各位
462440	463440	他在印相片
463440	464720	怎麼了
464720	467040	怎麼了你幹嘛一直嘴這件事情
467040	469040	說剛剛嘴到現在很煩
469040	471560	我先我那時候想說我都已經12點了
471560	472480	弄到現在12點
472480	473280	然後打電話給宥偉帆
473280	474120	說宥偉帆趕快趕快
474120	475240	我們要趕快錄PARKET了
475240	475720	對啊
475720	477000	明天要上郵資源了
477000	478080	我們要早起啊
478080	478440	對啊
478440	478920	對
478920	480040	然後我就去找陳春涵說
480040	481560	我們要來錄PARKET
481560	483280	進到那個我們房間
483280	484960	看到陳春涵坐在床上
484960	487920	然後身邊灑落的一大堆的那個說明書啊
487920	489760	什麼那種各種文件
489760	490800	然後滿臉愁容
490800	492200	在那邊看著手機這樣
492200	492640	對啊
492640	494200	我就想說是出了什麼事情
494200	495560	我在查
495560	497080	原來黃雷夢明天去上學之前
