start	end	text
0	8720	大家好 歡迎來到好味小姐開束縛 我還你原型
8720	9360	我是翠翠
9360	10220	大家好 我是阿段
10220	10920	大午生也是很煩
10920	12680	好 本集有預錄的廣告喔
12680	16180	本集節目由大午山牧場贊助播出
16180	19220	大午山牧場專門提供營養AA級鮮蛋
19220	21060	全台各大通路皆有販售
21060	24080	麥當勞 三井集團 全聯 全家7-11
24080	25860	都有使用大午山的鮮蛋喔
25860	27820	堅持高品質雞蛋的追求
27820	31220	使用頂級AA級鮮蛋做成自家的蛋露蛋捲
31220	34400	品牌還有特別想要跟大家分享蛋露有兩個意思
34400	37260	第一個就是台語伴手禮單樓的諧音
37260	40320	另外一個就是把雞蛋融入美食的意思喔
40320	44400	蛋露蛋捲是採用六圈勾法製成 口感紮實酥脆
44400	46700	打開包裝就是切好的一口大小
46700	48800	不用擔心一邊吃還會一邊掉屑屑
48800	50280	特別適合小朋友喔
50280	53460	今年大午山牧場還推出了兩款中秋禮盒
53460	57240	分別是月見甜夢中秋禮盒和梅夢晨珍中秋禮盒
57240	59980	以科技未來感搭配愛麗絲夢遊仙境
59980	62780	作為他們視覺發小是一個超bling的禮盒
62780	65660	那除了有六種口味的蛋捲可以選擇之外呢
65660	69660	還很應景的有柚子口味雪花餅跟鳳梨雪花餅
69660	72140	澎湃的組合非常推薦給年節送禮
72140	74420	也很適合全家團員的飯後點心喔
74420	77020	以上優惠分享給大家詳細的活動資訊
77020	79880	跟粉絲團專屬折扣碼我們都會放在資訊欄裡面
79880	81700	大家記得點開來看看喔
81700	84680	現在時間8月28日
84680	85820	禮拜一
85820	86220	嗯
86220	87220	晚上11點
87240	88360	11點53分
88360	89400	嘿
89400	91120	欸我們上禮拜聽跟了一周齁
91120	91880	沒有錯啦
91880	93240	非常不好意思
93240	95400	所以我們這禮拜就來跟大家分享一下
95400	96080	嘿
96080	98080	上禮拜到底發生了什麼事
98080	99720	嘿嘿嘿嘿嘿
99720	102160	欸有人猜到你要分享什麼欸
102160	103080	那什麼
103080	106680	他就說完了這禮拜應該是要聽他上個禮拜病痛史
106680	107520	我跟你講
107520	108760	這次非常單純
108760	110120	就是感冒
110120	110920	對就是感冒
110920	113960	但是我不知道說感冒你從不同的來源得到
113960	114400	嗯
114400	116120	會有完全嶄新的一個體驗
116120	116680	喔是嗎
116680	117200	就是感冒
117200	117800	不就流鼻水
117800	118720	不是說全身痠痛嗎
118720	119760	我跟你講我從這個
119760	121960	從小就是過敏性鼻炎長大
121960	122240	對
122240	123120	你知道我從我意識以來
123120	123840	從我記憶以來
123840	126080	印象中我就是處在一個感冒狀態
126080	128280	就是與衛生紙為伍的人生
128280	129240	LBT狀態
129240	129520	嗯
