start	end	text
0	4640	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5340	8320	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8800	12280	本集的節目由 方姿生技贊助播出
13140	15780	本集節目由 方姿生技贊助播出
15780	17760	我們老朋友方姿又回來了
17760	21020	這次除了是想要分享他們的日月養生滴雞精之外呢
21020	25180	品牌還特別寄了黃金險滴雞精要給剪輯室跟攝影師
25180	26020	沒錯沒錯
26020	27760	就是上次我们合作有提到
27760	28500	这款滴鸡精
28500	30820	是某某非常喜欢的口味的滴鸡精
30820	32500	然后他们方制的滴鸡精
32500	35000	是严选90天以上的红鱼土鸡
35000	37060	坚持产地直送新鲜低炼
37060	39440	低钠 零胆固醇 也零脂肪
39440	41820	我觉得像我现在这样的产后
41820	43400	妈妈就非常需要
43400	44840	就要选这种零脂肪
44840	46220	然后吃起来很健康的东西
46220	47640	但是你要有足够的精力
47640	49260	可以去面对小孩跟工作
49260	49880	对不对
49880	53460	不用来替代甜点就对了
53460	53580	对
53580	55960	就是推荐给你
55960	57740	怕有太大负担的妈妈们
57740	58980	因为它喝起来就是不油不腥
58980	60400	然后也不会有中药的味道
60400	61140	非常的顺口
61140	63580	像我最近都会把它拿来煮蒸蛋
63580	64580	煮蒸蛋
64580	67020	煮蒸蛋也太奢华一点了
67020	69020	因为我现在很难出门你知道吗
69020	70220	但我就很想要吃到一些
70220	71900	很好的那种好料
71900	73340	我就把它加在那个
73340	75480	替代那个水加成蒸蛋里面
75480	76120	然后拿去蒸
76120	76680	我就觉得哇
76680	77740	直接面糕的日料
77740	78860	你之前教我蒸蛋的时候
78860	80120	你就说里面要放一点那个
80120	81520	鸡粉
81520	81680	对
81680	83520	就是要放一点点那个鸡汤粉
83520	84960	你现在直接用这个
84960	87640	天然的鲜味来源
87640	88460	因为我在家
88460	90960	我就想要吃点好吃的东西
90960	92140	但是我又没办法出门
92140	93040	我就只能这样
93040	93680	我就觉得哇
93680	95160	直接大满足
95160	97520	在家里就可以完成超高级的日料感
97520	98420	哇塞
98420	99180	然后这时候我负责的是
99180	100920	要适合这个黄金显滴鸡精
100920	102480	大家知道那个显金
102480	103880	有时候我们在市场买那种
103880	105000	一罐的那种显金来喝
105000	107200	它会有一个腥臭味
107200	109160	就是让你好像直接喝到海水的
109160	109620	那个感觉
109620	111360	海鲜的那个壳的味道
111360	112600	就是海边会闻到那股
112600	113500	就是像腐烂的海水
113500	114580	那种海鲜味的那种腥味
114580	116540	但是这款黄金显滴鸡精
116540	117800	加热之后来喝
117800	119160	完全没有那个味道
119160	120920	就是那个鸡精
120920	122320	可以把那味道完整的包覆
122320	124000	然后只剩下显金的那个鲜甜
124000	124800	你喝完之后
124800	126120	它会流在你的嘴巴里面
126120	127000	来来回回
127000	128000	口齿流香
128000	129620	真的是这样子
129620	130260	我之前有说过
130260	131200	半夜如果剪Podcast
131200	133000	累的时候就会喝那个滴鸡精
133000	135240	现在就跟显金轮流
135240	137100	换个口味
137100	138100	补充精力
138100	139900	我们这次分享这两款产品
139900	141420	他们说都是跟大品牌
141420	142980	波蜜共同开发的
142980	143480	所以品质上
143480	144500	其实安心有保障
144500	145300	大家放心
145300	146980	所以滴鸡精就很适合
146980	148500	推荐给备孕中的女生
148500	150180	或是刚生产完的妈妈们
150180	151420	或者是常常像简直是
151420	152800	他们家要熬夜的人
152800	154420	外食的上班族
154420	156080	而且黄金显滴鸡精
156080	156860	里面也有很多
156860	158160	符合男性的营养元素
158160	158780	像是心
158780	160000	所以也非常适合
160000	161800	你是有计划在备孕的
161800	163040	或是平常工作房
163040	164360	蛮压力很大的男性
164360	165420	来当作营养补充
165420	167440	最后方芝他们有提供
167440	169220	他们专属的中秋优惠
169220	170340	大家记得点选
170340	171800	资讯栏里面的卖场链接
171800	172660	就可以想超杀
172660	174560	七四折起的团购优惠价
174560	175440	那会比他们的
175440	176480	官网活动更优惠
176480	177840	下单可以再抽
177840	179300	日本Bruno店烤盘
179300	180400	以上优惠分享给大家
180400	181460	记得点开来看看
181460	185060	现在时间是
185060	188520	9月5日凌晨1点56分
188520	189800	礼拜二
189800	192280	我们昨天放了台中
192280	193900	不知道几年来
193900	195340	可能五六年来
195340	197660	第一次放到了台风架
197660	198440	没错
198440	199760	我记得我上一次
199760	200320	放台风架
200320	200920	好像
200920	202240	我印象说
202240	203120	是不是还当兵
203120	204640	就是很久很久
204640	206560	我记得我还是学生时期
206560	207120	当兵的时候
207120	207760	好像有一两颗
207760	208780	特别严重的样子
208780	208940	对
208940	210200	我记得我当兵的时候
210200	211000	遇到那一颗是
211000	212300	是有灾情的
212300	213900	因为我们部队
213900	214720	还有去救灾
214720	215940	你有参加到
215940	218060	怎么说呢
218060	219600	那个时候台风来的时候
219600	220540	我刚好是从
220540	221800	新训刚结束
221800	224220	然后到了我们新的单位
224220	226240	大概到新的单位的
226240	227880	那一周的周末
227880	229200	台风就进来
229200	230300	而且是那时候
230320	231400	一种严重的台风
231400	232740	然后就很尴尬
232740	234320	因为那个台风进来的时候
234320	235480	是礼拜六
235480	236200	礼拜六
236200	236700	周末
236700	238020	那你们应该是放假吧
238020	238980	问题就在这边
238980	240440	这个不知道
240440	241080	大家有没有当过兵
241080	241920	没有
241920	244100	照理说
244100	245880	其实我忘记那个规则了
245880	246840	就是如果说你
246840	249100	这一周的就是表现都良好
249100	250240	没有被
250240	251360	那个叫什么
251360	251880	动巴
251880	252960	动巴
252960	254620	没有被动巴的话
254620	255440	动巴是指
255440	257000	早上八点的意思吗
257000	257220	对
257220	259100	动巴是早上八点
259100	259680	才能
259680	260300	离隐
260320	260980	离隐
260980	261700	才能放假
261700	262600	这是一个处罚
262600	263600	有点像
263600	264580	就是一般来说
264580	265820	一切正常的状况下
265820	269040	你应该是礼拜五的下午
269040	269640	就是
269640	271240	下课下班时间
271240	271400	对
271400	272660	五六点就可以走了
272660	273280	就可以走了
273280	273560	对
273560	275460	如果你发生什么事情
275460	276100	比如说
276100	277080	被子没遮好
277080	278120	或什么这种
278120	278900	这种披毛式
278900	280180	你就很容易被动巴
280180	281300	动巴就变成
281300	283000	你是礼拜六的早上才能走
283000	285020	或是长官想给你下马威的时候
285020	285740	之类的
285740	287460	他就延后你的假期这样
287460	287680	对
287680	288440	也没干嘛
288440	289600	你就是在那边多睡觉
289600	290200	但是你就会觉得
290200	290600	就是
290600	291320	很不爽
291320	291900	很不爽
291900	293780	极度的那种不爽
293780	294540	怎么会没干嘛
294540	297120	你可以在外面多吃一个晚餐跟宵夜
297120	297920	差很多
297920	299500	自由时间少很多
299500	299860	对
299860	300780	反正就是会很不爽
300780	300960	对
300960	302160	最讨厌的事情就是被动巴
302160	304600	但是我们那时候刚下部队
304600	305660	刚到那个单位的时候
305660	307440	那个也不是动巴
307440	308640	那个好像是
308640	311740	礼拜六的下午才能走的样子
311740	313280	为什么差那么多
313280	314220	少一天假
314220	314680	不知道
314680	315500	我就有点忘记
315500	316600	这个情况到底是怎么样
316600	317680	反正我记得
317680	319280	那就是台风要进来
319280	320180	那天下午
320200	322040	所有我们那个连上
322040	323360	我们都是一群小新兵
323360	324800	大家都什么都还不知道
