start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8500	9000	我是翠翠
9000	10000	大家好 我是阿段
10000	11000	大家好 我是一次很煩
11000	17000	現在時間是10月2日晚上的9點56分
17000	21000	還是要跟大家講一下就是我們上禮拜停跟了一週
21000	21500	沒錯
21500	25000	就是上禮拜雖然在我們有算有點心理準備
25000	27000	但是還是比我們想像中還要
27000	28000	突然一點
28000	29000	突然滿多的
29000	31000	就是感覺突然就離開了這樣
31000	35000	所以我們就停跟了一兩週的時間吧
35000	36000	對
36000	38000	那時候是說想要休息一陣子
38000	42000	但是好像不能真的就休息
42000	46000	因為你真的就是沒事幹的話
46000	47000	反而會想東想西的感覺
47000	49000	對 有些路真的起去一面
49000	50000	想一想還是覺得這樣子
50000	52000	反而覺得越來越難過就不行
52000	55000	還是該就是做什麼事就做什麼事情
55000	56000	對
56000	57000	只是說像是拍片
57000	58000	或是錄影
59000	60000	這種事情是很
60000	61000	emoji的
61000	62000	很講究狀態
62000	63000	對對對
63000	65000	我們就算是就是比如說今天三個人
65000	66000	其中有一個人失眠什麼之類
66000	68000	我們可能也會延後拍片的時間
68000	69000	對
69000	71000	所以在那個心理狀態下實在是不太有辦法
71000	73000	表現出真正的反應來
73000	74000	沒錯
74000	76000	所以我們就拍片啊什麼之類就還是延延延
76000	77000	延到現在
77000	79000	然後我們都覺得差不多可以
79000	81000	好像收拾了一陣子以後好一些了
81000	82000	笑話差不多
82000	86000	那我們就回到正常的工作狀態
86000	87000	沒錯
87000	88000	對 這樣才是比較好的
88000	90000	然後之前有點抱歉
90000	93000	就是長久以來就是很多人在留言裡面都會問說
93000	96000	家裡的貓咪或是寵物就離開了
96000	97000	然後很難過
97000	98000	然後問我們說
98000	99000	有沒有什麼建議
99000	103000	有沒有什麼方法可以緩解這個心情之類的
103000	106000	然後我們通常都沒有辦法回應
106000	109000	因為我就覺得說我們沒有遇過這種事情
109000	110000	甚至沒有想像過這種事情
110000	111000	沒錯
111000	113000	所以沒有辦法就是提出什麼建議來
113000	114000	對
114000	116000	那現在我們真的遇到之後呢
116000	117000	我覺得好像也沒有辦法回應了
117000	119000	沒有辦法回應 對
119000	121000	照相是一個就是不是短期間內
