start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9100	我是翠翠
9100	11400	大家好 今天是阿段 大家好 我是聖梵
11400	13200	本集有預錄的廣告喔
13200	16000	本集節目由我們的老朋友 日本獅王Kirei Kirei
16000	19300	去勁抗菌洗手慕斯贊助播出
19300	23100	獅王去勁是日本連續20年以上銷售第一的洗手品牌
23100	25000	全系列共有三種洗手慕斯
25000	29200	是日常抗菌用 敏弱劑專用 還有廚房專用的洗手慕斯喔
29200	33300	每款都有補充包 可以減少塑膠 廢機物 又可以買的非常划算
33300	35400	之前影片和Podcast合作我們都有提過
35400	38200	就是獅王去勁他們的泡泡非常的綿密
38200	42200	很快就可以把泡泡沖洗掉 手上完全不會有滑溜滑溜的感覺
42200	46900	那在照顧氣泡 雷夢他們 還有做貓飯 種田等等的各式各樣的時刻
46900	48400	都是超級的神隊友
48400	50400	那我們三款其實都還蠻常使用的
50400	52700	非常推薦給大家都可以買來試試看喔
52700	57200	那目前在全聯 家樂福 松本青 大大小小通路也都可以買得到喔
57200	58700	最後是優惠資訊的部分
58700	62100	即日起至10月31號 獅王全館滿799
62100	65000	結帳的時候記得輸入我們好味小姐的專屬優惠碼
65000	68700	LadyFlavorX100就可以限折100塊錢
68700	71400	那現在加入日本獅王官方的LINE帳號
71400	73400	還可以領到更多的優惠喔
73400	76200	連結與專屬優惠碼我們通通都會放在資訊欄裡面
76200	77400	大家記得去看看
77400	80300	最後希望大家還是要保持勤洗手的習慣
80300	81900	然後要注意自己的健康
81900	85400	用日本獅王去勁把手手洗乾淨吧
85400	87500	現在時間10月9號晚上
87500	88700	11點30分
88700	92200	今天要跟大家說一件就是
92200	94700	前兩天發生了很微妙的一個事件
94700	98200	然後這個事件造成我們非常龐大的損失
98200	99200	非常微妙
99200	100400	就是前兩天啊
100400	102700	我跟黃玲夢還有陳純安
102700	104700	就我們三個人去一間量販店
104700	107000	就是我們要買那個浴室的地墊
107000	108000	因為我們家浴室的地墊呢
108000	110200	被我們家兩隻小貓其中一隻叮滿
110200	111700	就被它噴尿
111700	113400	我們想說那就乾脆把它換掉
113400	114500	那我們就去買地墊嘛
114500	115700	然後過程都很順利
115700	117500	我們也順利買到了地墊
117500	118500	就在我們要離開那個量販店的時候呢
118700	121200	我們走到那個量販店的大廳
121200	122200	然後黃玲夢就突然說
122200	123200	喔他想要去
123200	124700	他想要去扭蛋
124700	126200	我們就喔這邊有扭蛋機嘛
126200	128200	然後我們從他指的方向看過去
128200	128700	就發現說喔
128700	130700	他們好像真的放了一排
130700	131700	一些扭蛋機的東西
131700	132200	對
132200	135200	然後我自己想是比較喜歡扭蛋的
135200	135700	喜歡扭蛋
135700	137700	就比起那個夾娃娃機啦
137700	138700	就這兩個相較起來
138700	140700	因為我覺得就是扭蛋至少你就是
140700	142200	雖然它單筆比較大筆
142200	144700	可能五六十塊或是比如100塊
144700	145700	但是你一定
145700	146700	一定會掉一顆球出來嘛
146700	147700	一定會給你一顆扭蛋嘛
147700	148700	對對對
148700	149700	夾娃娃機就是你有時候
149700	150700	花很多錢
150700	152700	然後但是就是感覺好像
152700	153700	夾了一個空虛
153700	155700	就是注定會失敗的感覺
155700	156200	對
156200	157700	我覺得好像是過去
157700	158700	就是一陣子以來
158700	159700	流行的那個
159700	160700	夾娃娃機的那個風潮
160700	161200	對
161200	163700	把夾娃娃機這件事情變成是一個
163700	164700	有技術的事情
164700	165700	喔
165700	166700	是不是這個感覺
166700	167700	好像有一點
167700	169700	有些夾娃娃機就把它弄得很難
169700	170200	之類的
170200	171700	以前小時候夾娃娃機就是
171700	172700	就是去夾嘛
172700	173700	你沒有想說它有
173700	174700	技巧啊什麼之類的
174700	176700	怎麼都甩爪啊幹嘛的
176700	177200	幹嘛的
177200	178700	所以當你突然發現說
178700	180700	原來夾娃娃機是這樣子玩的
180700	181200	對
181200	182700	就發現說這個從以前到現在
182700	184700	就不是一個你玩得起來的東西
184700	186700	不是你可以駕馭的遊戲
186700	187200	對
187200	188200	所以說每次黃連夢啊
188200	189200	他只要看到就是
189200	190700	不管扭蛋機、夾娃娃機
190700	191200	小孩嘛
191200	191700	他都一定會說
191700	192700	喔他想要玩他想要玩
192700	193700	對
193700	194200	對
194200	195200	我夾娃娃機我都會跟他說
195200	196200	啊這個
196200	197200	夾不到啦
197200	197700	對
197700	198700	我就會勸退
198700	199200	對
199200	200200	但是扭蛋機我就會說
200200	200700	欸好啊
200700	201700	不然你看起來
201700	202700	你挑一個你喜歡的這樣
202700	203700	對
203700	205200	通常扭蛋機不都會一大堆
205200	205700	嗯
205700	206700	好幾百台一整
206700	207200	可以搶這樣欸
207200	207700	對
207700	208700	他在那邊挑的過程
208700	209700	也可以消耗很多時間
209700	210700	他就覺得很有趣這樣子
210700	211700	嗯
211700	212700	所以我們是比較
212700	213700	熱衷於
213700	214700	扭蛋
214700	215200	嗯
215200	215700	比起夾娃娃機
215700	216700	沒錯
216700	217700	然後那時候黃連夢就說
217700	218700	喔他想要去扭蛋
218700	219700	我們就好啊
219700	220700	然後我們就靠過去
220700	221700	靠越之後發現說
221700	222700	欸
222700	224700	這好像不是普通的扭蛋機
224700	225700	對
225700	226700	其實他機台長的
226700	227700	就有一點點不一樣
227700	228700	對對對
228700	229700	他應該就是一台好像
229700	230700	快一百五十公分
230700	231700	很大一台
231700	232700	然後裡面的扭蛋啊
232700	234700	也是很大一顆
234700	235700	大概像一顆
235700	236700	小玉西瓜
236700	237700	小玉西瓜
237700	238700	沒那麼大
238700	239700	又子
239700	240700	又子
240700	241700	壘球啊
241700	242700	壘
242700	243700	沒有那麼小
243700	244700	有點像葡萄柚啦
244700	245700	喔葡萄柚
245700	246700	喔葡萄柚大小
246700	247700	嗯
247700	248700	然後仔細看一下之後
248700	249700	發現他的遊戲是這樣子
249700	250700	嗯
250700	251700	你一次投20塊錢
251700	252700	對
252700	253700	喔比較大筆喔
253700	254700	你一次投20塊
254700	255700	然後他的那個機台
255700	256700	有一個圓盤
256700	257700	對
257700	258700	圓盤上面有一個指針嘛
258700	259700	然後指針就會旋轉
259700	261700	然後看會指到什麼地方
261700	262700	他上面就有
262700	265700	0123 0123 0123
265700	266700	跟再來一次選項
266700	267700	對
267700	268700	你今天投20塊錢
268700	269700	然後你按鈕之後
269700	270700	那個指針開始轉
270700	271700	然後看他指到哪裡
271700	272700	如果是0的話就
272700	273700	喔
273700	274700	失敗
274700	275700	沒有球
275700	276700	就0顆
276700	277700	他就不會掉東西下來
277700	278700	對
278700	279700	啊如果1的話
279700	280700	他就會掉1顆
280700	281700	他的那個球下來
281700	282700	對
282700	283700	2的話就是2顆
283700	284700	3的話就是3顆
284700	285700	對
285700	286700	大概是這個落子
286700	287700	這樣
287700	288700	然後我就
288700	289700	欸
289700	290700	發現說
290700	291700	其實他不是扭蛋機
291700	292700	嗯
292700	293700	我那時候就覺得有點
293700	294700	欸
294700	295700	被騙的感覺
295700	296700	被騙的感覺
296700	297700	所以我玩一次試試看
297700	298700	嗯
298700	299700	然後就叫黃檸檬選一台
299700	300700	他就選了一個
300700	301700	就他上面會跟你說
301700	302700	他這個裡面的那扭蛋
302700	303700	裡面是裝什麼東西
303700	304700	對
304700	305700	他選一台裡面裝著一個
305700	306700	像小摩托車的公仔之類的
306700	307700	我覺得其實蠻精緻的啊
307700	308700	蠻漂亮的
308700	309700	的東西對
309700	310700	嗯
310700	311700	然後我就從我那個
311700	312700	小包包裡面掏掏掏
312700	313700	發現說喔
313700	314700	我有40塊錢的零錢
314700	315700	對
315700	316700	剛好可以玩兩次這樣子
316700	317700	嗯
317700	318700	好
318700	319700	然後我就先給黃檸檬20塊
319700	320700	他就投20塊
320700	321700	然後按鈕
321700	322700	指針開始轉車
322700	323700	然後就轉到零
323700	324700	嗯
324700	325700	就沒有了
325700	326700	就沒有了
326700	327700	整個過程
327700	328700	差不多一秒鐘
328700	329700	他甚至沒有音樂
329700	330700	甚至沒有音樂
330700	331700	對啊
331700	332700	喔
332700	333700	通常會有一個什麼開始的音樂
333700	334700	對
334700	335700	或是登登登登
335700	336700	之類的吧
336700	337700	對都沒有
337700	338700	就算你是夾娃娃機
338700	339700	他也會給你個15秒
339700	340700	讓你在那邊亂亂轉
340700	341700	對
341700	342700	然後夾下去發現說
342700	343700	夾著根本不會夾
343700	344700	之類的
344700	345700	完全沒有過程
345700	346700	這是所謂的錢丟到水溝
346700	347700	連腹痛都沒有
347700	348700	對
348700	349700	對
349700	350700	就這樣子
350700	351700	瞬間就沒有了
351700	352700	就沒有
352700	353700	嗯
353700	354700	然後那時候我想說
354700	355700	那算了
355700	356700	對不對
356700	357700	這種媽的遊戲
357700	358700	這麼一點誠意都沒有
358700	359700	算了走了走了
359700	360700	無聊死了
360700	361700	看錢啊看錢
361700	362700	媽看錢無聊死了
362700	363700	對
363700	364700	就在這個時候
364700	365700	神奇的事情發生了
365700	366700	嗯
366700	367700	神奇的事情發生了
367700	368700	嗯真的
368700	369700	有一個妹妹
369700	370700	大概比雷夢大哥兩三歲
370700	371700	嘿
371700	372700	一個妹妹
372700	373700	嗯
373700	374700	跟他媽媽
374700	375700	對
375700	376700	本來要走了
376700	377700	對
377700	378700	已經到門口要走了
378700	379700	嗯
379700	380700	準備去坐電梯了
380700	381700	之類的
381700	382700	要離開了
382700	383700	那妹妹突然看到我們
383700	384700	按了一下那個機台
384700	385700	對
385700	386700	很興奮的衝過來
386700	387700	衝過來
387700	388700	嗯
388700	389700	衝過來
389700	390700	摸我是你妹妹
390700	391700	對著我們大叫
391700	392700	哇你看
392700	393700	我轉到兩顆
393700	394700	他說他轉到兩顆
394700	395700	哈哈哈哈
395700	396700	哦他轉到二
396700	397700	他轉到二
397700	398700	對
398700	399700	就他剛剛有玩過
399700	400700	對
400700	401700	然後他說他轉到二
401700	402700	他說轉到兩顆
402700	403700	我那時候覺得說
403700	404700	哇人心險了
404700	405700	哈哈哈哈
405700	406700	哦他是特地跑來炫耀的
406700	407700	他跑來炫耀的
407700	408700	就很煩
408700	409700	嘿
409700	410700	他讓他快樂加倍
410700	411700	對
411700	412700	而且他每個機台
412700	413700	他裡面的那個球的顏色
413700	414700	是不一樣
414700	415700	對是不一樣的
415700	416700	是橘色的
416700	417700	綠色黃色之類的
417700	418700	對
418700	419700	那我們現在玩的這台
419700	420700	他的球是黃色的
420700	421700	對
421700	422700	那個妹妹手上拿的兩顆球
422700	423700	也是黃色
423700	424700	也是黃色的
424700	425700	他就從這台轉出去
425700	426700	對
426700	427700	他轉到兩顆
427700	428700	他就來這邊炫耀
428700	429700	哦我們轉到兩顆
429700	430700	跟黃林夢講
430700	431700	對
431700	432700	他對著黃林夢炫耀
432700	433700	我轉到兩
433700	434700	我有兩顆
434700	435700	他為什麼要這樣欺負一個
435700	436700	才三歲的小孩
436700	437700	我不懂耶
437700	438700	對
438700	439700	然後他媽就發現說
439700	440700	哦他突然跑掉了
440700	441700	就說我們要走了這樣子
441700	442700	就把他抓走這樣
442700	443700	嗯
443700	444700	然後黃林夢就
444700	445700	傻眼嘛
445700	446700	他要跟我們走了
446700	447700	他突然發現說
447700	448700	那姊姊
448700	449700	有兩顆
449700	450700	轉到了兩顆
450700	451700	他有我沒有
451700	452700	之類的
452700	453700	有這個感覺
453700	454700	他就說他想要繼續玩
454700	455700	嗯
455700	456700	我那時候也非常想說
456700	457700	靠這個遊戲坑死了
457700	458700	是不可能的事情
458700	459700	嗯
459700	460700	我要走了
460700	461700	突然發現說
461700	462700	不是啊
462700	463700	他轉到了兩顆
463700	464700	他轉到了兩顆
464700	465700	對啊
465700	466700	就表示說這個機台可能
466700	467700	會中的嘛
467700	468700	對
468700	469700	沒這麼坑
469700	470700	那一次特別衰
470700	471700	對
471700	472700	那一次特別衰
472700	473700	就可能沒有這麼難轉
473700	474700	對
474700	475700	你知道嗎
475700	476700	我堅持下去
476700	477700	搞不好三顆就掉出來了
477700	478700	之類的
478700	479700	說不定是個佛心機台
479700	480700	對
480700	481700	搞不好他保底一顆
481700	482700	對不對
482700	483700	所以我又再給黃林夢20塊錢
483700	484700	嗯
484700	485700	最後的零錢
485700	486700	又投下去
486700	487700	開始
487700	488700	一秒鐘
488700	489700	又轉到零
489700	490700	嗯
490700	491700	那他就是沒有音樂
491700	492700	然後只說
492700	493700	再試一次
493700	494700	就這樣
494700	495700	然後就結束了
495700	496700	對
496700	497700	然後黃林夢就抬頭跟我們說
497700	498700	他說再試一次
498700	499700	他說再試
499700	500700	對
500700	501700	那機台會跟你說
501700	502700	再試一次
502700	503700	黃林夢說
503700	504700	哦他叫我再試一次
504700	505700	對他說
505700	506700	對
506700	507700	然後我就
507700	508700	蛤
508700	509700	然後想說
509700	510700	我已經沒有零錢
510700	511700	我就跟黃林夢說
511700	512700	我已經沒有零錢
512700	513700	嗯
513700	514700	然後準備要走了
514700	515700	嗯
515700	516700	然後這個時候啊
516700	517700	陳篡突然說
517700	518700	要不然我們再轉一次是不是
518700	519700	不是
519700	520700	我就覺得說
520700	521700	不可能這麼低
