start	end	text
0	29900	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
30000	32520	這個主食罐經歷了非常非常長時間的
32520	33400	磨擦 活著
33400	34720	哈哈哈
34720	35440	其實是這樣子
35440	36560	這是我們好幾年前
36560	37080	對
37080	38760	做了一個問卷調查
38760	39760	然後發現說
39760	43760	其實台灣大概有90%以上的養貓氏族
43760	44240	對
44240	46320	都是吃這個半食食
46320	47920	就是一餐是乾飼料
47920	49520	然後一餐是那個罐頭
49520	50720	欸其實也很好理解啊
50720	52080	就是早上要上班之前啊
52080	53000	喔太忙了啦
53000	53760	趕著出門
53760	54200	欸之類的
54200	55360	然後放乾飼料
55360	56120	然後讓貓吃
56120	57320	它可以保鮮比較久嘛
57320	57680	對對對
57680	59600	罐頭你會覺得說一兩個小時就一定要收掉
59600	60280	不然會變質
60280	61480	或是會長螞蟻什麼的
61480	62200	欸之類
62200	64160	然後因為還是想讓貓咪吃食食的關係
64160	64600	對
64600	66720	所以晚上這一餐就會餵牠吃罐頭啊
66720	68200	或副食罐等等的食食
68200	68680	對
68680	70000	所以都是這個形式
70000	70480	嗯
70480	71320	但是我們又發現說
71320	72560	欸其實
72560	75840	市面上很少專門為半食食去打造的主食罐
75840	76600	沒錯
76600	77280	所以我們這次呢
77280	79120	就經過了大概一年多吧
79120	80440	就是我們自己的研發
80440	81760	還有我們家貓咪的試吃
81760	83840	還有開放給大家的公開的試吃
83840	85840	喔我們公開試吃試吃了兩次喔
85840	86240	對
86240	87360	就試吃第一次覺得說
87360	88720	嗯好像
88720	89600	還有很多地方可以改
89600	90840	試口訊不夠好
90840	92360	大家的貓咪不夠喜歡
92360	93400	我們就再改配方
93400	94760	再去公開試吃一次
94760	95000	對
95000	97120	反正就是要試到我們收到的心得問卷
97120	98920	都是大家的貓咪都很喜歡
98920	99120	這樣子
99120	101320	我們才有辦法把它端上檯面跟大家分享
101320	101720	嘿
101720	102000	對
102000	103560	所以我們終於可以把這個端上架了
103560	105560	1加1益生菌半食食主食罐
105560	109240	就是專門針對半食食型態的貓咪設計的
109240	109600	對
109600	110000	然後呢
110000	111120	我們從問卷調查
111120	111880	感覺齁
111880	113840	大家對主食罐最看重的地方
113840	115200	最大的要求
115200	116240	就是貓咪要吃
116240	117160	哈哈哈哈
117160	118320	因為真的就是你
118320	119360	牠不吃你真的NO
119360	119560	所以
119560	119600	對
119600	120160	,對啊
120160	121480	就是你配方再好
121480	122920	貓咪不吃其實就沒有用了
122920	123240	對
123240	123960	就浪費了
123960	124360	嗯
124360	127120	所以我們這次就針對主食罐好吃的部分做很多加強
127120	127600	沒錯
127600	128400	最大的特點呢
128400	129920	就是我們的這個營養粉
129920	130280	嘿
130280	131360	因為我們的主食罐系列啊
131360	133760	都是一罐料理罐加上一包營養粉的組合
133760	134160	嘿
134160	137120	這是我們想避免主食罐在製程中加熱的時候呢
137120	138960	破壞我們添加的這個營養成分
138960	139640	沒錯
139640	141040	然後我們那個營養粉
141040	144120	我們這次使用了凍乾粉當成它的基底
144120	144480	沒錯
144480	145480	直接整個香爆
145480	146240	直接整個香爆
146240	146960	所以以前齁
146960	148160	我們都跟大家說
148160	149960	你這個營養粉加了之後啊
149960	150160	嘿
150160	151080	把它攪拌均勻
151080	151480	對對對對
151480	153360	把營養粉那個味道稍微蓋一下
153360	153560	嘿
153560	155200	一些B群啊什麼會有些味道
155200	155680	嗯
155680	157080	但這次我們告訴大家
157080	157800	嘿不要拌
157800	158520	嘿不要拌
158520	160160	我們那個凍乾粉灑上去之後
160160	161680	管你裡面是什麼他都會吃完
161680	163000	哈哈哈
163000	163800	沒錯
163800	165120	灑白飯來吃
165120	166000	哈哈哈
166000	166840	就這程度
166840	167960	就那麼香啦
167960	168160	嘿
168160	169240	營養粉非常的強力
169240	170160	嘿沒錯沒錯
170160	172320	然後在營養粉裡面除了凍乾的基底
172320	174880	齁我們還根據大家提出來的很多需求
174880	175120	嗯
175120	176800	比如說大家有時候會覺得說
176800	178080	那個半日食的貓咪
178080	178120	幹什麼
178120	179680	乾濕食混雜的吃
179680	181760	喔容易有腸胃方面的問題
181760	183600	所以我們在營養粉裡面添加益生菌
183600	184160	嘿
184160	186080	對啊益生菌很容易受到高溫的破壞嘛
186080	188120	所以很多主食慣都沒有辦法加進去
188120	188360	對
188360	189320	那是因為我們有營養粉
189320	190640	所以我們加在營養粉裡面
190640	193400	然後我們還針對了很多吃乾飼料的氏族的困擾
193400	195520	就是乾飼料裡面的很多營養成分啊
195520	197000	就隨著你越放越久
197000	197320	對
197320	198440	它就慢慢的就是
198440	199320	流失掉這樣
199320	199720	對
199720	202040	所以我們在營養粉裡面也額外添加了這些
202040	203520	容易流失的營養成分
203520	203840	嗯
203840	205120	把這一塊給它補給
205120	206360	沒錯沒錯沒錯
206360	208240	所以呢我們現在目前這個商品
208240	210000	已經在我們的好味商店上架了
210000	210840	然後我們這次呢
210840	214120	就是希望大家都可以嘗試看看我們上架這個新罐頭
214120	216880	所以我們把每一罐的單價都壓在50塊以下
216880	217840	喔50塊以下
217840	219200	CP值超級高
219200	220200	大家去調查一下
220200	221800	現在主食慣的價格
221800	222240	真的
222240	223520	大概都接近60塊了
223520	224760	所以我們真的是
224760	226160	我們這次這款主食慣
226160	226400	嗯
226400	228280	就希望起到一個敲門磚的作用
228280	229240	啊對對對
229240	230960	就希望你原本如果是
230960	233000	比如說你的食食是副食
233000	233400	嘿
233400	233760	或者說
233760	236080	你其實貓咪就不吃主食慣的
236080	236480	對
236480	237400	可以試試看
237400	237760	對對對
237760	238720	說不定就是
238720	239640	領進門
239640	240160	喔
240160	242280	讓他從此願意吃主食慣了
242280	243800	願意吃私食這樣子
243800	245520	啊以後再來買我們其他
245520	246440	價格比較高一點
246440	248000	哈哈哈
248000	249080	再考慮看看
249080	250160	不同取向的一些罐頭
250160	250760	哈哈哈
250760	251480	對對對
251480	252640	博麗多消
252640	253280	博麗多消
253280	254080	很博那種
254080	254960	哈哈哈哈
254960	255760	然後另外一個呢
255760	257560	就是我們現在還有就是會員首購
257560	259000	就整單免運的活動啦
259000	260320	所以非常推薦給大家
260320	261720	就是可以買回去試試看
261720	262560	喔然後大家要記得
262560	263600	就是大概前幾禮拜了
263600	263720	嗯
263720	264600	我們推出了我們
264600	266160	好位商店的這個會員制
266160	266600	嗯
266600	267960	就是大家突然就變說
267960	268840	喔你變成這個
268840	269240	什麼貓
269240	269760	小貓
269760	270760	巨貓等級
270760	272200	有送大家購物金
272200	272760	啊啊啊
272760	274280	啊這就是最好的時候
274280	275280	剛剛好把它用掉
275280	275960	用起來
275960	276240	好
276240	277280	那我們連結的部分
277280	278960	就直接幫大家放在資訊欄裡面
278960	280400	好大家記得點開來看喔
280920	281120	好
281120	282720	我們現在時間是10月16日
282720	285360	星期一下午1點42分
285360	285720	嗯
285720	287080	時間感覺沒什麼問題
287080	288480	我們就有說我們要改白天錄嘛
288480	288880	沒錯
288880	290240	這是一個標準時間
290240	290680	對
290680	291040	這樣
291040	292360	然後首先呢
292360	293560	喔我們昨天去參加
293560	294360	走鐘獎
294360	294960	嗯
294960	295280	然後
295280	295960	前天啦
295960	296280	啊
296280	296440	前天
296440	297240	過日子過到
297240	297760	前天
297760	298600	太累了
298600	299120	太累了
299120	299920	太累了
299920	301800	昨天就像是消失一樣
301800	302760	真的是很累
302760	303280	對
303280	305240	就是他活動從下午1點
305240	306000	走完紅毯
306000	306680	然後
306680	309760	一直到晚上10點11點的時候結束
309760	310600	我們離開
310600	312720	離開高雄的時候應該已經11點半了
312720	314040	我們還沒有參加慶功宴喔
314040	314440	對啊
314440	315880	趕快跑要回家顧小孩
315880	317720	聽說1點半大家還在吃喔
317720	319120	喔
319120	320880	然後我非常的出乎意料
320880	322000	哪一個部分
322000	323400	就是我們最後得獎的部分
323400	324400	喔真的
324400	324840	真的
324840	327120	欸我怕大家以為我是在Sagan
327120	328760	我真的要去換衣服了
328760	329160	嘿
329160	330320	因為我穿了一整天
330320	331920	然後我們又坐在比較前面
331920	333240	所以我一直呈現一個
333240	334640	微微面對那個
334640	336720	講台不是很舒適的姿勢
336720	337040	嗯
337040	339880	我就很想把衣服還有鞋子都換掉
339880	341080	我們那天的那個心態
341080	341480	嘿
341480	342200	真的就是
342200	343200	陪陳順安去
343200	343600	嘿
343600	344560	就他是頒獎人嘛
344560	345000	對對對
345000	346000	我有說他們兩個不去
346000	346760	我就不去
346760	347280	呵呵呵
347280	348440	陪陳順安去而已
348440	349520	但是為什麼會這樣子呢
349520	349840	嗯
349840	351120	為什麼我們完全沒有這個
351120	351960	得獎的期待
351960	352600	嗯
352600	353360	就是因為我們一開始
353400	355360	認為我們真的不會得獎
355360	356360	真的不會得獎
356360	357080	為什麼這樣
357080	357960	因為其實這是走中獎
357960	359440	我們三個是評審委員
359440	360240	對對對
360240	360520	對
360520	362920	然後在複選的那一天
362920	363400	嗯
363400	364840	嘿我臨時中感冒
364840	365120	對
365120	366680	只有我跟那個韋帆去而已
366680	368200	對他們就帶著我的這個
368200	368840	我的選擇
368840	369560	我的意志
369560	369880	對
369880	371480	然後去參加這個複選的討論
371480	371840	欸
371840	373400	然後他們兩個回來之後
373400	374680	我就稍微跟他們
374680	375560	探聽一下
375560	377080	就是我們
377080	378560	有沒有感覺有一點希望
378560	379240	哪裡對
379240	379640	嘿
379640	380680	就是穩了這樣子的感覺
380680	381360	嘿嘿嘿
381360	383080	然後陳順安跟劉偉帆就
383080	383360	中了
383360	384120	我咬頭
384120	384640	覺得說
384640	385080	嗯
385080	386720	感覺應該是全部都共鼓
386720	387600	感覺是陪跑
387600	388200	嘿
388200	389000	陪榜這樣子
389000	389480	然後我說
389480	389720	為什麼
389720	390760	為什麼會有這種感覺
390760	391160	嘿
391160	391800	陳順安就說
391800	392480	像我們入圍那個
392480	393400	親手做獎啊
393400	394840	跟生活風格獎這些
394840	395080	嗯
395080	396240	那就對手太強了
396240	396640	對啊
396640	397320	我們討論的時候
397320	398200	那個氣氛就是
398200	399720	就根本沒有討論到我們
399720	400080	對
400080	401360	的感覺
401360	402840	就感覺不是選手
402840	403480	這樣子
403480	403960	然後我說
403960	405480	啊那最後那兩個大獎咧
405480	405760	嘿
405760	406320	就是
406320	407280	個人創作者
407280	408400	跟團體創作者
408400	408640	嘿
408640	409200	大獎咧
409200	409680	嗯
409680	410600	然後陳順安說
410600	411200	個人創作者
411200	411840	你看他們
411840	412600	因為這次是這樣子
412600	413280	就是你如果說
413280	414560	頻道跟你自己
414560	415360	有關係的
415360	416480	就是你有入圍的獎
416480	416640	嘿
416640	417800	你就會被請到外面去
417800	418000	嘿
418000	419120	你就不會參與討論了嘛
419120	419240	對
419240	419840	在外面等
419840	421240	不然你就是提早知道的話
421240	421920	沒意思
421920	422400	對
422400	423960	然後最後兩個獎是
423960	424320	那個
424320	425080	全部的評審
425080	426000	大家一起評的
426000	426440	嘿
426440	427440	一起在一間會議室裡面
427440	428240	討論的感覺
428240	428760	對
428760	429200	然後我就問說
429200	429920	欸最後兩個大獎
429920	430560	有沒有什麼
430560	431720	你們有沒有探聽一下
431720	431960	嗯
431960	433200	看看大家的表情怎麼樣
433200	433640	欸
433640	434120	這樣
434120	434920	陳順安就說
434920	435440	他覺得
435440	436480	個人沒有希望
436480	437080	對對
437080	437520	個人
437520	438320	各個創作者
438320	438640	太
438640	439440	太強了
439440	440480	太多妖魔鬼怪了
440480	441000	嘿
441000	442400	然後團體齁
442400	443760	他原本抱著比較大的希望
443760	444160	嘿
444160	444560	這樣子
444560	446240	然後後來他們被請出去外面等
446240	446640	對
446640	447520	等完之後進去以後
447520	448800	他們就稍微就是
448800	450400	跟同桌的人交流一下
450400	451000	交流一下就說
451000	451880	欸
451880	452520	就是
452520	452800	呃
452800	453360	順利嗎
453360	455040	哈哈哈哈
455040	456000	對這樣子
456000	456600	然後
456600	457840	他們那時候跟我說
457840	458880	每個人都
458880	460200	給他們一個
460200	461280	就是有點
461280	462080	帶著一點
462080	463120	惋惜的那個
463120	463440	欸
463440	464400	有點歉意的感覺
464400	465840	有點抱歉的感覺
465840	466560	就是說
466560	467040	然後
467040	468400	大家對你們的
468400	469360	評價都不錯
469360	469400	嗯
469400	470040	他說
470040	470200	欸
470200	471040	你們不用太緊張
471040	472440	大家講你們都講的是
472440	473240	好話
473240	473440	嘿
473440	473920	這樣
473920	474640	這樣
474640	475400	那我就回頭
475400	476120	就一副都是在安慰我們的感覺
476120	476440	對
476440	477600	安慰我們的
477600	478960	我就回頭看了一會半夜
478960	479440	我就
479440	479840	哇
479840	481320	哈哈哈
481320	481560	那就
481560	481920	唉
481920	482480	雖然不是你們
482480	483200	但你們很棒啦
483200	483880	就是這種感覺
483880	484640	就是這個感覺
484640	485440	對對對
485440	486360	就像是你就是
486360	487560	邀一個女生出去玩
487560	487880	欸
487880	488320	就說欸你
488320	489440	那個禮拜六
489440	489800	有沒有空
489800	490480	你下班之後
490480	490960	我來接你
490960	491640	我們去看電影
491640	492160	喔
492160	493120	然後女生就說
493120	493520	喔
493520	494120	我也很想去
494120	495160	我很想跟你去
495160	496000	但是就是
496000	496440	太陽很大
496440	497320	女人很好啦
497320	498040	女人很好啦
498040	498360	有沒有
498360	499600	沒有不是針對你
499600	501200	就是我晚上
501200	501840	就是
501840	502840	我媽叫我回家吃飯
502840	503240	對
