start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8500	9000	我是翠翠
9000	11000	哈囉 歡迎來到好味小姐開束縛 我還你原型
11000	13000	本集有預錄的廣告喔
13000	15000	本集節目由TAKAMI贊助播出
15000	18000	來自日本的TAKAMI是皮膚科醫生所創立的品牌
18000	22000	運用精準且極簡的醫生研發角質活化配方為基礎
22000	26000	設計出適合所有膚質的TAKAMI角質到小藍瓶
26000	28000	以護癢角質取代去角質
28000	30000	肌膚更強韌穩定的日常呵護
30000	34000	幫助肌膚角質自主 太舊換新 健康循環
34000	36000	這個呢 我本身呢 是屬於混合肌
36000	37000	可能很多女生都是這樣
37000	41000	就是T字部位跟夏天的時候會特別容易出油
41000	43000	你是不是也是這個狀態
43000	44000	我嗎 對對對
44000	47000	我會出油嗎 還是整體出油
47000	48000	就是很多人會跟我一樣
48000	50000	可能會有稍微有鼻頭粉刺啊
50000	52000	像是你就是特別有那種
52000	56000	然後鼻翼的毛孔還有眼下就容易有港紋的問題
56000	57000	對 那使用一陣子
57000	58000	我覺得這個東西
58000	61000	自己感覺比較明顯就是你的保水度跟那個
61000	63000	亮感會提升
63000	65000	對 就是因為你的角質有被養護之後
65000	68000	你就整個人看起來比較清爽
68000	72000	角質就是一些老舊的皮膚組織嗎
72000	73000	對對對
73000	75000	就會讓你皮膚看起來比較暗淡無光的感覺
75000	76000	對對對
76000	78000	它這是我們總共收到的是三個產品
78000	80000	分別是角質到氣墊結炎乳
80000	83000	角質到小藍瓶跟角質到積量乳
83000	87000	然後簡單來說就是洗面乳 精華液跟化妝水
87000	88000	對角質去處理的
88000	89000	對對對
89000	91000	它就是角質專家的感覺
91000	92000	嘿嘿
92000	95000	然後這三個我覺得比較是它們的質地蠻特別的
95000	98000	對 首先是結面乳它是那種超級濃稠
98000	102000	就是你在沒有加水的時候你去黏它會有種白膠感
102000	106000	對 所以你加水之後你一搓它就是一種超綿密紮實的那種
106000	107000	立體感的泡泡
107000	109000	對 所以你會覺得
109000	111000	人家在拍洗面乳廣告那種感覺
111000	112000	洗起來特別舒服
112000	115000	因為那綿密的泡泡弄在臉上的時候你會覺得
115000	116000	沒有摩擦感很柔滑的感覺
