start	end	text
0	8560	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8560	9260	我是翠翠
9260	10040	大家好 我是尼莎拉段
10040	11160	大家好 我是尼莎拉段 大家好 我是尼莎拉段 大家好 我是尼莎拉段
11160	16860	本集由我出了新品牌小失翠翠辣醬汁不出
17880	18840	講清楚啦
18840	21360	我覺得很害羞啦
21360	22620	嘿 事實就是這樣
22620	24700	如果今天大家有看到影片的話就知道
24700	29760	我本人出了一個新的品牌叫做小失翠翠
30000	32560	這個品牌的這個起源是這樣
32560	34920	就大家知道我之前在我自己的IG
34920	36920	大概進行了為期快600天的
36920	39240	雷夢的幼兒園倒數日記
39240	40280	因為這個企劃關係
40280	42000	所以我們每天都會找一些事情
42000	43840	去跟夢夢一起執行
43840	46720	然後我們就留下了很多美好的回憶
46720	48320	那我現在就覺得說
48320	50240	這些美好回憶的體驗
50240	51720	太值得分享給大家了
51720	54440	我太想分享給大家了
54440	55080	所以我就想說
55080	57200	那不如我們就來做一個牌子
57200	59440	讓大家可以跟我感同身受
59440	61200	跟他們家的寶貝留下一樣
61200	63600	這麼美好的回憶下來
63600	64200	聽得懂嗎
64200	65000	聽...
65000	66760	就是具體來說
66760	67720	要幹嘛
67720	68400	具體來說
68400	71400	我就是做了一個親子小品牌這樣子
71400	72760	然後我們第一個產品
72760	73600	我們特別選在
73600	76720	我自己覺得很有過節氣氛的聖誕節
76720	78520	然後這個產品的名字就叫做
78520	79840	小紅帽與餅乾
79840	83160	薑餅屋故事禮盒
83160	85800	言簡意亥就是一個結合了繪本
85800	87880	跟薑餅屋手作體驗
87880	89080	跟一個超可愛
89080	89400	公仔的
89400	91800	一個手作禮盒這樣
91800	94640	具體多了
94640	95800	告訴大家
95800	97080	就是小知識
97080	99840	就是承傳這個品牌名字叫做小石翠翠
99840	100520	中文名
100520	103480	它英文名字叫做Try Two
103480	105400	Try是那個試試看的Try
105400	106360	Two是
106360	107240	TWO
107240	108800	兩個的那個Two
108800	111200	這個英文名字是Try Two
111200	113960	就是兩個人一起試試看
113960	116600	或是你Try講兩次會變成Try Try
116600	118120	試試看的感覺
118120	119040	或是Try Two
119040	121280	Try To Do Something的那個Try Two
121280	123240	太多了一個就可以了
123240	126880	就是一個超級諧音梗
126880	128080	搞得像死亡訊息
128080	130840	對
130840	131760	好總而言之
131760	133720	我就希望可以透過繪本
133720	134360	公仔
134360	136760	還有整個禮盒故事場景的營造
136760	138560	可以讓大家在整個手作過程中
138560	141920	徹底的達到出一個完美的小紅帽的世界的感覺
141920	144000	那你跟小朋友在互動的過程中
144000	144920	也可以增加很多
144920	147560	因為這個場景的完整度增加很多有趣的互動
147560	148160	這樣子
148160	148400	好
148400	150840	在成全之前一開始說想要做這個東西的時候
150840	153240	我們都是一個一頭霧水的感覺
153240	157000	然後一直到我們只看過那個捲捲的公仔做出來
157000	158080	然後他們在那邊
158080	159440	我們看到他們在做餅乾
159440	160360	這樣子而已
160360	161240	最後做出來的東西
161240	163880	我覺得就是令我蠻驚訝
163880	165080	就那完整的程度
165080	168200	然後跟最後營造出來的整個氛圍跟細節
168200	169840	我覺得都做得很不錯
169840	172240	哎呦被黃衣姐稱讚了
172240	173240	而且過程很好玩
173240	177160	就大家可以去看我們腦波裡有一個很完整的開箱影片
177160	177520	比想像中還要有趣的影片
177520	180000	比想像中還要有趣的有簡單
180000	182240	就是說雖然是做給親子向的品牌
182240	184080	但是我跟黃衣姐實際玩起來
184080	187280	我覺得三五好友或者是情侶或是閨蜜
187280	188400	應該也會蠻喜歡的
188400	189480	是是是
189480	191200	那目前這個醬餅屋禮盒呢
191200	193920	已經在我們小石翠翠的官網上架了
193920	195120	然後我們這個連結
195120	196480	我會幫大家放在資訊欄裡面
196480	199040	請大家一定要點開看好嗎
199040	200280	拜託
200280	202320	現在時間11月28日
202320	204960	凌晨1點46分
204960	207120	大家應該有聽到剛剛沈川的這個聲音
207120	207360	我們龍船的聲音是在這裡的
207360	207600	我們龍船的聲音是在這裡的
207600	211560	隆重邀請了沈川老婆婆來到我們的現場
211560	215240	我現在這個喉嚨就像是長了茧一樣
215240	216560	我現在聲音好像烏鴉
216560	217080	救命啊
217080	218200	你可以說嘿嘿嘿
218200	219760	我要把你手指吃掉嗎
219760	221640	烏鴉有毛病喔
221640	222240	總而言之呢
222240	224840	我好像是在寵物展這兩天之後
224840	226840	感冒的這個部分啊
226840	227840	沒有變好方
227840	229640	變得好像更嚴重了一點點
229640	232400	你不是因為寵物展每次都會燒香
232400	232880	不是欸
232880	234080	我就是覺得感覺不是
234080	235920	因為我就是覺得我有稍微控制一下
235920	236960	沒有讓自己真的講這麼多話
236960	237360	沒有讓自己真的講這麼多話
237360	239200	因為我已經在感冒了
239200	240400	對然後大家也蠻體貼
240400	241240	我知道我在感冒
241240	244400	所以就是比較少跟我搭話搭太久
244400	246200	然後我覺得我這次最大的問題
246200	247680	你覺得他們沒給你搭話搭太久
247680	249840	是不是因為他們覺得就是你很冷漠
249840	250760	不是
250760	252040	講話愛理不理這樣
252040	253400	說了算了算了
253400	254520	真的都不講話啊
254520	257080	然後紅人在耍大海
257080	257840	沒有
257840	259720	大家跟我講話之後Ending都是
259720	262280	好好好你趕快等一下找時間多休息
262280	263680	好好好不要勉強不要勉強
263680	264840	你的意思是說
264840	266960	你會假裝就是講兩句就開始
266960	267960	開始
267960	269520	這樣就開始
269520	271120	開始咳嗽
271120	271880	我沒有
271880	274240	跟大麥場那個晚安曲一樣
274240	275920	你說播的很殘破
275920	278280	就是已經這個時間差不多了
278280	279160	燈開始關
279160	281280	然後就是大家開始出來拖地這樣
281280	283320	聲音越來越低沉這樣子
283320	284080	欸唷
284080	286520	現在給你拍怎麼
286520	287120	不是我
287120	288960	因為我差不多到第二天吧
288960	291240	可能第一天比較後半段之後
