start	end	text
0	8880	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8880	9320	我是翠翠
9320	10300	大家好 我是阿段
10300	11100	大家好 我是橫凡
11100	12880	本集有預錄的廣告喔
12880	16260	本集節目由ROYCHEN正級坐墊贊助播出
16260	20760	ROYCHEN正級坐墊是市售唯一可以選擇體型的正級坐墊
20760	23660	有男女兒童總共三種尺寸可以選擇
23660	25540	男女的體型跟骨盆的角度不同
25540	28660	所以坐姿還有姿勢調整設計也應該要有所不同
28660	31280	底部獨家支撐設計坐墊不易滑動
31280	33280	適合所有的座椅即使不搭配椅子
33280	36420	也可以直接當作合適椅在地面或是平面使用喔
36420	39520	通過SGS檢測不含有毒物質與安全性測試
39520	42640	最大可以承受220到350公斤
42640	45100	都可以維持平穩正確的姿勢喔
45100	48100	這個坐墊它真的寄來超級久
48100	49300	沒錯 大概大半年了吧
49300	50960	對對對
50960	53680	就是當初它概括我們想要敲這個合作之前
53680	55820	他就說這個東西要試坐一段時間
55820	56920	你才會有感覺嘛
56920	57360	對對對
57360	58620	所以它就是超級無敵PT9
58620	61740	我之前他就先寄兩個說給我們體驗看看
61740	64380	然後結果那兩個我根本還沒做到
64380	65780	就在辦公室被開箱了
65780	68120	對 就是突然就是被人家拿去做
68120	68720	對對對
68720	69540	坐一陣子我想說
69540	70960	唉唷你怎麼去就是
70960	72260	自己買了一個坐墊
72260	73000	效果怎麼樣
73000	74420	就坐起來怎麼樣這樣子
74420	75760	他說喔這其實是那個
75760	77120	就是常常就是
77120	78260	居然有門試坐
78260	78960	然後我就哈
78960	80640	然後我就把它收回來
80640	81760	因為我們要負責體驗嘛
81760	82480	我們要記著
82480	83140	對啊
83140	84380	對 然後我就坐坐看
84380	85360	啊我坐了之後覺得說
85360	87120	唉唷好像就是
87120	88620	坐姿就確實是變得
88620	88980	不端正
88980	89620	它會去
89620	90260	它會稍微
90260	91380	對沒錯
91380	93180	限制你的腰臀的坐姿
93180	93660	沒錯
93660	94300	然後我覺得說
94300	95060	唉就是
95060	95900	不會腳麻
95900	96600	唉
96600	97920	你超容易腳麻的
97920	99020	就是因為我坐姿不端正
99020	100460	都外星牛爸的關係
100460	101760	然後就是坐就不會腳麻
101760	102720	我就要辦公室的
102720	104680	就是小夥伴大家都來坐坐看什麼之類
104680	105960	然後那個搶先開箱那個人
105960	107420	因為他當天我們發現他的時候
107420	109520	他其實已經坐了一整個早上了
109520	111080	然後他就第一天過來跟那邊推銷
111080	111600	跟他說
111600	113860	唉我覺得我坐完以後覺得很舒服
113860	114880	因為他好像原本就是
114880	116520	只能容易腰痠背痛的人
116520	117660	然後他就覺得那天坐
117660	118620	就是半天下來之後
118620	119280	覺得唉
119280	120780	好像沒有平常一樣感覺
120780	122680	一下子就會腰痠的感覺
122680	124880	就是有種腰被挺起來的感覺
124880	127220	對所以後來我們就大家就在那邊
127220	128080	辦公室團購
128080	128420	沒錯
128420	129160	後來大家就想說
129160	130280	唉那這個是不是
130280	132360	廠商是不是有送那個公關品什麼的
132360	132860	對對對
132860	134360	我說你們現在這個規模
134360	136980	乾脆我們直接去跟廠商買好了
136980	137880	因為太多了
137880	140080	要想要送20顆太過分了
140080	142380	對所以我們就是一次跟廠商買了
142380	143180	二十幾個吧
143180	144380	現在辦公室就是
144380	145220	人手一個
145220	146020	一人配一個
146020	146380	沒錯
146380	147680	然後大家都還蠻滿意的
147680	147960	對
147960	148620	我覺得主要就是
148620	149460	你坐起來呢
149460	150320	他會稍微限制
150320	151020	就像你剛剛說的
151020	152760	限制你骨盆跟屁股那個空間
152760	153860	還有角度嘛
153860	155320	所以其實你坐上去之後
155320	157280	你是沒有辦法翹腳的
157280	158580	你也沒有辦法盤腿
158580	161220	你就是沒有辦法出現奇奇怪怪的坐姿
161220	163180	對他就是徹底矯正你一些不好的
163180	164520	坐著習慣
164520	166220	所以你現在進辦公室的時候發現說
166220	167120	哇大家都坐得
167120	168420	坐姿很多
168420	169780	大家都很有精神
169780	171620	不會像以前就是每個外星牛爸的
171620	172920	對軟軟爛爛的
172920	173620	不會
173620	175720	就是大家現在都坐得很舒服這樣子
175720	177460	像我們女生有時候很怕就你久坐
177460	177960	會有那個
177960	179260	假髖胯
179260	180360	就是你的屁股變大
180360	181400	喔屁股變大
181400	182420	還有什麼歐型腿
182420	184420	有時候其實就是因為你長期可能坐姿不良
184420	185960	你去整腹的時候師傅都跟你說
185960	188420	喔你不要翹腳啊什麼之類的
188420	190620	對那如果你就是好好坐的話
190620	192560	其實就可以慢慢矯正自己的體態
192560	193200	對
193200	194720	那最後呢就是廠商這邊
194720	197460	當然要提供他們自己優惠的這個部分
197460	199460	他說點選資訊欄的連結去下單呢
199460	201060	並且使用FB或是LINE
201060	202920	或是你的手機號碼做登入
202920	205560	馬上就可以享有五二折的優惠
205560	206360	那以上這個資訊
206360	207820	我們就在這邊分享給大家
207820	209520	產品的連結我會放在資訊欄裡面
209520	210920	大家記得點開來看看喔
211420	215020	現在時間12月11日下午2點40分
215020	216060	已經很早
216060	218580	我們終於完成了在早上錄Podcast這個任務
218580	219980	然後夢想成真
219980	221820	那為了要在早上錄Podcast
221820	223880	所以我必須要設定一個明確的主題
223880	225880	所以我們今天要來
225880	227360	單刀子錄
227360	229620	之前我們為什麼會三更半夜在那邊錄Podcast
229620	230920	就是因為這樣子
230920	232960	就一直不知道說今天要錄什麼
232960	235020	我是一直沒有整理好一個主題
235020	236580	然後在那邊想想想想想
236580	237480	然後想到就是
237480	238180	三更半夜
238180	239480	不錄不行
239480	240080	才開始
240080	240580	沒錯
240580	241680	所以我們今天來試試看
241680	243720	好我們直接來講我們的
243720	246120	國小常用作文100題
246120	248980	大家其實大家很喜歡這個系列好不好
248980	250380	對但是就是
250380	251980	國小的作文
251980	252820	也沒有很簡單耶
252820	254940	對啊
254940	256340	比如說像今天
256340	257540	今天是應該第幾次
257540	258640	第五題
258640	259540	五了嗎
259540	260880	哇我們這麼多次了嗎
260880	261540	還是第四題
261540	262080	我也搞不太清楚
262080	263440	差大概三到五次差不多啦
263440	264940	我有時候不會照他的那個
264940	265480	順序嘛
265480	265940	順序
265940	267080	有時候我覺得說
267480	268480	我覺得
268480	269480	還挑題
269480	269980	還可以選的
269980	271180	我就會換主題
271180	271980	比如像今天這個
271980	274240	然後我們今天大概是第四題還是第五題
274240	274980	這個
274980	276740	上課好開心
276740	277820	上課好開心
277820	280120	這一題我覺得就有點困難
280120	280680	我也覺得
280680	282880	我現在在思索什麼時候很開心
282880	283480	對
283480	283780	對不對
283780	285880	就他一開始就預設你的主題是
285880	287680	上課好開心
287680	289180	你不會覺得很嘲諷嗎
289180	290540	對啊如果我不開心怎麼辦
290540	290980	對啊
290980	292380	不是什麼上課的心情
292380	293280	對
293280	295540	他直接已經預設好你他的價值觀了
295540	296720	直接套到你身上
296720	297240	對啊
297240	299900	所以就是我如果說我上課超痛苦
299900	301400	那我要怎麼去
301400	302040	寫這個作文
302040	304340	我之前還以前小時候寫過一個作文的題目
304340	306000	因為我們國文老師是我們班導
306000	307000	我們老師就寫
307000	309240	我最愛的班導
309240	310040	我就想說
310040	312180	我國文班導關係沒有真的到很好
312180	312840	那個時候
312840	314340	不是說我最愛老師之類的
314340	314880	不是
314880	316140	我想說至少讓我挑一下
316140	317140	沒有我們班導就是說
317140	319580	我們就是先來互相認識一下
319580	322240	就是說就是我們來寫一下你對我的了解
322240	322840	然後
322840	323800	但是那你就是
323800	324600	那你應該也是說
324600	325640	我看到的
325640	326680	對我的班導啊
327240	330640	就是我最愛的班導
330640	331240	對啊
331240	333240	沒有我們班導最後就說什麼
333240	334440	哦你最愛的班導
334440	336480	你從小到大這麼多個
336480	338380	你也不一定要寫我嘛
