start	end	text
0	2000	你剛說聲音為什麼很小聲
2000	4000	你剛不是說為什麼講話聲音很小聲
5000	7000	就是我小時候有一段時間
7000	10000	大概國中還是國一還國二的時候
10000	12000	然後那時候很流行就是要
12000	14000	大家都會買那個叫什麼
14000	15000	workman
15000	17000	就是放CD的那種然後插耳機
17000	19000	然後我就是有那段時間
19000	21000	我就有幸得到了一台
21000	23000	我就在聽音樂的時候我就在學校
23000	24000	然後因為其實你戴耳機
24000	26000	你還是稍微聽得到外面的聲音
26000	28000	你還是可以跟別人對話
28000	30000	所以說你應該是有一隻
30000	31000	講話到大叫吧
31000	32000	不是不是不是
32000	34000	就是我們就是在正常聊天
34000	36000	我就覺得我跟平常一樣正常聊天
36000	37000	就突然啊
37000	38000	就是大概過了五分鐘十分鐘
38000	40000	其實我們已經聊了一陣子
40000	42000	然後大家也都沒有什麼奇怪的反應
42000	43000	然後大概五分鐘十分鐘
43000	45000	有一個人開始就是有一點
45000	47000	面有難色就是要笑不笑
47000	49000	尷尬的看著我這樣
49000	50000	然後其他人也就停下來
50000	51000	發出了同樣的表情
51000	52000	然後看著我
52000	53000	然後我就
54000	55000	怎麼了 現在怎麼了
55000	56000	我剛說了什麼
56000	57000	我就一直在反省
57000	58000	我剛是不是說了什麼
59000	60000	結果他就說
60000	61000	你把耳機拿下來一下
61000	62000	然後我就把耳機拿下來
62000	63000	然後他就說
63000	65000	其實你從頭到尾講話
65000	66000	都超級大聲
66000	67000	像是在用喊的一樣
67000	69000	跟我們聊天你知道嗎
69000	71000	然後我就覺得萬分羞愧
71000	72000	但我沒有
72000	73000	我就是講話
73000	74000	其實我在耳機裡面聽起來
74000	75000	我就是跟現在這樣一樣
75000	76000	很平順
76000	77000	就沒有特別大聲
77000	78000	我也沒有覺得我自己特別用力
78000	80000	然後從那之後我就是
80000	82000	尤其是戴耳機的時候
82000	83000	我到現在還會習慣性
83000	84000	講話特別小聲
84000	85000	所以你是說
85000	86000	因為我們現在戴著監聽的耳機
86000	87000	對對對
87000	88000	所以你講話就很小聲
88000	89000	特別小聲
89000	90000	進入聲音小聲的狀態
90000	91000	三小
91000	92000	你還不適合露發開始了吧
92000	93000	對
93000	94000	你平時就聽得到自己的聲音啊
94000	95000	我很容易被
95000	96000	我很容易被這些類似的事情
96000	97000	就是影響
97000	99000	而且還會很深遠
99000	100000	這就是從國中到現在
100000	101000	從那之後
101000	102000	我只要跟人家聊天
102000	103000	我都會
103000	104000	稍微有一點
104000	106000	有點像是壓低自己的音量
106000	107000	就是有
107000	108000	不知道耶
108000	109000	我那時候就覺得
109000	110000	心靈受創
110000	111000	覺得想幹
111000	112000	對對對
112000	113000	覺得很丟臉
113000	114000	微微的羞恥感
114000	115000	那些是國中生
115000	116000	你國中生是很需要
116000	118000	同儕認同的時間
118000	119000	所以你很容易因為
119000	120000	這種這種羞恥
120000	121000	然後就
121000	122000	影響了你一輩子
122000	123000	沒有錯
123000	124000	然後我從那之後
124000	125000	尤其是戴耳機的時候
125000	126000	我就會講話特別小聲
126000	127000	其實是小聲到
127000	129000	就是人家說
129000	130000	蛤
130000	131000	你說什麼
131000	132000	這樣的那種程度
