start	end	text
0	8660	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8680	9280	我是J
9280	11000	大家好 我是J 今天是要帶大家深深翻
11000	16680	現在時間是12月18日 禮拜一的凌晨2點39分
16680	19480	我們是提早了一天錄
19480	20320	對對對
20320	22680	這個原因很複雜 等一下慢慢講
22680	25000	但是我覺得我們要先規定一件事情
25000	28320	是這樣子 我們大概11點的時候
28320	29320	就已經在這地方做定位
29320	30200	沒錯
30200	33800	然後是這樣 我們因為其實大家工作各有各負責的範圍
33800	34440	沒錯
34440	35920	然後平常也是很忙
35920	37480	所以真的要我們三個人
37480	38600	湊在一起
38600	40080	然後可以聊聊天 講些話
40080	41280	心無旁騖的
41280	42840	的時間其實不多
42840	45400	那錄Podcast的時候就是一個好時機
45400	47880	所以我們錄Podcast之前都會針對一些
47880	49280	最近有些什麼想做的事情
49280	51040	有些什麼意見 生活上的一些討論
51040	52600	不管是公司的還是家庭的
52600	54240	我們都會稍微討論一下
54240	56560	以前不會花這麼多時間
56560	57920	以前比如說我們想決定一些
57920	58840	什麼事情該擺台
58840	59280	什麼空氣
59280	60560	經濟範圍哪
60560	61640	什麼之類的
61640	62360	要怎麼挑啊
62360	63480	什麼之類的
63480	64840	這種就是小事情
64840	66240	很快就可以結束了
66240	66720	就解決
66720	68000	我們就可以開始錄Podcast
68000	68720	沒錯
68720	71800	但是這個月不知道從什麼時候開始
71800	73040	陳篡篡開始聊
73040	76440	就是我們雷夢以後要去讀私立小學
76440	77600	還是讀公立小學
77600	78760	這個問題
78760	80320	就是說以後小學要讀哪裡
80320	80760	這個問題
80760	82560	這個迫在眉睫了沒有了嗎
82560	83720	火燒眉毛了
83720	85840	這種沒有解答問題
85840	87960	當我們每次錄Podcast之前聊這個問題的時候
87960	88800	沒完沒了喔
88800	90600	對 都會聊兩三個小時
90600	93120	對 一個不小心就凌晨兩點多了
93120	94240	然後每次的結論都是
94240	96320	哇 這個也太難了吧
96320	97640	再想想 再想想
97640	100440	我記得我們小時候沒有這個東西啊
100440	102200	沒有私立小學啊
102200	103960	我就沒有私立小學
103960	104640	不多啦
104640	106320	很少不會在我們就是一般
106320	107280	小學呢
107280	108040	有啦
108040	110560	有那種很少很少的那種貴族小學
110560	112600	我以前讀私立國中
112600	115200	就我媽很怕我國中的時候學壞了幹嘛
115200	116400	對 送我去讀私立國中
116400	118760	我覺得已經是比較少見的事情了
118800	120400	對 其實是
120400	121960	然後一直到我們今天
121960	123040	開始討論這件事情
123040	124640	討論一個多小時之後
124640	126040	我們才突然想起來
126040	127320	小一小二的時候
127320	128520	好像不是上整天的課
128520	129760	對對對
129760	130720	然後我們就去查
130720	132320	發現說回想起來
132320	133480	其實小一小二他是
133480	135480	只有禮拜三是上全天
135480	137400	其他時間都是上半天
137400	139520	但是私立小學他就是上整天的課
139520	141880	對 就是週一至週五都是全天課
141880	143640	等於他把你的安心班什麼東西
143640	145080	都包在一起了
145080	146120	高級安心班
146120	146920	那種感覺
146920	148640	所以我才發現原來這是他的那個
148640	150240	剛需在這邊
150240	151360	就是為什麼他會存在理由
151360	154120	就是中午到爸媽下班這一段時間
154120	156040	需要有人管
156040	158280	但是你要剝奪這段時間嗎
158280	159600	你仔細想想
159600	160520	小學的時候
160520	162040	小一小二的時候
162040	163080	最爽就是這段時間
163080	163760	最爽就是這段時間
163760	166640	你在小學學什麼都不記得
166640	167920	但記得玩了什麼
167920	169080	不是 中午的時候
169080	170080	然後放學
170080	172160	然後就跟同學走路隊回家
172160	172800	對對對
172800	174360	然後在路上有時候就會玩
174360	174720	然後去
174720	176240	買一些零食什麼之類的
176240	178000	對啊 然後去探險幹嘛
178000	178520	像我說
178640	180800	就是跟小學走田耿
180800	182320	然後發生的那些事情
182320	184120	都在這段時間發生的
184120	185720	對 然後回家之後就是
185720	187000	看電視
187000	188600	對啊 都在看電視跟打聽動
188600	190880	然後阿嬤會一直端水果過來
190880	191680	之類的
191680	193200	去買零食來吃之類的
193200	193800	對啊
193800	195640	所有小學的記憶都是發生在
195640	197280	小一小二這段半天的時間裡面
197280	198400	好像是
198400	199400	對啊 你上失憶小學
199400	202880	那不是小學就失憶了
202880	203600	就是這個感覺
203600	204960	有可能
204960	205880	你這麼一講
205880	206880	我覺得好恐怖
206880	208120	對啊 是不是很可憐
208120	209320	然後我又深入研究一下
209320	210920	發現說現在的整個狀態
210920	211840	好像跟我們以前小時候
211840	213120	真的是不太一樣
213120	214120	差最多就是
214120	215480	我們以前小時候是沒有
215480	217160	週休日日的
217160	217640	你記得嗎
217640	218400	對對對
218400	219120	好像是
219120	220240	我們以前禮拜六要上課
220240	220840	上課
220840	222600	隔週休吧 我記得
222600	223520	沒有
223520	224640	隔週休是
224640	225120	老實講
225120	226120	就是原本都是
226120	227320	一個禮拜上六天班
227320	228040	對啊
228040	229640	所以說我們那個時候
229640	231000	禮拜六是上半天吧
231000	231600	半天課
231600	232720	半天 對
232720	234600	半天就是禮拜三跟禮拜六會上半天
234600	235520	對對對
235520	236400	然後
236400	237280	應該是
237280	237960	我剛剛查了
238120	240200	1998年
240200	241240	的時候
241240	242120	是變成
242120	243520	隔週休二日
243520	245160	是不是說什麼要事半
