start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8500	9000	我是吹吹
9000	9800	哈囉 今天是阿斷
9800	10000	哈囉 今天是阿斷
10000	11000	哈囉 今天是阿斷
11000	16000	好 本集節目由2024年好味冻乾貓玩糖盒贊助
16000	16500	沒錯
16500	17500	沒錯
17500	19200	可能有的人已經看過影片了
19200	23000	知道我們的新品上架就是我們這次的春節念菜
23000	26000	因為我們去年的那個貓糖盒大受好評耶
26000	29700	就是基本上那一整年你只要捧著那個糖盒到處走
29700	31200	身邊就會黏滿貓咪
31200	33200	對 而且就是可以吃滿久的
33200	35200	因為我們很大一盒啊
35200	35700	對 沒錯
35700	36700	超級滿足
36700	39700	然後我們今年呢在造型上又多加了一點巧思
39700	41700	我覺得今年超級可愛
41700	44700	首先映入眼前你打開是彩色的
44700	47700	超級可愛就是我們用了一些天然食材會有的顏色
47700	50700	比如說南瓜 紫薯 紅麴
50700	52700	然後來變化那個丸子的顏色
52700	55700	然後另外一個呢就是我們今年全部做成球形的
55700	57200	所以是貓丸糖盒
57200	58700	對 我就覺得哇
58700	59700	捏在手上看起來
59700	60700	特別的可愛
60700	61700	還是個本丸主題
61700	64200	就是我們在那個糖盒的封面上
64200	64700	對對對
64700	67700	就是一個在兩隻像雙龍搶柱一樣
67700	69700	在搶一顆貓丸的這個本丸
69700	70700	對 而且你就
70700	72700	如果你有在餵貓咪零食的人你就會知道
72700	75700	如果你那個丸子啊稍微可以滾動
75700	78200	其實會大大激起貓咪想要吃牠的慾望
78200	79700	然後順便幫牠減肥
79700	81200	因為牠過年一定吃很多東西
81200	82200	去讓牠追一下
82200	84200	對 就像是在這個
84200	86700	就像這隻翔龍在戲豬的感覺
86700	89700	有一個吉祥的這個寓意在裡面
89700	92700	總而言之
92700	93700	我們今年還是
93700	95700	我覺得我剛剛那段
95700	97700	加了非常有創意
97700	99700	這完全沒有在我們的稿子裡面
99700	101700	可以拿去拜一拜了
101700	102700	加了這個
102700	103700	我加了這一條上去之後
103700	105700	那個過
105700	106700	那個除夕那天
106700	108700	晚上要拜天公的時候
108700	109700	你就可以把它擺出來
109700	111700	天啊 就跟那個放在
111700	113700	放在那個三碗湯圓的中間
113700	115700	我天啊
115700	116700	太適合了
116700	117700	一樣的東西
117700	119700	你唯一要小說的就是
119700	120700	可能就是你們家的小孩
120700	121700	看到牠這麼可愛
121700	122700	會拿起來吃
122700	123700	太吉利了
123700	124700	對
124700	125700	我們終於走到正確的行銷方向
125700	126700	什麼方向
126700	128700	就是這個吉祥化行銷方向
128700	130700	你說特別式的過年嗎
130700	131700	我們現在給牠想一堆就是
131700	134700	跟玩有關係的吉祥化
134700	135700	太難了吧
135700	137700	跟玩有關係的吉祥化
137700	138700	比如說
138700	139700	難道沒有嗎
139700	140700	我查一下
140700	141700	有
141700	142700	就是這個
142700	143700	玩字就是圓
143700	145700	取玩跟圓字的諧音
145700	148700	世事圓滿
148700	151700	桌上同時有魚丸 蝦丸 貢丸
151700	153700	象徵三圓幾地
153700	154700	我們那個裡面
154700	155700	彩色那三顆
155700	157700	剛好一個是魚 一個是蝦
157700	158700	一個是
158700	159700	忘記怎麼了
159700	160700	反正
160700	161700	三圓幾地
161700	162700	一個是豬背
162700	164700	合家團圓
164700	166700	是豬背
166700	168700	財源廣進
168700	170700	珠寶的意思
170700	171700	還有雞肉丸
171700	173700	雞就是家
173700	175700	家的那個諧音
175700	177700	合家團圓
178700	180700	太棒了
180700	181700	太棒了
