start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8500	9000	我是翠翠
9000	9900	大家好 我是阿鑽
9900	10800	大家好 我最近真的很煩
10800	15900	本期節目由營養師品萱的2024青春禮盒贊助播出
15900	17900	嘿
17900	20400	當然有貓吃的 我們也有人吃的嘛 對不對
20400	23200	馬上就要過年了 所以大家這時候一定都在想說
23200	26400	過年要瘦什麼 或是要帶什麼東西回家
26400	27000	好
27000	29200	我們在此提供你一個最優解
29200	30600	喔 帶回家的禮盒
30600	34400	沒錯 就是我們營養師品萱2020年新的青春禮盒
34400	38200	那這次我覺得我們那個選物都算是有規劃過的
38200	40500	我們就是選擇了我們營養師品萱這個品牌
40500	43100	今年一年以來最受歡迎的產品
43100	44000	對對對
44000	47500	包含了新口味的寶寶凍 然後新口味的無味奶茶
47500	49700	再加上冬季限定的兩款
49700	52700	跟最受歡迎的兩款 就是四款的萱春雨
52700	58100	對 基本上裡面就是零食啊 宵夜啊 飲料通通都會包含在裡面
58100	59100	而且我們所有的東西
59100	61200	全部都是用天然的食材製作
61200	63400	然後不包含人工香料 色素等等等等
63400	65800	所以就是你們家有長輩或是小孩
65800	67700	我覺得也非常的合適
67700	70000	那為了怕有些人不知道裡面到底是什麼東西
70000	71600	我們來稍微介紹一下
71600	73400	首先我剛剛說的寶寶凍
73400	76400	它是一個用天然果汁製成的高纖果凍
76400	78700	你平常只要吃一兩條 然後再搭配水喝
78700	80400	就可以提升你的飽足感
80400	83200	這取代高熱量宵夜或是零食的好選擇
83200	87000	對對對 然後再來是我個人很喜歡的部分就是微微奶茶
87000	88900	基本上微微奶茶只要一到冬天
88900	92600	你一定會忍不住每天都想泡個一兩杯來喝一下
92600	94100	那這個奶茶最特別的首先呢
94100	96400	它是不加糖的喔 奶茶粉包本身
96400	98700	我們會另外附一個糖包給大家
98700	102100	所以大家可以依照自己的喜好程度去添加你的糖量
102100	104800	那再來呢 就是微微奶茶是選用100%
104800	108000	純天然紐西蘭的奶粉來取代奶精
108000	109700	就是不加奶精的
109700	111700	然後最後呢 就是我們這個茶葉呢
111700	115300	是用微米研磨技術將茶葉磨成粉末狀
115300	118800	所以大家在沖泡完之後那個香氣會馬上被沖出來
