start	end	text
0	8300	哈嘍 大家好 歡迎來到好味小姐開束縛 我還你原型
8300	8800	我叫翠翠
8800	9700	大家好 我是傑宁沙斷
9700	10500	大家好 我是Seryn Phan
10500	12000	本集有預錄的廣告喔
12500	14900	本集節目由方姿生技贊助播出
14900	17300	年節送禮的好選擇 方姿又回來了
17300	22100	那這次要跟大家分享的是方姿的日月揚升 鯽魚饗宴禮盒
22100	22900	鯽魚
22900	26600	對 他們禮盒呢 裡面是有五包低筋金跟五包低魚金
26600	28480	以及一个匠人手工打造的
28480	30240	天目诱品名杯
30240	31700	所以非常适合拿来送礼
31700	32480	就大版的
32480	33340	对对对
33340	34800	那个杯子很华丽
34800	35780	很厚实
35780	36340	对对对
36340	37220	它就是要让你说
37220	38720	你那个第一天加热完之后
38720	39160	倒进去
39160	40560	整个杯子不会烫手的
40560	40820	对
40820	42660	我们家目前就是有
42660	43700	大概三四个
43700	46200	非常平凡的使用它
46200	47080	然后这是这个礼盒
47080	47580	比较特殊
47580	49320	就是有滴鱼精的加入
49320	50940	滴鱼精我真的觉得
50940	52480	是一个非常感人的商品
52480	53880	就成成之前
53880	55100	生完小孩之后
55100	55920	他就在月子中心
55920	57340	然后我妈呢
57340	57940	她就觉得说
57940	59280	要恢复好的话
59280	60700	就要喝很多的鱼汤
60700	61440	对对对
61440	62740	好像我妈有这个说法
62740	63640	所以每天
63640	65040	我妈都会炖一锅鱼汤
65040	66000	拿去月子中心
66000	66820	没错没错
66820	67640	然后呢
67640	68900	在疯狂煮鱼汤
68900	69460	这段期间
69460	70420	家里的冰箱
70420	71900	就非常非常的可怕
71900	73480	因为你去一趟市场
73480	74280	可能有点距离
74280	76200	所以说一开始很困难
76200	77260	你每天都买最新鲜的
77260	77880	一只一只买
77880	78160	对
78160	78860	然后就想说
78860	80320	有点麻烦
80320	81360	一周一周买
81360	83420	也就一次买三五只这样子
83420	84800	然后鱼羊买回来放着
84800	85940	慢慢的就会
85940	87160	血水很流
87160	88840	然后你整个冰箱打开
88840	89960	都是鱼的味道
89960	90680	没错
90680	91760	就是煮鱼汤
91760	93520	整个这些厨房的伤害很大
93520	95120	体验很不好
95120	95600	没错
95600	96160	那滴鱼君
96160	96780	可以直接跳过
96780	97920	这些讨人厌的步骤
97920	98600	没错
98600	99900	那他们这款滴鱼君
99900	100480	还很特别
100480	101600	就是他们使用的原料
101600	104020	是半海水养殖的虱目鱼
104020	104860	虱目鱼
104860	105200	对
105200	106180	其实虱目鱼本身
106180	107720	是含有蛋白质
107720	108740	营养比例很高
108740	110060	比鲈鱼还要高的一种鱼
110060	111060	所以它是一种
111060	112660	有着多元营养素的鱼种
112660	113980	那维持他们一贯的
113980	115600	高品质养殖到生产
115600	116780	我觉得这个滴鱼君
116780	118360	喝起来超好喝的
118360	120200	那个说实在的
120200	120680	虱目鱼
120680	122060	根本没办法拿来煮鱼汤
122060	125040	虱目鱼做鱼丸汤
125040	126000	还会虱目鱼很多次
126000	126620	没错
126620	128000	它其实很难剔那个肉
128000	128980	没办法吃肉
128980	129180	对
129180	131020	但是虱目鱼又很营养
131020	132800	然后煮出来的汤又很好喝
132800	133600	那这基本上是
133600	134740	你想喝虱目鱼汤的
134740	135240	唯一选择
135240	136040	没错
136040	137080	我自己喝下来
137080	137800	我觉得它是一个
137800	139480	咸香鲜的味道
139480	139660	对
139660	140620	因为其实有吃过
140620	141580	虱目鱼柳的人
141580	142200	可能就知道
142200	142660	它吃起来
142660	144180	其实自带一点点的咸味
144180	146280	我觉得非常的好喝
146280	146520	对
146520	147580	如果你们喝这个滴鱼君
147580	148340	你在月子中心
148340	149180	想喝虱目鱼汤
149180	149980	你就只能喝到
149980	150740	虱目鱼鱼汤
150740	153460	像在吃卤肉饭一样
153460	155100	对
155100	156420	那他们这个产品
156420	157400	还有特别添加了
157400	158920	深海鱼卵谷素
158920	160220	就是可以帮助家中
160220	162160	如果你有长辈的日常保健
162160	163800	那或者是病后的一些调理
163800	164560	来做使用
164560	166100	然后像前一阵子
166100	166920	萌萌一直在感冒
166920	167760	那感冒期间
167760	168900	就是吃的东西会比较少
168900	170120	阿嬷都会觉得她瘦了
170120	171920	所以在她感冒好了之后
171920	172740	阿嬷就会疯狂地
172740	173840	热滴鸡精还有滴鱼精
173840	174320	给她喝
174320	175360	想要帮她补一下
175360	176420	像这个房子
176420	177620	大概寄了两盒吧
177620	178480	这个礼盒主给我
178480	178760	没错
178760	180940	我大概喝了两包
180940	181880	我差不多
181880	183180	我好像差不多
183180	183660	应该还是喝到两包
183660	184720	我们基本上
184720	186000	从我妈那边抢救回来
186000	187240	就是那个
187240	188800	一放在我们那个厨房
188800	189760	我妈就直接
189760	190580	把它全部拿走
190580	191680	问都不问
191680	192800	之后我们小伙伴
192800	193120	问我们说
193120	194320	喝完之后心情怎么样
194320	195820	什么你有放过来吗
195820	196400	有啊
196400	197940	然后她去我妈那边
197940	198920	抢救回来
198920	199060	抢走
199060	199500	对对对
199500	200560	全都被萌萌喝光
200560	201080	没错
201080	203040	她是真的很喜欢
203040	203800	那个味道
203800	204800	那最后呢
204800	205300	就是他们的
205300	206400	活动优惠的部分了
206400	207340	那现在点选
207340	208680	资讯栏的专属卖场
208680	209620	下单就可以享有
209620	210720	超杀的七四折
210720	211820	企团购优惠价
211820	213820	那满额还可以抽金条
213820	215420	可以抽金条
215420	215940	金条
215940	216760	我好会做人喔
216760	217320	太严谨了吧
217320	217980	对啊
217980	219260	距离农历新年呢
219260	219600	大概还有
219600	221280	大概两周左右的时间嘛
221280	222940	大家记得要提前准备起来喔
222940	224020	那以免之后物流
224020	224980	可能会塞车
224980	227060	以上资讯分享给大家
227060	228280	大家记得点开资讯栏
228280	229200	去看看喔
229200	231480	现在时间是
231480	234420	1月22日晚上9点01分
234420	236320	好我今天来跟大家分享
236320	239260	我觉得是带有一点
239260	241340	中年气息的
241340	243220	是有一点没有错
243220	243940	探险故事
243940	244980	知道就好
244980	246480	超奇怪
246480	247860	那是男人的约会吗
247860	248760	有点像
248760	249560	好奇怪
249560	250320	你们超奇怪
250320	250700	就是
250700	251260	这个是男人的约会
251260	252360	真的是意外成行
252360	252700	对
252700	253800	就上礼拜五啊
253800	254400	的晚上
254400	255900	大家已经吃完饭
255900	257060	然后小孩啊
257060	257820	有的去洗澡啊
257820	258260	睡觉啊
258260	259420	大家已经各自带开了
259420	261080	然后宋伟伟凡两个人在厨房
261080	263040	然后就是闲聊啊
263040	264320	然后大概到晚上10点多
264320	264760	对
264760	265900	然后这个时候就突然觉得
265900	267960	就突然觉得很无聊
267960	268880	什么都不怕
268880	270380	最怕你无聊
270380	271180	突然觉得很无聊
271180	272220	所以应该是因为
272220	273460	今年已经快到尾声了
273460	273720	对
273720	274280	你知道吗
274280	276220	就是有一些什么拍影片啊
276220	277680	或者有一些什么活动啊
277680	277940	是
277940	278840	电商的档期啊
278840	279740	全部都已经忙完了
279740	281040	就现在这是一个
281040	281980	尘埃落定
281980	282940	等过年
282940	283760	这垃圾时间
283760	284500	对对对
284500	285980	等放假的时间
285980	286260	对
286260	287000	然后突然觉得说
287000	287460	好无聊
287460	289160	现在做什么都没劲
289160	289500	对
289500	289800	这样
289800	290840	反正说
290840	292980	不然我们去看房子
292980	293760	超奇怪
293760	295140	这是什么奇怪的
295140	295820	是这样子
295820	296400	我在想说
296400	297880	这是什么中年男子的
297880	300340	就是喜好的休闲活动
300340	301280	大家听到看房子
301280	302300	会觉得有点莫名其妙
302300	302780	对啊
302780	303480	就是这样子
303480	305120	就我们上次不是在跨年的时候
305120	306120	我们大家一起去露营吗
306120	306480	对啊
306480	307740	就那天就是那个露营
307740	309140	就大爆满
309140	309580	真的
309580	310280	很多人
310280	310600	对
310600	310940	还有
310940	312060	那个人在旁边唱歌
312060	312400	干嘛
312400	313900	然后晚上睡觉的时候
313900	314880	一堆人在打呼
314880	316040	我觉得这不是
316040	317500	我想象中理想的
317500	318780	露营的状态
318780	319820	这个环境
319820	320340	对
320340	322040	照理说应该是很静谧的
322040	322640	应该是
322640	324040	就是远离晨宵的
324040	324180	对
324180	324800	很安静
324800	325280	很relax
325280	326000	对啊
326000	327060	结果比我在家里还热闹
327060	327540	这种一回事
327540	329300	只是被芬多金包围才对
329300	329860	对啊
329860	332060	我跟友凡就有点不满意
332060	333560	我们那时候就在想说
333560	336100	我能不能自己在山上
336100	336400	对
336400	337920	买一块很便宜的
337920	338880	角落啊
338880	339560	什么之类的
339560	339680	对
339680	340400	随便买一块地
340400	340880	所以
340940	341680	我们自己去
341680	343880	我们自己的土地上露营
343880	345500	就一定不会有别仗
345500	346260	就不会有别人
346260	346740	对对对
346740	347640	包起来的感觉
347640	349060	也不会有别人打呼
349060	349600	对嘛
349600	350880	打呼一定是自己人
350880	351760	一定是自己人
351760	353060	这样就可以达到
353060	354900	我们要求那个静谧感
354900	355720	对不对
355720	357600	所以从露营回来
357600	358420	反正说
358420	359440	今年1月1号开始
359440	360460	我跟友凡
360460	362340	这一个多月以来
362340	364080	我们平日的休闲活动
364080	364580	真的是
364580	366500	真的是平日的休闲活动
366500	367400	就是去刷
367400	368220	看那个
368220	369160	我们一开始去刷
369160	370020	那个胡九一
370020	370840	就是房屋交易
370840	370920	对
370920	372040	选那个
372040	373440	我们要买土地啊
373440	374820	然后选那种
374820	375660	没有人要的什么
375660	376780	山坡地啊
376780	377580	然后
377580	378700	坪数超大
378700	379900	然后超便宜
379900	381000	就是那种
381000	381840	一定就是在山上
381840	382820	然后很隐秘的一个
382820	383340	偏远的地方
383340	383660	对
383660	384340	然后我们一开始
384340	385180	在胡九一那边找
385180	386160	就发现
386160	387760	胡九一上面都是一些
387760	390340	太商业化的案件
390340	391760	你说太靠近市中心了
391760	392000	是不是
392000	392320	没有
392320	393120	他们都有一些
393120	394420	诱人的条件
394420	395220	什么意思
395220	396280	他长得很精致
396280	396740	对
396740	398140	你说觉得整理过
398140	398700	整理过
398700	399460	然后也弄好
399460	400080	拿出来卖
400080	400860	漂亮的房子
400860	401400	在中间
401400	403880	这样大家才会想要去看屋啊
403880	405120	但是我们就觉得没劲
