start	end	text
520	1160	号CHEEN攝影師阿斷
5340	8760	Hello 大家好 歡迎來到好味小姐開束縛 我還你原型
8760	9680	大家好我是CHEEN攝影師阿斷
9680	10400	hollo我是 TECH Reapers
10480	11800	本節目預錄的廣告喔
12140	14240	本節目由Relove贊助播出
14240	17800	這是一口氣收到Relove的3款私密洗
17800	20660	那...以及5款蛋白酵素手洗筋
20660	22960	因為我分享給很多我們其他辦公室的夥伴
22960	25320	我們辦公室都是女生 因為我一個人用不完那麼多款
25320	29120	所以這算是我們集結辦公室大家的使用心得這樣
29120	30840	是不是一头雾水想说是什么东西
30840	32840	真的非常感谢这个厂商
32840	34840	非常的信任我们
34840	37120	其实这个是私密处清洁嘛
37120	37920	对对
37920	39840	他还是给我们发了一个
39840	43640	三个人都要表达一些意见的方案
43640	46640	造成我们跟YueFan非常大的困扰
46640	49240	没关系你们两个就见缝抓针就好了
49240	51440	好首先呢来介绍一下他们的私密系
51440	53560	那他的三款不只是味道上不同
53560	55240	他主打功能其实也不太一样
55240	58040	那分别呢有两感抗菌的氨基酸
58040	59960	还有美白的传明酸
59960	62480	以及最温和的金盏花私密系
62480	63840	如果你是有除毛习惯
63840	65600	或是那种学龄的小女孩
65600	68400	就是刚进入青春群的女生
68400	69920	或者是你是更年期的姐姐的话
69920	71200	都还蛮适合用金盏花
71200	73960	因为你们可能私密处的皮肤会比较敏感
73960	75880	对就适合推荐温和型的
75880	77720	那我觉得他们的味道都还蛮舒服的
77720	80360	就是一种宝宝的香皂味吗
80360	82480	然后带一点点淡淡的花香
82480	84720	所以我觉得算是接受度很高的味道
84720	85760	那冲洗也很方便
85760	87040	然后我自己觉得使用完
87040	88000	也不会有那种
88000	90040	紧绷或是干涩的感觉
90040	91560	我觉得以私密洗来说
91560	92520	这个蛮重要的
92520	93780	那平台有特别强调
93780	96200	他们是业界唯一的无锡式凝露
96200	98440	那可以有感分解私密处的异味之外呢
98440	99780	酵母菌还有蔓越莓
99780	101340	还可以增强私密处的防护力
101340	102760	所以它用量会非常的省
102760	103900	然后清洁力又很够
103900	105040	推荐给大家
105040	106480	那第二个就是我刚刚提到的
106480	108320	另外一款商品是手洗精
108320	109120	那他们这一款呢
109120	110940	是使用英国专利的蛋白酵素
110940	113320	可以有效分解你的小裤裤上面的脏污
113320	115700	那中性酸解值不伤手
115700	116640	所以你在洗的过程中
116640	117840	不会手会不舒服
117840	118700	那20秒呢
118700	119760	就可以轻松换掉大家
119760	121900	裤裤上的血渍尿渍跟分泌物
121900	123080	那厂商这边说呢
123080	125460	他还可以拿来洗宝宝的衣服跟口水精
125460	129100	哇我们现在这个口水精用量超级大的耶
129100	130260	我刚刚就在想这个手洗精
130260	131600	它感觉清洁力这么强
131600	133080	还有能不能用在什么地方
133080	134220	就是有什么地方
134220	135740	就跟就是内裤一样脏这样
135740	136780	口水精
136780	138760	而且口水精好像有味道
138760	139980	口水精真的很脏
139980	140940	对真的很脏
140940	141760	很多细菌
141760	143040	而且他们说
143040	144940	连可怕的红酒渍跟酱油
144940	145680	都能洗掉
145680	146440	欸他就说了
146440	147800	像是你出门上班啊
147800	148680	或者是上课的时候
148680	150000	你没有办法立即清洗嘛
150000	151360	这些鞋子什么的
151360	152540	他说你可以回家的时候
152540	153600	取适量的那个
153600	154540	他们的手洗精
154540	156320	然后把衣服浸泡
156320	157500	大概三至五分钟
157500	158720	然后再去搓洗
158720	160020	就可以轻松的去除
160020	162380	哇专门处理这种蛋白质之类的东西
162380	162860	对对对
162860	164440	那他就是建议大家
164440	165380	因为大家知道嘛
165380	166140	女生的内衣裤
166140	167920	其实是要跟自己的衣服袜子
167920	169520	就是细菌比较多的东西分开洗
169520	171500	那就可以使用手洗精这一类的产品
171500	172640	那以上两款产品
172640	174140	他们都是有经过SGS认证
174140	175800	有效抗菌99.9%
175800	176920	品质安心有保障
176920	178540	最后呢是活动优惠的部分
178540	179900	购买资讯栏连结里面的
179900	182480	手洗精加私密洗组合
182480	184420	结账的时候记得要输入FLAVOR
184420	185600	就是我们全部大写
185600	186660	FLAVOR
186660	188420	就可以再享100元的折扣
188420	189640	以上资讯分享给大家
189640	190880	大家记得点开我们的资讯栏
190880	191640	过去看看咯
192300	193800	现在时间是1月30日
193800	195500	凌晨12点02分
195500	198200	这个我们上礼拜
198200	199620	跟大家分享了
199620	201100	我们去苗栗这个夜游
201100	202400	去一间
202400	203500	很可怕的
203500	204160	三合院
204160	205260	破烂三合院的故事
205260	206040	对对对
206040	207680	今天我们要来跟大家聊聊
207680	208160	收金
208160	212180	一定有人在这边想说
212180	213120	我就知道了
213120	213400	没有
213400	214600	没有那么单纯
214600	216200	不是大家想象的这么简单
216200	217580	没有这么直白
217580	218480	不是大家想象的
218480	219440	这么低能的事情
219440	222380	那天回来就说没事啊
222380	223460	不是大家想象的那种
223460	224720	说一群无聊的人
224720	225680	然后跑去一个地方夜游
225680	227020	然后中邪回来收金
227020	227640	不是
227640	228280	不是
228280	229820	不是这样子
229820	231200	娓娓道来
231200	232140	娓娓道来
232140	232380	对
232380	233220	首先呢
233220	235320	有一个比较长的前情题
235320	236920	要跟大家说明这个原委
236920	238260	不然大家觉得我们是一群
238260	240260	笨蛋
240260	241860	无脑的青少年
241860	242360	不是这样
242360	242900	好
242900	243660	是这样
243660	246700	在这个我们去苗栗之前
246700	248200	上了上个礼拜左右
248200	249200	我们家妻婆
249200	250540	在某天晚上
250540	252820	她就突然间发烧
252820	255100	然后烧到大概38度左右
255100	256000	完全没有人回来前照
256000	257180	也没有其他的症状
257180	258780	也没有什么流鼻涕
258780	260020	就突然发烧
260020	260780	然后我想说
260780	262120	还没烧到39度
262120	264120	那我们就再加薪观察一下
264120	265060	就隔天早上
265060	266660	也没做什么其他事情
266660	267760	她就退烧了
267760	269420	然后精神食欲看起来都不错
269420	271420	就是突然就烧了一天这样子
271420	273000	然后又过了几天
273000	274240	就变成沉窜
274240	275060	在某天的晚上
275060	275940	对吃完晚餐后
275940	276540	我就突然说
276540	277740	我好像不太舒服
277740	278280	就一两
278280	280140	也是一个38点多
280140	281340	我就说我好像有点发烧
281340	282540	然后就去躺
282540	283880	然后也是一个晚上睡起来
283880	285080	隔天就好多了
285080	287240	然后精神中食欲也都还不错
287240	288840	就直接恢复了这样子
288840	290180	所以就是有一个
290180	291520	让你发烧一天的
291520	291880	对
291880	292880	一个病毒
292880	294980	就在我们家默默的潜伏
294980	296020	这种感觉
296020	298480	然后上礼拜我们去玛丽回来之后
298480	300080	大概那个礼拜二吧
300080	300920	下午
300920	302060	我跟陈春涵就去幼稚园
302060	303420	结婚了默默回来
303420	304760	然后回到家以后
304760	305920	我也是原本没事
305920	307660	突然觉得有点倦怠
307660	308760	哪里有点不舒服的感觉
308760	310260	有点疲倦感
310260	311540	然后跟陈春涵说
311540	312600	我觉得我有点不太舒服
312600	313260	怪怪的
313260	315140	我想去躺一下
315140	317880	然后我就去我弟的房间躺着
317880	319040	然后一躺下去之后
319040	320340	我就开始觉得
320340	321640	浑身这个
321640	323280	酸痛感觉起来
323280	325780	这就是你很常出现的感冒前兆的感觉
325780	326740	就是感冒这个症状
326740	328680	我就开始觉得浑身酸痛
328680	330020	没有力气这样子
330020	331320	所以我就睡着
331320	333180	然后晚餐我也没有起来吃
333180	334820	然后到晚上我睡着睡着
334820	335660	突然就觉得说
335660	337760	全身开始很燥热
337760	339420	那有可能你在发烧了
339420	339900	对
339900	341560	我应该是就是在发烧的意思
341560	343060	就全身热起来
343060	344960	然后这时候我就想
344960	346360	应该没什么问题
346360	346860	就是那个
346860	347740	跟我们同一支
347740	349100	对就是那个潜伏在家里
349100	350500	那个只会烧一天的那个病毒
350500	351300	隔天就会好了
351300	351500	对
351640	352080	我就想说
352080	353400	我就是这样睡一天
353400	354080	隔天就会好起来
354080	354540	没错
354540	355180	就跟陈春瑶一样
355180	356520	直接变成生龙活虎
356520	357420	直接恢复
357420	358520	所以我就没有想太多
358520	359080	我想说好吧
359080	360980	那我就就让它烧了
360980	361720	我就继续睡
361720	362980	继续休息
362980	364180	然后隔天早上
364180	365620	我就一早起来
365620	367820	准备要精神妥妥坐起来
367820	370020	准备要满血恢复的时候
370020	371200	突然觉得
371200	372400	不太对劲
372400	374100	没有舒服的感觉是不是
374100	375200	突然觉得好像没有那种
375200	377240	就是突然早上一起床
377240	378760	然后神经气爽
378760	379360	一早阴霾
379360	380540	没有那种感觉
380540	381640	我觉得全身还是
381640	383000	就异常的酸痛
383000	384180	真的很酸痛
384180	384600	像是被
384600	386120	被车碾过那种感觉
386120	387580	像是刚刚爬完山回来
387580	389100	对对对
389100	390160	爬完山回来
390160	391740	所以我就没有办法
391740	392500	我就爬不起来
392500	393700	我就继续在那边躺
393700	394400	然后我就传讯息
394400	395000	跟陈春瑶说
395000	396340	我有点不舒服
396340	397360	可能你今天
397360	399040	自己再默默去学校
399040	399320	对
399320	399860	然后我就觉得
399860	400860	我这个病
400860	402020	好像跟你们以前生的
402020	402760	这个不太一样
402760	403020	对
403020	403900	因为我理论上
403900	405180	我记得我隔天起来
405180	405800	真的就是觉得
405800	407080	痊愈的感觉
407080	407700	对对对
407700	409140	我就觉得我们不太一样
409140	410220	所以啊
410220	411460	那一天礼拜三
411460	411620	嗯
412280	413680	我就是整整在床上
413680	414700	又躺了一整天
414700	415280	真的耶
415280	416300	你连吃饭的时间
416300	417380	都跟大家完美错过
417380	417980	因为你都在
417980	419260	昏昏沉沉的在睡觉
419260	420360	我冲午啊
420360	421860	就是那种默默的爬起来
421860	423140	然后爬厨房去
423140	424360	然后随便找点东西
424360	425460	甜甜肚子
425460	426460	然后我就又爬回床上
426460	426820	吃一吃
426820	427980	然后又倒在那边
427980	430400	悬缩在我那面被里面
430400	431460	继续睡觉
431460	431880	真的
431880	433160	然后这个时候就开始啊
433160	433840	鼻涕啊
433840	434500	黄疼啊
434500	436260	这些感冒症状
436260	437320	就冒出来了这样
437320	438780	然后又躺了一天嘛
438780	439060	嗯
439060	439940	时间到礼拜四
439940	440260	对
440260	440940	我想说
440940	442820	说不定是同一个感冒病毒
442820	444400	只是你的比较久吗
444400	445540	只是我比较虚弱
445540	446000	可能
446000	447360	因为我是礼拜二
447360	448840	冒出这个症状来
448840	449100	对
449100	450620	那天我就熬夜剪podcast
450620	450920	对
450920	452860	可能我抵抗力下降
452860	453900	被趁虚而入了
453900	454680	被趁虚而入
454680	455040	对
455040	456580	他这边比较张狂一点
456580	457240	对对对
457240	458800	睡一整天的小宝宝啊
458800	460440	跟就是无忧无虑的城村
460440	461480	他们发烧一天
461480	463320	我烧个两天
463320	465300	好像也有点合情合理
465300	465520	对嘛
465520	466440	差不多该恢复了吧
466440	467160	对
467160	468200	所以我就期待说
468200	469120	我那个礼拜
469120	469880	已经烧了
469880	470200	礼拜二
470200	470680	礼拜三
470680	471000	对
471000	472180	期待礼拜四起来的时候
472180	473440	神清气爽
473440	474580	就是那种康复的那种感觉
474580	475120	每天起床
475120	476000	就像刮刮乐一样
