start	end	text
0	8240	哈囉大家好 歡迎來到好味小姐開束縛 我還你原型
8240	9240	我是Ray
9240	10140	哈囉 今天是阿頓
10140	10160	哈囉 今天是阿頓
10160	10200	哈囉 今天是阿頓
10200	10240	哈囉 今天是阿頓
10240	10260	哈囉 今天是阿頓
10260	10300	哈囉 今天是阿頓
10300	10400	哈囉 今天是阿頓
10400	10460	哈囉 今天是阿頓
10460	11360	哈囉 今天是阿頓
11360	12960	剛那個頓的欸 它有意思想說我是
12960	14260	我有講錯嗎
14260	17140	我剛剛突然閃過一個念頭
17140	17560	怎樣
17560	20560	就說 喔 這是今年最後一次錄Pockets
20560	21500	欸 農曆年間
21500	23440	如果我玩Pockets之後就放假了
23440	26800	就是今年最後一個算上工作的東西了
26800	27900	對 對對對
27900	29800	我好不想做
29800	30960	對 所以我剛剛就覺得說
30960	33400	喔 如果喔
33400	34400	好想跳過這裡
34400	37040	就是時間直接就快轉到兩個小時後之類的
37040	38240	欸沒有 我要快轉六個小時
38240	38740	我剛要剪
38740	39900	對
39900	42160	對 其實對我來說還蠻漫長的
42160	45900	好 總而言之陳春蘭就是已經進入了放假狀態了
45900	46900	欸 可以這麼說
46900	50240	因為這禮拜四就是春節的第一天了嘛
50240	50500	對
50500	53040	然後主頻道這個禮拜就是會休息
53040	55060	所以我就想說我已經沒事可做啦
55060	58200	我現在每天都在滑手機不知道幹嘛
58200	59040	等下班
59040	59760	對啊
59760	61860	欸 我真的在等下班欸
61860	64620	而且我上個禮拜六
64620	68300	我還一個人跟他老婆一起跑去高雄玩
68300	69460	喔 他們去看演唱會
69460	72760	對 欸 這是我人生第一次看演唱會耶
72760	73260	喔 真的嗎
73260	74560	對啊 我講個三個幾回
74560	76120	我第一次去演唱會
76120	80460	而且聽說這一次這個場真的是近期算是台灣很大很大的場
80460	82760	喔 你就是聽那個紅髮愛的演唱會嗎
82760	83360	欸 對對對對
83360	85660	他其實也不是純粹他自己想要聽
85660	87260	或是他是Fans之類的
87260	89360	不是不是不是 我算是舊場
89760	90920	的一個小夥伴
90920	93360	他在那個懷孕的時候買的票
93360	95060	那時候搶下來
95060	96760	然後他掐指一算
96760	99020	就是說跟他演唱會的這個時候呢
99020	100260	他已經生完小孩
100260	102360	而且出月子了
102360	104400	小孩大概一個半月左右
104400	106800	他覺得他應該可以就是丟給他老公
106800	108400	然後就
108400	109320	就給帳位
109320	111060	就給公公婆婆這樣子
111060	111960	之類
111960	114960	欸 他實務上發現說做不到
114960	116560	而且很早就發現做不到
116560	118260	大概出生之後就發現說應該不行
118260	119760	哈哈哈
119760	121560	但是其實你離演唱會很近
121560	124160	然後又是一個就是算是蠻大場的
124160	125260	去的人很多
125260	127560	很少人可以就是那麼臨時接盤
127560	129360	因為你要找地方住
129360	132460	喔 所以他們那時候其實有點有點半放棄了
132460	135060	就想說可能找不到人接手這個票了
135060	137260	對 然後就是一時一時想說
137260	139060	不然就身邊的人都問問看
139060	140660	看有沒有機會這樣子
140660	142960	結果殊不知他傳訊息給我的時候
142960	144560	我就說 嗯 演唱會
144560	146160	欸 我這輩子從來沒聽過欸
146160	148760	搞不好現在就是反正我也在等放假嘛
148760	149760	就是沒什麼事做
149760	151260	我就說好像可以考慮一下
151260	152660	我就先去問他老婆
152660	154960	我說 欸 他們就是有多兩張票
154960	157760	你有沒有興趣跟我一起看那個紅髮愛德演唱會
157760	160760	然後他老婆就是一個很愛看演唱會的人
160760	162760	不是 他老婆是那個
162760	164260	阿拉席奈瓜嘛
164260	165260	系統系統吧
165260	166260	我本來有覺得他會拒絕我
166260	168260	根本沒有在聽英文歌好不好
168260	169460	對啊
169460	170760	我本來以為他會拒絕我
170760	172260	可是我又覺得他好像是一個
172260	173260	喜歡看演唱會的人啊
173260	174660	他老婆只要出去玩都不會拒絕啊
174660	175360	說實在
175360	177060	沒有 我老婆就是一個跟屁蟲
177060	178560	哈哈哈
178560	179760	所以我就問他 他就說
179760	181260	喔 紅髮愛德
181260	182260	我說你有在聽嗎
182260	182760	他說沒有
