start	end	text
0	8700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9400	我是翠翠
9400	10200	大家好 今天是下一段
10200	11700	大家好 我是鄭凡
11700	14300	噢 本集沒有預錄的廣告
14300	16800	突然不是由我來記錄這一段 好奇怪喔
16800	19500	好 是這樣 反正就是有廠商就是本來定了這個時間
19500	19900	對
19900	21100	後來出了一些意外
21100	22200	啊 你說他那一邊嗎
22200	23300	反正他就延後了這樣子
23300	25300	哎呀 怎麼這檔期就空下來
25300	27500	所以我剛剛就想 哎呀 難得有這個機會
27500	30200	不如我們再來做一個突襲的優惠活動
30200	31700	啊 就是換行大家就說
31700	33400	噢 我們其實也是店商喔 這樣子
33400	34400	噢 這件事情
34400	35400	對啊 剛過完年
35400	35800	對
35800	37800	哎 想必就是百費待行
37800	38800	領了不少紅包吧
38800	40400	領了不少紅包
40400	41400	拿了不少年終吧
41400	44000	哎 事實後 各方各面都要補貨一下
44000	44700	沒錯 沒錯
44700	47600	好 那我們就簡單來做一個優惠碼的活動好了
47600	49300	我找到在這個好味小姐的官網
49300	49700	對
49700	51200	跟營養視頻圈的官網
51200	51700	對
51700	53400	輸入我們這個優惠碼
53400	54100	是什麼
54100	57200	EYDGC
57200	57400	EYDGC
57400	59500	意外的折扣
59500	61000	3秒前才想到的嗎
61000	62900	去折扣可以吧
62900	64000	意外的折扣
64000	64500	OK
64500	66400	就可以折這個
66400	67800	折個
67800	69700	20塊是不是不太
69700	71300	太低了吧 賞了嗎
71300	72600	20塊
72600	73500	我想一下
73500	74900	一杯珍奶
74900	75500	一杯珍奶
75500	76300	一杯珍奶
76300	77200	現在一杯珍奶多少
77200	78500	一杯珍奶大概
78500	79500	五六十
79500	80200	四五十吧
80200	81600	五六十 現在一杯珍奶五六十
81600	82200	有吧
82200	84200	尤其是貴一點的就要五六十啊
84200	85900	便宜的大概四十五十這樣
85900	86700	你選一間的珍奶
86700	87300	你選一間珍奶
87300	88000	我選一間珍奶
88000	89200	你選一間珍奶
89200	90100	米克夏
90100	92300	米克夏的珍奶我去查一下
92300	92800	好我找到了
92800	95500	米克夏珍珠伯爵紅茶拿鐵
95500	96700	大杯六十五元
96700	97300	六十五元
97300	97800	六十五元
97800	99000	但這是南部的菜單
99000	101200	北部好像比較貴一點
101200	101900	不然這樣
101900	103000	六十六
103000	104600	開口紅包
104600	106000	你說六六孫的意思嗎
106000	106700	開口紅包的感覺
106700	108300	六十六
108300	110700	一個順感
110700	111800	輸入我們優惠碼
111800	114500	EYDGC
114500	116100	意外的折扣
116100	117000	我們請大家喝
117000	119800	珍奶直接限折六十六塊錢
119800	121200	讓你今年順
121200	123400	然後限時
123400	124500	四個小時
124500	126900	太短了吧
