start	end	text
0	7920	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7920	8480	我是JJ
8480	9280	大家好 我是阿段
9280	10400	大家好 我是聖梵
10400	15360	本期節目由買好味貓日常保養粉系列救眠運贊助播出
15360	19440	就是最近是處於一個季節交替的時候
19440	22320	這時候就是最需要好好的保養身體的時候了
22320	23680	對 像我們家那個一雅
23680	26240	她可能就從小 膝蓋比較歪
26240	28480	這個時候就常常在打噴嚏
28480	29760	延時會變多
29760	31040	之類這些問題
31040	32640	然後有一些常常比較敏感的貓咪
32640	34880	在這種日夜溫差變晚大的時候
34880	36000	比較容易軟變
36000	37760	之類的 這種敏感的問題
37760	38400	沒錯 沒錯
38400	40320	那我們好味貓日常保養粉系列
40320	42960	就是針對大家常見這種貓咪大小問題
42960	44800	幫大家設計了三種配方
44800	46720	第一種是貓腸胃益生菌
46720	48720	再來是貓護膚與Q粉
48720	51520	最後是貓眼鼻益生菌這三種
51520	54560	這三種它裡面詳細對應的這些功能
54560	57360	這些療效跟它的配方成分
57360	58320	應該都是一些
58320	60160	我們講出來就被罰錢的東西
60160	61040	不能說
61040	62960	所以大家可以自己到官網上面去看
62960	63680	沒錯
63680	64960	然後特別要強調
64960	66320	就是我們這三款配方
66320	68400	還有針對這個好吃的部分
68400	69520	就是四口性的部分
69520	70400	來去做強化
70400	71920	因為有時候貓咪它在生病的時候
71920	73840	它可能會就是食慾比較差
73840	75120	或者鼻子聞不到
75120	77200	有點過敏的時候什麼之類的
77200	78480	它就是食慾本來就會下降
78480	79280	沒錯 沒錯
79280	81040	所以我們都把它好吃程度
81040	83520	做到基本上可以當成幼食粉來使用
83520	86160	基本上我們家貓咪是可以直接打開就吃的
86160	87680	對 可以直接不用倒任何東西上
87680	88320	直接吃
88320	88960	吃那個粉
88960	89600	沒錯 沒錯
89600	90400	或是你有什麼那個
90400	92640	你們家哪款飼料你貓咪都不吃的
92640	93200	撒上去
93200	94240	浪費掉 撒上去
95200	96000	會有用
96000	97200	真的就是這麼好吃
97200	97840	就是這麼好吃
97840	100000	那現在為了可以讓大家更輕鬆的
100000	102640	開始幫貓咪養成保養這個好習慣
102640	104960	所以我們即日起到3月31號
104960	106720	大家只要在好餵官網下單
106720	108240	那你的訂單裡面是有包含
108240	110320	貓日常保養粉系列產品的話
110320	112400	不限金額整單救免運
112400	115120	對 然後這個是應該算會員限定的活動
115120	115680	沒錯 沒錯
115680	116720	要先加入我們官網會員
116720	118240	而且每個會員先使用一次
118320	119760	就是一個難得的機會
119760	120480	錯過就沒有了
120480	122160	大家一定要好好把握
122160	124160	詳細的連結我們會放在資訊欄裡面
124160	125520	請一定要點開來看看
126240	128400	現在時間是2月25日
128400	129280	週日
129280	129600	沒錯
129600	131200	凌晨12點52分
131200	132880	在一個非常微妙的時刻
132880	134080	這個非常神奇的時刻
134080	134320	對
134320	136240	在如果是我們在特殊的時候
136240	137520	錄Podcast
137520	139200	表示這一定是一個
139200	140160	非錄不可的時機
140160	141600	尤其
141600	143920	不是我們這個禮拜特別勤勞嗎
143920	144960	還提早了
144960	145280	對啊
145280	146640	那表示一定有很多意外發生
146640	148240	或是我們今天就是文思全遊
148240	149680	有很多想要說的東西
149680	150400	不行嗎
150400	152400	憋不住了
152400	153680	憋不住了
153680	155360	但是現在凌晨的時候
155360	156960	所以我們就把全部小孩都哄睡
156960	157680	沒錯
157680	157920	對
157920	159200	再爬起來
159200	160640	錄Podcast
