start	end	text
0	8700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9400	我是翠翠
9400	10300	大家好 今天是阿斷
10300	11100	大家好 我是翠翠
11100	12700	本集有預錄的廣告喔
13200	15300	本集節目由蘭蔻贊助播出
15300	16800	蘭蔻母親節開跑
16800	20200	超強的好味粉絲小黑餅加極光水獨家優惠
20200	22000	組合最低五二折
22500	25400	3月12號到14號只有三天
25400	27000	所以大家要好好把握
27000	30400	蘭蔻最強雙星就是他們的極光水加小黑餅
30400	32400	就是先換膚再修復
32400	34400	讓你的膚況改善可以更全面
34400	37200	蘭蔻找我們合作已經有
37200	38400	三四五五六
38400	39800	超級無敵可以多吃
39800	42000	現在各位應該非常非常的緊張
42000	44200	因為從我們以前合作幾次的經驗
44200	45800	找我們跟蘭蔻合作
45800	47600	那個蘭蔻給我們的組合都是
47600	49000	瞬間就秒殺
49000	50400	瞬間就秒殺
50400	52400	瞬間完你這段廢話之前可能就已經太晚了
52400	55000	太遲了 你清那些廢話已經太晚了
55000	55600	來不及了
55600	56800	如果你是那種
56800	59600	就是你不是從那個天摸摸亮就開始聽的人
59600	61800	你是那種中午午休才出來聽的
61800	63600	那你這段可以跳過了
63600	64200	沒有了啦
64200	65400	應該沒有了
65400	67400	沒有什麼機會
67400	69000	該介紹的還是要介紹一下
69000	70600	怕有新朋友進來
70600	72400	好先來介紹一下兩款商品
72400	74000	首先呢就是大家很熟悉
74000	77800	然後我自己也已經用掉超級多罐的小黑瓶
77800	80200	包含黃奕傑本人也有在使用
80200	81200	對長期使用呢
81200	84200	其實我覺得對膚況的穩定度是非常有感的
84200	86600	像去年我們就拍了很多戶外的影片嘛
86600	88600	然後這樣子曝曬啊什麼之類的
88600	90400	其實你在肌膚敏感的時候呢
90400	92000	你就更要選擇這種溫和
92000	94200	而且具有修復力保濕力的產品
94200	95400	所以推薦給大家
95400	96200	那小黑瓶呢
96200	97800	它其實是一個還蠻棒的選擇
97800	99400	它有兩大酵母菌
99400	101000	然後以及五大醫生值
101000	103200	60億活性萃取
103200	105200	用好菌養膚
105200	106600	無痛能量草菸酸醇
106600	108200	重點是吸收力非常快
108200	109600	一年四季都非常適用
109600	112800	這一款呢是我自己真的非常喜歡的商品
112800	116200	講不到真的太可惜了
116600	117800	所以就是只要有優惠
117800	119400	我就會就是囤起來
119400	120800	還值還值
120800	121600	然後再來呢
121600	123200	就是也有新的東西要跟大家介紹
123200	124200	就是它們2024年
124200	128000	它們是全新升級的超級極光水
128000	129200	所以你之前有買過的
129200	130400	現在還可以再買一次
130400	132800	因為它是新的
132800	134200	有升級過的
134200	136400	可惜了
136400	137400	跟前一代比起來呢
137400	138800	它的保濕力會更有感
