start	end	text
0	5000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5000	9000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9000	10000	我是翠翠
10000	11000	大家好 我是阿段
11000	12000	大家好 我是阿凡
12000	18000	本集是由我們好味貓日曆的預告
18000	20000	贊助播出
20000	22000	先來一個預告篇
22000	24000	是這樣 我們很久以前
24000	26000	我們就訂下這個檔期
26000	30000	就是我們今天要來預告我們這個今年好味貓日曆的這些事情
30000	33000	就強迫我們要在這段時間之前
33000	36000	把我們這個日曆大概的方案給搞定
36000	39000	就去年我們日曆是跟那個藍骨頭一起上市
39000	41000	然後做一個滿額證的活動
41000	44000	後來就是發生很多雜七雜八的事情
44000	46000	就很多人可能是只想要藍骨頭
46000	48000	他其實沒有用日曆的習慣
48000	50000	但是滿額證還是送給他了嘛
50000	52000	然後他就去轉賣啊什麼
52000	54000	有些真的想要日曆的人他又買不到
54000	56000	還有很多這種事情
56000	57000	所以我們今天就決定
57000	59000	我們這個日曆可能會走一個單賣的形式
59000	60000	沒錯
60000	61000	然後呢
61000	64000	我們這個日曆想要跟我們現在大家聽的這個Podcast
64000	66000	做一個聯名的感覺
66000	67000	聯名聯名
67000	68000	自己跟自己聯名
68000	70000	所以我們自己一直在思考
70000	73000	我們怎麼樣讓一個貓為主題的日曆
73000	74000	對
74000	77000	跟我們這個沒什麼主題的Podcast
77000	79000	以閒聊為主題的好不好
79000	80000	做一個聯名的感覺
80000	81000	沒錯
81000	84000	怎麼同時展現這兩邊的這個特點
84000	85000	非常困難
85000	86000	對
86000	87000	最後呢
87000	88000	我們大概在前幾週
88000	89000	我們有一個結論
89000	90000	有一個共識
90000	92000	我們要做一個有點這個
92000	94000	電波的
94000	95000	這個
95000	97000	感覺的聯名
97000	98000	有講跟沒有講
98000	100000	電波的感覺
100000	101000	很多聯名都是那種
101000	104000	很膚淺的那種聯名
104000	106000	我已經不敢講了
106000	107000	印個圖上去
107000	109000	放個logo
109000	110000	然後就說聯名
110000	111000	就說聯名
111000	113000	其實沒有連到核心價值上去
113000	114000	對
114000	115000	我們是這種核心價值的聯名
115000	117000	好可怕
117000	118000	我自己就敢講
118000	120000	到時候等我們推出的時候
120000	121000	大家就會感覺出來
121000	122000	我們那是一個
