start	end	text
0	6340	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
6340	10940	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
10940	14140	本集有預錄的廣告喔
14140	17760	本集節目由 ROYCHAN 政己坐墊贊助播出
17760	20460	正確的坐姿可以有效減少身體的負擔
20460	22900	每天使用電腦、辦公、念書
22900	25960	需要坐超過三個小時以上的身體總是覺得硬梆梆的
25960	27400	如果你有以上的困擾
27400	30240	那麼使用 ROYCHAN 政己坐墊可以幫助你
30240	34380	支撐腰部、包覆骨盆、輕鬆有效維持正確姿勢
34380	36580	男女體型以及骨盆的角度都不同
36580	39280	所以坐姿跟姿勢的調整也應該有所不同
39280	43240	ROYCHAN 政己坐墊是市售唯一可以選擇體型的政己坐墊
43240	45920	男女兒童三種尺寸自由選購
45920	48280	男性設計降低重心減少壓迫感
48280	51220	女性設計提高腰部重心讓曲線更美麗
51220	54100	獨家底部支撐設計坐墊不易滑動
54100	55100	適合任何座椅
55100	56060	即使不搭配椅子
56060	57400	也可以直接當作和室椅子
57400	59540	在地面或者是平面使用喔
59540	62900	通過SGS檢測不含有有毒物質與安全性檢測
62900	66040	最大可以承受 220 公斤到 350 公斤之間
66040	68020	不會形成座椅扭曲或晃動
68020	69820	買一張人體共選椅不便宜
69820	72180	但買一個 ROYCHAN 只要 1000 多喔
72180	74120	趕快點擊資訊欄的連結下單
74120	77020	就可以享有我們好位聽眾專屬的 5 二折優惠
77020	80760	下單之前記得要先使用 FB、LINE 手機號碼登入喔
80760	81960	以上優惠分享給大家
81960	84120	詳細的活動資訊我們會放在資訊欄裡面
84120	85720	大家記得點開來看看喔
85720	86900	現在時間 4 月 8 號
86900	89140	晚上 11 點 25 分
89140	90000	今天是這樣
90000	93900	我有兩個非常困擾的事情想跟大家來討論一下
93900	95040	竟然有兩個嗎
95040	97540	對 最近印象我的生活非常的嚴重
97540	98240	OK OK
98240	100120	好 首先第一件事情喔
100120	102240	這個 因為之前啊
102240	103380	感冒實在太多了
103380	105520	喔 你說我們家前一陣子嗎
105520	106720	大概有半年的時間吧
106720	107180	對
107180	108520	都持續在感冒的狀態
108520	109920	嘿 每個小孩要輪流
109920	111120	然後再來就輪大人這樣
111120	112220	對對對對
112220	113960	然後我這個人是這樣
113960	115200	我只要感冒之後
115200	116100	會有很多症狀嘛
116100	116900	比如說發燒啊
116900	117960	全身痠痛啊
117960	119500	咳嗽之類的
119500	120240	我這陣狀喔
120240	122480	感冒的這個期程大概一週之後
122480	124240	就會慢慢的消減
124240	125500	但是
125500	127280	鼻涕鼻水的問題
127280	129420	會持續存在
129420	130480	我也好像有這樣子
130480	131520	但是我現在有點分不清
131520	133820	我到底是在過敏還是感冒後遺症的感覺
133820	135520	你喔 你現在狀況更特殊了一點
135520	136020	蛤
136020	136760	你是過敏
136760	139180	你現在是對什麼濕度跟那個溫度變化過敏
139180	139820	對對對
139820	141760	基本上不管天氣變好變壞
141760	142860	我都會過敏
142860	144100	你那個是鼻塞流鼻水
144100	144400	對啊
144400	145020	鼻子癢
145020	145260	對啊
145260	145760	那就是過敏
145760	146600	但是我不一樣
146600	146900	我是
146900	149640	會流那種綠色的鼻涕
149640	150640	然後持續很久很久
150640	153340	就是真的是感冒有細菌那種鼻涕的感覺
153340	156280	這好像細菌會藏到我的一些鼻洞還是什麼地方
156280	158220	在那邊滋生
158220	159680	如果真的要解決它的話
159680	160320	快速解決
160320	161940	你就要去吃抗生素
161940	162880	吃很多這樣子
162880	164720	可是有的醫生要看好幾次都看不好
164720	165620	才會開給你
165620	166760	對
166760	167520	所以我就是
167520	170020	長期我感冒之後就流鼻涕流很久
170020	171960	可能就會接到下一次感冒
171960	173360	就繼續流鼻涕
173360	176600	所以導致這半年的這個來回往復之後
176600	178540	我最近這一兩週
178540	180100	我發現我這個
180100	181340	鼻血流不停
181340	182100	流鼻血
182100	183780	你是說因為你一直醒鼻涕
183780	185800	醒到就是鼻子裡面受傷這樣嗎
185800	187340	大概一個月前
187340	188840	某一個感冒之後
188840	190980	我就是醒鼻涕的時候裡面都會有鼻血
190980	191640	這麼誇張
191640	192680	就是有流鼻血的感覺
192680	194280	雖然不是那種共共勞
194280	196420	就是我只要醒鼻涕吐痰
196420	198120	就都有血的顏色
198120	198620	你不會
198620	201200	要是我就會開始懷疑我自己是不是哪裡有鼻
201200	201920	肺癌
201920	203220	對啊
203220	205400	你不想說我是鼻子裡面長爆血
205400	206300	之類的
206300	206560	就是
206560	206600	對啊
206600	207840	就是很困擾
207840	208800	很恐怖欸
208800	209640	對就很恐怖
209640	210000	對啊
210000	211400	那造成我心裡的一些陰影
211400	213140	你不會忍不住去Google嗎
213140	214800	沒有我就一直說服我自己
214800	215680	你去Google幹嘛
215680	216940	我怎麼會去
216940	218180	Google就是肺癌確診
218180	218780	你為什麼要Google
218780	219920	好可怕欸
219920	221080	我就要一直說服我自己說
221080	221440	沒有
221440	224020	我就是因為一直長期在醒鼻涕的關係
224020	224660	然後太用力
224660	226060	我鼻黏膜受損
226060	227580	所以導致這個微血管破裂
