start	end	text
0	5640	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5640	10240	大家好 歡迎來到好味小姐開束縛 我還你原型
10240	12040	大家好 今天是阿端 大家好 我是林聖凡
12040	14080	本集又有預錄的廣告喔
14080	18460	本集節目由芳姿生技站主播出 母親節將近
18460	20580	這個熟悉的老朋友又回來了
20580	23720	這次他們除了寄鯽魚饗宴禮盒給我們之外
23720	27020	他們還額外寄了他們的新產品 薑黃滴雞精過來
27020	31020	這個薑黃滴雞精 其實讓我有點驚喜
31020	35560	因為薑黃它其實就是它是帶一點苦味的食材
35560	41000	所以說滴雞精感覺是很濃縮濃縮 提煉提煉的感覺
41000	45540	所以我原本在喝的時候 我就把它當成一個在吃藥的那個心態
45540	47040	喝補藥的感覺
47040	50240	我已經期待說它會有一股苦韻什麼之類的出來
50240	52920	結果一入口之後呢 首先是滴雞精的香氣嘛
52920	56220	再來就是非常濃郁的這個薑黃的味道
56220	57020	但是在我
57020	60320	想像中的那個苦味要襲來之前
60320	61520	就停掉了
61520	63820	確實喝起來是完全沒有苦味的
63820	67400	所以它就達到一個很巧妙的一個平衡
67400	69800	剛好我把你調到一個超級濃郁
69800	72600	但是又不會有苦味發出來的那個感覺
72600	73940	我覺得非常的厲害
73940	75940	我自己也有認真的品味了一下
75940	78200	我覺得那個薑黃的氣味真的蠻特殊
78200	80380	其實是你很少見的一個香氣
80380	82280	我那時候喝的時候是直接把它放到碗裡面
82280	83680	然後去微波加熱
83680	85620	一拿出來那個香氣四溢
85620	86820	我覺得是非常明顯
86820	88920	其實新鮮的薑黃在台灣沒有很好買
88920	90320	因為它很難處理
90320	91620	所以很少人在賣
91620	93920	然後它又很容易染色弄到身上什麼之類的
93920	95160	所以其實
95160	97900	所以大家可能會把它想像成咖哩的味道
97900	99400	覺得是不是咖哩雞
99400	100800	其實不是
100800	102200	它就是一個帶有
102200	103700	有點漢方草本感的
103700	105380	特殊香氣的一個
105380	107100	就不是咖哩味就對了
107100	109140	但它還是有那個咖哩的特性
109140	109680	就是啊
109680	112140	那個小時候大家有沒有吃過那個營養午餐
112140	113480	是吃咖哩的
113480	114640	你知道那天吃完之後
114640	116660	你回去的盤子就是整個黃的
116660	117320	喔對
117320	118160	而且洗不掉
118160	118800	沒錯
118800	119460	就這感覺
119460	122100	你自己如果要料理薑黃的各種食品
122100	122740	就會這樣子
122740	123600	非常麻煩
123600	125760	所有的食器全部黃通通的
125760	127900	但是這款就沒有這個問題了
127900	129380	你就可以輕易的入口
129380	130900	如果你是喜歡薑黃的人的話
130900	131940	超級方便
131940	134040	那方芝他們這款的那個薑黃滴滴雞呢
134040	137480	是選用亞洲唯一雙認證有機三色薑黃
137480	140260	那高於一般薑黃五倍的薑黃素
140260	141860	所以基本上他們這款一推出
141860	144220	就深受各大長輩們的喜愛
144220	146160	所以如果說你想要提升你的代謝啊
146160	146460	或者是
146660	147460	自己的保護力啊
147460	148860	或是送給家裡的長輩的話
148860	150460	就非常適合選這一款
150460	151460	那常常這邊還有跟大家說
151460	153260	如果你是第一次接觸他們的房子
153260	153900	然後你不確定
153900	156200	你送你的對象的口味怎麼樣的話
156200	156900	除了這一款之外
156900	158580	大家也可以考慮他們經典熱銷商品
158580	160800	就是我剛剛說的基於饗宴的禮盒
160800	163240	這個基本上是不太會踩到雷的
163240	164040	沒錯
164040	165140	方芝生氣的滴雞精
