start	end	text
0	1900	我這個時間 durant
5340	8200	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8200	9000	我脆脆
9000	10100	大家好 pegar水啦其實方便
10100	10660	但是我生量很煩
10660	11960	所以在資訊erer complaints  concentrating on my domestic life
11960	14740	本集節目由HR赫連娜贊助播出
14740	16660	使用HR赫連娜黑繃帶乳霜
16660	18820	獨家繃帶質地全面包裹雞膚
18820	20260	減劑式 吸收 滲透
20260	22300	深入基底緊實拉提
22300	23980	強化肌膚組織彈性
24180	26180	業界最高濃度30%普拉斯電
26240	29180	2.5倍超速修復 夜夜緊實 又抗老
29180	31240	之前收到这个活动邀约的时候
31240	32260	全办公室的女生
32260	33100	我一直激动
33100	33880	大家就突然
33880	35040	我就看说
35040	35720	绷带
35720	36340	绷带
36340	37120	其实
37120	39640	我跟你讲
39640	40620	只要有骚骚
40620	41600	有在保养的人
41600	42780	不用说很有研究
42780	44140	就一定挺过他们
44140	46100	他真的是很有名的品牌
46100	47140	然后我们就说
47140	47960	可以接吗
47960	48540	可以接吗
48540	49300	因为毕竟我们
49300	50540	其实没有在做什么医美
50540	51540	我想说我会不会不够
51540	51840	你知道
51840	53260	不够有代表性
53260	54680	不够贵妇的感觉
54680	56500	所以我们就是
56500	57680	抱持了一个忐忑心情
57680	58320	因为对方就说
58320	59500	没关系你们先试用
59500	60840	我就先试用一下
60840	61900	我蛮喜欢的
61900	62700	首先是那个
62700	63740	一般来说
63740	65180	我们如果听到什么贵妇
65180	66200	抗老乳霜
66200	67000	这种keyword
67000	67840	你会觉得
67840	68820	它是不是适合那种
68820	70460	皮肤很干很干的人使用
70460	71780	我一开始也有点担心
71780	72540	就把它打开
72540	73420	然后它的乳霜
73420	74540	打开看到的时候
74540	77840	看起来有点像奶油
77840	79780	摸起来也像奶油质地
79780	80640	其实是摸起来
80640	81440	有点钝感的
81440	83420	但是上脸不会黏
83420	85000	我觉得很惊人
85000	85760	就是他们的品牌
85760	87440	独家的那个绷带科技
87440	88040	对
88040	89260	原来是这个意思
89260	89580	对
89580	92640	就是包裹你修复肌肤的意思
92640	93820	就陈春涵当初
93820	94900	她试用一次之后
94900	96120	就赶快叫我去试试看
96120	96300	对
96300	97860	然后就要在我脸上上
97860	99800	两三层你知道吗
99800	101780	就其实我很抗拒
101780	103000	在脸上涂东西
103000	104060	对 没错
104060	104860	我又觉得说
104860	105640	我最喜欢脸就是
105640	107220	超级干爽这样子
107220	108200	然后陈春涵叫我
108200	109400	先洗脸擦干之后
109400	110900	先涂精华液
110900	112120	精华液涂完之后
112120	112860	其实我已经觉得
112860	113660	因为精华液其实
113660	115000	质地蛮清爽的
115000	115220	对
115220	116140	涂完之后我已经觉得说
116140	117720	好像可以了吧
117720	118020	对
118040	119520	有补到就可以了吧
119520	120420	我就觉得我的皮
120420	121680	就是已经软软坦坦的
121680	122400	没有问题了吧
122400	122880	对
122880	124100	然后陈春涵就再让我
124100	124860	涂那个乳霜
124860	126140	我一开始很怕一次
126140	126520	对
126520	127520	对 我就觉得说
127520	128640	这种东西肯定就是会
128640	129680	把我整个脸都闷住
129680	130720	对 没错
130720	131480	很怕这种
131480	133060	就我在涂的时候
133060	134980	首先一上脸
134980	136220	先闻到的是香味
136220	137960	我好需要它的香气
137960	138860	它是一种
138860	140240	感觉有点贵的
140240	141420	淡香水的味道
141420	141740	对
141740	143920	是一个很迷人的香味这样
143920	144100	对
144100	145500	然后有点花香调
145500	146440	所以涂的时候
146440	147400	体验蛮好的
147400	148020	好
148040	149000	然后涂完之后
149000	149800	那种油腻感
149800	151240	我觉得只有一瞬间
151240	151920	对
151920	153080	然后之后你就觉得说
153080	154560	好像就不见了
154560	154840	对
154840	155920	基本上擦完之后
155920	157120	你再回摸你的脸
157120	158600	就是舒爽的了
158600	159880	就不会有那种黏黏
159880	161440	然后带一层面具的那个感觉
161440	162320	没错
162320	163400	那因为我使用时间
163400	164320	还不算太长
164320	166200	那我目前比较感受到
166200	166800	明显的地方
166800	168360	就是我觉得细致度有上升
168360	169560	尤其是刚涂完的时候
169560	171040	那个保水感还蛮不错的
171040	172040	我很喜欢
172040	173840	然后再就是脖子的部分
173840	175520	你知道女生只要一有颈纹
175520	177400	就超显老
177400	178040	所以就是我
178040	178760	颈纹啊
178760	179120	对对对
179120	180200	脖子的纹路
180200	181680	所以我只要是有保养的话
181680	182920	我就会很积极的
182920	183880	在保养我的脖子
183880	184720	我是不是有脖子的纹路啊
184720	185280	欸没有
185280	186360	你那是我那是胖
186360	187560	后面瘦下来的关系啊
187560	188480	是不能怪我吗
188480	188960	你为什么要说
188960	191240	你为什么要秀样
191240	192280	但是颈部的东西就是
192280	192920	如果你太有
192920	194280	太油润的商品啊
194280	195400	或者太滋润的商品
195400	197160	很容易长那个小小的小疙瘩
197160	198520	一颗粒一颗一颗粒的
198520	199760	你没有这个问题对不对
199760	200680	哦不是会长
200680	201120	垢哦
201120	202000	我还以为会
202000	202840	长垢是什么
202840	204040	黏住就是
204040	204960	会卡在那边
204960	205840	好恶心
205840	206320	不是
206320	206960	会有绅
206960	209080	会有一点点小小的小颗粒感
209080	210160	真的是因为这样子哦
210160	210600	对
210600	212200	就是太油或太滋润的商品
212200	213800	就会这样
213800	215600	然后像是现在不是肌肤处于
215600	216400	换季
216400	217000	不稳定
