start	end	text
0	5000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5000	6000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6000	7000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7000	9000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9000	10000	哈囉 大家好 我今天是阿段
10000	11000	大家好 我是林聖凡
11000	12000	本集有預錄的廣告喔
12000	14000	本集節目由Bio力度深贊助播出
14000	16000	全球銷售No.1維他命C品牌力度深
16000	18000	全球銷售No.1維他命C品牌力度深
18000	20000	天天喝打造時尚健康新日常
20000	24000	三種口味每天隨心情挑選一定就有約20顆留成的維他命C
24000	28000	輕鬆補足一天所需的關鍵營養還能順便補充水分喔
28000	30000	力度深發泡滴
30000	32000	就從他們劑量品牌到現在
32000	35000	我已經算是重度依賴他
35000	39000	就我之前睡到中午左右起床
39000	42000	有時候吃一點東西吃個午餐之後
42000	44000	就突然又昏昏沉沉
44000	45000	就開始想睡覺
45000	46000	血糖的部分
46000	47000	對血糖的部分
47000	48000	但是我才剛起床你知道嗎
48000	49000	所以睡覺很奇怪
49000	52000	所以我之前就會想說泡個黑咖啡
52000	53000	泡咖啡來喝
53000	54000	但是喝完之後
54000	55000	喝完咖啡之後
55000	56000	我就會就是
56000	58000	刺激腸胃蠕動
58000	59000	對
59000	60000	我就會被困在那個
60000	61000	馬桶上
61000	62000	對一陣子
62000	63000	就覺得很浪費時間
63000	66000	後來我就開始喝那個他們的發泡滴
66000	68000	就是有一個提振精神
68000	69000	酸酸甜甜
69000	71000	然後有氣泡那個刺激效果
71000	72000	氣泡感
72000	75000	就變成了我一個固定的喚醒自己的儀式
75000	76000	的那種感覺
76000	79000	而且我跟永帆第一次喝的感覺就是
79000	80000	蠻好喝的
80000	81000	蠻好喝的
81000	83000	就不會有那種想像中的就是
83000	84000	藥味啊那種
84000	85000	感覺
85000	88000	就是一個好喝的果汁口味的氣泡水的感覺
88000	90000	我自己是比較常在早上喝
90000	92000	因為我早上不是要在阿懵去上學嗎
92000	93000	對回來的時候
93000	95000	通常我就會直接開始進辦公室
95000	96000	然後我覺得喝起來就像你說的
96000	98000	是酸酸甜甜的口味
98000	100000	然後我自己比較偏愛的是喝那個
100000	101000	黑處理口味的
101000	103000	就是有一點點莓果的香氣在裡面
103000	105000	然後顏色也蠻漂亮的
105000	107000	所以早上泡一杯心情會蠻好的
107000	108000	然後裡面他說
108000	109000	它是不含人工色素
109000	110000	不含咖啡因
110000	111000	然後有滿滿的維他命C
111000	113000	對女生來說是絕佳的抗氧化劑
113000	114000	哦
114000	115000	所以就是我現在大部分都是
115000	117000	早上的時候會泡一杯來喝
117000	118000	我覺得發泡衛生最有對待的幫助
118000	120000	就是可以幫助我多喝水
120000	121000	哦
121000	122000	因為我是一個不太愛喝水的人
122000	123000	沒錯
123000	124000	它可以幫助我讓那杯水有味道
124000	126000	然後就加上一點氣泡
126000	127000	哦
127000	129000	使用起來非常的方便
129000	130000	我就不用特地再點飲料啊
130000	131000	或什麼之類的
131000	132000	就其實那個
132000	134000	有位粉絲老婆送他一台氣泡水機
134000	135000	哦對啦
135000	137000	那他連使用的氣泡水機都有點
137000	138000	懶惰
138000	140000	對那個鋼瓶用完氣泡水之後就
140000	142000	他就不會再去補那個氣了
142000	143000	從來沒有再使用過
143000	144000	他這個就丟一顆下去
144000	145000	他就是氣泡水了
145000	147000	對加個冰塊就變得非常的消暑
147000	148000	嗯
148000	149000	哦
149000	150000	那他這次寄給我們的呢
150000	151000	總共有三種
151000	152000	一個是維他命CD
152000	153000	新發泡底
153000	155000	他有柳橙跟我剛說的黑處理口味
155000	156000	對
156000	157000	然後他還有另外一個呢
157000	158000	是涵蓋款的
158000	159000	那涵蓋
159000	160000	我覺得我們現在就要開始了
160000	161000	哦是哦
161000	163000	對很多長輩不是說什麼年輕存古本
163000	164000	有沒有
164000	165000	因為蓋子流失就很難補回來
165000	166000	尤其是我
166000	167000	生完小孩之後
167000	168000	哦
168000	169000	真的會差很多
169000	170000	你就會覺得
170000	171000	連樓梯都走不了啊
171000	172000	鬆鬆的
172000	173000	對
173000	174000	所以現在
174000	175000	也是剛剛好適合
175000	176000	補蓋的年紀
176000	177000	所以現在
177000	178000	而且他那個補蓋款其實
178000	179000	喝不出來什麼味道
179000	180000	對
180000	181000	不會有
181000	182000	有些人會怕蓋錠有一個粉味嗎
182000	183000	還是什麼的味道
183000	184000	或是沙沙的口感
184000	185000	對他不會
185000	186000	他都沒有感覺
186000	187000	所以其實滿適合你想補蓋的人
187000	188000	丟一滴很方便
188000	189000	以上商品呢
189000	190000	都是超過150年歷史的
190000	192000	德國拜爾GMP
192000	193000	國際藥廠製作
193000	195000	所以品質安心有保證哦
195000	197000	最後是他們要分享的優惠資訊的部分
197000	198000	6月18號前呢
198000	199000	到拜爾MOMO
199000	201000	品牌情節店限時優惠55折
201000	203000	30訂3種口味
204000	207000	3060元優惠的活動只要1674
207000	208000	差那麼多
208000	209000	另外呢滿799元送
209000	211000	AQUAGEN海洋深層氣泡水
211000	213000	滿1199元送100元的MOMO幣
213000	215000	滿1699元限則180元
215000	218000	滿2299元限則300元滿5000元
218000	220000	送奇美手持吸塵器
220000	221000	好最後呢
221000	222000	購買
224000	225000	最後呢
225000	226000	購買組合商品呢
226000	228000	就會送你旅行硬殼包
228000	230000	或者是旅行收納六件組
230000	231000	所以現在是一個旅行
231000	232000	就是你知道
232000	233000	很多人要出去玩的季節
233000	234000	我覺得這個也很好
234000	235000	還滿實用的
