start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30020	31020	大家就一直問了
31020	33460	對 沒錯 今年夏天會有買一送一嗎
33460	36820	所以就是現在 其實只要到營養士評訊的公網買寶寶凍
36820	38840	買一盒就會出貨兩盒
38840	41000	沒錯 所以你原本就是愛好者的人
41000	43340	一定要趁現在瘋狂的囤貨
43340	45960	對 然後這個活動是從昨天開始
45960	48420	到今天啦 應該好像
48420	49760	應該還有啦 應該還有啦
49760	50660	剩下一半左右
50660	54540	所以你如果是就是那種流到周末在聽的人
54540	55880	可能不敢也是
55880	59880	你可以上來去看看 看還有沒有機會
59880	62500	對 搶到剩下的幾盒這樣子
62500	63400	好 那連結呢
63400	65200	我們會幫大家放在資訊欄裡面喔
65200	68360	請你趕快手刀去點開來喔
68360	70120	現在時間是6月18號
70120	72640	這個下午1點08分
72640	74600	是這樣子喔 我們不是故意拖到
74600	76320	這個10到0號 禮拜二才要錄喔
76320	77200	才看錄影
77200	79760	是我們昨天啊 有股雄心壯志
79760	81040	晚上吃完晚餐之後想說
81040	82520	我們現在拍一支片
82520	83920	好 再來錄影
83920	86880	一天把所有今天該做的事情全部搞定
86880	88120	整個進度直接超前
88120	89520	這禮拜都放假
89520	90880	沒事幹
90880	93240	結果那支片就一路拍到
93240	94480	凌晨兩點
94480	95240	兩三點
95240	95880	沒錯
95880	97920	結果就是這樣 大家決定稍微稍微去睡覺
97920	99200	好 我就睡到剛剛
99200	100960	現在1點08分
100960	104240	我大概12點的時候進行
104240	106720	就是完了完了來不及錄拍開始了
106720	107480	去陳春涵的房間
107480	109400	我睡在我弟的那個客房
109400	111960	一打開房間發現窗戶都關起來
111960	113520	房間裡面一片漆黑
113520	115680	發現說陳春涵今天還在睡
115680	118200	我已經是垂死夢中金座起
118200	119320	想說完蛋了完蛋了
119520	121720	早上去送小孩上學回來
121720	122560	對啊
122560	124000	回籠覺就很容易這樣
124000	124640	特別辛苦
124640	126200	我就趕快把臉洗一洗
126200	126840	然後叫陳春涵說
126840	127360	陳春涵 陳春涵
127360	128600	我們要趕快寫錄拍開始
128600	129680	然後就一個發生說
129680	130080	我不要
130080	132520	誰給我睡15分鐘
132520	135040	他跟我說12點40分
135040	135560	然後他就說
135560	137240	現在才12點10分
137240	139120	現在才12點多40分
139120	139680	然後我就說
139680	140840	好嗎好嗎30分40分
140840	141920	現在15分還有15分鐘
141920	142840	再讓我睡15分鐘
142840	143320	然後就趕快
143320	144920	咦 閃過去
144920	145880	繼續睡
145880	146880	然後我大概又
146880	148400	吸花啦咕了半個小時
148400	149360	我給陳春涵倒了這個
149520	150680	錄拍開始的地方
150680	151800	坐定位之後
151800	152560	想說
152560	154240	月返咧
154240	156160	去打開月返的房間
156160	159120	一片漆黑
159120	162000	我女兒5點半就醒了
162000	162760	月返她在睡覺
162760	163880	她老婆也在睡覺
163880	165080	可能昨天都被
165080	166120	他們女兒搞了一通
166120	167440	他女兒最近不知道為什麼
167440	168800	都凌晨天剛亮
168800	170720	天邊擦亮而已她就醒
170720	171120	那怎麼說
171120	173040	就是我睡覺那個客房
173040	174040	的頭上
174040	175840	就是月返他們二樓的客廳
175840	177680	喔你會聽到他的聲音對不對
177680	178120	以前喔
178120	179440	如果說那個月返女兒
